frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.14,-2.57,5.14,-2.57,2.55,2.40,0.96,7.69,7.69,7.71
20.20,5.15,-2.52,5.15,-2.52,2.52,2.40,0.98,7.67,7.67,7.66
20.40,5.15,-2.46,5.15,-2.48,2.49,2.40,1.01,7.65,7.65,7.61
20.61,5.16,-2.46,5.16,-2.45,2.47,2.41,1.04,7.63,7.63,7.61
20.81,5.17,-2.45,5.17,-2.44,2.45,2.41,1.08,7.62,7.62,7.61
21.02,5.18,-2.43,5.18,-2.43,2.43,2.42,1.11,7.61,7.61,7.61
21.23,5.19,-2.42,5.19,-2.42,2.42,2.42,1.14,7.61,7.61,7.61
21.44,5.20,-2.41,5.20,-2.41,2.40,2.42,1.18,7.61,7.61,7.61
21.66,5.21,-2.40,5.21,-2.40,2.40,2.43,1.21,7.61,7.61,7.61
21.87,5.22,-2.39,5.22,-2.39,2.39,2.43,1.25,7.61,7.61,7.61
22.09,5.23,-2.38,5.23,-2.38,2.38,2.43,1.28,7.62,7.62,7.61
22.31,5.24,-2.38,5.24,-2.38,2.38,2.43,1.32,7.62,7.62,7.61
22.54,5.24,-2.37,5.24,-2.37,2.38,2.43,1.36,7.62,7.62,7.61
22.76,5.24,-2.37,5.24,-2.37,2.38,2.43,1.40,7.62,7.62,7.61
22.99,5.24,-2.38,5.24,-2.38,2.38,2.43,1.44,7.62,7.62,7.61
23.22,5.23,-2.38,5.23,-2.38,2.38,2.43,1.48,7.61,7.61,7.61
23.45,5.22,-2.39,5.22,-2.39,2.38,2.43,1.53,7.61,7.61,7.61
23.69,5.22,-2.40,5.22,-2.40,2.39,2.43,1.57,7.61,7.61,7.61
23.92,5.21,-2.40,5.21,-2.40,2.39,2.43,1.62,7.61,7.61,7.61
24.16,5.20,-2.41,5.21,-2.41,2.41,2.42,1.66,7.61,7.61,7.61
24.40,5.20,-2.41,5.20,-2.41,2.42,2.42,1.71,7.62,7.62,7.61
24.65,5.20,-2.42,5.20,-2.42,2.44,2.42,1.75,7.64,7.64,7.61
24.89,5.19,-2.42,5.19,-2.44,2.46,2.42,1.80,7.65,7.65,7.61
25.14,5.19,-2.49,5.19,-2.48,2.49,2.41,1.85,7.67,7.67,7.68
25.39,5.18,-2.54,5.18,-2.52,2.52,2.41,1.90,7.70,7.69,7.71
25.65,5.16,-2.55,5.16,-2.56,2.55,2.40,1.94,7.71,7.71,7.71
25.91,5.15,-2.57,5.15,-2.57,2.57,2.40,1.99,7.72,7.72,7.71
26.16,5.13,-2.59,5.13,-2.59,2.59,2.39,2.04,7.72,7.72,7.71
26.43,5.11,-2.60,5.11,-2.61,2.59,2.39,2.09,7.70,7.70,7.71
26.69,5.10,-2.62,5.10,-2.60,2.59,2.38,2.13,7.68,7.68,7.71
26.96,5.09,-2.59,5.09,-2.59,2.57,2.38,2.18,7.66,7.66,7.68
27.23,5.09,-2.53,5.09,-2.55,2.54,2.37,2.22,7.63,7.63,7.61
27.50,5.09,-2.52,5.09,-2.50,2.51,2.36,2.26,7.60,7.60,7.61
27.77,5.10,-2.46,5.10,-2.46,2.47,2.36,2.31,7.57,7.57,7.56
28.05,5.11,-2.40,5.11,-2.42,2.42,2.35,2.35,7.54,7.53,7.51
28.33,5.12,-2.39,5.12,-2.37,2.38,2.34,2.38,7.50,7.50,7.51
28.62,5.13,-2.34,5.12,-2.34,2.34,2.33,2.42,7.46,7.46,7.46
28.90,5.12,-2.29,5.12,-2.31,2.31,2.32,2.45,7.43,7.43,7.41
29.19,5.10,-2.31,5.11,-2.28,2.30,2.32,2.48,7.40,7.40,7.41
29.48,5.08,-2.26,5.08,-2.27,2.30,2.31,2.51,7.38,7.38,7.34
29.78,5.05,-2.26,5.05,-2.28,2.31,2.30,2.53,7.36,7.36,7.31
30.08,5.01,-2.30,5.01,-2.30,2.33,2.29,2.55,7.34,7.34,7.31
30.38,4.98,-2.34,4.97,-2.34,2.34,2.28,2.57,7.32,7.32,7.31
30.68,4.94,-2.38,4.94,-2.38,2.36,2.27,2.58,7.30,7.30,7.31
30.99,4.91,-2.40,4.91,-2.40,2.36,2.26,2.59,7.27,7.27,7.31
31.30,4.90,-2.41,4.90,-2.39,2.35,2.25,2.60,7.25,7.25,7.31
31.61,4.91,-2.35,4.91,-2.36,2.32,2.24,2.60,7.23,7.23,7.26
