frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.68,-4.24,3.67,-4.23,4.20,4.86,1.57,7.88,7.88,7.91
20.20,3.69,-4.17,3.69,-4.17,4.17,4.82,1.61,7.86,7.86,7.86
20.40,3.71,-4.10,3.71,-4.12,4.14,4.79,1.66,7.84,7.85,7.81
20.61,3.73,-4.09,3.73,-4.08,4.11,4.68,1.71,7.83,7.83,7.81
20.81,3.75,-4.07,3.75,-4.06,4.08,4.56,1.76,7.83,7.83,7.81
21.02,3.76,-4.05,3.76,-4.05,4.06,4.43,1.81,7.82,7.82,7.81
21.23,3.77,-4.04,3.77,-4.04,4.04,4.29,1.87,7.82,7.82,7.81
21.44,3.78,-4.03,3.78,-4.03,4.03,4.17,1.92,7.81,7.81,7.81
21.66,3.79,-4.03,3.79,-4.03,4.03,4.05,1.98,7.81,7.81,7.81
21.87,3.79,-4.03,3.79,-4.03,4.03,3.97,2.04,7.82,7.82,7.81
22.09,3.79,-4.03,3.79,-4.03,4.03,3.88,2.10,7.81,7.81,7.81
22.31,3.79,-4.03,3.79,-4.03,4.03,3.82,2.16,7.81,7.81,7.81
22.54,3.79,-4.03,3.79,-4.03,4.02,3.76,2.23,7.81,7.81,7.81
22.76,3.79,-4.03,3.79,-4.03,4.02,3.73,2.29,7.81,7.81,7.81
22.99,3.79,-4.02,3.80,-4.02,4.01,3.69,2.36,7.81,7.81,7.81
23.22,3.81,-4.01,3.81,-4.01,4.00,3.67,2.43,7.81,7.81,7.81
23.45,3.82,-4.00,3.82,-4.00,3.99,3.65,2.50,7.81,7.81,7.81
23.69,3.83,-3.98,3.83,-3.98,3.98,3.64,2.57,7.81,7.81,7.81
23.92,3.84,-3.97,3.84,-3.97,3.97,3.63,2.64,7.81,7.81,7.81
24.16,3.85,-3.96,3.85,-3.96,3.97,3.63,2.72,7.82,7.82,7.81
24.40,3.86,-3.95,3.86,-3.95,3.97,3.63,2.79,7.83,7.83,7.81
24.65,3.86,-3.95,3.86,-3.95,3.98,3.63,2.87,7.84,7.84,7.81
24.89,3.86,-3.96,3.86,-3.98,4.00,3.63,2.95,7.86,7.86,7.81
25.14,3.85,-4.03,3.85,-4.02,4.02,3.63,3.02,7.87,7.87,7.88
25.39,3.84,-4.07,3.84,-4.06,4.05,3.64,3.10,7.89,7.89,7.91
25.65,3.83,-4.08,3.83,-4.09,4.07,3.64,3.18,7.90,7.90,7.91
25.91,3.83,-4.09,3.83,-4.09,4.08,3.65,3.26,7.90,7.90,7.91
