frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.97,-0.21,8.97,-0.20,0.16,0.34,0.31,9.13,9.13,9.17
20.20,8.90,-0.23,8.89,-0.23,0.23,0.35,0.32,9.13,9.12,9.12
20.40,8.83,-0.25,8.82,-0.27,0.29,0.36,0.32,9.12,9.12,9.07
20.61,8.76,-0.32,8.76,-0.31,0.35,0.37,0.33,9.10,9.11,9.07
20.81,8.70,-0.38,8.70,-0.37,0.39,0.38,0.34,9.09,9.09,9.07
21.02,8.65,-0.43,8.65,-0.43,0.43,0.40,0.35,9.08,9.07,9.07
21.23,8.60,-0.47,8.61,-0.47,0.46,0.41,0.36,9.06,9.06,9.07
21.44,8.58,-0.49,8.58,-0.49,0.48,0.42,0.37,9.06,9.06,9.07
21.66,8.57,-0.50,8.57,-0.51,0.49,0.43,0.38,9.06,9.06,9.07
21.87,8.57,-0.51,8.57,-0.50,0.49,0.45,0.39,9.06,9.06,9.07
22.09,8.58,-0.49,8.58,-0.49,0.49,0.46,0.41,9.07,9.07,9.07
22.31,8.60,-0.47,8.60,-0.47,0.46,0.47,0.42,9.07,9.07,9.07
22.54,8.63,-0.44,8.63,-0.44,0.44,0.49,0.43,9.07,9.07,9.07
22.76,8.66,-0.41,8.67,-0.41,0.41,0.50,0.44,9.07,9.07,9.07
22.99,8.70,-0.38,8.70,-0.38,0.38,0.52,0.45,9.08,9.08,9.07
23.22,8.72,-0.35,8.72,-0.35,0.35,0.54,0.47,9.08,9.08,9.07
23.45,8.74,-0.33,8.74,-0.33,0.34,0.56,0.48,9.08,9.08,9.07
23.69,8.75,-0.33,8.75,-0.33,0.33,0.57,0.49,9.08,9.08,9.07
23.92,8.74,-0.33,8.74,-0.34,0.34,0.59,0.51,9.08,9.08,9.07
24.16,8.72,-0.36,8.72,-0.36,0.37,0.61,0.52,9.09,9.09,9.07
24.40,8.68,-0.40,8.68,-0.39,0.42,0.63,0.53,9.09,9.09,9.07
