frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.32,1.52,7.32,1.52,-1.57,-1.36,-0.70,5.75,5.76,5.81
20.20,7.32,1.56,7.31,1.56,-1.56,-1.39,-0.72,5.75,5.75,5.76
20.40,7.31,1.60,7.31,1.58,-1.56,-1.42,-0.74,5.75,5.75,5.71
20.61,7.30,1.59,7.30,1.59,-1.56,-1.46,-0.76,5.74,5.74,5.71
20.81,7.29,1.58,7.29,1.59,-1.56,-1.49,-0.78,5.73,5.73,5.71
21.02,7.28,1.58,7.28,1.58,-1.57,-1.52,-0.81,5.72,5.72,5.71
21.23,7.28,1.57,7.28,1.57,-1.58,-1.56,-0.83,5.70,5.70,5.71
21.44,7.28,1.57,7.28,1.57,-1.59,-1.60,-0.86,5.69,5.69,5.71
21.66,7.28,1.57,7.28,1.57,-1.60,-1.63,-0.88,5.68,5.68,5.71
21.87,7.28,1.58,7.29,1.60,-1.61,-1.67,-0.91,5.67,5.67,5.71
22.09,7.29,1.65,7.29,1.64,-1.64,-1.70,-0.93,5.65,5.65,5.64
22.31,7.30,1.70,7.30,1.68,-1.67,-1.73,-0.96,5.63,5.63,5.61
22.54,7.31,1.71,7.31,1.71,-1.71,-1.76,-0.99,5.60,5.60,5.61
22.76,7.33,1.72,7.33,1.74,-1.75,-1.77,-1.02,5.57,5.57,5.61
22.99,7.34,1.78,7.34,1.78,-1.79,-1.79,-1.05,5.54,5.54,5.56
23.22,7.35,1.85,7.35,1.83,-1.83,-1.80,-1.08,5.52,5.52,5.51
23.45,7.37,1.86,7.37,1.86,-1.86,-1.80,-1.11,5.51,5.51,5.51
23.69,7.39,1.88,7.39,1.89,-1.88,-1.80,-1.14,5.51,5.51,5.51
23.92,7.40,1.90,7.40,1.90,-1.88,-1.79,-1.18,5.52,5.52,5.51
24.16,7.42,1.91,7.42,1.89,-1.87,-1.78,-1.21,5.55,5.55,5.51
24.40,7.44,1.86,7.44,1.87,-1.85,-1.76,-1.24,5.59,5.59,5.57
24.65,7.45,1.81,7.45,1.82,-1.81,-1.74,-1.28,5.64,5.64,5.64
24.89,7.47,1.76,7.47,1.76,-1.77,-1.73,-1.31,5.70,5.70,5.70
25.14,7.48,1.71,7.48,1.70,-1.71,-1.71,-1.34,5.76,5.76,5.77
25.39,7.48,1.65,7.48,1.65,-1.66,-1.69,-1.38,5.82,5.82,5.84
25.65,7.49,1.58,7.49,1.60,-1.61,-1.68,-1.41,5.88,5.88,5.91
25.91,7.49,1.58,7.49,1.56,-1.56,-1.66,-1.45,5.92,5.92,5.91
26.16,7.49,1.54,7.49,1.53,-1.52,-1.65,-1.48,5.96,5.96,5.95
26.43,7.49,1.48,7.49,1.50,-1.49,-1.63,-1.52,5.99,5.99,6.01
26.69,7.48,1.48,7.48,1.48,-1.47,-1.62,-1.55,6.01,6.01,6.01
26.96,7.48,1.47,7.48,1.46,-1.47,-1.61,-1.59,6.01,6.01,6.01
27.23,7.47,1.47,7.47,1.46,-1.48,-1.61,-1.62,6.00,6.00,6.01
27.50,7.46,1.46,7.46,1.47,-1.50,-1.60,-1.65,5.97,5.97,6.01
27.77,7.46,1.51,7.46,1.50,-1.53,-1.59,-1.68,5.93,5.93,5.95
28.05,7.45,1.56,7.45,1.56,-1.57,-1.59,-1.71,5.88,5.88,5.89
28.33,7.45,1.62,7.45,1.63,-1.62,-1.59,-1.74,5.82,5.82,5.82
28.62,7.45,1.69,7.45,1.68,-1.68,-1.58,-1.77,5.77,5.77,5.75
28.90,7.45,1.74,7.45,1.73,-1.72,-1.58,-1.79,5.73,5.73,5.71
29.19,7.44,1.74,7.44,1.77,-1.75,-1.58,-1.82,5.69,5.69,5.71
29.48,7.44,1.81,7.44,1.80,-1.77,-1.58,-1.84,5.68,5.67,5.64
29.78,7.43,1.83,7.43,1.81,-1.77,-1.58,-1.86,5.66,5.66,5.61
