frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.47,-1.19,6.47,-1.18,1.14,0.01,0.26,7.61,7.61,7.66
20.20,6.49,-1.11,6.49,-1.11,1.11,0.01,0.27,7.60,7.60,7.61
20.40,6.52,-1.04,6.52,-1.05,1.08,0.01,0.27,7.60,7.60,7.56
20.61,6.54,-1.01,6.54,-1.01,1.05,0.01,0.28,7.59,7.59,7.56
20.81,6.57,-0.99,6.57,-0.99,1.01,0.01,0.29,7.58,7.58,7.56
21.02,6.59,-0.97,6.59,-0.97,0.98,0.01,0.30,7.57,7.57,7.56
21.23,6.61,-0.95,6.61,-0.95,0.95,0.01,0.31,7.56,7.56,7.56
21.44,6.63,-0.92,6.63,-0.93,0.91,0.01,0.32,7.54,7.54,7.56
21.66,6.65,-0.90,6.65,-0.90,0.88,0.01,0.33,7.53,7.53,7.56
21.87,6.67,-0.88,6.67,-0.86,0.85,0.01,0.34,7.52,7.52,7.56
22.09,6.69,-0.80,6.69,-0.81,0.81,0.01,0.35,7.50,7.50,7.49
22.31,6.71,-0.74,6.71,-0.76,0.77,0.01,0.36,7.48,7.48,7.46
22.54,6.74,-0.72,6.74,-0.72,0.72,0.01,0.37,7.45,7.45,7.46
22.76,6.76,-0.70,6.76,-0.68,0.67,0.01,0.38,7.42,7.42,7.46
22.99,6.77,-0.63,6.77,-0.63,0.62,0.01,0.39,7.40,7.40,7.41
23.22,6.79,-0.56,6.79,-0.58,0.58,0.01,0.41,7.37,7.37,7.36
23.45,6.81,-0.55,6.81,-0.54,0.55,0.01,0.42,7.36,7.36,7.36
23.69,6.82,-0.53,6.82,-0.52,0.54,0.01,0.43,7.36,7.36,7.36
23.92,6.84,-0.52,6.84,-0.51,0.53,0.01,0.44,7.37,7.37,7.36
24.16,6.86,-0.50,6.86,-0.52,0.54,0.01,0.45,7.40,7.40,7.36
24.40,6.87,-0.55,6.87,-0.55,0.56,0.01,0.47,7.44,7.44,7.42
24.65,6.89,-0.60,6.89,-0.59,0.60,0.01,0.48,7.49,7.49,7.49
24.89,6.91,-0.64,6.91,-0.64,0.64,0.01,0.49,7.55,7.55,7.55
25.14,6.93,-0.69,6.93,-0.70,0.68,0.01,0.51,7.61,7.61,7.62
25.39,6.95,-0.74,6.95,-0.74,0.72,0.01,0.52,7.67,7.67,7.69
25.65,6.96,-0.79,6.96,-0.77,0.76,0.01,0.53,7.73,7.73,7.76
25.91,6.98,-0.78,6.98,-0.80,0.80,0.01,0.55,7.78,7.78,7.76
26.16,6.99,-0.81,6.99,-0.82,0.83,0.01,0.56,7.82,7.82,7.80
26.43,7.00,-0.86,7.00,-0.84,0.84,0.01,0.57,7.84,7.84,7.86
26.69,7.01,-0.85,7.01,-0.85,0.85,0.01,0.58,7.85,7.85,7.86
26.96,7.01,-0.84,7.01,-0.85,0.84,0.01,0.59,7.85,7.85,7.86
27.23,7.02,-0.83,7.02,-0.83,0.82,0.01,0.61,7.84,7.84,7.86
27.50,7.04,-0.82,7.04,-0.81,0.78,0.01,0.62,7.82,7.82,7.86
27.77,7.05,-0.75,7.05,-0.76,0.74,0.01,0.63,7.78,7.78,7.80
28.05,7.05,-0.69,7.05,-0.69,0.68,0.01,0.64,7.74,7.74,7.74
28.33,7.06,-0.61,7.06,-0.61,0.62,0.01,0.65,7.68,7.68,7.67
28.62,7.06,-0.54,7.06,-0.55,0.56,0.01,0.65,7.63,7.63,7.60
28.90,7.07,-0.49,7.07,-0.50,0.51,0.01,0.66,7.57,7.57,7.56
29.19,7.07,-0.49,7.07,-0.45,0.46,0.01,0.67,7.53,7.53,7.56
29.48,7.07,-0.41,7.07,-0.41,0.43,0.01,0.67,7.51,7.51,7.48
29.78,7.08,-0.37,7.08,-0.39,0.42,0.02,0.68,7.50,7.50,7.46
30.08,7.09,-0.38,7.09,-0.39,0.41,0.02,0.68,7.51,7.51,7.47
30.38,7.10,-0.43,7.10,-0.41,0.42,0.02,0.68,7.52,7.52,7.53
30.68,7.10,-0.45,7.10,-0.44,0.43,0.02,0.68,7.53,7.53,7.56
30.99,7.10,-0.46,7.10,-0.46,0.45,0.02,0.68,7.54,7.54,7.56
31.30,7.09,-0.47,7.09,-0.47,0.46,0.02,0.68,7.55,7.55,7.56
31.61,7.08,-0.48,7.08,-0.48,0.47,0.02,0.68,7.55,7.55,7.56
31.93,7.07,-0.48,7.08,-0.48,0.47,0.02,0.67,7.54,7.55,7.56
32.24,7.08,-0.47,7.08,-0.47,0.46,0.02,0.67,7.54,7.54,7.56
32.57,7.09,-0.46,7.10,-0.47,0.43,0.02,0.66,7.53,7.53,7.56
32.89,7.12,-0.44,7.12,-0.44,0.41,0.02,0.65,7.53,7.53,7.56
33.22,7.13,-0.42,7.13,-0.40,0.39,0.02,0.64,7.53,7.53,7.55
33.55,7.15,-0.34,7.14,-0.35,0.38,0.02,0.63,7.53,7.53,7.48
33.89,7.14,-0.31,7.14,-0.33,0.38,0.02,0.62,7.53,7.52,7.46
34.23,7.13,-0.33,7.13,-0.34,0.39,0.02,0.61,7.52,7.52,7.46
34.57,7.12,-0.41,7.12,-0.39,0.40,0.02,0.59,7.52,7.52,7.53
34.92,7.11,-0.45,7.11,-0.44,0.42,0.02,0.58,7.53,7.53,7.56
35.27,7.11,-0.46,7.11,-0.48,0.45,0.02,0.56,7.55,7.55,7.57
35.62,7.11,-0.52,7.12,-0.51,0.48,0.02,0.55,7.59,7.59,7.64
35.97,7.13,-0.53,7.13,-0.52,0.51,0.02,0.53,7.63,7.63,7.66
36.33,7.14,-0.51,7.14,-0.52,0.53,0.02,0.51,7.67,7.67,7.66
36.70,7.15,-0.50,7.15,-0.52,0.55,0.02,0.49,7.70,7.70,7.66
37.06,7.17,-0.54,7.17,-0.54,0.56,0.02,0.48,7.72,7.72,7.71
37.43,7.18,-0.58,7.18,-0.56,0.56,0.02,0.46,7.74,7.74,7.76
37.81,7.19,-0.57,7.19,-0.57,0.56,0.02,0.44,7.75,7.75,7.76
38.19,7.20,-0.55,7.20,-0.57,0.55,0.02,0.42,7.76,7.76,7.76
38.57,7.21,-0.55,7.21,-0.55,0.54,0.02,0.40,7.75,7.75,7.76
38.95,7.21,-0.54,7.21,-0.52,0.52,0.02,0.38,7.73,7.73,7.76
39.34,7.21,-0.47,7.21,-0.49,0.48,0.02,0.36,7.69,7.69,7.69
39.74,7.22,-0.44,7.22,-0.45,0.42,0.02,0.34,7.64,7.64,7.66
40.14,7.23,-0.42,7.24,-0.39,0.35,0.02,0.32,7.58,7.59,7.65
40.54,7.25,-0.33,7.25,-0.33,0.28,0.02,0.30,7.54,7.54,7.58
40.94,7.27,-0.24,7.27,-0.24,0.22,0.02,0.28,7.50,7.50,7.51
41.35,7.29,-0.16,7.28,-0.16,0.19,0.02,0.26,7.48,7.48,7.45
41.76,7.28,-0.09,7.28,-0.10,0.19,0.02,0.24,7.48,7.47,7.38
42.18,7.26,-0.09,7.26,-0.10,0.22,0.02,0.22,7.48,7.49,7.36
42.60,7.24,-0.15,7.24,-0.18,0.28,0.02,0.20,7.51,7.51,7.39
43.03,7.21,-0.32,7.21,-0.32,0.35,0.02,0.18,7.56,7.56,7.53
43.46,7.19,-0.48,7.19,-0.47,0.42,0.02,0.16,7.61,7.61,7.68
43.90,7.19,-0.60,7.19,-0.59,0.49,0.02,0.14,7.67,7.67,7.78
44.33,7.19,-0.65,7.19,-0.65,0.53,0.02,0.12,7.72,7.73,7.85
44.78,7.22,-0.64,7.22,-0.64,0.55,0.02,0.10,7.76,7.76,7.86
45.23,7.25,-0.57,7.25,-0.57,0.53,0.02,0.08,7.78,7.78,7.82
45.68,7.28,-0.47,7.28,-0.48,0.49,0.01,0.06,7.77,7.77,7.76
46.13,7.31,-0.37,7.31,-0.37,0.43,0.01,0.04,7.74,7.74,7.68
46.60,7.33,-0.28,7.33,-0.29,0.36,0.01,0.03,7.69,7.69,7.61
47.06,7.33,-0.22,7.33,-0.24,0.30,0.01,0.01,7.63,7.63,7.56
47.53,7.33,-0.23,7.33,-0.22,0.25,0.01,-0.01,7.58,7.58,7.56
48.01,7.32,-0.23,7.32,-0.23,0.21,0.01,-0.03,7.53,7.53,7.56
48.49,7.32,-0.24,7.32,-0.24,0.19,0.01,-0.05,7.51,7.51,7.56
48.97,7.32,-0.24,7.32,-0.22,0.19,0.01,-0.07,7.50,7.50,7.56
49.46,7.32,-0.19,7.31,-0.18,0.19,0.01,-0.09,7.51,7.51,7.50
49.96,7.31,-0.14,7.31,-0.16,0.20,0.01,-0.10,7.52,7.52,7.46
50.46,7.31,-0.15,7.31,-0.17,0.22,0.00,-0.12,7.53,7.53,7.46
50.96,7.30,-0.21,7.30,-0.20,0.23,0.00,-0.14,7.54,7.54,7.51
51.47,7.30,-0.26,7.30,-0.24,0.24,0.00,-0.16,7.54,7.54,7.56
51.99,7.29,-0.26,7.29,-0.27,0.24,-0.00,-0.17,7.53,7.53,7.56
52.51,7.29,-0.27,7.29,-0.27,0.22,-0.00,-0.19,7.51,7.51,7.56
53.03,7.28,-0.24,7.28,-0.24,0.19,-0.00,-0.21,7.46,7.46,7.52
53.56,7.27,-0.18,7.27,-0.19,0.13,-0.01,-0.22,7.40,7.40,7.45
54.10,7.26,-0.12,7.26,-0.09,0.05,-0.01,-0.24,7.31,7.31,7.38
54.64,7.25,0.02,7.25,0.03,-0.04,-0.01,-0.25,7.21,7.21,7.23
55.18,7.24,0.19,7.24,0.15,-0.12,-0.02,-0.27,7.12,7.12,7.04
55.74,7.22,0.25,7.22,0.26,-0.18,-0.02,-0.28,7.04,7.04,6.98
56.29,7.22,0.31,7.22,0.32,-0.23,-0.02,-0.29,6.99,6.99,6.91
56.86,7.21,0.34,7.21,0.31,-0.25,-0.03,-0.31,6.96,6.96,6.88
57.42,7.21,0.27,7.22,0.27,-0.25,-0.03,-0.32,6.96,6.96,6.95
58.00,7.22,0.21,7.22,0.22,-0.24,-0.03,-0.33,6.98,6.98,7.01
58.58,7.22,0.16,7.22,0.17,-0.21,-0.04,-0.34,7.00,7.00,7.06
59.16,7.22,0.16,7.22,0.15,-0.20,-0.04,-0.34,7.02,7.01,7.06
59.76,7.21,0.16,7.21,0.16,-0.20,-0.05,-0.35,7.01,7.01,7.06
60.35,7.20,0.18,7.20,0.18,-0.23,-0.06,-0.36,6.98,6.98,7.03
60.96,7.19,0.23,7.19,0.23,-0.27,-0.06,-0.36,6.93,6.93,6.96
61.57,7.18,0.30,7.18,0.31,-0.31,-0.07,-0.37,6.87,6.87,6.88
62.18,7.17,0.40,7.17,0.40,-0.37,-0.08,-0.37,6.80,6.80,6.77
62.80,7.16,0.50,7.16,0.47,-0.41,-0.08,-0.37,6.75,6.75,6.66
63.43,7.15,0.49,7.15,0.50,-0.46,-0.09,-0.37,6.69,6.69,6.66
64.07,7.14,0.49,7.14,0.50,-0.49,-0.10,-0.37,6.65,6.65,6.66
64.71,7.13,0.48,7.13,0.48,-0.50,-0.11,-0.37,6.63,6.63,6.66
65.35,7.12,0.47,7.12,0.47,-0.49,-0.12,-0.37,6.63,6.63,6.66
66.01,7.11,0.46,7.11,0.46,-0.47,-0.14,-0.37,6.65,6.65,6.66
66.67,7.10,0.45,7.10,0.45,-0.43,-0.15,-0.36,6.68,6.68,6.66
67.33,7.09,0.44,7.09,0.42,-0.38,-0.16,-0.36,6.71,6.71,6.66
68.01,7.08,0.36,7.08,0.36,-0.33,-0.18,-0.35,6.75,6.75,6.72
68.69,7.07,0.28,7.07,0.29,-0.28,-0.19,-0.35,6.78,6.78,6.78
69.37,7.06,0.20,7.06,0.22,-0.25,-0.21,-0.34,6.81,6.81,6.85
70.07,7.05,0.19,7.05,0.18,-0.22,-0.23,-0.33,6.83,6.83,6.86
70.77,7.04,0.18,7.04,0.17,-0.20,-0.25,-0.32,6.83,6.83,6.86
71.48,7.03,0.17,7.03,0.19,-0.22,-0.27,-0.31,6.81,6.81,6.86
