frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.71,-2.07,6.71,-2.08,1.98,1.93,0.54,8.69,8.69,8.78
20.20,6.79,-1.99,6.79,-1.99,1.97,1.92,0.56,8.75,8.75,8.78
20.40,6.85,-1.93,6.86,-1.92,1.95,1.92,0.58,8.80,8.81,8.78
20.61,6.91,-1.87,6.91,-1.88,1.94,1.91,0.60,8.85,8.85,8.78
20.81,6.95,-1.85,6.95,-1.85,1.93,1.91,0.61,8.87,8.87,8.79
21.02,6.97,-1.84,6.97,-1.84,1.91,1.90,0.63,8.88,8.88,8.81
21.23,6.98,-1.85,6.98,-1.86,1.90,1.89,0.65,8.88,8.88,8.83
21.44,6.98,-1.88,6.98,-1.88,1.88,1.88,0.67,8.86,8.86,8.86
21.66,6.97,-1.91,6.97,-1.91,1.89,1.87,0.69,8.87,8.87,8.88
21.87,6.97,-1.93,6.97,-1.93,1.90,1.85,0.71,8.87,8.87,8.90
22.09,6.99,-1.92,6.99,-1.92,1.88,1.84,0.73,8.87,8.87,8.91
22.31,7.02,-1.90,7.02,-1.89,1.86,1.82,0.76,8.88,8.88,8.92
22.54,7.07,-1.84,7.07,-1.84,1.81,1.81,0.78,8.88,8.89,8.91
22.76,7.14,-1.77,7.14,-1.77,1.76,1.79,0.80,8.90,8.90,8.91
22.99,7.22,-1.68,7.22,-1.69,1.70,1.77,0.83,8.91,8.91,8.90
23.22,7.30,-1.61,7.29,-1.61,1.64,1.75,0.85,8.94,8.93,8.91
23.45,7.37,-1.55,7.37,-1.55,1.59,1.73,0.87,8.96,8.95,8.92
23.69,7.43,-1.52,7.43,-1.52,1.55,1.70,0.90,8.97,8.97,8.94
23.92,7.47,-1.50,7.47,-1.50,1.52,1.67,0.93,8.99,8.99,8.97
24.16,7.50,-1.50,7.50,-1.50,1.51,1.64,0.95,9.01,9.00,9.00
24.40,7.51,-1.51,7.51,-1.51,1.50,1.61,0.98,9.01,9.01,9.02
24.65,7.51,-1.52,7.51,-1.52,1.51,1.58,1.01,9.02,9.02,9.03
24.89,7.51,-1.53,7.51,-1.53,1.51,1.54,1.03,9.02,9.02,9.04
25.14,7.51,-1.53,7.51,-1.53,1.52,1.51,1.06,9.03,9.03,9.03
25.39,7.51,-1.52,7.51,-1.52,1.52,1.47,1.09,9.03,9.03,9.03
25.65,7.52,-1.51,7.52,-1.51,1.51,1.43,1.11,9.03,9.03,9.03
25.91,7.54,-1.50,7.54,-1.50,1.50,1.40,1.14,9.03,9.03,9.03
26.16,7.57,-1.48,7.57,-1.48,1.47,1.37,1.17,9.04,9.04,9.05
26.43,7.61,-1.46,7.61,-1.45,1.44,1.34,1.19,9.05,9.05,9.07
26.69,7.67,-1.41,7.67,-1.41,1.39,1.33,1.22,9.06,9.06,9.08
26.96,7.73,-1.37,7.73,-1.36,1.35,1.31,1.25,9.08,9.08,9.10
27.23,7.80,-1.30,7.80,-1.30,1.30,1.30,1.27,9.10,9.10,9.10
27.50,7.86,-1.24,7.86,-1.24,1.26,1.29,1.30,9.12,9.12,9.10
27.77,7.92,-1.19,7.92,-1.19,1.22,1.29,1.32,9.13,9.13,9.11
28.05,7.96,-1.15,7.95,-1.16,1.19,1.28,1.34,9.15,9.14,9.11
28.33,7.98,-1.15,7.98,-1.15,1.17,1.27,1.36,9.15,9.15,9.13
28.62,7.99,-1.15,7.99,-1.15,1.16,1.26,1.38,9.15,9.15,9.14
28.90,7.99,-1.17,7.99,-1.17,1.16,1.25,1.40,9.14,9.14,9.16
29.19,7.98,-1.18,7.98,-1.18,1.16,1.24,1.41,9.14,9.14,9.17
29.48,7.98,-1.19,7.98,-1.19,1.17,1.23,1.43,9.15,9.15,9.17
29.78,7.98,-1.18,7.98,-1.18,1.17,1.21,1.44,9.16,9.16,9.17
30.08,7.98,-1.17,7.99,-1.18,1.18,1.19,1.45,9.17,9.17,9.16
30.38,7.99,-1.17,7.99,-1.17,1.19,1.17,1.46,9.18,9.18,9.16
30.68,7.99,-1.17,7.99,-1.17,1.19,1.15,1.46,9.18,9.18,9.16
30.99,7.99,-1.18,7.99,-1.18,1.19,1.13,1.46,9.18,9.18,9.17
31.30,7.99,-1.19,7.99,-1.19,1.18,1.11,1.46,9.17,9.17,9.18
31.61,8.00,-1.19,8.00,-1.19,1.17,1.08,1.46,9.17,9.17,9.19
31.93,8.01,-1.18,8.01,-1.18,1.16,1.06,1.46,9.17,9.17,9.19
32.24,8.04,-1.15,8.04,-1.15,1.14,1.04,1.45,9.18,9.18,9.19
32.57,8.07,-1.12,8.07,-1.12,1.11,1.01,1.44,9.18,9.18,9.19
32.89,8.11,-1.07,8.11,-1.08,1.09,0.99,1.43,9.20,9.19,9.18
33.22,8.15,-1.04,8.15,-1.04,1.05,0.96,1.42,9.20,9.20,9.19
33.55,8.19,-1.00,8.19,-1.00,1.01,0.94,1.41,9.20,9.20,9.19
33.89,8.23,-0.97,8.23,-0.97,0.97,0.92,1.39,9.20,9.20,9.20
34.23,8.27,-0.94,8.27,-0.94,0.94,0.89,1.37,9.20,9.20,9.21
34.57,8.31,-0.91,8.31,-0.90,0.90,0.87,1.35,9.21,9.21,9.22
