frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.04,2.71,8.04,2.71,-2.71,-2.70,-1.24,5.32,5.32,5.33
20.20,8.07,2.74,8.07,2.74,-2.74,-2.73,-1.28,5.33,5.33,5.33
20.40,8.10,2.77,8.10,2.77,-2.77,-2.76,-1.31,5.33,5.33,5.33
20.61,8.14,2.81,8.14,2.81,-2.80,-2.79,-1.35,5.34,5.34,5.33
20.81,8.19,2.85,8.19,2.85,-2.84,-2.82,-1.39,5.35,5.35,5.34
21.02,8.25,2.89,8.25,2.89,-2.88,-2.86,-1.44,5.37,5.36,5.36
21.23,8.31,2.92,8.31,2.93,-2.93,-2.90,-1.48,5.38,5.38,5.38
21.44,8.38,2.97,8.38,2.97,-2.97,-2.94,-1.52,5.40,5.40,5.41
21.66,8.45,3.02,8.45,3.02,-3.03,-2.99,-1.57,5.42,5.42,5.43
21.87,8.52,3.07,8.52,3.07,-3.09,-3.04,-1.62,5.44,5.44,5.45
22.09,8.60,3.14,8.60,3.14,-3.15,-3.10,-1.66,5.45,5.45,5.46
22.31,8.67,3.21,8.67,3.21,-3.22,-3.16,-1.71,5.45,5.45,5.46
22.54,8.74,3.28,8.74,3.28,-3.28,-3.21,-1.76,5.46,5.46,5.46
22.76,8.80,3.35,8.80,3.35,-3.34,-3.27,-1.82,5.46,5.46,5.45
22.99,8.86,3.41,8.86,3.41,-3.39,-3.33,-1.87,5.47,5.47,5.45
23.22,8.91,3.45,8.91,3.45,-3.43,-3.36,-1.92,5.47,5.47,5.45
23.45,8.95,3.48,8.95,3.48,-3.46,-3.40,-1.98,5.49,5.49,5.47
23.69,8.97,3.48,8.97,3.48,-3.47,-3.40,-2.04,5.50,5.50,5.49
23.92,8.99,3.47,8.99,3.47,-3.47,-3.40,-2.09,5.52,5.52,5.52
24.16,9.00,3.45,9.00,3.45,-3.45,-3.37,-2.15,5.55,5.54,5.55
24.40,8.99,3.42,8.99,3.42,-3.43,-3.34,-2.21,5.56,5.56,5.57
24.65,8.96,3.38,8.96,3.38,-3.39,-3.29,-2.27,5.58,5.57,5.58
24.89,8.93,3.34,8.92,3.34,-3.34,-3.24,-2.33,5.58,5.58,5.59
25.14,8.88,3.29,8.88,3.29,-3.29,-3.19,-2.40,5.58,5.58,5.58
25.39,8.82,3.24,8.82,3.24,-3.24,-3.13,-2.46,5.58,5.58,5.58
25.65,8.76,3.19,8.76,3.19,-3.18,-3.08,-2.52,5.58,5.58,5.58
25.91,8.71,3.12,8.71,3.12,-3.12,-3.04,-2.58,5.58,5.59,5.58
26.16,8.65,3.06,8.66,3.06,-3.06,-3.00,-2.64,5.60,5.60,5.60
26.43,8.61,2.99,8.61,2.99,-2.99,-2.96,-2.70,5.61,5.61,5.62
26.69,8.56,2.92,8.56,2.92,-2.93,-2.92,-2.76,5.63,5.63,5.63
26.96,8.50,2.86,8.50,2.86,-2.86,-2.89,-2.82,5.65,5.64,5.65
27.23,8.45,2.80,8.45,2.80,-2.79,-2.86,-2.88,5.65,5.65,5.65
27.50,8.39,2.73,8.39,2.73,-2.73,-2.83,-2.94,5.66,5.66,5.65
27.77,8.33,2.67,8.33,2.67,-2.67,-2.81,-2.99,5.66,5.66,5.65
28.05,8.28,2.62,8.28,2.62,-2.62,-2.79,-3.04,5.65,5.66,5.66
28.33,8.25,2.57,8.25,2.57,-2.58,-2.77,-3.09,5.66,5.66,5.67
28.62,8.23,2.54,8.23,2.54,-2.55,-2.75,-3.13,5.67,5.68,5.69
28.90,8.22,2.52,8.22,2.52,-2.53,-2.73,-3.17,5.69,5.69,5.71
29.19,8.23,2.51,8.23,2.51,-2.52,-2.71,-3.21,5.71,5.71,5.71
29.48,8.24,2.52,8.24,2.52,-2.52,-2.69,-3.24,5.72,5.72,5.72
29.78,8.24,2.53,8.24,2.53,-2.52,-2.67,-3.27,5.72,5.72,5.71
30.08,8.25,2.54,8.25,2.54,-2.53,-2.66,-3.30,5.72,5.72,5.71
30.38,8.26,2.55,8.26,2.55,-2.55,-2.64,-3.32,5.71,5.71,5.70
30.68,8.27,2.57,8.28,2.57,-2.57,-2.62,-3.33,5.70,5.70,5.71
30.99,8.30,2.58,8.30,2.58,-2.59,-2.61,-3.34,5.71,5.71,5.72
31.30,8.33,2.60,8.33,2.60,-2.61,-2.59,-3.34,5.72,5.72,5.73
31.61,8.36,2.63,8.36,2.63,-2.63,-2.57,-3.34,5.74,5.74,5.74
31.93,8.39,2.65,8.38,2.65,-2.64,-2.56,-3.34,5.75,5.75,5.74
32.24,8.39,2.66,8.39,2.66,-2.64,-2.54,-3.33,5.76,5.76,5.74
32.57,8.39,2.66,8.39,2.65,-2.63,-2.53,-3.31,5.76,5.76,5.73
32.89,8.37,2.63,8.37,2.63,-2.62,-2.51,-3.29,5.75,5.74,5.73
33.22,8.34,2.60,8.34,2.60,-2.61,-2.49,-3.26,5.73,5.73,5.74
33.55,8.31,2.57,8.31,2.57,-2.59,-2.48,-3.23,5.72,5.72,5.74
33.89,8.29,2.54,8.29,2.54,-2.57,-2.46,-3.20,5.72,5.73,5.75
34.23,8.28,2.52,8.28,2.52,-2.54,-2.44,-3.16,5.74,5.74,5.76
34.57,8.27,2.50,8.27,2.51,-2.51,-2.42,-3.12,5.76,5.76,5.76
34.92,8.26,2.49,8.25,2.49,-2.47,-2.41,-3.08,5.79,5.79,5.77
35.27,8.23,2.46,8.23,2.46,-2.42,-2.39,-3.03,5.80,5.80,5.77
35.62,8.18,2.41,8.18,2.41,-2.38,-2.37,-2.98,5.80,5.80,5.77
35.97,8.11,2.35,8.11,2.35,-2.33,-2.35,-2.93,5.78,5.78,5.76
36.33,8.03,2.28,8.03,2.28,-2.28,-2.33,-2.88,5.75,5.75,5.75
36.70,7.96,2.21,7.96,2.21,-2.24,-2.31,-2.83,5.72,5.72,5.75
37.06,7.90,2.16,7.91,2.16,-2.20,-2.29,-2.77,5.70,5.70,5.74
37.43,7.88,2.13,7.88,2.14,-2.18,-2.27,-2.72,5.70,5.70,5.74
37.81,7.89,2.15,7.89,2.14,-2.17,-2.26,-2.66,5.71,5.71,5.74
38.19,7.90,2.16,7.90,2.17,-2.17,-2.24,-2.61,5.73,5.73,5.74
38.57,7.93,2.20,7.93,2.19,-2.17,-2.22,-2.55,5.76,5.75,5.73
38.95,7.94,2.21,7.94,2.21,-2.18,-2.20,-2.49,5.76,5.76,5.73
39.34,7.94,2.22,7.94,2.21,-2.18,-2.18,-2.44,5.77,5.77,5.73
39.74,7.93,2.20,7.92,2.20,-2.17,-2.16,-2.39,5.76,5.76,5.73
40.14,7.89,2.16,7.89,2.16,-2.15,-2.13,-2.33,5.74,5.74,5.73
40.54,7.85,2.12,7.86,2.12,-2.13,-2.11,-2.28,5.72,5.72,5.74
