frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.77,-1.19,5.77,-1.19,1.20,1.12,0.83,6.97,6.97,6.96
20.20,5.77,-1.20,5.77,-1.20,1.20,1.16,0.85,6.98,6.98,6.98
20.40,5.77,-1.21,5.77,-1.21,1.21,1.19,0.87,6.98,6.98,6.99
20.61,5.77,-1.22,5.77,-1.22,1.21,1.22,0.90,6.99,6.99,7.00
20.81,5.77,-1.23,5.77,-1.23,1.22,1.25,0.92,7.00,7.00,7.00
21.02,5.77,-1.23,5.77,-1.23,1.23,1.27,0.95,7.00,7.00,7.01
21.23,5.77,-1.24,5.77,-1.24,1.24,1.30,0.98,7.01,7.01,7.01
21.44,5.77,-1.25,5.77,-1.25,1.25,1.32,1.01,7.02,7.02,7.02
21.66,5.77,-1.26,5.77,-1.26,1.26,1.34,1.03,7.03,7.03,7.03
21.87,5.77,-1.27,5.77,-1.27,1.27,1.36,1.06,7.04,7.04,7.04
22.09,5.76,-1.28,5.76,-1.28,1.29,1.37,1.09,7.05,7.05,7.05
22.31,5.76,-1.30,5.76,-1.30,1.30,1.39,1.12,7.06,7.06,7.06
22.54,5.76,-1.32,5.76,-1.32,1.31,1.40,1.16,7.07,7.07,7.07
22.76,5.75,-1.33,5.75,-1.33,1.33,1.40,1.19,7.08,7.08,7.08
22.99,5.75,-1.35,5.75,-1.35,1.35,1.41,1.22,7.09,7.09,7.10
23.22,5.74,-1.36,5.74,-1.36,1.36,1.41,1.26,7.10,7.10,7.11
23.45,5.74,-1.38,5.74,-1.38,1.38,1.42,1.29,7.11,7.11,7.11
23.69,5.73,-1.39,5.73,-1.39,1.39,1.42,1.33,7.12,7.12,7.12
23.92,5.72,-1.40,5.72,-1.40,1.40,1.42,1.36,7.13,7.13,7.13
24.16,5.72,-1.42,5.72,-1.42,1.42,1.43,1.40,7.14,7.14,7.13
24.40,5.71,-1.43,5.71,-1.43,1.43,1.43,1.44,7.14,7.14,7.14
24.65,5.70,-1.45,5.70,-1.45,1.45,1.44,1.48,7.15,7.15,7.15
24.89,5.69,-1.46,5.69,-1.46,1.46,1.44,1.52,7.16,7.16,7.16
25.14,5.69,-1.48,5.69,-1.48,1.48,1.45,1.55,7.17,7.17,7.16
25.39,5.68,-1.50,5.68,-1.50,1.50,1.46,1.59,7.17,7.17,7.17
25.65,5.67,-1.51,5.67,-1.51,1.51,1.47,1.63,7.18,7.18,7.18
25.91,5.66,-1.53,5.66,-1.53,1.53,1.48,1.67,7.19,7.19,7.19
26.16,5.65,-1.55,5.65,-1.55,1.54,1.50,1.71,7.19,7.19,7.19
26.43,5.64,-1.56,5.64,-1.56,1.56,1.51,1.75,7.19,7.19,7.20
26.69,5.62,-1.57,5.62,-1.57,1.57,1.53,1.79,7.20,7.20,7.20
26.96,5.61,-1.59,5.61,-1.59,1.59,1.54,1.83,7.20,7.20,7.20
27.23,5.60,-1.60,5.60,-1.60,1.60,1.56,1.87,7.20,7.20,7.20
27.50,5.59,-1.62,5.59,-1.62,1.62,1.58,1.91,7.21,7.21,7.20
27.77,5.57,-1.64,5.57,-1.64,1.64,1.60,1.95,7.21,7.21,7.21
28.05,5.56,-1.66,5.56,-1.66,1.66,1.62,1.98,7.22,7.22,7.22
