frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.56,1.07,8.56,1.07,-1.05,-1.54,-0.41,7.51,7.51,7.49
20.20,8.56,1.06,8.56,1.06,-1.06,-1.54,-0.42,7.50,7.50,7.50
20.40,8.56,1.06,8.56,1.05,-1.06,-1.53,-0.43,7.50,7.50,7.51
20.61,8.57,1.05,8.57,1.05,-1.07,-1.51,-0.44,7.50,7.50,7.52
20.81,8.58,1.05,8.58,1.05,-1.07,-1.49,-0.46,7.50,7.50,7.52
21.02,8.59,1.06,8.59,1.06,-1.08,-1.45,-0.47,7.52,7.52,7.53
21.23,8.61,1.07,8.61,1.07,-1.08,-1.41,-0.48,7.53,7.53,7.53
21.44,8.62,1.08,8.62,1.08,-1.08,-1.37,-0.50,7.55,7.55,7.54
21.66,8.64,1.09,8.64,1.09,-1.08,-1.33,-0.51,7.56,7.56,7.55
21.87,8.65,1.09,8.65,1.09,-1.08,-1.29,-0.53,7.57,7.57,7.56
22.09,8.65,1.08,8.65,1.08,-1.07,-1.25,-0.54,7.58,7.58,7.57
22.31,8.65,1.07,8.65,1.07,-1.06,-1.21,-0.56,7.59,7.59,7.58
22.54,8.65,1.05,8.65,1.05,-1.05,-1.18,-0.58,7.60,7.60,7.59
22.76,8.64,1.04,8.64,1.04,-1.04,-1.14,-0.59,7.60,7.60,7.61
22.99,8.64,1.02,8.64,1.02,-1.03,-1.11,-0.61,7.61,7.61,7.62
23.22,8.64,1.01,8.64,1.02,-1.03,-1.09,-0.63,7.61,7.62,7.63
23.45,8.65,1.01,8.65,1.02,-1.03,-1.06,-0.64,7.62,7.62,7.64
23.69,8.67,1.02,8.67,1.02,-1.03,-1.04,-0.66,7.63,7.64,7.64
23.92,8.69,1.04,8.69,1.04,-1.04,-1.02,-0.68,7.65,7.65,7.65
24.16,8.71,1.05,8.71,1.05,-1.05,-1.01,-0.70,7.66,7.66,7.66
24.40,8.73,1.07,8.73,1.07,-1.06,-0.99,-0.72,7.67,7.67,7.66
24.65,8.75,1.08,8.75,1.08,-1.07,-0.98,-0.74,7.68,7.68,7.67
24.89,8.76,1.09,8.76,1.08,-1.08,-0.97,-0.76,7.69,7.69,7.68
25.14,8.77,1.09,8.77,1.09,-1.08,-0.96,-0.78,7.69,7.69,7.69
25.39,8.78,1.09,8.78,1.09,-1.09,-0.95,-0.80,7.69,7.69,7.69
25.65,8.79,1.09,8.79,1.09,-1.09,-0.94,-0.82,7.70,7.70,7.70
25.91,8.80,1.09,8.80,1.09,-1.09,-0.94,-0.84,7.70,7.70,7.71
26.16,8.81,1.09,8.81,1.09,-1.10,-0.94,-0.86,7.71,7.71,7.72
26.43,8.82,1.10,8.82,1.10,-1.10,-0.93,-0.88,7.71,7.71,7.72
26.69,8.83,1.11,8.83,1.11,-1.11,-0.93,-0.90,7.72,7.72,7.72
26.96,8.84,1.12,8.84,1.12,-1.12,-0.93,-0.92,7.72,7.72,7.72
27.23,8.85,1.13,8.85,1.13,-1.12,-0.93,-0.93,7.73,7.73,7.72
27.50,8.86,1.13,8.86,1.13,-1.13,-0.93,-0.95,7.73,7.73,7.73
27.77,8.86,1.13,8.86,1.13,-1.12,-0.93,-0.97,7.74,7.74,7.73
28.05,8.86,1.12,8.86,1.12,-1.11,-0.93,-0.99,7.75,7.75,7.74
28.33,8.86,1.11,8.86,1.11,-1.10,-0.93,-1.01,7.76,7.76,7.75
28.62,8.86,1.09,8.86,1.09,-1.08,-0.93,-1.02,7.78,7.78,7.77
28.90,8.85,1.07,8.85,1.07,-1.06,-0.94,-1.04,7.79,7.79,7.79
29.19,8.84,1.04,8.84,1.04,-1.04,-0.94,-1.05,7.80,7.80,7.80
29.48,8.83,1.02,8.83,1.02,-1.02,-0.94,-1.06,7.81,7.81,7.82
29.78,8.82,1.00,8.82,1.00,-1.01,-0.95,-1.08,7.81,7.81,7.83
30.08,8.82,0.99,8.82,0.99,-1.01,-0.95,-1.09,7.81,7.81,7.83
30.38,8.82,0.99,8.82,0.99,-1.01,-0.95,-1.10,7.81,7.81,7.83
30.68,8.83,1.01,8.83,1.01,-1.02,-0.96,-1.10,7.81,7.82,7.83
30.99,8.85,1.03,8.85,1.03,-1.03,-0.96,-1.11,7.82,7.82,7.82
31.30,8.87,1.05,8.87,1.05,-1.04,-0.97,-1.12,7.83,7.83,7.81
31.61,8.88,1.07,8.88,1.07,-1.04,-0.97,-1.12,7.84,7.84,7.81
31.93,8.88,1.07,8.88,1.07,-1.04,-0.98,-1.12,7.84,7.84,7.82
32.24,8.88,1.06,8.88,1.05,-1.04,-0.98,-1.13,7.83,7.83,7.82
32.57,8.87,1.04,8.87,1.04,-1.04,-0.99,-1.13,7.83,7.83,7.83
32.89,8.85,1.02,8.85,1.02,-1.03,-0.99,-1.13,7.82,7.82,7.84
33.22,8.84,1.01,8.85,1.01,-1.03,-1.00,-1.13,7.82,7.82,7.84
33.55,8.84,1.01,8.84,1.01,-1.03,-1.00,-1.12,7.81,7.82,7.83
33.89,8.84,1.02,8.84,1.02,-1.03,-1.01,-1.12,7.82,7.82,7.82
34.23,8.85,1.03,8.85,1.03,-1.03,-1.01,-1.12,7.82,7.82,7.82
34.57,8.86,1.05,8.86,1.04,-1.03,-1.01,-1.11,7.82,7.82,7.81
34.92,8.86,1.05,8.86,1.05,-1.04,-1.02,-1.11,7.82,7.82,7.81
35.27,8.86,1.05,8.86,1.05,-1.04,-1.02,-1.10,7.82,7.82,7.81
35.62,8.86,1.05,8.86,1.05,-1.04,-1.03,-1.09,7.82,7.82,7.81
35.97,8.85,1.04,8.85,1.04,-1.04,-1.03,-1.09,7.81,7.81,7.81
36.33,8.85,1.03,8.85,1.03,-1.04,-1.04,-1.08,7.82,7.82,7.82
36.70,8.85,1.03,8.85,1.03,-1.03,-1.04,-1.07,7.82,7.82,7.82
37.06,8.85,1.02,8.85,1.02,-1.03,-1.05,-1.07,7.82,7.82,7.82
37.43,8.85,1.02,8.85,1.02,-1.03,-1.05,-1.06,7.82,7.82,7.83
37.81,8.85,1.03,8.85,1.02,-1.03,-1.06,-1.05,7.82,7.82,7.83
38.19,8.86,1.03,8.86,1.03,-1.04,-1.06,-1.04,7.82,7.82,7.83
38.57,8.86,1.04,8.86,1.04,-1.04,-1.06,-1.04,7.82,7.82,7.82
38.95,8.86,1.05,8.86,1.05,-1.05,-1.07,-1.03,7.81,7.81,7.81
39.34,8.86,1.06,8.86,1.06,-1.05,-1.07,-1.02,7.81,7.81,7.80
39.74,8.86,1.06,8.86,1.06,-1.06,-1.08,-1.02,7.80,7.80,7.79
40.14,8.85,1.06,8.85,1.06,-1.06,-1.08,-1.01,7.79,7.79,7.79
40.54,8.84,1.05,8.84,1.06,-1.06,-1.08,-1.01,7.79,7.79,7.79
40.94,8.84,1.05,8.84,1.05,-1.06,-1.09,-1.01,7.78,7.78,7.78
41.35,8.83,1.05,8.83,1.05,-1.05,-1.09,-1.00,7.78,7.78,7.78
41.76,8.83,1.05,8.83,1.05,-1.05,-1.09,-1.00,7.77,7.77,7.77
42.18,8.82,1.05,8.82,1.05,-1.05,-1.10,-1.00,7.77,7.77,7.77
42.60,8.82,1.05,8.82,1.05,-1.06,-1.10,-1.00,7.77,7.77,7.77
43.03,8.82,1.06,8.82,1.06,-1.06,-1.10,-1.00,7.77,7.76,7.77
43.46,8.82,1.06,8.82,1.06,-1.06,-1.10,-1.00,7.76,7.76,7.76
43.90,8.82,1.07,8.82,1.07,-1.07,-1.11,-1.00,7.75,7.75,7.75
44.33,8.81,1.08,8.81,1.07,-1.07,-1.11,-1.00,7.75,7.75,7.74
44.78,8.81,1.07,8.81,1.07,-1.07,-1.11,-1.00,7.74,7.74,7.73
45.23,8.80,1.07,8.80,1.07,-1.07,-1.11,-1.01,7.73,7.73,7.73
45.68,8.79,1.07,8.79,1.07,-1.07,-1.11,-1.01,7.72,7.72,7.72
46.13,8.78,1.07,8.78,1.07,-1.07,-1.11,-1.02,7.71,7.71,7.71
46.60,8.77,1.07,8.77,1.07,-1.07,-1.11,-1.02,7.70,7.70,7.70
47.06,8.77,1.07,8.77,1.07,-1.08,-1.12,-1.03,7.69,7.69,7.69
47.53,8.76,1.08,8.76,1.08,-1.08,-1.12,-1.03,7.68,7.68,7.68
48.01,8.75,1.08,8.75,1.08,-1.08,-1.12,-1.04,7.67,7.67,7.67
48.49,8.74,1.08,8.74,1.08,-1.08,-1.12,-1.05,7.66,7.66,7.66
48.97,8.73,1.08,8.73,1.08,-1.08,-1.12,-1.06,7.65,7.65,7.65
