frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.91,-6.48,1.91,-6.50,5.98,6.07,2.05,7.89,7.89,8.39
20.20,1.98,-6.45,1.98,-6.45,5.99,6.05,2.11,7.98,7.98,8.44
20.40,2.06,-6.43,2.06,-6.40,6.00,6.03,2.17,8.06,8.06,8.49
20.61,2.13,-6.35,2.13,-6.35,6.01,6.01,2.24,8.14,8.14,8.49
20.81,2.21,-6.28,2.21,-6.30,6.01,6.00,2.30,8.22,8.22,8.49
21.02,2.28,-6.24,2.28,-6.25,6.01,5.98,2.37,8.30,8.30,8.53
21.23,2.36,-6.23,2.36,-6.20,6.01,5.97,2.44,8.37,8.37,8.59
21.44,2.43,-6.16,2.43,-6.17,6.01,5.97,2.51,8.44,8.44,8.59
21.66,2.50,-6.11,2.50,-6.13,6.01,5.97,2.59,8.51,8.51,8.61
21.87,2.57,-6.11,2.57,-6.08,6.01,5.96,2.66,8.58,8.58,8.68
22.09,2.64,-6.05,2.64,-6.06,6.00,5.96,2.74,8.64,8.64,8.69
22.31,2.71,-6.02,2.71,-6.03,5.98,5.95,2.82,8.69,8.69,8.72
22.54,2.77,-6.01,2.77,-5.99,5.95,5.94,2.91,8.73,8.73,8.79
22.76,2.84,-5.95,2.84,-5.95,5.92,5.92,2.99,8.76,8.76,8.79
22.99,2.91,-5.88,2.91,-5.89,5.87,5.89,3.08,8.78,8.78,8.79
23.22,2.97,-5.81,2.97,-5.81,5.82,5.86,3.17,8.80,8.80,8.79
23.45,3.04,-5.75,3.04,-5.75,5.77,5.83,3.26,8.81,8.81,8.79
23.69,3.10,-5.69,3.10,-5.70,5.72,5.79,3.35,8.82,8.82,8.79
23.92,3.16,-5.65,3.16,-5.66,5.67,5.75,3.45,8.84,8.84,8.82
24.16,3.23,-5.65,3.23,-5.63,5.64,5.71,3.54,8.86,8.86,8.88
24.40,3.29,-5.60,3.29,-5.60,5.61,5.66,3.64,8.90,8.90,8.89
24.65,3.35,-5.57,3.35,-5.58,5.60,5.61,3.74,8.95,8.95,8.92
24.89,3.42,-5.57,3.42,-5.57,5.59,5.57,3.84,9.00,9.00,8.99
25.14,3.48,-5.57,3.48,-5.57,5.57,5.52,3.94,9.05,9.05,9.05
25.39,3.54,-5.58,3.54,-5.58,5.55,5.47,4.04,9.10,9.10,9.12
25.65,3.61,-5.58,3.61,-5.56,5.53,5.41,4.14,9.14,9.14,9.19
25.91,3.67,-5.52,3.67,-5.52,5.50,5.36,4.24,9.17,9.17,9.19
26.16,3.73,-5.45,3.74,-5.46,5.46,5.30,4.35,9.19,9.19,9.19
26.43,3.80,-5.39,3.80,-5.39,5.40,5.25,4.45,9.20,9.20,9.19
26.69,3.86,-5.32,3.86,-5.32,5.34,5.19,4.55,9.20,9.20,9.19
26.96,3.93,-5.26,3.93,-5.26,5.27,5.13,4.64,9.19,9.19,9.19
27.23,3.99,-5.19,3.99,-5.19,5.18,5.07,4.74,9.18,9.18,9.19
27.50,4.06,-5.13,4.06,-5.11,5.09,5.01,4.83,9.15,9.15,9.19
27.77,4.13,-5.01,4.13,-5.01,5.00,4.95,4.92,9.13,9.13,9.13
28.05,4.19,-4.90,4.19,-4.91,4.91,4.89,5.00,9.10,9.10,9.09
28.33,4.26,-4.83,4.26,-4.81,4.81,4.83,5.08,9.07,9.07,9.09
28.62,4.32,-4.71,4.32,-4.71,4.72,4.77,5.15,9.04,9.04,9.03
28.90,4.39,-4.60,4.39,-4.62,4.63,4.70,5.22,9.02,9.02,8.99
