frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.82,-4.95,1.82,-4.97,4.97,2.50,1.86,6.79,6.79,6.77
20.20,1.88,-4.94,1.88,-4.94,4.94,2.51,1.92,6.81,6.81,6.82
20.40,1.94,-4.94,1.94,-4.91,4.90,2.52,1.97,6.84,6.84,6.87
20.61,2.00,-4.88,2.00,-4.88,4.87,2.53,2.03,6.87,6.87,6.87
20.81,2.06,-4.82,2.06,-4.84,4.84,2.53,2.09,6.90,6.90,6.87
21.02,2.12,-4.80,2.12,-4.80,4.81,2.54,2.15,6.92,6.92,6.91
21.23,2.17,-4.80,2.17,-4.77,4.78,2.55,2.22,6.96,6.96,6.97
21.44,2.23,-4.74,2.23,-4.75,4.75,2.56,2.28,6.99,6.99,6.97
21.66,2.29,-4.70,2.29,-4.72,4.73,2.57,2.35,7.02,7.02,6.99
21.87,2.35,-4.72,2.35,-4.69,4.71,2.57,2.42,7.06,7.06,7.06
22.09,2.40,-4.67,2.40,-4.68,4.68,2.58,2.49,7.09,7.09,7.07
22.31,2.46,-4.65,2.46,-4.67,4.66,2.59,2.56,7.11,7.11,7.11
22.54,2.51,-4.66,2.51,-4.64,4.62,2.60,2.64,7.13,7.13,7.17
22.76,2.56,-4.61,2.56,-4.61,4.59,2.60,2.71,7.15,7.15,7.17
22.99,2.61,-4.56,2.61,-4.57,4.55,2.61,2.79,7.16,7.16,7.17
23.22,2.66,-4.51,2.66,-4.51,4.51,2.62,2.87,7.18,7.18,7.17
23.45,2.71,-4.46,2.71,-4.45,4.47,2.62,2.96,7.19,7.19,7.17
23.69,2.77,-4.41,2.77,-4.42,4.43,2.63,3.04,7.20,7.20,7.17
23.92,2.82,-4.39,2.82,-4.39,4.40,2.64,3.13,7.22,7.22,7.20
24.16,2.87,-4.40,2.87,-4.37,4.38,2.64,3.21,7.25,7.25,7.26
24.40,2.92,-4.35,2.92,-4.36,4.37,2.65,3.30,7.29,7.29,7.27
24.65,2.97,-4.34,2.97,-4.35,4.37,2.66,3.39,7.34,7.34,7.31
24.89,3.02,-4.35,3.02,-4.35,4.37,2.66,3.48,7.39,7.39,7.37
25.14,3.07,-4.37,3.07,-4.37,4.37,2.67,3.57,7.44,7.44,7.43
25.39,3.12,-4.39,3.12,-4.39,4.37,2.67,3.66,7.48,7.48,7.51
25.65,3.17,-4.41,3.17,-4.39,4.36,2.68,3.76,7.52,7.52,7.57
25.91,3.21,-4.36,3.21,-4.36,4.34,2.69,3.85,7.55,7.55,7.57
26.16,3.26,-4.31,3.26,-4.32,4.31,2.69,3.94,7.58,7.58,7.57
26.43,3.31,-4.26,3.31,-4.26,4.28,2.70,4.03,7.59,7.59,7.57
26.69,3.36,-4.22,3.36,-4.22,4.23,2.70,4.12,7.59,7.59,7.57
26.96,3.41,-4.17,3.41,-4.17,4.17,2.71,4.21,7.58,7.58,7.57
27.23,3.45,-4.12,3.45,-4.12,4.11,2.71,4.29,7.56,7.56,7.57
27.50,3.50,-4.07,3.50,-4.05,4.04,2.72,4.37,7.54,7.54,7.57
27.77,3.55,-3.97,3.55,-3.98,3.97,2.72,4.45,7.51,7.51,7.52
28.05,3.59,-3.88,3.59,-3.90,3.89,2.73,4.53,7.49,7.49,7.47
