frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.15,1.07,8.15,1.06,-1.06,-1.10,-0.49,7.09,7.09,7.08
20.20,8.18,1.04,8.18,1.05,-1.05,-1.12,-0.50,7.12,7.12,7.13
20.40,8.20,1.02,8.20,1.05,-1.05,-1.14,-0.52,7.15,7.15,7.18
20.61,8.23,1.04,8.22,1.04,-1.04,-1.13,-0.53,7.18,7.18,7.18
20.81,8.24,1.06,8.24,1.04,-1.04,-1.13,-0.55,7.21,7.21,7.18
21.02,8.26,1.04,8.26,1.04,-1.03,-1.11,-0.57,7.23,7.23,7.22
21.23,8.28,1.00,8.28,1.03,-1.02,-1.09,-0.58,7.26,7.26,7.28
21.44,8.31,1.02,8.31,1.01,-1.02,-1.07,-0.60,7.29,7.29,7.28
21.66,8.33,1.03,8.33,1.01,-1.00,-1.04,-0.62,7.33,7.33,7.30
21.87,8.35,0.98,8.35,1.01,-0.99,-1.02,-0.64,7.36,7.36,7.37
22.09,8.38,1.00,8.38,0.99,-0.98,-1.00,-0.66,7.39,7.39,7.38
22.31,8.40,0.98,8.40,0.97,-0.98,-0.98,-0.68,7.42,7.42,7.42
22.54,8.43,0.94,8.43,0.96,-0.98,-0.96,-0.70,7.44,7.44,7.48
22.76,8.45,0.96,8.45,0.96,-0.99,-0.95,-0.72,7.46,7.46,7.48
22.99,8.47,0.98,8.47,0.98,-0.99,-0.94,-0.74,7.47,7.47,7.48
23.22,8.49,1.00,8.49,1.01,-1.00,-0.93,-0.76,7.48,7.48,7.48
23.45,8.51,1.02,8.51,1.03,-1.01,-0.92,-0.79,7.50,7.50,7.48
23.69,8.52,1.04,8.52,1.03,-1.01,-0.91,-0.81,7.51,7.51,7.48
23.92,8.54,1.03,8.54,1.02,-1.01,-0.91,-0.83,7.53,7.53,7.51
24.16,8.55,0.98,8.55,1.00,-0.99,-0.91,-0.86,7.56,7.56,7.57
24.40,8.57,0.98,8.57,0.98,-0.97,-0.91,-0.88,7.60,7.60,7.58
24.65,8.58,0.96,8.58,0.95,-0.93,-0.91,-0.90,7.65,7.65,7.62
24.89,8.59,0.91,8.59,0.91,-0.89,-0.91,-0.93,7.70,7.70,7.68
25.14,8.60,0.86,8.60,0.85,-0.86,-0.91,-0.95,7.74,7.74,7.74
25.39,8.61,0.80,8.62,0.80,-0.83,-0.91,-0.98,7.79,7.79,7.81
25.65,8.63,0.75,8.63,0.77,-0.80,-0.91,-1.00,7.83,7.83,7.88
25.91,8.65,0.76,8.65,0.76,-0.78,-0.91,-1.03,7.86,7.86,7.88
26.16,8.66,0.78,8.66,0.77,-0.77,-0.92,-1.05,7.89,7.89,7.88
26.43,8.68,0.80,8.68,0.80,-0.78,-0.92,-1.08,7.90,7.90,7.88
26.69,8.69,0.81,8.69,0.81,-0.79,-0.92,-1.10,7.90,7.90,7.88
26.96,8.71,0.82,8.71,0.82,-0.82,-0.93,-1.12,7.88,7.88,7.88
27.23,8.72,0.84,8.72,0.84,-0.86,-0.93,-1.14,7.86,7.86,7.88
27.50,8.74,0.86,8.74,0.88,-0.90,-0.93,-1.17,7.84,7.84,7.88
27.77,8.76,0.94,8.76,0.93,-0.95,-0.94,-1.19,7.82,7.82,7.83
28.05,8.79,1.01,8.79,0.99,-0.99,-0.94,-1.21,7.80,7.80,7.78
28.33,8.81,1.03,8.81,1.05,-1.03,-0.94,-1.23,7.78,7.78,7.78
28.62,8.83,1.10,8.82,1.10,-1.07,-0.94,-1.24,7.75,7.75,7.73
28.90,8.83,1.15,8.83,1.13,-1.10,-0.95,-1.26,7.73,7.73,7.68
29.19,8.83,1.15,8.83,1.15,-1.13,-0.95,-1.27,7.70,7.70,7.68
29.48,8.82,1.14,8.82,1.14,-1.14,-0.95,-1.28,7.68,7.68,7.68
29.78,8.81,1.13,8.81,1.13,-1.15,-0.95,-1.30,7.66,7.66,7.68
30.08,8.80,1.12,8.81,1.13,-1.14,-0.95,-1.30,7.66,7.66,7.68
30.38,8.81,1.13,8.81,1.13,-1.13,-0.95,-1.31,7.67,7.68,7.68
30.68,8.81,1.13,8.81,1.13,-1.12,-0.95,-1.31,7.69,7.69,7.68
30.99,8.81,1.13,8.81,1.13,-1.11,-0.95,-1.32,7.70,7.70,7.68
31.30,8.79,1.11,8.79,1.11,-1.10,-0.95,-1.32,7.70,7.70,7.68
31.61,8.77,1.09,8.77,1.08,-1.09,-0.95,-1.32,7.68,7.67,7.68
31.93,8.73,1.05,8.74,1.06,-1.09,-0.95,-1.31,7.65,7.65,7.68
32.24,8.71,1.03,8.71,1.06,-1.08,-0.95,-1.31,7.63,7.63,7.68
32.57,8.70,1.07,8.70,1.06,-1.08,-0.95,-1.30,7.62,7.63,7.63
32.89,8.71,1.10,8.71,1.07,-1.06,-0.95,-1.29,7.65,7.65,7.61
33.22,8.72,1.04,8.72,1.08,-1.03,-0.94,-1.27,7.69,7.69,7.68
33.55,8.74,1.06,8.74,1.05,-1.00,-0.94,-1.26,7.74,7.73,7.68
33.89,8.74,1.02,8.74,1.00,-0.97,-0.94,-1.25,7.77,7.77,7.72
34.23,8.73,0.94,8.73,0.94,-0.93,-0.93,-1.23,7.80,7.80,7.79
34.57,8.71,0.85,8.71,0.86,-0.89,-0.93,-1.21,7.82,7.82,7.86
34.92,8.68,0.80,8.68,0.81,-0.85,-0.93,-1.19,7.83,7.83,7.88
35.27,8.67,0.79,8.67,0.78,-0.82,-0.92,-1.17,7.85,7.85,7.88
35.62,8.67,0.78,8.67,0.78,-0.79,-0.91,-1.15,7.87,7.87,7.88
35.97,8.67,0.79,8.67,0.78,-0.78,-0.91,-1.12,7.89,7.89,7.88
36.33,8.67,0.79,8.67,0.78,-0.78,-0.90,-1.10,7.89,7.88,7.88
36.70,8.66,0.77,8.65,0.79,-0.79,-0.89,-1.08,7.87,7.87,7.88
37.06,8.64,0.81,8.64,0.81,-0.80,-0.89,-1.05,7.84,7.84,7.83
37.43,8.61,0.83,8.62,0.82,-0.80,-0.88,-1.03,7.82,7.82,7.78
