frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.24,-6.21,-0.24,-6.21,5.99,5.84,2.42,5.75,5.75,5.98
20.20,-0.18,-6.17,-0.18,-6.17,6.00,5.90,2.49,5.82,5.82,5.99
20.40,-0.13,-6.14,-0.13,-6.14,6.01,5.95,2.57,5.88,5.88,6.01
20.61,-0.08,-6.11,-0.08,-6.11,6.01,6.00,2.64,5.94,5.93,6.03
20.81,-0.03,-6.08,-0.03,-6.08,6.01,6.04,2.71,5.98,5.98,6.05
21.02,0.01,-6.05,0.01,-6.05,6.01,6.06,2.79,6.02,6.02,6.06
21.23,0.05,-6.03,0.05,-6.03,6.00,6.07,2.87,6.04,6.04,6.08
21.44,0.08,-6.00,0.08,-6.00,5.98,6.06,2.96,6.06,6.06,6.08
21.66,0.12,-5.97,0.12,-5.97,5.96,6.04,3.04,6.07,6.07,6.09
21.87,0.15,-5.94,0.15,-5.94,5.93,6.00,3.13,6.08,6.08,6.09
22.09,0.19,-5.90,0.19,-5.90,5.90,5.95,3.22,6.09,6.09,6.09
22.31,0.23,-5.86,0.23,-5.86,5.86,5.90,3.31,6.09,6.09,6.09
22.54,0.27,-5.82,0.27,-5.82,5.83,5.85,3.40,6.09,6.09,6.09
22.76,0.31,-5.78,0.31,-5.78,5.79,5.80,3.50,6.10,6.10,6.09
22.99,0.35,-5.74,0.35,-5.74,5.75,5.76,3.60,6.11,6.11,6.10
23.22,0.39,-5.71,0.39,-5.71,5.72,5.72,3.70,6.12,6.11,6.11
23.45,0.43,-5.69,0.43,-5.69,5.70,5.67,3.81,6.12,6.12,6.12
23.69,0.46,-5.67,0.46,-5.67,5.67,5.64,3.91,6.13,6.13,6.13
23.92,0.49,-5.65,0.49,-5.65,5.65,5.61,4.02,6.14,6.14,6.15
24.16,0.53,-5.63,0.53,-5.63,5.62,5.58,4.13,6.15,6.15,6.16
24.40,0.56,-5.60,0.56,-5.60,5.60,5.55,4.24,6.15,6.15,6.16
24.65,0.59,-5.58,0.59,-5.58,5.57,5.53,4.36,6.15,6.15,6.16
24.89,0.62,-5.54,0.62,-5.54,5.53,5.51,4.47,6.15,6.15,6.16
25.14,0.65,-5.50,0.65,-5.50,5.50,5.49,4.59,6.15,6.15,6.15
25.39,0.68,-5.46,0.68,-5.46,5.47,5.47,4.71,6.14,6.14,6.14
25.65,0.70,-5.43,0.70,-5.43,5.44,5.45,4.82,6.14,6.14,6.13
25.91,0.73,-5.40,0.73,-5.40,5.41,5.43,4.94,6.14,6.14,6.13
26.16,0.75,-5.38,0.75,-5.38,5.39,5.41,5.06,6.14,6.14,6.13
26.43,0.77,-5.37,0.77,-5.37,5.37,5.40,5.18,6.15,6.15,6.14
26.69,0.80,-5.36,0.80,-5.36,5.36,5.38,5.29,6.16,6.16,6.16
26.96,0.82,-5.36,0.82,-5.36,5.35,5.37,5.41,6.17,6.17,6.18
27.23,0.85,-5.35,0.85,-5.35,5.34,5.35,5.52,6.19,6.19,6.20
27.50,0.88,-5.34,0.88,-5.34,5.33,5.34,5.63,6.21,6.21,6.22
27.77,0.91,-5.33,0.91,-5.33,5.32,5.33,5.74,6.23,6.23,6.24
28.05,0.94,-5.31,0.94,-5.31,5.31,5.31,5.84,6.24,6.24,6.25
28.33,0.97,-5.29,0.97,-5.29,5.29,5.30,5.94,6.26,6.25,6.25
28.62,0.99,-5.26,0.99,-5.27,5.27,5.28,6.03,6.26,6.26,6.26
28.90,1.02,-5.24,1.02,-5.24,5.25,5.27,6.12,6.27,6.27,6.26
29.19,1.04,-5.23,1.04,-5.23,5.23,5.25,6.20,6.27,6.27,6.27
29.48,1.06,-5.21,1.06,-5.21,5.22,5.24,6.27,6.28,6.28,6.27
29.78,1.09,-5.20,1.09,-5.20,5.20,5.23,6.34,6.29,6.29,6.29
30.08,1.12,-5.19,1.12,-5.19,5.18,5.21,6.39,6.30,6.30,6.30
30.38,1.15,-5.17,1.15,-5.17,5.17,5.20,6.44,6.31,6.31,6.32
