frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.71,-2.40,6.71,-2.38,2.34,2.06,0.89,9.05,9.04,9.11
20.20,6.79,-2.38,6.79,-2.39,2.38,2.14,0.91,9.17,9.17,9.16
20.40,6.85,-2.39,6.86,-2.41,2.43,2.22,0.94,9.28,9.28,9.25
20.61,6.91,-2.40,6.91,-2.43,2.47,2.32,0.97,9.38,9.38,9.32
20.81,6.95,-2.50,6.95,-2.48,2.51,2.41,1.00,9.45,9.45,9.45
21.02,6.97,-2.54,6.97,-2.52,2.54,2.51,1.03,9.51,9.51,9.51
21.23,6.98,-2.54,6.98,-2.56,2.58,2.60,1.06,9.56,9.56,9.52
21.44,6.98,-2.59,6.98,-2.61,2.61,2.69,1.09,9.59,9.59,9.57
21.66,6.97,-2.66,6.97,-2.66,2.65,2.77,1.12,9.63,9.63,9.63
21.87,6.97,-2.73,6.97,-2.70,2.69,2.81,1.16,9.66,9.67,9.70
22.09,6.99,-2.72,6.99,-2.73,2.72,2.85,1.19,9.71,9.71,9.71
22.31,7.02,-2.73,7.02,-2.74,2.74,2.84,1.23,9.76,9.76,9.75
22.54,7.07,-2.75,7.07,-2.75,2.74,2.82,1.26,9.81,9.81,9.82
22.76,7.14,-2.76,7.14,-2.76,2.74,2.76,1.30,9.88,9.88,9.90
22.99,7.22,-2.74,7.22,-2.74,2.73,2.71,1.34,9.94,9.94,9.96
23.22,7.30,-2.72,7.29,-2.70,2.71,2.63,1.38,10.01,10.01,10.01
23.45,7.37,-2.64,7.37,-2.67,2.70,2.56,1.42,10.06,10.06,10.01
23.69,7.43,-2.65,7.43,-2.64,2.68,2.49,1.46,10.10,10.10,10.07
23.92,7.47,-2.64,7.47,-2.63,2.65,2.42,1.50,10.12,10.12,10.11
24.16,7.50,-2.61,7.50,-2.62,2.62,2.36,1.54,10.12,10.12,10.11
24.40,7.51,-2.60,7.51,-2.60,2.57,2.30,1.58,10.09,10.08,10.11
24.65,7.51,-2.56,7.51,-2.56,2.52,2.26,1.63,10.03,10.03,10.07
24.89,7.51,-2.50,7.51,-2.49,2.45,2.21,1.67,9.96,9.96,10.01
25.14,7.51,-2.38,7.51,-2.39,2.36,2.17,1.71,9.87,9.87,9.89
25.39,7.51,-2.27,7.51,-2.28,2.27,2.14,1.76,9.78,9.78,9.78
25.65,7.52,-2.17,7.52,-2.15,2.18,2.11,1.80,9.70,9.70,9.69
25.91,7.54,-2.02,7.54,-2.04,2.08,2.09,1.85,9.62,9.62,9.56
26.16,7.57,-1.95,7.57,-1.96,1.99,2.06,1.89,9.55,9.55,9.51
26.43,7.61,-1.90,7.61,-1.89,1.90,2.04,1.93,9.51,9.51,9.51
26.69,7.67,-1.84,7.67,-1.84,1.81,2.03,1.98,9.48,9.48,9.51
26.96,7.73,-1.78,7.73,-1.78,1.75,2.01,2.02,9.48,9.48,9.51
27.23,7.80,-1.71,7.80,-1.71,1.70,1.99,2.06,9.49,9.49,9.51
27.50,7.86,-1.65,7.86,-1.64,1.66,1.98,2.10,9.52,9.52,9.51
27.77,7.92,-1.60,7.92,-1.60,1.63,1.97,2.14,9.55,9.55,9.51
28.05,7.96,-1.57,7.95,-1.59,1.62,1.95,2.18,9.58,9.57,9.52
28.33,7.98,-1.62,7.98,-1.59,1.62,1.94,2.21,9.59,9.59,9.59
28.62,7.99,-1.62,7.99,-1.63,1.63,1.93,2.24,9.62,9.62,9.61
28.90,7.99,-1.65,7.99,-1.67,1.66,1.91,2.27,9.64,9.64,9.64
29.19,7.98,-1.73,7.98,-1.70,1.69,1.90,2.30,9.67,9.67,9.71
29.48,7.98,-1.73,7.98,-1.75,1.73,1.89,2.33,9.71,9.71,9.71
29.78,7.98,-1.77,7.98,-1.78,1.77,1.87,2.35,9.75,9.75,9.76
30.08,7.98,-1.83,7.99,-1.80,1.81,1.86,2.37,9.79,9.79,9.81
30.38,7.99,-1.82,7.99,-1.84,1.85,1.84,2.39,9.84,9.84,9.81
30.68,7.99,-1.86,7.99,-1.87,1.88,1.83,2.40,9.88,9.88,9.86
30.99,7.99,-1.92,7.99,-1.90,1.92,1.81,2.41,9.91,9.91,9.91
31.30,7.99,-1.92,7.99,-1.94,1.94,1.80,2.41,9.94,9.94,9.91
31.61,8.00,-1.97,8.00,-1.97,1.96,1.78,2.42,9.96,9.96,9.96
31.93,8.01,-2.00,8.01,-1.98,1.97,1.76,2.42,9.98,9.98,10.01
32.24,8.04,-1.98,8.04,-1.98,1.96,1.74,2.41,10.00,10.00,10.01
32.57,8.07,-1.94,8.07,-1.95,1.93,1.72,2.41,10.00,10.00,10.01
32.89,8.11,-1.90,8.11,-1.90,1.88,1.70,2.40,9.99,9.99,10.01
33.22,8.15,-1.86,8.15,-1.84,1.81,1.68,2.38,9.96,9.96,10.01
33.55,8.19,-1.75,8.19,-1.75,1.73,1.65,2.37,9.92,9.92,9.94
33.89,8.23,-1.65,8.23,-1.65,1.64,1.63,2.35,9.87,9.87,9.87
34.23,8.27,-1.54,8.27,-1.53,1.56,1.60,2.33,9.83,9.83,9.81
34.57,8.31,-1.43,8.31,-1.43,1.48,1.58,2.31,9.79,9.79,9.74
34.92,8.35,-1.36,8.35,-1.37,1.41,1.55,2.28,9.76,9.76,9.71
35.27,8.40,-1.33,8.40,-1.34,1.36,1.52,2.26,9.75,9.75,9.72
35.62,8.44,-1.36,8.44,-1.34,1.32,1.49,2.23,9.76,9.76,9.80
35.97,8.47,-1.34,8.47,-1.33,1.31,1.46,2.20,9.79,9.78,9.81
36.33,8.50,-1.31,8.50,-1.31,1.32,1.44,2.17,9.82,9.82,9.81
36.70,8.52,-1.29,8.52,-1.31,1.34,1.41,2.14,9.86,9.86,9.81
37.06,8.53,-1.33,8.53,-1.34,1.37,1.38,2.11,9.90,9.90,9.86
37.43,8.54,-1.40,8.54,-1.39,1.39,1.36,2.08,9.93,9.93,9.93
37.81,8.54,-1.46,8.54,-1.44,1.41,1.33,2.05,9.95,9.95,10.00
38.19,8.54,-1.47,8.54,-1.47,1.43,1.31,2.01,9.96,9.97,10.01
38.57,8.55,-1.47,8.55,-1.47,1.44,1.29,1.98,9.98,9.98,10.01
38.95,8.56,-1.45,8.56,-1.45,1.44,1.27,1.95,10.01,10.01,10.01
39.34,8.59,-1.43,8.59,-1.43,1.44,1.25,1.92,10.03,10.03,10.01
39.74,8.61,-1.40,8.61,-1.40,1.43,1.24,1.89,10.04,10.04,10.01
40.14,8.63,-1.39,8.62,-1.39,1.41,1.23,1.86,10.04,10.03,10.01
40.54,8.63,-1.38,8.63,-1.39,1.39,1.22,1.84,10.02,10.02,10.01
40.94,8.63,-1.38,8.63,-1.38,1.37,1.22,1.81,10.00,10.00,10.01
41.35,8.62,-1.38,8.62,-1.36,1.35,1.22,1.78,9.97,9.97,10.00
41.76,8.62,-1.31,8.62,-1.33,1.32,1.22,1.76,9.94,9.94,9.93
42.18,8.63,-1.28,8.63,-1.30,1.29,1.22,1.74,9.91,9.91,9.91
42.60,8.64,-1.27,8.64,-1.27,1.25,1.23,1.71,9.89,9.89,9.91
43.03,8.66,-1.25,8.66,-1.23,1.21,1.23,1.69,9.87,9.87,9.91
43.46,8.67,-1.18,8.68,-1.18,1.18,1.24,1.67,9.85,9.85,9.85
43.90,8.69,-1.12,8.69,-1.13,1.16,1.25,1.65,9.85,9.85,9.81
44.33,8.71,-1.10,8.71,-1.09,1.15,1.26,1.64,9.86,9.86,9.81
44.78,8.72,-1.10,8.71,-1.11,1.16,1.27,1.62,9.87,9.87,9.81
45.23,8.71,-1.13,8.71,-1.15,1.17,1.28,1.60,9.88,9.88,9.84
45.68,8.69,-1.22,8.69,-1.20,1.18,1.28,1.59,9.87,9.87,9.91
46.13,8.66,-1.25,8.66,-1.25,1.20,1.29,1.58,9.86,9.86,9.91
46.60,8.64,-1.28,8.64,-1.27,1.21,1.30,1.57,9.85,9.85,9.91
47.06,8.62,-1.28,8.62,-1.26,1.23,1.31,1.56,9.85,9.85,9.90
47.53,8.61,-1.22,8.61,-1.24,1.24,1.32,1.55,9.86,9.86,9.84
48.01,8.61,-1.21,8.60,-1.22,1.25,1.32,1.54,9.86,9.86,9.81
48.49,8.59,-1.22,8.59,-1.22,1.26,1.33,1.54,9.85,9.85,9.81
48.97,8.57,-1.24,8.57,-1.24,1.27,1.33,1.53,9.84,9.84,9.81
49.46,8.54,-1.27,8.55,-1.28,1.29,1.34,1.53,9.83,9.83,9.81
49.96,8.53,-1.31,8.53,-1.32,1.31,1.34,1.52,9.84,9.84,9.83
50.46,8.53,-1.38,8.53,-1.36,1.33,1.35,1.52,9.86,9.86,9.91
50.96,8.53,-1.38,8.53,-1.38,1.35,1.35,1.52,9.88,9.88,9.91
51.47,8.54,-1.37,8.54,-1.38,1.36,1.35,1.52,9.90,9.90,9.91
51.99,8.56,-1.35,8.56,-1.36,1.35,1.36,1.52,9.91,9.91,9.91
52.51,8.57,-1.34,8.57,-1.34,1.33,1.36,1.52,9.90,9.90,9.91
53.03,8.59,-1.32,8.60,-1.32,1.29,1.36,1.52,9.88,9.89,9.91
53.56,8.63,-1.28,8.63,-1.29,1.25,1.36,1.52,9.88,9.88,9.91
54.10,8.67,-1.25,8.67,-1.23,1.22,1.37,1.52,9.89,9.89,9.91
54.64,8.70,-1.17,8.70,-1.16,1.21,1.37,1.52,9.91,9.90,9.87
55.18,8.71,-1.10,8.71,-1.12,1.20,1.37,1.52,9.92,9.91,9.81
55.74,8.69,-1.12,8.69,-1.14,1.21,1.37,1.52,9.90,9.90,9.81
56.29,8.65,-1.21,8.65,-1.21,1.23,1.37,1.52,9.88,9.88,9.86
56.86,8.59,-1.32,8.60,-1.29,1.25,1.37,1.51,9.85,9.85,9.91
57.42,8.56,-1.35,8.56,-1.35,1.28,1.38,1.51,9.84,9.85,9.91
58.00,8.54,-1.38,8.54,-1.37,1.32,1.38,1.51,9.86,9.86,9.91
58.58,8.54,-1.37,8.54,-1.37,1.36,1.38,1.51,9.90,9.90,9.91
59.16,8.54,-1.37,8.53,-1.38,1.40,1.38,1.50,9.94,9.93,9.91
59.76,8.53,-1.38,8.52,-1.38,1.43,1.38,1.50,9.96,9.95,9.91
