frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.70,-1.87,7.70,-1.85,1.91,1.46,0.56,9.62,9.62,9.58
20.20,7.71,-1.92,7.71,-1.93,1.95,1.55,0.58,9.66,9.66,9.63
20.40,7.73,-1.98,7.72,-2.00,1.99,1.64,0.60,9.71,9.71,9.71
20.61,7.75,-2.03,7.75,-2.05,2.01,1.75,0.62,9.76,9.77,9.78
20.81,7.79,-2.12,7.79,-2.10,2.04,1.85,0.63,9.83,9.83,9.92
21.02,7.85,-2.13,7.85,-2.11,2.05,1.97,0.65,9.90,9.90,9.98
21.23,7.91,-2.07,7.91,-2.10,2.07,2.09,0.67,9.98,9.98,9.98
21.44,7.98,-2.06,7.98,-2.07,2.08,2.19,0.70,10.05,10.05,10.04
21.66,8.05,-2.05,8.04,-2.05,2.06,2.29,0.72,10.11,10.11,10.09
21.87,8.11,-2.06,8.11,-2.03,2.05,2.35,0.74,10.16,10.16,10.17
22.09,8.17,-2.01,8.17,-2.02,2.04,2.41,0.76,10.21,10.21,10.18
22.31,8.22,-1.99,8.22,-2.01,2.04,2.39,0.78,10.26,10.26,10.21
22.54,8.27,-2.02,8.27,-2.02,2.03,2.37,0.81,10.30,10.30,10.29
22.76,8.32,-2.05,8.32,-2.04,2.03,2.29,0.83,10.35,10.35,10.36
22.99,8.36,-2.06,8.37,-2.05,2.03,2.21,0.86,10.40,10.40,10.42
23.22,8.42,-2.06,8.42,-2.04,2.03,2.10,0.88,10.45,10.45,10.48
23.45,8.48,-2.00,8.48,-2.02,2.02,1.98,0.91,10.50,10.50,10.48
23.69,8.54,-2.00,8.54,-2.00,2.01,1.87,0.94,10.55,10.55,10.54
23.92,8.60,-1.98,8.60,-1.97,1.97,1.75,0.96,10.57,10.57,10.58
24.16,8.65,-1.92,8.65,-1.93,1.92,1.65,0.99,10.58,10.58,10.58
24.40,8.70,-1.87,8.70,-1.88,1.85,1.55,1.02,10.55,10.55,10.58
24.65,8.74,-1.80,8.74,-1.80,1.76,1.46,1.05,10.50,10.50,10.54
24.89,8.77,-1.71,8.77,-1.69,1.66,1.38,1.08,10.43,10.43,10.48
25.14,8.80,-1.56,8.80,-1.57,1.54,1.31,1.11,10.34,10.34,10.35
25.39,8.82,-1.42,8.83,-1.42,1.42,1.25,1.13,10.25,10.25,10.24
25.65,8.85,-1.30,8.86,-1.28,1.31,1.19,1.16,10.16,10.16,10.15
25.91,8.89,-1.13,8.89,-1.15,1.20,1.14,1.19,10.09,10.09,10.02
26.16,8.93,-1.05,8.93,-1.06,1.10,1.10,1.22,10.03,10.03,9.98
26.43,8.97,-1.00,8.97,-0.99,1.01,1.06,1.25,9.99,9.99,9.98
26.69,9.01,-0.96,9.01,-0.96,0.95,1.03,1.28,9.96,9.96,9.98
26.96,9.06,-0.92,9.05,-0.92,0.90,0.99,1.30,9.95,9.95,9.98
27.23,9.09,-0.88,9.09,-0.88,0.87,0.97,1.33,9.96,9.96,9.98
27.50,9.12,-0.85,9.12,-0.85,0.85,0.94,1.35,9.97,9.97,9.98
27.77,9.15,-0.82,9.15,-0.83,0.84,0.92,1.38,9.99,9.99,9.98
28.05,9.18,-0.81,9.18,-0.83,0.84,0.89,1.40,10.02,10.02,9.99
28.33,9.20,-0.86,9.20,-0.84,0.84,0.87,1.42,10.04,10.04,10.06
28.62,9.22,-0.86,9.22,-0.86,0.86,0.85,1.44,10.08,10.08,10.08
28.90,9.24,-0.86,9.24,-0.88,0.88,0.84,1.46,10.11,10.11,10.10
29.19,9.25,-0.92,9.25,-0.90,0.90,0.82,1.47,10.15,10.15,10.17
29.48,9.26,-0.91,9.26,-0.93,0.93,0.81,1.48,10.19,10.19,10.18
29.78,9.27,-0.95,9.27,-0.96,0.96,0.79,1.50,10.22,10.22,10.22
30.08,9.28,-1.00,9.28,-0.98,0.98,0.78,1.50,10.25,10.25,10.28
30.38,9.29,-0.99,9.29,-1.01,1.00,0.77,1.51,10.29,10.29,10.28
30.68,9.31,-1.01,9.31,-1.02,1.01,0.75,1.51,10.32,10.32,10.32
30.99,9.33,-1.04,9.33,-1.02,1.02,0.74,1.51,10.36,10.36,10.38
31.30,9.37,-1.01,9.37,-1.03,1.02,0.73,1.51,10.40,10.40,10.38
31.61,9.41,-1.02,9.41,-1.02,1.02,0.72,1.51,10.43,10.43,10.43
31.93,9.46,-1.02,9.46,-1.00,1.00,0.71,1.50,10.46,10.46,10.48
32.24,9.50,-0.97,9.50,-0.97,0.97,0.70,1.49,10.48,10.48,10.48
32.57,9.55,-0.93,9.55,-0.94,0.93,0.69,1.48,10.47,10.47,10.48
32.89,9.59,-0.89,9.59,-0.89,0.87,0.68,1.46,10.46,10.46,10.48
33.22,9.63,-0.84,9.63,-0.83,0.80,0.67,1.45,10.42,10.42,10.47
33.55,9.66,-0.74,9.66,-0.75,0.72,0.66,1.43,10.38,10.38,10.40
33.89,9.69,-0.65,9.69,-0.65,0.65,0.65,1.41,10.34,10.34,10.34
34.23,9.71,-0.56,9.71,-0.55,0.58,0.64,1.38,10.29,10.29,10.27
34.57,9.73,-0.47,9.73,-0.47,0.52,0.64,1.36,10.26,10.26,10.20
34.92,9.76,-0.42,9.76,-0.43,0.47,0.63,1.33,10.23,10.23,10.18
35.27,9.78,-0.41,9.78,-0.43,0.44,0.62,1.30,10.21,10.21,10.19
35.62,9.80,-0.46,9.80,-0.44,0.42,0.61,1.27,10.22,10.22,10.26
35.97,9.82,-0.45,9.82,-0.44,0.42,0.60,1.24,10.24,10.24,10.28
36.33,9.84,-0.43,9.84,-0.43,0.44,0.59,1.21,10.28,10.28,10.28
36.70,9.86,-0.41,9.86,-0.43,0.46,0.58,1.18,10.32,10.32,10.28
37.06,9.88,-0.45,9.88,-0.46,0.48,0.57,1.14,10.36,10.36,10.33
37.43,9.89,-0.51,9.89,-0.50,0.50,0.57,1.11,10.39,10.39,10.40
37.81,9.90,-0.56,9.90,-0.54,0.51,0.56,1.08,10.42,10.42,10.46
38.19,9.92,-0.56,9.92,-0.56,0.52,0.55,1.04,10.44,10.44,10.48
38.57,9.93,-0.54,9.93,-0.55,0.53,0.54,1.01,10.46,10.46,10.48
38.95,9.95,-0.52,9.95,-0.52,0.52,0.53,0.97,10.48,10.48,10.48
39.34,9.97,-0.50,9.97,-0.50,0.51,0.52,0.94,10.49,10.49,10.48
39.74,10.00,-0.48,10.00,-0.48,0.49,0.51,0.90,10.49,10.49,10.48
40.14,10.02,-0.45,10.02,-0.46,0.46,0.50,0.87,10.48,10.48,10.48
40.54,10.04,-0.43,10.04,-0.44,0.43,0.49,0.83,10.47,10.47,10.48
40.94,10.06,-0.41,10.06,-0.41,0.40,0.48,0.80,10.46,10.46,10.48
41.35,10.08,-0.39,10.08,-0.37,0.37,0.47,0.76,10.44,10.44,10.47
41.76,10.09,-0.31,10.09,-0.32,0.33,0.46,0.73,10.42,10.42,10.40
42.18,10.10,-0.27,10.10,-0.29,0.29,0.46,0.70,10.39,10.39,10.38
42.60,10.11,-0.26,10.11,-0.26,0.25,0.45,0.66,10.36,10.36,10.38
43.03,10.12,-0.25,10.12,-0.23,0.21,0.44,0.63,10.34,10.34,10.38
43.46,10.13,-0.18,10.13,-0.19,0.19,0.43,0.60,10.32,10.32,10.32
43.90,10.14,-0.14,10.14,-0.15,0.17,0.42,0.57,10.31,10.31,10.28
44.33,10.15,-0.13,10.15,-0.12,0.16,0.40,0.54,10.31,10.31,10.28
44.78,10.16,-0.12,10.16,-0.13,0.16,0.39,0.50,10.32,10.32,10.28
45.23,10.17,-0.14,10.17,-0.15,0.16,0.38,0.47,10.32,10.32,10.31
45.68,10.17,-0.20,10.17,-0.18,0.15,0.37,0.44,10.33,10.33,10.37
46.13,10.18,-0.19,10.18,-0.20,0.15,0.36,0.41,10.33,10.33,10.38
46.60,10.19,-0.19,10.19,-0.19,0.14,0.35,0.39,10.33,10.33,10.38
47.06,10.20,-0.17,10.20,-0.15,0.13,0.34,0.36,10.33,10.33,10.37
47.53,10.21,-0.09,10.21,-0.10,0.11,0.33,0.33,10.32,10.32,10.30
48.01,10.22,-0.06,10.22,-0.07,0.10,0.32,0.30,10.32,10.31,10.28
48.49,10.22,-0.05,10.22,-0.05,0.08,0.31,0.27,10.31,10.31,10.28
48.97,10.22,-0.05,10.22,-0.04,0.08,0.29,0.25,10.30,10.30,10.28
49.46,10.22,-0.05,10.23,-0.06,0.07,0.28,0.22,10.30,10.30,10.28
49.96,10.23,-0.07,10.23,-0.08,0.07,0.27,0.20,10.30,10.31,10.30
50.46,10.24,-0.13,10.24,-0.10,0.08,0.26,0.17,10.33,10.33,10.37
50.96,10.26,-0.12,10.26,-0.12,0.09,0.24,0.14,10.35,10.35,10.38
51.47,10.27,-0.10,10.27,-0.11,0.10,0.23,0.12,10.37,10.37,10.38
51.99,10.28,-0.09,10.28,-0.09,0.10,0.22,0.09,10.38,10.38,10.38
52.51,10.29,-0.09,10.29,-0.09,0.09,0.21,0.07,10.38,10.38,10.38
53.03,10.30,-0.08,10.30,-0.08,0.07,0.19,0.05,10.37,10.37,10.38
53.56,10.30,-0.08,10.30,-0.08,0.05,0.18,0.02,10.35,10.35,10.38
54.10,10.30,-0.07,10.30,-0.05,0.04,0.16,0.00,10.34,10.34,10.38
54.64,10.31,-0.02,10.31,-0.01,0.02,0.15,-0.02,10.33,10.33,10.33
55.18,10.32,0.04,10.32,0.02,0.02,0.14,-0.04,10.33,10.33,10.28
55.74,10.32,0.05,10.32,0.03,0.01,0.12,-0.07,10.33,10.33,10.28
56.29,10.33,0.00,10.33,0.01,0.01,0.11,-0.09,10.34,10.34,10.32
