frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.36,-2.68,4.36,-2.66,2.69,2.38,1.05,7.05,7.05,7.05
20.20,4.40,-2.70,4.40,-2.71,2.73,2.44,1.08,7.13,7.13,7.10
20.40,4.43,-2.75,4.43,-2.76,2.76,2.51,1.11,7.20,7.20,7.18
20.61,4.47,-2.78,4.47,-2.81,2.79,2.58,1.14,7.26,7.26,7.25
20.81,4.50,-2.88,4.51,-2.86,2.82,2.66,1.18,7.33,7.33,7.39
21.02,4.54,-2.90,4.54,-2.88,2.85,2.75,1.21,7.39,7.39,7.45
21.23,4.58,-2.87,4.59,-2.89,2.87,2.84,1.25,7.45,7.45,7.45
21.44,4.63,-2.88,4.63,-2.88,2.88,2.93,1.29,7.51,7.51,7.51
21.66,4.68,-2.88,4.68,-2.88,2.89,3.03,1.32,7.57,7.57,7.56
21.87,4.73,-2.91,4.73,-2.88,2.89,3.09,1.36,7.62,7.62,7.64
22.09,4.78,-2.87,4.78,-2.88,2.89,3.16,1.40,7.67,7.67,7.65
22.31,4.83,-2.86,4.83,-2.87,2.90,3.17,1.45,7.72,7.72,7.68
22.54,4.87,-2.89,4.87,-2.88,2.91,3.18,1.49,7.78,7.78,7.76
22.76,4.91,-2.92,4.91,-2.92,2.92,3.14,1.53,7.83,7.83,7.83
22.99,4.95,-2.94,4.95,-2.94,2.94,3.09,1.58,7.88,7.88,7.89
23.22,4.98,-2.96,4.98,-2.95,2.95,3.00,1.62,7.93,7.93,7.95
23.45,5.01,-2.93,5.01,-2.96,2.96,2.92,1.67,7.98,7.98,7.95
23.69,5.05,-2.96,5.05,-2.96,2.97,2.83,1.72,8.01,8.01,8.01
23.92,5.08,-2.97,5.08,-2.95,2.95,2.74,1.77,8.03,8.03,8.05
24.16,5.12,-2.93,5.12,-2.94,2.91,2.66,1.82,8.03,8.03,8.05
24.40,5.15,-2.89,5.15,-2.89,2.85,2.59,1.87,8.01,8.01,8.05
24.65,5.19,-2.82,5.19,-2.82,2.77,2.52,1.92,7.96,7.96,8.01
24.89,5.22,-2.72,5.22,-2.71,2.67,2.46,1.97,7.90,7.90,7.95
25.14,5.25,-2.57,5.25,-2.58,2.56,2.41,2.02,7.82,7.82,7.82
25.39,5.28,-2.43,5.28,-2.44,2.45,2.36,2.07,7.73,7.73,7.71
25.65,5.30,-2.32,5.30,-2.30,2.35,2.33,2.12,7.65,7.65,7.62
25.91,5.32,-2.17,5.32,-2.19,2.24,2.29,2.18,7.57,7.57,7.49
26.16,5.34,-2.11,5.34,-2.12,2.16,2.26,2.23,7.50,7.50,7.45
26.43,5.36,-2.08,5.36,-2.07,2.09,2.22,2.28,7.45,7.45,7.45
26.69,5.39,-2.06,5.39,-2.05,2.03,2.20,2.33,7.42,7.42,7.45
26.96,5.42,-2.02,5.42,-2.02,1.99,2.17,2.38,7.41,7.41,7.45
27.23,5.46,-1.99,5.46,-1.99,1.97,2.15,2.43,7.42,7.42,7.45
27.50,5.49,-1.95,5.49,-1.95,1.95,2.13,2.48,7.45,7.45,7.45
27.77,5.52,-1.92,5.52,-1.93,1.95,2.11,2.52,7.47,7.47,7.45
28.05,5.55,-1.91,5.55,-1.93,1.95,2.09,2.56,7.50,7.50,7.46
28.33,5.57,-1.96,5.57,-1.94,1.96,2.08,2.61,7.52,7.52,7.53
28.62,5.58,-1.97,5.58,-1.97,1.97,2.06,2.64,7.55,7.55,7.55
28.90,5.59,-1.98,5.59,-2.00,1.99,2.05,2.68,7.57,7.57,7.57
29.19,5.60,-2.04,5.60,-2.02,2.01,2.03,2.71,7.61,7.61,7.64
29.48,5.61,-2.03,5.61,-2.05,2.03,2.02,2.74,7.64,7.64,7.65
29.78,5.64,-2.05,5.64,-2.06,2.05,2.00,2.77,7.69,7.69,7.69
30.08,5.66,-2.08,5.66,-2.06,2.07,1.99,2.79,7.73,7.73,7.75
30.38,5.69,-2.06,5.69,-2.08,2.08,1.98,2.81,7.77,7.77,7.75
30.68,5.71,-2.08,5.71,-2.08,2.09,1.97,2.83,7.81,7.81,7.79
30.99,5.73,-2.11,5.73,-2.09,2.11,1.95,2.84,7.84,7.84,7.85
31.30,5.76,-2.09,5.76,-2.11,2.12,1.94,2.84,7.87,7.87,7.85
31.61,5.78,-2.12,5.78,-2.12,2.12,1.93,2.85,7.90,7.90,7.90
31.93,5.80,-2.14,5.80,-2.12,2.12,1.92,2.85,7.93,7.93,7.95
