frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.98,-3.08,10.98,-3.08,3.09,3.30,0.89,14.07,14.07,14.06
20.20,11.01,-3.06,11.01,-3.06,3.06,3.21,0.91,14.07,14.07,14.07
20.40,11.03,-3.04,11.03,-3.04,3.04,3.12,0.94,14.07,14.07,14.07
20.61,11.06,-3.02,11.06,-3.02,3.01,3.01,0.97,14.07,14.07,14.08
20.81,11.09,-2.99,11.09,-2.99,2.98,2.89,1.00,14.08,14.08,14.08
21.02,11.12,-2.96,11.12,-2.96,2.96,2.78,1.03,14.08,14.08,14.08
21.23,11.15,-2.93,11.15,-2.93,2.93,2.67,1.06,14.08,14.08,14.09
21.44,11.18,-2.91,11.18,-2.91,2.91,2.58,1.10,14.08,14.08,14.08
21.66,11.20,-2.88,11.20,-2.88,2.88,2.51,1.13,14.08,14.08,14.08
21.87,11.22,-2.85,11.22,-2.85,2.85,2.48,1.16,14.08,14.07,14.07
22.09,11.24,-2.83,11.24,-2.83,2.83,2.47,1.20,14.07,14.07,14.06
22.31,11.25,-2.81,11.25,-2.81,2.81,2.50,1.23,14.06,14.06,14.05
22.54,11.26,-2.78,11.26,-2.78,2.79,2.53,1.27,14.04,14.04,14.04
22.76,11.26,-2.77,11.26,-2.77,2.77,2.58,1.31,14.03,14.03,14.02
22.99,11.26,-2.75,11.26,-2.75,2.75,2.62,1.35,14.01,14.01,14.01
23.22,11.26,-2.73,11.26,-2.73,2.73,2.66,1.39,13.99,13.99,13.99
23.45,11.25,-2.71,11.25,-2.71,2.71,2.70,1.43,13.96,13.96,13.96
23.69,11.25,-2.69,11.25,-2.69,2.69,2.72,1.47,13.94,13.94,13.94
23.92,11.24,-2.67,11.24,-2.67,2.67,2.73,1.51,13.91,13.91,13.91
24.16,11.24,-2.64,11.24,-2.64,2.64,2.73,1.55,13.88,13.88,13.88
24.40,11.24,-2.61,11.24,-2.61,2.60,2.73,1.60,13.84,13.84,13.85
24.65,11.24,-2.57,11.24,-2.57,2.56,2.71,1.64,13.80,13.80,13.81
24.89,11.25,-2.52,11.25,-2.52,2.52,2.69,1.69,13.77,13.77,13.77
25.14,11.26,-2.47,11.26,-2.47,2.47,2.66,1.73,13.73,13.73,13.74
25.39,11.28,-2.42,11.28,-2.42,2.42,2.63,1.77,13.69,13.70,13.70
25.65,11.30,-2.36,11.30,-2.36,2.36,2.59,1.82,13.66,13.66,13.66
