frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.76,-0.03,7.76,-0.03,0.03,-0.28,-0.38,7.79,7.79,7.79
20.20,7.78,-0.01,7.78,-0.01,0.01,-0.28,-0.39,7.79,7.79,7.79
20.40,7.80,0.01,7.81,0.01,-0.02,-0.29,-0.40,7.79,7.79,7.79
20.61,7.83,0.04,7.83,0.04,-0.04,-0.29,-0.41,7.79,7.79,7.80
20.81,7.86,0.06,7.86,0.06,-0.07,-0.30,-0.42,7.79,7.79,7.80
21.02,7.89,0.09,7.89,0.09,-0.09,-0.31,-0.44,7.80,7.80,7.80
21.23,7.93,0.12,7.93,0.12,-0.12,-0.31,-0.45,7.81,7.81,7.81
21.44,7.96,0.15,7.96,0.15,-0.15,-0.32,-0.46,7.81,7.81,7.81
21.66,7.99,0.17,7.99,0.17,-0.17,-0.33,-0.47,7.82,7.82,7.82
21.87,8.02,0.20,8.02,0.20,-0.20,-0.33,-0.49,7.82,7.82,7.82
22.09,8.05,0.22,8.05,0.22,-0.22,-0.34,-0.50,7.83,7.83,7.82
22.31,8.08,0.25,8.08,0.25,-0.25,-0.35,-0.52,7.83,7.83,7.83
22.54,8.11,0.27,8.11,0.27,-0.27,-0.36,-0.53,7.83,7.83,7.83
22.76,8.13,0.30,8.13,0.30,-0.30,-0.36,-0.55,7.83,7.83,7.84
22.99,8.16,0.32,8.16,0.32,-0.32,-0.37,-0.56,7.84,7.84,7.84
23.22,8.19,0.35,8.19,0.35,-0.35,-0.38,-0.58,7.84,7.84,7.84
23.45,8.22,0.38,8.22,0.38,-0.38,-0.39,-0.60,7.84,7.84,7.84
23.69,8.25,0.40,8.25,0.40,-0.40,-0.40,-0.61,7.85,7.85,7.85
23.92,8.28,0.43,8.28,0.43,-0.43,-0.41,-0.63,7.85,7.85,7.85
24.16,8.31,0.46,8.31,0.46,-0.46,-0.42,-0.65,7.85,7.85,7.85
24.40,8.34,0.49,8.34,0.49,-0.49,-0.42,-0.66,7.85,7.85,7.85
24.65,8.36,0.51,8.36,0.51,-0.51,-0.43,-0.68,7.85,7.85,7.85
24.89,8.39,0.54,8.39,0.54,-0.54,-0.44,-0.70,7.85,7.85,7.85
25.14,8.41,0.56,8.41,0.56,-0.56,-0.45,-0.72,7.85,7.85,7.85
25.39,8.44,0.58,8.44,0.58,-0.59,-0.46,-0.74,7.85,7.85,7.85
25.65,8.46,0.61,8.46,0.61,-0.61,-0.47,-0.75,7.85,7.85,7.85
25.91,8.47,0.62,8.47,0.62,-0.62,-0.48,-0.77,7.85,7.85,7.85
26.16,8.49,0.64,8.49,0.64,-0.64,-0.50,-0.79,7.85,7.85,7.85
26.43,8.50,0.65,8.50,0.65,-0.65,-0.51,-0.81,7.85,7.85,7.85
26.69,8.50,0.66,8.50,0.66,-0.65,-0.52,-0.83,7.85,7.85,7.85
26.96,8.51,0.66,8.51,0.66,-0.66,-0.53,-0.85,7.85,7.85,7.84
27.23,8.50,0.66,8.50,0.66,-0.66,-0.54,-0.86,7.84,7.84,7.84
27.50,8.50,0.66,8.50,0.66,-0.66,-0.55,-0.88,7.84,7.84,7.84
27.77,8.49,0.65,8.49,0.65,-0.65,-0.57,-0.90,7.84,7.84,7.84
28.05,8.48,0.65,8.48,0.65,-0.65,-0.58,-0.91,7.83,7.83,7.83
28.33,8.48,0.65,8.48,0.65,-0.66,-0.59,-0.93,7.83,7.83,7.83
28.62,8.48,0.65,8.48,0.66,-0.66,-0.60,-0.94,7.82,7.82,7.83
28.90,8.49,0.66,8.49,0.66,-0.67,-0.62,-0.96,7.82,7.82,7.83
29.19,8.50,0.68,8.50,0.68,-0.68,-0.63,-0.97,7.82,7.82,7.82
29.48,8.52,0.70,8.52,0.70,-0.70,-0.64,-0.99,7.82,7.82,7.82
29.78,8.53,0.72,8.53,0.72,-0.71,-0.66,-1.00,7.82,7.82,7.82
30.08,8.55,0.74,8.55,0.74,-0.73,-0.67,-1.01,7.82,7.82,7.82
30.38,8.57,0.76,8.57,0.76,-0.75,-0.69,-1.02,7.82,7.82,7.81
30.68,8.58,0.77,8.58,0.77,-0.77,-0.70,-1.03,7.81,7.81,7.81
30.99,8.60,0.79,8.60,0.79,-0.79,-0.71,-1.04,7.81,7.81,7.81
31.30,8.61,0.80,8.61,0.80,-0.80,-0.73,-1.04,7.81,7.81,7.81
31.61,8.62,0.82,8.62,0.82,-0.82,-0.74,-1.05,7.80,7.80,7.80
31.93,8.63,0.83,8.63,0.83,-0.83,-0.76,-1.05,7.80,7.80,7.80
32.24,8.64,0.84,8.64,0.84,-0.84,-0.77,-1.06,7.80,7.80,7.80
32.57,8.65,0.85,8.65,0.85,-0.85,-0.79,-1.06,7.79,7.79,7.79
32.89,8.66,0.86,8.66,0.86,-0.86,-0.81,-1.06,7.79,7.79,7.79
33.22,8.66,0.87,8.66,0.88,-0.88,-0.82,-1.06,7.79,7.79,7.79
33.55,8.67,0.89,8.67,0.89,-0.89,-0.84,-1.06,7.79,7.79,7.79
33.89,8.68,0.90,8.68,0.90,-0.90,-0.85,-1.06,7.78,7.78,7.78
34.23,8.69,0.91,8.69,0.91,-0.91,-0.87,-1.06,7.78,7.78,7.78
34.57,8.70,0.92,8.70,0.92,-0.92,-0.88,-1.06,7.78,7.78,7.78
34.92,8.70,0.93,8.70,0.93,-0.93,-0.90,-1.05,7.78,7.78,7.77
35.27,8.70,0.94,8.70,0.94,-0.93,-0.91,-1.05,7.77,7.77,7.77
35.62,8.71,0.94,8.71,0.94,-0.94,-0.93,-1.05,7.76,7.76,7.76
35.97,8.71,0.95,8.71,0.95,-0.95,-0.94,-1.04,7.76,7.76,7.76
36.33,8.71,0.95,8.71,0.95,-0.96,-0.96,-1.04,7.75,7.75,7.76
36.70,8.71,0.96,8.71,0.96,-0.96,-0.97,-1.04,7.75,7.75,7.75
37.06,8.72,0.97,8.72,0.97,-0.97,-0.98,-1.03,7.75,7.75,7.75
37.43,8.72,0.98,8.72,0.98,-0.98,-1.00,-1.03,7.74,7.74,7.74
37.81,8.72,0.99,8.72,0.99,-0.99,-1.01,-1.03,7.74,7.74,7.73
38.19,8.72,1.00,8.72,1.00,-1.00,-1.02,-1.02,7.73,7.73,7.73
38.57,8.72,1.01,8.73,1.00,-1.00,-1.03,-1.02,7.72,7.72,7.72
38.95,8.73,1.01,8.73,1.01,-1.01,-1.05,-1.02,7.71,7.71,7.71
39.34,8.73,1.02,8.73,1.02,-1.02,-1.06,-1.02,7.70,7.70,7.71
39.74,8.73,1.03,8.73,1.03,-1.04,-1.07,-1.02,7.69,7.70,7.70
40.14,8.73,1.05,8.73,1.05,-1.05,-1.08,-1.02,7.69,7.69,7.69
40.54,8.74,1.06,8.74,1.06,-1.06,-1.09,-1.02,7.68,7.68,7.68
40.94,8.74,1.07,8.74,1.07,-1.07,-1.09,-1.02,7.67,7.67,7.67
41.35,8.74,1.08,8.74,1.08,-1.08,-1.10,-1.02,7.66,7.66,7.66
41.76,8.75,1.09,8.74,1.09,-1.09,-1.11,-1.02,7.65,7.65,7.65
42.18,8.75,1.10,8.75,1.10,-1.10,-1.12,-1.02,7.64,7.64,7.64
