frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,15.97,9.85,15.97,9.85,-9.85,-9.72,-4.19,6.12,6.12,6.13
20.20,15.98,9.81,15.98,9.81,-9.81,-9.72,-4.30,6.17,6.17,6.17
20.40,15.98,9.77,15.98,9.76,-9.76,-9.72,-4.42,6.21,6.21,6.21
20.61,15.97,9.72,15.97,9.72,-9.72,-9.70,-4.53,6.25,6.25,6.25
20.81,15.96,9.68,15.96,9.68,-9.68,-9.69,-4.65,6.28,6.28,6.28
21.02,15.94,9.64,15.95,9.64,-9.64,-9.67,-4.78,6.31,6.31,6.31
21.23,15.93,9.60,15.92,9.60,-9.59,-9.65,-4.91,6.33,6.33,6.33
21.44,15.90,9.55,15.90,9.55,-9.55,-9.62,-5.04,6.35,6.35,6.35
21.66,15.87,9.51,15.87,9.51,-9.51,-9.59,-5.18,6.36,6.36,6.36
21.87,15.84,9.47,15.84,9.47,-9.47,-9.56,-5.32,6.37,6.37,6.37
22.09,15.80,9.43,15.80,9.43,-9.43,-9.53,-5.46,6.38,6.38,6.37
22.31,15.77,9.39,15.77,9.39,-9.39,-9.49,-5.61,6.38,6.38,6.38
22.54,15.73,9.35,15.73,9.35,-9.35,-9.46,-5.76,6.38,6.38,6.38
22.76,15.70,9.31,15.70,9.31,-9.32,-9.42,-5.91,6.38,6.38,6.39
22.99,15.67,9.28,15.67,9.29,-9.29,-9.39,-6.07,6.38,6.38,6.39
23.22,15.65,9.26,15.65,9.26,-9.27,-9.35,-6.23,6.38,6.38,6.39
23.45,15.63,9.24,15.63,9.24,-9.24,-9.31,-6.40,6.39,6.39,6.39
23.69,15.61,9.22,15.61,9.22,-9.22,-9.27,-6.57,6.39,6.39,6.39
23.92,15.59,9.20,15.58,9.20,-9.19,-9.24,-6.74,6.40,6.40,6.39
24.16,15.56,9.17,15.56,9.17,-9.15,-9.20,-6.92,6.41,6.40,6.39
24.40,15.52,9.13,15.52,9.13,-9.11,-9.17,-7.10,6.41,6.41,6.39
24.65,15.48,9.08,15.48,9.08,-9.07,-9.13,-7.29,6.41,6.41,6.40
24.89,15.43,9.03,15.43,9.03,-9.03,-9.10,-7.48,6.40,6.40,6.40
25.14,15.38,8.98,15.38,8.98,-8.99,-9.06,-7.67,6.40,6.40,6.40
25.39,15.34,8.93,15.34,8.94,-8.95,-9.03,-7.86,6.39,6.39,6.41
25.65,15.31,8.91,15.31,8.91,-8.93,-9.00,-8.06,6.38,6.38,6.41
25.91,15.29,8.89,15.29,8.89,-8.91,-8.96,-8.26,6.38,6.38,6.40
26.16,15.28,8.88,15.29,8.89,-8.90,-8.93,-8.46,6.39,6.39,6.40
26.43,15.29,8.89,15.29,8.89,-8.89,-8.90,-8.66,6.40,6.40,6.40
26.69,15.29,8.90,15.29,8.90,-8.89,-8.87,-8.85,6.41,6.41,6.39
26.96,15.29,8.90,15.29,8.90,-8.88,-8.84,-9.05,6.42,6.41,6.39
27.23,15.29,8.89,15.29,8.89,-8.87,-8.81,-9.25,6.42,6.42,6.40
27.50,15.27,8.87,15.27,8.87,-8.85,-8.78,-9.44,6.42,6.42,6.40
27.77,15.24,8.84,15.24,8.84,-8.83,-8.75,-9.63,6.41,6.41,6.41
28.05,15.21,8.80,15.21,8.80,-8.80,-8.73,-9.81,6.41,6.41,6.41
28.33,15.18,8.77,15.18,8.77,-8.78,-8.70,-9.99,6.40,6.40,6.41
28.62,15.15,8.74,15.16,8.74,-8.75,-8.67,-10.16,6.40,6.40,6.42
28.90,15.14,8.72,15.14,8.72,-8.73,-8.64,-10.31,6.40,6.41,6.42
29.19,15.12,8.70,15.13,8.70,-8.71,-8.61,-10.46,6.41,6.41,6.42
29.48,15.12,8.69,15.12,8.69,-8.70,-8.58,-10.59,6.42,6.42,6.42
29.78,15.11,8.69,15.11,8.69,-8.68,-8.56,-10.71,6.43,6.43,6.43
30.08,15.10,8.68,15.11,8.68,-8.67,-8.53,-10.80,6.44,6.44,6.43
30.38,15.09,8.66,15.09,8.66,-8.65,-8.50,-10.89,6.44,6.44,6.43
30.68,15.07,8.64,15.07,8.64,-8.62,-8.47,-10.95,6.45,6.45,6.43
30.99,15.04,8.60,15.04,8.60,-8.59,-8.44,-11.00,6.45,6.45,6.44
31.30,15.00,8.56,15.00,8.56,-8.55,-8.42,-11.02,6.44,6.44,6.44
31.61,14.95,8.51,14.95,8.51,-8.51,-8.39,-11.03,6.44,6.44,6.44
31.93,14.89,8.46,14.89,8.46,-8.46,-8.36,-11.01,6.43,6.43,6.44
32.24,14.84,8.40,14.84,8.40,-8.41,-8.33,-10.98,6.43,6.43,6.44
32.57,14.79,8.35,14.79,8.35,-8.36,-8.30,-10.93,6.43,6.43,6.44
32.89,14.74,8.31,14.74,8.31,-8.31,-8.27,-10.86,6.43,6.43,6.44
33.22,14.71,8.27,14.71,8.27,-8.27,-8.24,-10.77,6.44,6.44,6.44
33.55,14.67,8.23,14.67,8.23,-8.23,-8.22,-10.68,6.44,6.44,6.44
33.89,14.63,8.20,14.63,8.20,-8.19,-8.19,-10.56,6.45,6.44,6.44
34.23,14.60,8.16,14.60,8.16,-8.16,-8.16,-10.44,6.44,6.44,6.44
34.57,14.56,8.12,14.56,8.12,-8.13,-8.13,-10.31,6.43,6.43,6.44
34.92,14.53,8.09,14.53,8.10,-8.11,-8.10,-10.17,6.42,6.42,6.43
35.27,14.50,8.08,14.50,8.08,-8.09,-8.07,-10.02,6.41,6.41,6.43
35.62,14.49,8.07,14.49,8.07,-8.08,-8.04,-9.87,6.41,6.41,6.42
35.97,14.49,8.07,14.49,8.07,-8.07,-8.00,-9.72,6.42,6.42,6.42
36.33,14.48,8.07,14.48,8.07,-8.06,-7.97,-9.56,6.42,6.42,6.41
