frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.24,0.43,4.24,0.43,-0.44,-0.48,-0.41,3.79,3.79,3.80
20.20,4.25,0.40,4.25,0.40,-0.40,-0.49,-0.43,3.85,3.85,3.85
20.40,4.26,0.38,4.26,0.38,-0.37,-0.50,-0.44,3.89,3.89,3.89
20.61,4.28,0.35,4.28,0.35,-0.34,-0.51,-0.45,3.94,3.94,3.93
20.81,4.29,0.33,4.29,0.33,-0.32,-0.52,-0.46,3.97,3.97,3.96
21.02,4.30,0.32,4.30,0.32,-0.31,-0.53,-0.48,3.99,3.99,3.99
21.23,4.31,0.30,4.31,0.30,-0.30,-0.54,-0.49,4.01,4.01,4.01
21.44,4.32,0.30,4.32,0.30,-0.30,-0.55,-0.51,4.02,4.02,4.02
21.66,4.34,0.30,4.34,0.30,-0.31,-0.56,-0.52,4.03,4.03,4.04
21.87,4.36,0.31,4.36,0.31,-0.32,-0.57,-0.54,4.04,4.04,4.05
22.09,4.38,0.33,4.38,0.33,-0.34,-0.58,-0.55,4.04,4.04,4.05
22.31,4.42,0.36,4.42,0.36,-0.37,-0.59,-0.57,4.05,4.05,4.06
22.54,4.46,0.40,4.46,0.40,-0.41,-0.60,-0.59,4.06,4.06,4.06
22.76,4.51,0.44,4.51,0.44,-0.45,-0.61,-0.60,4.06,4.06,4.07
22.99,4.56,0.49,4.56,0.49,-0.49,-0.62,-0.62,4.07,4.07,4.07
23.22,4.60,0.54,4.60,0.54,-0.53,-0.63,-0.64,4.08,4.08,4.07
23.45,4.64,0.58,4.64,0.58,-0.56,-0.64,-0.66,4.08,4.08,4.07
23.69,4.67,0.61,4.67,0.61,-0.59,-0.65,-0.68,4.08,4.08,4.07
23.92,4.69,0.63,4.69,0.63,-0.62,-0.66,-0.69,4.08,4.08,4.07
24.16,4.71,0.64,4.71,0.64,-0.64,-0.67,-0.71,4.07,4.07,4.07
24.40,4.72,0.65,4.72,0.65,-0.65,-0.68,-0.73,4.07,4.07,4.07
24.65,4.73,0.66,4.73,0.66,-0.67,-0.69,-0.75,4.06,4.06,4.08
24.89,4.75,0.67,4.75,0.67,-0.69,-0.70,-0.77,4.07,4.07,4.08
25.14,4.77,0.69,4.77,0.69,-0.70,-0.71,-0.79,4.07,4.07,4.08
25.39,4.80,0.71,4.80,0.71,-0.71,-0.72,-0.81,4.08,4.08,4.08
25.65,4.82,0.73,4.82,0.73,-0.72,-0.74,-0.83,4.10,4.10,4.08
25.91,4.83,0.75,4.83,0.75,-0.73,-0.75,-0.85,4.10,4.10,4.08
26.16,4.84,0.76,4.84,0.76,-0.74,-0.76,-0.88,4.10,4.10,4.08
26.43,4.84,0.76,4.84,0.76,-0.75,-0.77,-0.90,4.09,4.09,4.07
26.69,4.84,0.76,4.84,0.76,-0.77,-0.78,-0.92,4.07,4.07,4.07
26.96,4.84,0.77,4.84,0.77,-0.80,-0.79,-0.94,4.05,4.05,4.07
27.23,4.87,0.79,4.87,0.80,-0.84,-0.81,-0.96,4.03,4.03,4.08
27.50,4.92,0.84,4.93,0.85,-0.89,-0.82,-0.97,4.03,4.03,4.08
27.77,5.01,0.92,5.01,0.92,-0.96,-0.83,-0.99,4.04,4.05,4.08
