frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.41,-4.92,-0.41,-4.91,4.90,4.81,1.80,4.49,4.50,4.51
20.20,-0.38,-4.93,-0.39,-4.94,4.94,4.85,1.86,4.55,4.55,4.55
20.40,-0.36,-4.95,-0.36,-4.95,4.96,4.88,1.91,4.60,4.60,4.59
20.61,-0.33,-4.96,-0.32,-4.95,4.96,4.86,1.96,4.63,4.64,4.63
20.81,-0.27,-4.93,-0.27,-4.93,4.94,4.85,2.02,4.67,4.67,4.66
21.02,-0.20,-4.89,-0.21,-4.90,4.91,4.79,2.08,4.71,4.70,4.69
21.23,-0.14,-4.85,-0.14,-4.85,4.86,4.73,2.14,4.72,4.72,4.71
21.44,-0.07,-4.80,-0.07,-4.80,4.79,4.66,2.21,4.73,4.73,4.73
21.66,0.02,-4.72,0.01,-4.73,4.70,4.58,2.27,4.72,4.72,4.74
21.87,0.11,-4.64,0.12,-4.63,4.59,4.50,2.34,4.70,4.71,4.75
22.09,0.24,-4.51,0.25,-4.51,4.46,4.42,2.40,4.71,4.71,4.76
22.31,0.40,-4.36,0.40,-4.36,4.32,4.35,2.47,4.72,4.72,4.76
22.54,0.57,-4.20,0.57,-4.19,4.17,4.28,2.55,4.74,4.74,4.77
22.76,0.74,-4.03,0.74,-4.03,4.03,4.23,2.62,4.77,4.78,4.77
22.99,0.90,-3.87,0.89,-3.88,3.91,4.17,2.69,4.81,4.81,4.77
23.22,1.01,-3.76,1.01,-3.77,3.83,4.13,2.77,4.84,4.83,4.77
23.45,1.06,-3.71,1.06,-3.71,3.79,4.08,2.85,4.85,4.85,4.77
23.69,1.06,-3.71,1.06,-3.71,3.79,4.05,2.93,4.85,4.85,4.77
23.92,0.99,-3.77,0.99,-3.78,3.84,4.01,3.01,4.83,4.83,4.77
24.16,0.89,-3.89,0.88,-3.89,3.92,3.98,3.10,4.80,4.80,4.77
24.40,0.75,-4.02,0.75,-4.03,4.01,3.96,3.18,4.76,4.76,4.77
24.65,0.61,-4.17,0.62,-4.16,4.10,3.93,3.27,4.71,4.72,4.78
24.89,0.51,-4.27,0.52,-4.26,4.18,3.91,3.35,4.69,4.70,4.78
25.14,0.47,-4.32,0.47,-4.32,4.23,3.89,3.44,4.70,4.70,4.79
25.39,0.46,-4.33,0.47,-4.31,4.25,3.87,3.53,4.71,4.72,4.79
25.65,0.52,-4.26,0.52,-4.27,4.25,3.86,3.62,4.77,4.77,4.79
25.91,0.59,-4.20,0.59,-4.20,4.23,3.84,3.71,4.82,4.81,4.79
26.16,0.65,-4.13,0.65,-4.14,4.20,3.83,3.80,4.85,4.85,4.78
26.43,0.69,-4.09,0.68,-4.10,4.17,3.82,3.88,4.85,4.85,4.78
26.69,0.69,-4.09,0.69,-4.09,4.14,3.81,3.97,4.83,4.83,4.78
26.96,0.68,-4.10,0.68,-4.10,4.11,3.79,4.06,4.79,4.79,4.78
27.23,0.67,-4.11,0.67,-4.11,4.08,3.79,4.14,4.75,4.75,4.78
27.50,0.67,-4.11,0.68,-4.10,4.05,3.78,4.22,4.73,4.73,4.78
27.77,0.71,-4.07,0.72,-4.07,4.02,3.77,4.30,4.74,4.74,4.79
28.05,0.78,-4.01,0.78,-4.01,3.98,3.76,4.38,4.76,4.77,4.79
28.33,0.87,-3.93,0.86,-3.93,3.94,3.75,4.45,4.81,4.80,4.80
28.62,0.95,-3.85,0.94,-3.86,3.89,3.74,4.52,4.84,4.83,4.80
28.90,1.01,-3.79,1.01,-3.80,3.83,3.74,4.58,4.85,4.84,4.80
29.19,1.05,-3.75,1.05,-3.75,3.78,3.73,4.64,4.83,4.83,4.80
29.48,1.08,-3.73,1.08,-3.73,3.72,3.72,4.69,4.80,4.80,4.81
29.78,1.10,-3.71,1.10,-3.70,3.67,3.72,4.74,4.77,4.77,4.81
30.08,1.14,-3.67,1.14,-3.67,3.62,3.71,4.78,4.76,4.77,4.81
30.38,1.19,-3.62,1.20,-3.62,3.59,3.70,4.81,4.78,4.79,4.81
