frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.21,-5.00,12.21,-5.00,5.01,-0.03,1.70,17.23,17.23,17.21
20.20,12.22,-4.99,12.22,-4.99,4.99,-0.03,1.75,17.21,17.21,17.21
20.40,12.22,-4.98,12.22,-4.98,4.97,-0.03,1.80,17.19,17.19,17.20
20.61,12.22,-4.96,12.23,-4.95,4.94,-0.03,1.86,17.17,17.17,17.18
20.81,12.23,-4.93,12.23,-4.93,4.92,-0.03,1.91,17.15,17.15,17.16
21.02,12.24,-4.89,12.24,-4.90,4.89,-0.03,1.97,17.13,17.13,17.14
21.23,12.25,-4.86,12.25,-4.86,4.86,-0.03,2.03,17.11,17.11,17.11
21.44,12.26,-4.82,12.26,-4.82,4.83,-0.03,2.09,17.09,17.09,17.09
21.66,12.27,-4.79,12.27,-4.79,4.79,-0.03,2.15,17.06,17.06,17.06
21.87,12.28,-4.75,12.28,-4.75,4.75,-0.04,2.22,17.04,17.04,17.03
22.09,12.29,-4.71,12.29,-4.71,4.71,-0.04,2.28,17.01,17.01,17.01
22.31,12.31,-4.68,12.31,-4.68,4.67,-0.04,2.35,16.98,16.98,16.98
22.54,12.32,-4.64,12.32,-4.64,4.64,-0.04,2.42,16.95,16.95,16.95
22.76,12.33,-4.60,12.33,-4.60,4.60,-0.04,2.49,16.93,16.93,16.93
22.99,12.34,-4.56,12.34,-4.56,4.56,-0.04,2.56,16.90,16.90,16.90
23.22,12.35,-4.52,12.35,-4.52,4.52,-0.04,2.64,16.87,16.87,16.87
23.45,12.36,-4.48,12.36,-4.48,4.48,-0.04,2.72,16.84,16.84,16.84
23.69,12.37,-4.45,12.37,-4.45,4.45,-0.04,2.79,16.82,16.82,16.81
23.92,12.38,-4.41,12.38,-4.41,4.41,-0.04,2.87,16.79,16.79,16.79
24.16,12.39,-4.37,12.39,-4.37,4.37,-0.04,2.95,16.76,16.76,16.76
24.40,12.39,-4.34,12.39,-4.34,4.34,-0.04,3.04,16.73,16.73,16.73
24.65,12.40,-4.30,12.40,-4.30,4.30,-0.05,3.12,16.70,16.70,16.70
24.89,12.41,-4.26,12.41,-4.26,4.26,-0.05,3.20,16.67,16.67,16.67
25.14,12.41,-4.22,12.41,-4.22,4.22,-0.05,3.29,16.64,16.64,16.64
25.39,12.42,-4.19,12.42,-4.19,4.19,-0.05,3.37,16.61,16.61,16.61
25.65,12.43,-4.15,12.43,-4.15,4.15,-0.05,3.46,16.58,16.58,16.58
25.91,12.44,-4.11,12.44,-4.11,4.11,-0.05,3.54,16.55,16.55,16.55
26.16,12.44,-4.08,12.44,-4.08,4.08,-0.05,3.63,16.52,16.52,16.52
26.43,12.45,-4.04,12.45,-4.04,4.04,-0.05,3.71,16.49,16.49,16.49
26.69,12.45,-4.00,12.45,-4.00,4.00,-0.05,3.79,16.45,16.45,16.45
26.96,12.46,-3.96,12.46,-3.96,3.96,-0.05,3.87,16.42,16.42,16.42
27.23,12.46,-3.93,12.46,-3.93,3.93,-0.06,3.95,16.39,16.39,16.39
27.50,12.47,-3.89,12.47,-3.89,3.89,-0.06,4.03,16.36,16.36,16.36
27.77,12.47,-3.85,12.47,-3.85,3.85,-0.06,4.10,16.33,16.33,16.32
28.05,12.47,-3.82,12.47,-3.82,3.82,-0.06,4.17,16.29,16.29,16.29
28.33,12.48,-3.78,12.48,-3.78,3.78,-0.06,4.23,16.26,16.26,16.26
28.62,12.48,-3.75,12.48,-3.75,3.75,-0.06,4.30,16.22,16.22,16.23
28.90,12.48,-3.71,12.48,-3.71,3.71,-0.06,4.35,16.19,16.19,16.19
29.19,12.48,-3.68,12.48,-3.68,3.68,-0.06,4.40,16.16,16.16,16.16
29.48,12.48,-3.64,12.48,-3.64,3.64,-0.07,4.44,16.12,16.12,16.12
29.78,12.49,-3.60,12.49,-3.60,3.60,-0.07,4.48,16.09,16.09,16.09
30.08,12.49,-3.57,12.49,-3.57,3.57,-0.07,4.51,16.06,16.06,16.06
30.38,12.49,-3.53,12.49,-3.53,3.53,-0.07,4.53,16.02,16.02,16.02
30.68,12.49,-3.49,12.49,-3.49,3.50,-0.07,4.55,15.99,15.99,15.99
30.99,12.49,-3.46,12.49,-3.46,3.46,-0.07,4.56,15.95,15.95,15.95
31.30,12.49,-3.43,12.49,-3.43,3.43,-0.07,4.56,15.92,15.92,15.92
31.61,12.49,-3.39,12.49,-3.39,3.39,-0.08,4.55,15.88,15.88,15.88
31.93,12.49,-3.36,12.49,-3.36,3.35,-0.08,4.53,15.85,15.85,15.85
32.24,12.49,-3.32,12.49,-3.32,3.32,-0.08,4.51,15.81,15.81,15.81
32.57,12.50,-3.28,12.50,-3.28,3.28,-0.08,4.48,15.78,15.78,15.78
32.89,12.50,-3.25,12.50,-3.25,3.25,-0.08,4.44,15.74,15.74,15.74
33.22,12.50,-3.21,12.50,-3.21,3.21,-0.08,4.40,15.71,15.71,15.71
33.55,12.50,-3.18,12.50,-3.18,3.17,-0.09,4.35,15.67,15.67,15.67
33.89,12.49,-3.14,12.50,-3.14,3.14,-0.09,4.29,15.63,15.63,15.63
34.23,12.50,-3.10,12.50,-3.10,3.10,-0.09,4.23,15.60,15.60,15.60
34.57,12.50,-3.06,12.50,-3.06,3.06,-0.09,4.16,15.56,15.56,15.56
34.92,12.50,-3.02,12.50,-3.02,3.02,-0.09,4.09,15.52,15.52,15.52
35.27,12.50,-2.99,12.50,-2.99,2.99,-0.10,4.01,15.49,15.49,15.48
35.62,12.50,-2.95,12.50,-2.95,2.95,-0.10,3.93,15.45,15.45,15.45
35.97,12.49,-2.91,12.49,-2.91,2.91,-0.10,3.85,15.41,15.41,15.41
36.33,12.49,-2.88,12.49,-2.88,2.88,-0.10,3.76,15.37,15.37,15.37
36.70,12.48,-2.84,12.48,-2.84,2.84,-0.10,3.68,15.33,15.33,15.33
37.06,12.48,-2.81,12.48,-2.81,2.81,-0.11,3.59,15.29,15.29,15.29
37.43,12.47,-2.77,12.47,-2.77,2.77,-0.11,3.50,15.24,15.24,15.25
37.81,12.47,-2.74,12.47,-2.74,2.74,-0.11,3.41,15.20,15.20,15.21
38.19,12.46,-2.70,12.46,-2.70,2.70,-0.11,3.32,15.16,15.16,15.16
38.57,12.46,-2.66,12.46,-2.66,2.66,-0.12,3.22,15.12,15.12,15.12
38.95,12.45,-2.63,12.45,-2.63,2.63,-0.12,3.13,15.08,15.08,15.08
39.34,12.45,-2.59,12.45,-2.59,2.59,-0.12,3.04,15.03,15.03,15.03
39.74,12.44,-2.55,12.44,-2.55,2.55,-0.12,2.95,14.99,14.99,14.99
40.14,12.43,-2.51,12.43,-2.51,2.51,-0.13,2.86,14.94,14.94,14.94
40.54,12.43,-2.47,12.43,-2.47,2.47,-0.13,2.77,14.90,14.90,14.90
40.94,12.42,-2.43,12.42,-2.43,2.43,-0.13,2.69,14.85,14.85,14.85
41.35,12.41,-2.39,12.41,-2.39,2.39,-0.13,2.60,14.80,14.80,14.80
41.76,12.41,-2.35,12.41,-2.35,2.35,-0.14,2.52,14.76,14.76,14.75
42.18,12.40,-2.30,12.40,-2.30,2.30,-0.14,2.43,14.71,14.71,14.71
42.60,12.40,-2.26,12.40,-2.26,2.26,-0.14,2.35,14.66,14.66,14.66
43.03,12.39,-2.22,12.39,-2.22,2.22,-0.15,2.27,14.61,14.61,14.61
43.46,12.38,-2.17,12.38,-2.17,2.17,-0.15,2.19,14.55,14.55,14.55
43.90,12.37,-2.13,12.37,-2.13,2.13,-0.15,2.12,14.50,14.50,14.50
44.33,12.36,-2.09,12.36,-2.09,2.09,-0.15,2.04,14.45,14.45,14.45
44.78,12.35,-2.04,12.35,-2.04,2.04,-0.16,1.97,14.40,14.40,14.40
45.23,12.34,-2.00,12.34,-2.00,2.00,-0.16,1.90,14.34,14.34,14.34
45.68,12.34,-1.95,12.34,-1.95,1.95,-0.17,1.83,14.29,14.29,14.29
46.13,12.33,-1.91,12.33,-1.91,1.91,-0.17,1.76,14.23,14.23,14.23
46.60,12.32,-1.86,12.32,-1.86,1.86,-0.17,1.69,14.18,14.18,14.18
47.06,12.31,-1.81,12.31,-1.81,1.81,-0.18,1.62,14.12,14.12,14.12
47.53,12.30,-1.77,12.30,-1.77,1.77,-0.18,1.56,14.06,14.06,14.06
48.01,12.29,-1.72,12.29,-1.72,1.72,-0.18,1.50,14.01,14.01,14.01
48.49,12.28,-1.67,12.28,-1.67,1.67,-0.19,1.44,13.95,13.95,13.95
