frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,14.06,-2.15,14.06,-2.15,2.16,-0.03,0.66,16.22,16.22,16.20
20.20,14.05,-2.15,14.05,-2.14,2.14,-0.03,0.68,16.20,16.20,16.20
20.40,14.05,-2.14,14.05,-2.13,2.13,-0.03,0.71,16.18,16.18,16.19
20.61,14.05,-2.12,14.05,-2.12,2.11,-0.03,0.73,16.16,16.16,16.17
20.81,14.05,-2.10,14.05,-2.10,2.09,-0.03,0.75,16.14,16.14,16.15
21.02,14.05,-2.07,14.05,-2.07,2.07,-0.03,0.77,16.12,16.12,16.13
21.23,14.05,-2.05,14.05,-2.05,2.05,-0.03,0.80,16.10,16.10,16.10
21.44,14.05,-2.02,14.05,-2.03,2.03,-0.03,0.82,16.08,16.08,16.08
21.66,14.05,-2.00,14.05,-2.00,2.01,-0.03,0.85,16.06,16.06,16.05
21.87,14.04,-1.98,14.04,-1.98,1.99,-0.03,0.88,16.03,16.03,16.03
22.09,14.04,-1.96,14.04,-1.96,1.97,-0.03,0.90,16.00,16.00,16.00
22.31,14.03,-1.95,14.03,-1.95,1.95,-0.03,0.93,15.97,15.97,15.97
22.54,14.02,-1.93,14.02,-1.93,1.93,-0.04,0.96,15.94,15.94,15.95
22.76,14.01,-1.91,14.01,-1.91,1.91,-0.04,0.99,15.92,15.92,15.92
22.99,14.00,-1.89,14.00,-1.89,1.89,-0.04,1.02,15.89,15.89,15.89
23.22,13.99,-1.87,13.99,-1.87,1.87,-0.04,1.05,15.86,15.86,15.86
23.45,13.99,-1.85,13.99,-1.85,1.84,-0.04,1.08,15.83,15.83,15.83
23.69,13.99,-1.82,13.99,-1.82,1.82,-0.04,1.11,15.81,15.81,15.81
23.92,13.98,-1.80,13.98,-1.80,1.80,-0.04,1.15,15.78,15.78,15.78
24.16,13.98,-1.77,13.98,-1.77,1.78,-0.04,1.18,15.75,15.75,15.75
24.40,13.97,-1.75,13.97,-1.75,1.75,-0.04,1.21,15.72,15.72,15.72
24.65,13.96,-1.73,13.96,-1.73,1.73,-0.04,1.25,15.69,15.69,15.69
24.89,13.95,-1.71,13.95,-1.71,1.71,-0.04,1.28,15.66,15.66,15.66
25.14,13.94,-1.69,13.94,-1.69,1.69,-0.04,1.31,15.63,15.63,15.63
25.39,13.93,-1.67,13.93,-1.67,1.67,-0.05,1.35,15.60,15.60,15.60
25.65,13.92,-1.65,13.92,-1.65,1.64,-0.05,1.38,15.57,15.57,15.57
25.91,13.91,-1.63,13.91,-1.63,1.62,-0.05,1.42,15.54,15.54,15.54
26.16,13.91,-1.60,13.91,-1.60,1.60,-0.05,1.45,15.51,15.51,15.51
26.43,13.90,-1.58,13.90,-1.58,1.58,-0.05,1.48,15.48,15.48,15.48
26.69,13.89,-1.55,13.89,-1.55,1.56,-0.05,1.51,15.45,15.45,15.45
