frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.57,-11.44,3.57,-11.44,6.00,5.68,2.81,9.57,9.57,15.01
20.20,3.62,-11.38,3.62,-11.38,6.00,5.80,2.89,9.62,9.62,15.00
20.40,3.66,-11.33,3.66,-11.33,6.00,5.93,2.97,9.66,9.66,14.99
20.61,3.70,-11.28,3.69,-11.28,6.00,5.99,3.06,9.70,9.69,14.98
20.81,3.72,-11.24,3.72,-11.24,6.00,6.05,3.14,9.72,9.72,14.96
21.02,3.75,-11.19,3.75,-11.19,6.00,6.06,3.24,9.75,9.75,14.93
21.23,3.78,-11.13,3.78,-11.13,6.00,6.06,3.33,9.78,9.78,14.91
21.44,3.82,-11.06,3.82,-11.06,6.00,6.03,3.42,9.82,9.82,14.88
21.66,3.88,-10.98,3.88,-10.98,6.00,6.01,3.52,9.88,9.88,14.86
21.87,3.94,-10.90,3.94,-10.89,6.00,5.98,3.62,9.94,9.94,14.83
22.09,4.00,-10.81,4.00,-10.81,6.00,5.95,3.72,10.00,10.00,14.81
22.31,4.06,-10.72,4.05,-10.72,6.00,5.93,3.83,10.06,10.05,14.78
22.54,4.10,-10.65,4.10,-10.65,6.00,5.90,3.93,10.10,10.10,14.75
22.76,4.12,-10.61,4.11,-10.61,6.00,5.89,4.05,10.12,10.11,14.72
22.99,4.11,-10.59,4.10,-10.59,6.00,5.88,4.16,10.11,10.10,14.70
23.22,4.06,-10.60,4.06,-10.60,6.00,5.87,4.28,10.06,10.06,14.67
23.45,4.01,-10.63,4.01,-10.63,6.00,5.86,4.39,10.01,10.01,14.64
23.69,3.96,-10.66,3.95,-10.66,6.00,5.86,4.52,9.96,9.95,14.61
23.92,3.91,-10.67,3.92,-10.67,6.00,5.86,4.64,9.91,9.92,14.58
24.16,3.90,-10.65,3.91,-10.65,6.00,5.86,4.77,9.90,9.91,14.55
24.40,3.94,-10.59,3.94,-10.59,6.00,5.87,4.90,9.94,9.94,14.53
24.65,4.01,-10.49,4.01,-10.49,6.00,5.87,5.03,10.01,10.01,14.50
24.89,4.11,-10.36,4.11,-10.35,6.00,5.88,5.16,10.11,10.11,14.47
25.14,4.22,-10.21,4.22,-10.21,6.00,5.88,5.29,10.22,10.22,14.44
25.39,4.33,-10.07,4.33,-10.08,6.00,5.89,5.43,10.33,10.33,14.41
25.65,4.40,-9.97,4.40,-9.97,6.00,5.90,5.57,10.40,10.40,14.38
25.91,4.45,-9.90,4.44,-9.90,6.00,5.91,5.70,10.45,10.44,14.34
26.16,4.45,-9.86,4.45,-9.86,6.00,5.92,5.84,10.45,10.45,14.31
26.43,4.43,-9.85,4.43,-9.85,6.00,5.92,5.98,10.43,10.43,14.28
26.69,4.39,-9.86,4.39,-9.86,6.00,5.93,6.11,10.39,10.39,14.25
26.96,4.35,-9.87,4.35,-9.86,6.00,5.94,6.24,10.35,10.35,14.22
27.23,4.33,-9.86,4.33,-9.86,6.00,5.95,6.38,10.33,10.33,14.19
27.50,4.33,-9.83,4.33,-9.83,6.00,5.96,6.50,10.33,10.33,14.15
27.77,4.35,-9.78,4.34,-9.78,6.00,5.97,6.63,10.35,10.34,14.12
28.05,4.38,-9.71,4.38,-9.71,6.00,5.98,6.75,10.38,10.38,14.09
28.33,4.42,-9.63,4.42,-9.64,6.00,5.99,6.86,10.42,10.42,14.06
28.62,4.48,-9.55,4.48,-9.55,6.00,6.00,6.97,10.48,10.48,14.02
28.90,4.54,-9.45,4.54,-9.45,6.00,6.01,7.07,10.54,10.54,13.99
29.19,4.63,-9.33,4.63,-9.33,6.00,6.01,7.17,10.63,10.63,13.95
29.48,4.72,-9.20,4.72,-9.20,6.00,6.02,7.25,10.72,10.72,13.92
29.78,4.83,-9.06,4.83,-9.06,6.00,6.03,7.33,10.83,10.83,13.89
30.08,4.94,-8.92,4.94,-8.92,6.00,6.04,7.40,10.94,10.94,13.85
30.38,5.03,-8.78,5.03,-8.79,6.00,6.05,7.46,11.03,11.03,13.82
30.68,5.10,-8.68,5.10,-8.69,6.00,6.05,7.50,11.10,11.10,13.78
30.99,5.13,-8.62,5.13,-8.62,6.00,6.06,7.54,11.13,11.13,13.75
31.30,5.13,-8.58,5.13,-8.58,6.00,6.07,7.56,11.13,11.13,13.72
31.61,5.12,-8.56,5.12,-8.56,6.00,6.07,7.57,11.12,11.12,13.68
31.93,5.11,-8.53,5.12,-8.53,6.00,6.08,7.57,11.11,11.12,13.65
32.24,5.13,-8.48,5.14,-8.48,6.00,6.09,7.56,11.13,11.14,13.61
32.57,5.17,-8.41,5.17,-8.40,6.00,6.09,7.54,11.17,11.17,13.58
32.89,5.24,-8.30,5.24,-8.30,6.00,6.10,7.51,11.24,11.24,13.54
33.22,5.31,-8.19,5.31,-8.20,6.00,6.10,7.47,11.31,11.31,13.50
33.55,5.38,-8.09,5.38,-8.09,6.00,6.11,7.42,11.38,11.38,13.47
33.89,5.43,-8.00,5.43,-8.00,6.00,6.11,7.36,11.43,11.43,13.43
34.23,5.46,-7.94,5.46,-7.94,6.00,6.11,7.30,11.46,11.46,13.39
34.57,5.47,-7.89,5.46,-7.89,6.00,6.12,7.23,11.47,11.46,13.36
34.92,5.46,-7.86,5.46,-7.86,6.00,6.12,7.15,11.46,11.46,13.32
35.27,5.45,-7.83,5.45,-7.83,6.00,6.12,7.07,11.45,11.45,13.28
35.62,5.43,-7.81,5.43,-7.81,6.00,6.12,6.99,11.43,11.43,13.24
35.97,5.42,-7.78,5.42,-7.78,6.00,6.13,6.90,11.42,11.42,13.20
36.33,5.42,-7.75,5.42,-7.75,6.00,6.13,6.81,11.42,11.42,13.16
36.70,5.41,-7.71,5.41,-7.71,6.00,6.13,6.72,11.41,11.41,13.12
37.06,5.41,-7.67,5.41,-7.67,6.00,6.13,6.63,11.41,11.41,13.08
37.43,5.41,-7.63,5.41,-7.63,6.00,6.13,6.54,11.41,11.41,13.04
37.81,5.41,-7.59,5.41,-7.59,6.00,6.13,6.45,11.41,11.41,13.00
38.19,5.42,-7.54,5.42,-7.54,6.00,6.12,6.36,11.42,11.42,12.96
38.57,5.44,-7.48,5.44,-7.47,6.00,6.12,6.27,11.44,11.44,12.92
38.95,5.47,-7.41,5.47,-7.41,6.00,6.12,6.18,11.47,11.47,12.87
39.34,5.49,-7.34,5.49,-7.34,6.00,6.11,6.10,11.49,11.49,12.83
39.74,5.52,-7.27,5.51,-7.27,6.00,6.11,6.02,11.52,11.51,12.79
40.14,5.53,-7.21,5.53,-7.21,6.00,6.10,5.94,11.53,11.53,12.74
40.54,5.54,-7.16,5.54,-7.16,6.00,6.10,5.86,11.54,11.54,12.70
40.94,5.54,-7.10,5.55,-7.10,6.00,6.09,5.79,11.54,11.55,12.65
41.35,5.55,-7.05,5.55,-7.05,6.00,6.08,5.72,11.55,11.55,12.60
41.76,5.56,-6.99,5.56,-6.99,6.00,6.07,5.66,11.56,11.56,12.55
42.18,5.57,-6.93,5.57,-6.93,6.00,6.06,5.59,11.57,11.57,12.50
42.60,5.58,-6.87,5.58,-6.87,6.00,6.05,5.54,11.58,11.58,12.45
43.03,5.60,-6.81,5.60,-6.81,6.00,6.04,5.48,11.60,11.60,12.40
43.46,5.60,-6.75,5.60,-6.75,6.00,6.02,5.43,11.60,11.60,12.35
43.90,5.61,-6.69,5.61,-6.69,6.00,6.01,5.39,11.61,11.61,12.30
44.33,5.62,-6.63,5.62,-6.63,6.00,5.99,5.35,11.62,11.62,12.25
44.78,5.62,-6.57,5.62,-6.57,6.00,5.98,5.31,11.62,11.62,12.19
45.23,5.63,-6.51,5.63,-6.51,6.00,5.96,5.28,11.63,11.63,12.14
45.68,5.64,-6.44,5.64,-6.44,6.00,5.94,5.25,11.64,11.64,12.08
46.13,5.65,-6.38,5.65,-6.38,6.00,5.92,5.22,11.65,11.65,12.03
46.60,5.66,-6.32,5.66,-6.32,6.01,5.90,5.20,11.66,11.66,11.97
47.06,5.66,-6.26,5.66,-6.26,6.01,5.87,5.18,11.67,11.67,11.92
47.53,5.66,-6.20,5.66,-6.20,6.01,5.85,5.17,11.67,11.67,11.86
48.01,5.65,-6.15,5.65,-6.15,6.01,5.82,5.16,11.66,11.66,11.80
48.49,5.64,-6.10,5.65,-6.10,6.00,5.80,5.15,11.64,11.64,11.74
48.97,5.64,-6.05,5.64,-6.04,5.98,5.77,5.15,11.62,11.62,11.69
49.46,5.64,-5.99,5.64,-5.99,5.95,5.74,5.15,11.59,11.59,11.63
49.96,5.64,-5.92,5.64,-5.93,5.92,5.71,5.15,11.55,11.55,11.56
50.46,5.64,-5.86,5.64,-5.86,5.87,5.67,5.16,11.51,11.51,11.50
50.96,5.64,-5.80,5.64,-5.81,5.82,5.64,5.16,11.45,11.45,11.44
51.47,5.63,-5.75,5.63,-5.75,5.76,5.61,5.17,11.39,11.39,11.38
51.99,5.63,-5.69,5.63,-5.69,5.69,5.57,5.18,11.32,11.32,11.32
52.51,5.63,-5.63,5.63,-5.63,5.62,5.53,5.20,11.25,11.25,11.25
53.03,5.63,-5.56,5.63,-5.56,5.56,5.49,5.21,11.18,11.18,11.19
53.56,5.63,-5.49,5.63,-5.49,5.50,5.45,5.22,11.12,11.12,11.12
54.10,5.63,-5.43,5.63,-5.43,5.43,5.41,5.24,11.06,11.06,11.06
54.64,5.62,-5.37,5.63,-5.37,5.37,5.37,5.25,10.99,10.99,10.99
55.18,5.62,-5.30,5.62,-5.30,5.30,5.33,5.26,10.93,10.92,10.92
55.74,5.62,-5.24,5.62,-5.24,5.24,5.29,5.28,10.86,10.86,10.86
56.29,5.61,-5.18,5.61,-5.18,5.18,5.24,5.29,10.79,10.79,10.79
56.86,5.61,-5.12,5.61,-5.12,5.12,5.20,5.30,10.73,10.72,10.73
57.42,5.60,-5.05,5.60,-5.05,5.05,5.15,5.30,10.66,10.66,10.66
58.00,5.60,-4.99,5.60,-4.99,5.00,5.10,5.31,10.59,10.59,10.59
58.58,5.59,-4.94,5.59,-4.94,4.94,5.05,5.31,10.53,10.53,10.53
59.16,5.58,-4.88,5.58,-4.88,4.88,5.00,5.31,10.46,10.46,10.46
59.76,5.57,-4.82,5.57,-4.82,4.83,4.96,5.30,10.40,10.40,10.39
60.35,5.56,-4.77,5.56,-4.77,4.77,4.91,5.29,10.33,10.33,10.33
60.96,5.54,-4.72,5.54,-4.72,4.72,4.86,5.27,10.27,10.27,10.26
61.57,5.53,-4.67,5.53,-4.67,4.67,4.80,5.25,10.20,10.20,10.20
62.18,5.51,-4.62,5.51,-4.62,4.62,4.75,5.23,10.13,10.13,10.13
62.80,5.49,-4.58,5.49,-4.58,4.58,4.70,5.20,10.07,10.07,10.07
63.43,5.47,-4.53,5.47,-4.53,4.53,4.65,5.16,10.00,10.00,10.00
64.07,5.45,-4.48,5.45,-4.48,4.48,4.60,5.12,9.93,9.93,9.94
64.71,5.43,-4.44,5.43,-4.44,4.44,4.54,5.08,9.87,9.87,9.87
65.35,5.41,-4.39,5.41,-4.39,4.39,4.49,5.03,9.80,9.80,9.80
66.01,5.39,-4.34,5.39,-4.34,4.34,4.44,4.97,9.74,9.74,9.74
66.67,5.37,-4.30,5.37,-4.30,4.30,4.39,4.92,9.67,9.67,9.67
67.33,5.35,-4.25,5.35,-4.25,4.25,4.33,4.85,9.60,9.60,9.60
68.01,5.33,-4.21,5.33,-4.20,4.20,4.28,4.79,9.53,9.53,9.53
68.69,5.31,-4.16,5.31,-4.16,4.16,4.23,4.72,9.46,9.46,9.46
69.37,5.29,-4.11,5.29,-4.11,4.11,4.17,4.65,9.40,9.40,9.40
70.07,5.27,-4.06,5.27,-4.06,4.06,4.12,4.57,9.33,9.33,9.33
70.77,5.25,-4.01,5.25,-4.01,4.01,4.07,4.50,9.26,9.26,9.26
71.48,5.23,-3.96,5.23,-3.96,3.95,4.01,4.42,9.18,9.19,9.19
