frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.31,-10.30,6.31,-10.30,6.00,5.93,2.83,12.31,12.31,16.61
20.20,6.36,-10.24,6.36,-10.24,6.00,5.99,2.91,12.36,12.36,16.60
20.40,6.41,-10.18,6.41,-10.18,6.00,6.06,2.99,12.41,12.41,16.59
20.61,6.47,-10.11,6.47,-10.11,6.00,6.06,3.08,12.47,12.47,16.58
20.81,6.52,-10.04,6.52,-10.04,6.00,6.07,3.17,12.52,12.52,16.56
21.02,6.57,-9.97,6.57,-9.97,6.00,6.04,3.26,12.57,12.57,16.53
21.23,6.62,-9.89,6.62,-9.89,6.00,6.02,3.35,12.62,12.62,16.51
21.44,6.67,-9.81,6.67,-9.81,6.00,6.00,3.45,12.67,12.67,16.48
21.66,6.72,-9.74,6.72,-9.74,6.00,5.98,3.55,12.72,12.72,16.46
21.87,6.77,-9.66,6.77,-9.66,6.00,5.97,3.65,12.77,12.77,16.43
22.09,6.82,-9.58,6.82,-9.58,6.00,5.96,3.75,12.82,12.82,16.41
22.31,6.87,-9.51,6.87,-9.51,6.00,5.97,3.86,12.87,12.87,16.38
22.54,6.92,-9.43,6.92,-9.43,6.00,5.97,3.97,12.92,12.92,16.35
22.76,6.97,-9.35,6.97,-9.35,6.00,5.98,4.08,12.97,12.97,16.32
22.99,7.02,-9.28,7.02,-9.28,6.00,5.99,4.20,13.02,13.02,16.30
23.22,7.07,-9.20,7.07,-9.20,6.00,6.00,4.31,13.07,13.07,16.27
23.45,7.12,-9.12,7.12,-9.12,6.00,6.01,4.43,13.12,13.12,16.24
23.69,7.17,-9.04,7.17,-9.04,6.00,6.02,4.56,13.17,13.17,16.21
23.92,7.22,-8.97,7.22,-8.97,6.00,6.03,4.68,13.22,13.22,16.18
24.16,7.26,-8.89,7.26,-8.89,6.00,6.04,4.81,13.26,13.26,16.16
24.40,7.31,-8.81,7.31,-8.81,6.00,6.05,4.94,13.31,13.31,16.13
24.65,7.36,-8.74,7.36,-8.74,6.00,6.06,5.08,13.36,13.36,16.10
24.89,7.41,-8.66,7.41,-8.66,6.00,6.07,5.21,13.41,13.41,16.07
25.14,7.45,-8.58,7.45,-8.58,6.00,6.07,5.35,13.45,13.45,16.04
25.39,7.50,-8.51,7.50,-8.51,6.00,6.07,5.48,13.50,13.50,16.01
25.65,7.54,-8.43,7.54,-8.43,6.00,6.08,5.62,13.54,13.54,15.98
25.91,7.59,-8.36,7.59,-8.36,6.00,6.08,5.76,13.59,13.59,15.95
26.16,7.63,-8.28,7.63,-8.28,6.00,6.08,5.90,13.63,13.63,15.91
26.43,7.67,-8.21,7.67,-8.21,6.00,6.08,6.03,13.67,13.67,15.88
26.69,7.72,-8.13,7.72,-8.13,6.00,6.08,6.17,13.72,13.72,15.85
26.96,7.76,-8.06,7.76,-8.06,6.00,6.08,6.31,13.76,13.76,15.82
27.23,7.80,-7.99,7.80,-7.99,6.00,6.08,6.44,13.80,13.80,15.79
27.50,7.84,-7.91,7.84,-7.91,6.00,6.08,6.57,13.84,13.84,15.76
27.77,7.88,-7.84,7.88,-7.84,6.00,6.08,6.69,13.88,13.88,15.72
28.05,7.92,-7.77,7.92,-7.77,6.00,6.07,6.81,13.92,13.92,15.69
28.33,7.96,-7.70,7.96,-7.70,6.00,6.07,6.92,13.96,13.96,15.66
28.62,8.00,-7.62,8.00,-7.62,6.00,6.07,7.03,14.00,14.00,15.62
28.90,8.04,-7.55,8.04,-7.55,6.00,6.07,7.13,14.04,14.04,15.59
29.19,8.08,-7.48,8.08,-7.48,6.00,6.07,7.22,14.08,14.08,15.56
29.48,8.11,-7.41,8.11,-7.41,6.00,6.07,7.30,14.11,14.11,15.52
29.78,8.15,-7.34,8.15,-7.34,6.00,6.06,7.37,14.15,14.15,15.49
30.08,8.19,-7.27,8.19,-7.27,6.00,6.06,7.43,14.19,14.19,15.45
30.38,8.22,-7.20,8.22,-7.20,6.00,6.06,7.48,14.22,14.22,15.42
30.68,8.26,-7.13,8.26,-7.13,6.00,6.05,7.51,14.26,14.26,15.39
30.99,8.29,-7.06,8.29,-7.06,6.00,6.05,7.54,14.29,14.29,15.35
31.30,8.33,-6.99,8.33,-6.99,6.00,6.04,7.55,14.33,14.33,15.32
31.61,8.36,-6.92,8.36,-6.92,6.00,6.04,7.55,14.36,14.36,15.28
31.93,8.40,-6.85,8.40,-6.85,6.00,6.03,7.53,14.40,14.40,15.25
32.24,8.43,-6.78,8.43,-6.78,6.00,6.02,7.50,14.43,14.43,15.21
32.57,8.46,-6.72,8.46,-6.72,6.00,6.01,7.46,14.46,14.46,15.18
32.89,8.49,-6.65,8.49,-6.65,6.00,6.00,7.41,14.49,14.49,15.14
33.22,8.53,-6.58,8.53,-6.58,6.00,5.98,7.35,14.53,14.53,15.10
33.55,8.56,-6.51,8.56,-6.51,6.00,5.97,7.28,14.56,14.56,15.07
33.89,8.59,-6.44,8.59,-6.44,6.00,5.95,7.20,14.59,14.59,15.03
34.23,8.62,-6.38,8.62,-6.38,6.01,5.93,7.11,14.62,14.62,14.99
34.57,8.65,-6.31,8.65,-6.31,6.01,5.91,7.01,14.66,14.66,14.96
34.92,8.68,-6.24,8.68,-6.24,6.01,5.89,6.91,14.69,14.69,14.92
35.27,8.71,-6.18,8.71,-6.18,6.01,5.86,6.80,14.71,14.71,14.88
35.62,8.73,-6.11,8.73,-6.11,5.99,5.84,6.69,14.73,14.73,14.84
35.97,8.76,-6.04,8.76,-6.04,5.97,5.81,6.57,14.73,14.73,14.80
36.33,8.79,-5.98,8.79,-5.98,5.94,5.77,6.45,14.73,14.73,14.76
36.70,8.81,-5.91,8.81,-5.91,5.90,5.74,6.33,14.71,14.71,14.73
37.06,8.84,-5.84,8.84,-5.84,5.85,5.71,6.21,14.69,14.69,14.68
37.43,8.87,-5.78,8.87,-5.78,5.79,5.67,6.09,14.66,14.66,14.64
37.81,8.89,-5.71,8.89,-5.71,5.72,5.63,5.96,14.61,14.61,14.60
38.19,8.91,-5.65,8.91,-5.65,5.65,5.58,5.84,14.57,14.57,14.56
38.57,8.94,-5.58,8.94,-5.58,5.58,5.54,5.72,14.52,14.52,14.52
38.95,8.96,-5.51,8.96,-5.51,5.51,5.49,5.60,14.48,14.48,14.48
39.34,8.98,-5.45,8.98,-5.45,5.45,5.45,5.48,14.43,14.43,14.43
39.74,9.01,-5.38,9.01,-5.38,5.38,5.39,5.36,14.39,14.39,14.39
40.14,9.03,-5.31,9.03,-5.31,5.31,5.34,5.24,14.34,14.34,14.34
40.54,9.05,-5.25,9.05,-5.25,5.25,5.29,5.13,14.30,14.30,14.30
40.94,9.07,-5.18,9.07,-5.18,5.18,5.23,5.02,14.25,14.25,14.25
41.35,9.09,-5.11,9.09,-5.11,5.11,5.17,4.91,14.20,14.20,14.20
41.76,9.11,-5.04,9.11,-5.04,5.04,5.11,4.81,14.15,14.15,14.15
42.18,9.13,-4.98,9.13,-4.98,4.98,5.05,4.71,14.10,14.10,14.10
42.60,9.14,-4.91,9.14,-4.91,4.91,4.99,4.61,14.05,14.05,14.05
43.03,9.16,-4.84,9.16,-4.84,4.84,4.93,4.52,14.00,14.00,14.00
43.46,9.18,-4.77,9.18,-4.77,4.77,4.86,4.42,13.95,13.95,13.95
43.90,9.19,-4.70,9.20,-4.70,4.70,4.79,4.34,13.90,13.90,13.90
44.33,9.21,-4.64,9.21,-4.64,4.64,4.73,4.25,13.85,13.85,13.85
44.78,9.23,-4.57,9.23,-4.57,4.57,4.66,4.17,13.79,13.79,13.79
45.23,9.24,-4.50,9.24,-4.50,4.50,4.59,4.09,13.74,13.74,13.74
45.68,9.26,-4.43,9.26,-4.43,4.43,4.52,4.02,13.69,13.69,13.69
46.13,9.27,-4.36,9.27,-4.36,4.36,4.44,3.94,13.63,13.63,13.63
46.60,9.28,-4.29,9.28,-4.29,4.29,4.37,3.87,13.57,13.57,13.57
47.06,9.29,-4.22,9.30,-4.22,4.22,4.30,3.81,13.52,13.52,13.52
47.53,9.31,-4.15,9.31,-4.15,4.15,4.22,3.74,13.46,13.46,13.46
48.01,9.32,-4.09,9.32,-4.09,4.09,4.15,3.68,13.40,13.40,13.40
48.49,9.33,-4.02,9.33,-4.02,4.02,4.08,3.63,13.34,13.35,13.35
48.97,9.34,-3.95,9.34,-3.95,3.95,4.00,3.57,13.29,13.29,13.29
49.46,9.35,-3.88,9.35,-3.88,3.88,3.93,3.52,13.23,13.23,13.23
49.96,9.36,-3.81,9.36,-3.81,3.81,3.85,3.47,13.17,13.17,13.17
50.46,9.37,-3.74,9.37,-3.74,3.74,3.77,3.42,13.10,13.10,13.10
50.96,9.38,-3.67,9.38,-3.67,3.67,3.70,3.37,13.04,13.04,13.04
51.47,9.38,-3.60,9.38,-3.60,3.60,3.62,3.33,12.98,12.98,12.98
51.99,9.39,-3.53,9.39,-3.53,3.52,3.55,3.29,12.92,12.92,12.92
52.51,9.40,-3.45,9.40,-3.45,3.45,3.47,3.25,12.85,12.85,12.85
53.03,9.40,-3.38,9.40,-3.38,3.38,3.40,3.21,12.79,12.79,12.79
53.56,9.41,-3.31,9.41,-3.31,3.31,3.32,3.17,12.72,12.72,12.72
54.10,9.41,-3.24,9.41,-3.24,3.24,3.24,3.13,12.66,12.66,12.66
54.64,9.42,-3.17,9.42,-3.17,3.17,3.17,3.09,12.59,12.59,12.59
55.18,9.42,-3.10,9.42,-3.10,3.10,3.09,3.06,12.53,12.53,12.53
55.74,9.43,-3.03,9.43,-3.03,3.03,3.02,3.02,12.46,12.46,12.46
56.29,9.43,-2.97,9.43,-2.97,2.96,2.95,2.98,12.39,12.39,12.39
56.86,9.43,-2.90,9.43,-2.90,2.90,2.87,2.95,12.33,12.33,12.33
57.42,9.43,-2.83,9.43,-2.83,2.83,2.80,2.91,12.26,12.26,12.26
58.00,9.43,-2.76,9.43,-2.76,2.76,2.73,2.88,12.19,12.19,12.19
58.58,9.43,-2.69,9.43,-2.69,2.69,2.65,2.84,12.13,12.13,12.13
