frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.45,-7.93,6.45,-7.93,6.00,5.85,2.33,12.45,12.45,14.38
20.20,6.49,-7.88,6.49,-7.88,6.00,6.11,2.40,12.49,12.49,14.38
20.40,6.54,-7.83,6.54,-7.83,6.00,6.37,2.47,12.54,12.54,14.37
20.61,6.58,-7.77,6.58,-7.77,6.00,6.51,2.54,12.58,12.58,14.35
20.81,6.63,-7.70,6.63,-7.70,6.00,6.64,2.62,12.63,12.63,14.33
21.02,6.68,-7.62,6.68,-7.62,6.00,6.64,2.69,12.68,12.68,14.31
21.23,6.73,-7.55,6.73,-7.55,6.00,6.63,2.77,12.73,12.73,14.28
21.44,6.78,-7.48,6.78,-7.48,6.00,6.53,2.85,12.78,12.78,14.26
21.66,6.82,-7.41,6.82,-7.41,6.00,6.43,2.94,12.82,12.82,14.23
21.87,6.87,-7.33,6.87,-7.33,6.00,6.29,3.02,12.87,12.87,14.20
22.09,6.92,-7.26,6.92,-7.26,6.00,6.16,3.11,12.92,12.92,14.18
22.31,6.97,-7.18,6.97,-7.18,6.00,6.04,3.20,12.97,12.97,14.15
22.54,7.02,-7.11,7.02,-7.11,6.00,5.93,3.29,13.02,13.02,14.12
22.76,7.07,-7.03,7.07,-7.03,6.00,5.85,3.39,13.07,13.07,14.10
22.99,7.12,-6.95,7.12,-6.95,6.00,5.77,3.48,13.12,13.12,14.07
23.22,7.17,-6.87,7.17,-6.87,6.00,5.72,3.58,13.17,13.17,14.04
23.45,7.22,-6.79,7.22,-6.79,6.00,5.67,3.69,13.22,13.22,14.01
23.69,7.27,-6.71,7.27,-6.71,6.00,5.65,3.79,13.27,13.27,13.98
23.92,7.32,-6.63,7.32,-6.63,6.00,5.64,3.90,13.32,13.32,13.96
24.16,7.38,-6.55,7.38,-6.55,6.00,5.64,4.00,13.38,13.38,13.93
24.40,7.43,-6.47,7.43,-6.47,6.00,5.64,4.11,13.44,13.44,13.90
24.65,7.49,-6.38,7.49,-6.38,6.01,5.65,4.23,13.50,13.50,13.87
24.89,7.54,-6.30,7.54,-6.30,6.01,5.66,4.34,13.55,13.55,13.84
25.14,7.59,-6.22,7.59,-6.22,6.01,5.68,4.45,13.60,13.60,13.81
25.39,7.64,-6.14,7.64,-6.14,6.00,5.69,4.56,13.64,13.64,13.78
25.65,7.68,-6.07,7.68,-6.07,5.98,5.71,4.68,13.66,13.66,13.75
25.91,7.72,-6.00,7.72,-6.00,5.96,5.72,4.79,13.67,13.67,13.72
26.16,7.75,-5.93,7.75,-5.93,5.92,5.72,4.91,13.67,13.67,13.69
26.43,7.79,-5.87,7.79,-5.87,5.87,5.72,5.02,13.65,13.65,13.66
26.69,7.83,-5.80,7.83,-5.80,5.80,5.72,5.13,13.63,13.63,13.62
26.96,7.86,-5.73,7.87,-5.73,5.73,5.71,5.24,13.60,13.60,13.59
27.23,7.91,-5.65,7.91,-5.65,5.66,5.69,5.35,13.57,13.57,13.56
27.50,7.95,-5.57,7.95,-5.57,5.58,5.66,5.45,13.53,13.53,13.53
27.77,8.00,-5.50,8.00,-5.50,5.50,5.63,5.55,13.50,13.50,13.49
28.05,8.04,-5.42,8.04,-5.42,5.42,5.59,5.65,13.47,13.47,13.46
28.33,8.08,-5.35,8.08,-5.35,5.35,5.54,5.74,13.43,13.43,13.43
28.62,8.12,-5.28,8.12,-5.28,5.28,5.48,5.82,13.40,13.40,13.40
28.90,8.15,-5.21,8.15,-5.21,5.21,5.42,5.90,13.36,13.36,13.36
29.19,8.18,-5.15,8.18,-5.15,5.14,5.36,5.97,13.33,13.33,13.33
29.48,8.21,-5.08,8.21,-5.08,5.08,5.28,6.03,13.29,13.29,13.29
29.78,8.24,-5.02,8.24,-5.02,5.02,5.21,6.08,13.26,13.26,13.26
