frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.48,-0.01,10.48,-0.01,0.07,-0.13,-0.10,10.55,10.55,10.49
20.20,10.47,-0.01,10.47,-0.01,0.03,-0.13,-0.10,10.49,10.49,10.48
20.40,10.47,-0.01,10.47,-0.01,-0.02,-0.13,-0.10,10.45,10.45,10.48
20.61,10.48,0.01,10.48,0.02,-0.06,-0.14,-0.11,10.42,10.43,10.47
20.81,10.51,0.05,10.51,0.05,-0.10,-0.14,-0.11,10.42,10.42,10.46
21.02,10.55,0.10,10.55,0.10,-0.14,-0.14,-0.11,10.42,10.42,10.45
21.23,10.60,0.16,10.60,0.16,-0.17,-0.15,-0.11,10.43,10.43,10.44
21.44,10.65,0.21,10.65,0.21,-0.21,-0.15,-0.11,10.44,10.44,10.44
21.66,10.70,0.27,10.70,0.27,-0.26,-0.15,-0.12,10.44,10.44,10.43
21.87,10.74,0.32,10.74,0.32,-0.31,-0.16,-0.12,10.44,10.43,10.42
22.09,10.78,0.35,10.78,0.35,-0.34,-0.16,-0.12,10.43,10.43,10.42
22.31,10.80,0.38,10.80,0.38,-0.37,-0.16,-0.13,10.43,10.43,10.42
22.54,10.81,0.39,10.81,0.39,-0.38,-0.17,-0.13,10.43,10.43,10.42
22.76,10.81,0.39,10.81,0.39,-0.38,-0.17,-0.13,10.43,10.42,10.42
22.99,10.80,0.38,10.79,0.38,-0.37,-0.17,-0.13,10.42,10.42,10.41
23.22,10.77,0.36,10.77,0.36,-0.35,-0.18,-0.14,10.42,10.42,10.41
23.45,10.74,0.32,10.74,0.32,-0.32,-0.18,-0.14,10.42,10.42,10.42
23.69,10.70,0.29,10.70,0.29,-0.29,-0.19,-0.14,10.42,10.42,10.42
23.92,10.67,0.25,10.67,0.25,-0.25,-0.19,-0.15,10.41,10.42,10.42
24.16,10.64,0.21,10.64,0.21,-0.22,-0.19,-0.15,10.42,10.42,10.42
24.40,10.61,0.18,10.61,0.18,-0.19,-0.20,-0.15,10.42,10.42,10.42
24.65,10.58,0.16,10.58,0.16,-0.17,-0.20,-0.16,10.42,10.42,10.42
24.89,10.57,0.14,10.57,0.14,-0.15,-0.21,-0.16,10.42,10.42,10.42
25.14,10.56,0.13,10.56,0.13,-0.14,-0.21,-0.17,10.42,10.42,10.42
25.39,10.55,0.13,10.55,0.13,-0.14,-0.22,-0.17,10.41,10.41,10.42
25.65,10.56,0.14,10.56,0.14,-0.15,-0.22,-0.17,10.41,10.41,10.42
25.91,10.57,0.15,10.57,0.15,-0.16,-0.22,-0.18,10.41,10.41,10.42
26.16,10.59,0.17,10.59,0.17,-0.17,-0.23,-0.18,10.41,10.41,10.42
26.43,10.61,0.19,10.61,0.19,-0.19,-0.24,-0.19,10.42,10.42,10.42
26.69,10.63,0.21,10.63,0.21,-0.21,-0.24,-0.19,10.43,10.43,10.42
26.96,10.66,0.23,10.66,0.23,-0.22,-0.25,-0.20,10.44,10.44,10.43
27.23,10.67,0.24,10.67,0.24,-0.22,-0.25,-0.20,10.45,10.45,10.44
27.50,10.69,0.24,10.69,0.24,-0.23,-0.26,-0.21,10.46,10.46,10.45
27.77,10.70,0.23,10.70,0.23,-0.23,-0.26,-0.21,10.47,10.47,10.47
28.05,10.70,0.22,10.70,0.22,-0.22,-0.27,-0.22,10.48,10.48,10.48
28.33,10.70,0.21,10.70,0.21,-0.22,-0.27,-0.22,10.48,10.48,10.49
28.62,10.70,0.20,10.70,0.20,-0.21,-0.28,-0.23,10.49,10.49,10.50
28.90,10.69,0.19,10.69,0.19,-0.19,-0.29,-0.23,10.50,10.50,10.50
29.19,10.68,0.18,10.68,0.18,-0.18,-0.29,-0.24,10.50,10.50,10.49
29.48,10.66,0.18,10.66,0.17,-0.16,-0.30,-0.25,10.50,10.50,10.49
29.78,10.63,0.16,10.63,0.16,-0.15,-0.31,-0.25,10.49,10.49,10.47
30.08,10.60,0.14,10.60,0.14,-0.13,-0.31,-0.26,10.47,10.47,10.46
30.38,10.57,0.12,10.57,0.12,-0.12,-0.32,-0.27,10.45,10.45,10.45
30.68,10.53,0.10,10.53,0.10,-0.11,-0.33,-0.27,10.42,10.42,10.43
30.99,10.49,0.08,10.49,0.08,-0.10,-0.34,-0.28,10.40,10.40,10.41
31.30,10.46,0.08,10.46,0.08,-0.09,-0.34,-0.29,10.37,10.37,10.39
31.61,10.44,0.08,10.44,0.08,-0.08,-0.35,-0.29,10.35,10.35,10.36
31.93,10.41,0.09,10.41,0.09,-0.08,-0.36,-0.30,10.33,10.33,10.32
32.24,10.39,0.10,10.39,0.10,-0.08,-0.37,-0.31,10.31,10.31,10.29
32.57,10.36,0.10,10.36,0.10,-0.08,-0.38,-0.32,10.28,10.28,10.26
32.89,10.33,0.10,10.33,0.10,-0.09,-0.39,-0.33,10.24,10.24,10.23
33.22,10.30,0.09,10.30,0.09,-0.09,-0.40,-0.34,10.21,10.20,10.21
33.55,10.27,0.09,10.27,0.09,-0.11,-0.41,-0.35,10.17,10.17,10.18
33.89,10.26,0.10,10.26,0.10,-0.12,-0.42,-0.36,10.13,10.13,10.15
34.23,10.25,0.13,10.25,0.13,-0.15,-0.43,-0.37,10.10,10.10,10.12
34.57,10.25,0.16,10.25,0.17,-0.17,-0.44,-0.38,10.07,10.07,10.08
34.92,10.25,0.21,10.25,0.21,-0.20,-0.45,-0.39,10.05,10.05,10.04
35.27,10.24,0.25,10.24,0.25,-0.23,-0.46,-0.40,10.01,10.01,10.00
35.62,10.24,0.28,10.24,0.28,-0.26,-0.47,-0.41,9.98,9.97,9.95
35.97,10.22,0.31,10.22,0.31,-0.29,-0.48,-0.42,9.93,9.93,9.91
36.33,10.19,0.32,10.20,0.32,-0.32,-0.49,-0.43,9.87,9.87,9.87
36.70,10.17,0.34,10.17,0.34,-0.35,-0.51,-0.45,9.82,9.82,9.83
37.06,10.15,0.36,10.15,0.36,-0.38,-0.52,-0.46,9.77,9.77,9.79
37.43,10.14,0.40,10.14,0.40,-0.41,-0.53,-0.47,9.73,9.73,9.74
37.81,10.14,0.44,10.14,0.44,-0.45,-0.54,-0.49,9.69,9.69,9.70
38.19,10.15,0.49,10.15,0.49,-0.48,-0.56,-0.50,9.66,9.66,9.66
38.57,10.15,0.54,10.15,0.53,-0.52,-0.57,-0.51,9.63,9.63,9.62
38.95,10.15,0.57,10.15,0.57,-0.56,-0.59,-0.53,9.58,9.58,9.57
39.34,10.13,0.61,10.13,0.61,-0.60,-0.60,-0.54,9.53,9.53,9.52
39.74,10.11,0.64,10.11,0.64,-0.64,-0.62,-0.56,9.47,9.47,9.47
40.14,10.09,0.67,10.09,0.67,-0.68,-0.63,-0.58,9.41,9.41,9.42
40.54,10.07,0.70,10.07,0.70,-0.71,-0.65,-0.59,9.35,9.35,9.36
40.94,10.06,0.74,10.06,0.74,-0.75,-0.67,-0.61,9.30,9.30,9.32
41.35,10.05,0.78,10.05,0.78,-0.79,-0.68,-0.63,9.26,9.26,9.27
41.76,10.06,0.83,10.06,0.83,-0.84,-0.70,-0.65,9.22,9.22,9.23
42.18,10.06,0.88,10.06,0.88,-0.87,-0.72,-0.67,9.19,9.19,9.18
42.60,10.06,0.92,10.06,0.92,-0.91,-0.74,-0.69,9.16,9.15,9.14
43.03,10.05,0.96,10.05,0.96,-0.94,-0.76,-0.71,9.11,9.11,9.09
43.46,10.02,0.98,10.02,0.98,-0.96,-0.78,-0.73,9.06,9.06,9.05
43.90,9.98,0.99,9.98,0.99,-0.98,-0.80,-0.75,9.00,9.00,9.00
44.33,9.94,0.99,9.94,0.99,-0.99,-0.82,-0.77,8.94,8.94,8.95
44.78,9.89,0.99,9.89,1.00,-1.00,-0.84,-0.79,8.89,8.89,8.90
45.23,9.85,1.00,9.85,1.00,-1.01,-0.86,-0.81,8.83,8.84,8.84
45.68,9.81,1.02,9.81,1.02,-1.02,-0.89,-0.84,8.78,8.78,8.79
46.13,9.77,1.03,9.77,1.03,-1.04,-0.91,-0.86,8.73,8.73,8.74
46.60,9.74,1.05,9.74,1.05,-1.05,-0.93,-0.89,8.68,8.68,8.69
47.06,9.71,1.07,9.71,1.07,-1.07,-0.96,-0.91,8.63,8.63,8.64
47.53,9.68,1.09,9.68,1.10,-1.10,-0.98,-0.94,8.58,8.59,8.59
48.01,9.66,1.12,9.66,1.12,-1.12,-1.01,-0.96,8.54,8.54,8.54
48.49,9.64,1.15,9.64,1.15,-1.15,-1.04,-0.99,8.49,8.49,8.49
48.97,9.62,1.17,9.62,1.17,-1.17,-1.06,-1.02,8.44,8.44,8.44
49.46,9.59,1.20,9.59,1.20,-1.20,-1.09,-1.04,8.40,8.39,8.39
49.96,9.56,1.22,9.56,1.22,-1.22,-1.12,-1.07,8.34,8.35,8.34
50.46,9.53,1.24,9.54,1.24,-1.24,-1.14,-1.10,8.30,8.30,8.29
50.96,9.51,1.26,9.51,1.26,-1.26,-1.17,-1.13,8.25,8.25,8.25
51.47,9.48,1.27,9.48,1.27,-1.27,-1.20,-1.16,8.21,8.21,8.21
51.99,9.45,1.29,9.45,1.29,-1.29,-1.23,-1.19,8.16,8.16,8.16
52.51,9.42,1.30,9.42,1.30,-1.30,-1.26,-1.21,8.12,8.12,8.12
53.03,9.38,1.31,9.38,1.31,-1.31,-1.28,-1.24,8.07,8.07,8.07
53.56,9.35,1.32,9.35,1.32,-1.32,-1.31,-1.27,8.03,8.03,8.02
54.10,9.31,1.33,9.31,1.33,-1.33,-1.34,-1.30,7.98,7.98,7.97
54.64,9.27,1.34,9.27,1.34,-1.34,-1.37,-1.32,7.93,7.93,7.93
55.18,9.23,1.35,9.23,1.35,-1.35,-1.39,-1.35,7.88,7.88,7.89
55.74,9.20,1.36,9.20,1.36,-1.37,-1.42,-1.38,7.84,7.84,7.84
56.29,9.18,1.38,9.17,1.38,-1.38,-1.45,-1.40,7.80,7.80,7.80
56.86,9.15,1.40,9.15,1.39,-1.40,-1.47,-1.43,7.75,7.75,7.75
57.42,9.12,1.41,9.12,1.41,-1.41,-1.49,-1.45,7.71,7.71,7.71
58.00,9.10,1.43,9.10,1.43,-1.43,-1.52,-1.47,7.67,7.67,7.67
58.58,9.07,1.45,9.07,1.45,-1.45,-1.54,-1.49,7.62,7.62,7.62
59.16,9.04,1.47,9.04,1.47,-1.47,-1.56,-1.52,7.57,7.57,7.57
59.76,9.01,1.49,9.01,1.49,-1.48,-1.57,-1.53,7.53,7.53,7.52
60.35,8.98,1.50,8.98,1.50,-1.50,-1.59,-1.55,7.48,7.48,7.48
60.96,8.95,1.52,8.95,1.52,-1.52,-1.61,-1.57,7.43,7.43,7.43
61.57,8.91,1.53,8.91,1.53,-1.53,-1.62,-1.58,7.39,7.39,7.38
62.18,8.88,1.54,8.88,1.54,-1.54,-1.63,-1.59,7.34,7.34,7.34
62.80,8.85,1.55,8.85,1.55,-1.55,-1.64,-1.61,7.30,7.30,7.30
63.43,8.81,1.56,8.81,1.56,-1.56,-1.65,-1.62,7.26,7.26,7.26
64.07,8.78,1.56,8.78,1.56,-1.56,-1.66,-1.62,7.22,7.22,7.21
64.71,8.74,1.57,8.74,1.57,-1.56,-1.67,-1.63,7.17,7.17,7.17
65.35,8.70,1.57,8.70,1.57,-1.57,-1.67,-1.64,7.13,7.13,7.13
66.01,8.66,1.57,8.66,1.57,-1.57,-1.68,-1.64,7.09,7.09,7.09
66.67,8.62,1.58,8.62,1.57,-1.58,-1.68,-1.64,7.04,7.04,7.04
67.33,8.58,1.58,8.58,1.58,-1.58,-1.69,-1.65,6.99,6.99,7.00
68.01,8.54,1.58,8.54,1.59,-1.60,-1.69,-1.65,6.94,6.94,6.95
68.69,8.50,1.60,8.50,1.60,-1.61,-1.69,-1.65,6.88,6.88,6.90
69.37,8.46,1.62,8.46,1.62,-1.63,-1.69,-1.65,6.83,6.83,6.84
70.07,8.43,1.65,8.43,1.65,-1.65,-1.69,-1.64,6.77,6.77,6.77
