frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.94,-0.70,12.94,-0.70,0.70,-0.07,0.19,13.64,13.64,13.64
20.20,12.94,-0.69,12.94,-0.69,0.69,-0.07,0.19,13.64,13.64,13.63
20.40,12.94,-0.68,12.94,-0.68,0.68,-0.07,0.20,13.63,13.63,13.63
20.61,12.95,-0.68,12.95,-0.68,0.67,-0.06,0.21,13.62,13.62,13.62
20.81,12.95,-0.67,12.95,-0.67,0.66,-0.06,0.22,13.61,13.61,13.61
21.02,12.95,-0.65,12.95,-0.66,0.65,-0.05,0.22,13.60,13.60,13.60
21.23,12.95,-0.64,12.95,-0.64,0.65,-0.05,0.23,13.60,13.60,13.60
21.44,12.95,-0.63,12.95,-0.63,0.64,-0.04,0.24,13.59,13.59,13.59
21.66,12.96,-0.63,12.96,-0.63,0.63,-0.03,0.25,13.58,13.58,13.58
21.87,12.96,-0.62,12.96,-0.62,0.62,-0.02,0.26,13.58,13.58,13.58
22.09,12.97,-0.61,12.97,-0.61,0.61,-0.01,0.27,13.57,13.57,13.57
22.31,12.97,-0.60,12.97,-0.60,0.60,0.00,0.28,13.57,13.57,13.57
22.54,12.98,-0.59,12.98,-0.59,0.59,0.01,0.29,13.57,13.57,13.57
22.76,12.99,-0.58,12.99,-0.58,0.58,0.03,0.30,13.57,13.57,13.57
22.99,12.99,-0.58,12.99,-0.58,0.58,0.05,0.31,13.57,13.57,13.57
23.22,13.00,-0.57,13.00,-0.57,0.57,0.07,0.32,13.57,13.57,13.57
23.45,13.00,-0.57,13.00,-0.57,0.57,0.09,0.33,13.57,13.57,13.57
23.69,13.00,-0.57,13.00,-0.57,0.57,0.12,0.34,13.57,13.57,13.57
23.92,13.00,-0.57,13.00,-0.57,0.57,0.14,0.35,13.57,13.57,13.57
24.16,13.00,-0.57,13.00,-0.57,0.57,0.18,0.36,13.57,13.57,13.57
24.40,13.00,-0.57,13.00,-0.57,0.57,0.21,0.37,13.57,13.57,13.58
24.65,13.00,-0.57,13.00,-0.57,0.57,0.26,0.38,13.57,13.57,13.58
24.89,13.00,-0.57,13.00,-0.57,0.57,0.30,0.39,13.57,13.57,13.58
25.14,13.01,-0.57,13.01,-0.57,0.57,0.36,0.40,13.57,13.57,13.58
25.39,13.01,-0.57,13.01,-0.57,0.57,0.42,0.42,13.57,13.57,13.57
25.65,13.01,-0.56,13.01,-0.56,0.56,0.49,0.43,13.57,13.57,13.57
25.91,13.01,-0.56,13.01,-0.56,0.56,0.56,0.44,13.57,13.57,13.57
26.16,13.01,-0.56,13.01,-0.56,0.56,0.65,0.45,13.57,13.57,13.57
26.43,13.01,-0.56,13.01,-0.56,0.56,0.73,0.46,13.57,13.57,13.57
26.69,13.01,-0.56,13.01,-0.56,0.56,0.82,0.47,13.58,13.58,13.57
26.96,13.02,-0.56,13.02,-0.56,0.57,0.90,0.48,13.59,13.59,13.58
27.23,13.02,-0.57,13.02,-0.57,0.58,0.98,0.48,13.60,13.60,13.59
27.50,13.02,-0.59,13.02,-0.59,0.59,1.06,0.49,13.61,13.61,13.61
27.77,13.02,-0.60,13.02,-0.60,0.61,1.10,0.50,13.62,13.62,13.62
