frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.58,-4.50,7.58,-4.50,4.51,4.38,1.26,12.09,12.09,12.09
20.20,7.60,-4.48,7.60,-4.48,4.49,4.40,1.30,12.08,12.08,12.08
20.40,7.61,-4.46,7.61,-4.46,4.46,4.41,1.34,12.07,12.07,12.07
20.61,7.63,-4.44,7.63,-4.44,4.43,4.42,1.38,12.06,12.06,12.07
20.81,7.65,-4.41,7.65,-4.41,4.40,4.43,1.43,12.05,12.05,12.06
21.02,7.67,-4.38,7.67,-4.38,4.37,4.44,1.47,12.05,12.05,12.05
21.23,7.70,-4.35,7.69,-4.35,4.35,4.45,1.52,12.04,12.04,12.04
21.44,7.72,-4.32,7.72,-4.32,4.32,4.45,1.57,12.04,12.04,12.03
21.66,7.74,-4.29,7.74,-4.29,4.29,4.45,1.61,12.03,12.03,12.03
21.87,7.76,-4.26,7.76,-4.26,4.26,4.45,1.67,12.03,12.03,12.02
22.09,7.78,-4.24,7.78,-4.24,4.24,4.44,1.72,12.02,12.02,12.02
22.31,7.81,-4.21,7.81,-4.21,4.21,4.44,1.77,12.02,12.02,12.02
22.54,7.83,-4.19,7.83,-4.19,4.19,4.43,1.82,12.02,12.02,12.02
22.76,7.85,-4.16,7.85,-4.16,4.16,4.41,1.88,12.01,12.01,12.01
22.99,7.87,-4.14,7.87,-4.14,4.14,4.40,1.94,12.01,12.01,12.01
23.22,7.90,-4.11,7.90,-4.11,4.11,4.38,2.00,12.01,12.01,12.01
23.45,7.93,-4.09,7.93,-4.09,4.09,4.36,2.06,12.01,12.01,12.01
23.69,7.95,-4.06,7.95,-4.06,4.06,4.34,2.12,12.02,12.02,12.02
23.92,7.98,-4.03,7.98,-4.03,4.03,4.31,2.18,12.02,12.02,12.02
24.16,8.02,-4.00,8.02,-4.00,4.00,4.29,2.24,12.02,12.02,12.02
24.40,8.05,-3.97,8.05,-3.97,3.97,4.26,2.30,12.02,12.02,12.02
24.65,8.09,-3.94,8.09,-3.94,3.94,4.22,2.37,12.02,12.02,12.02
24.89,8.12,-3.90,8.12,-3.90,3.90,4.19,2.43,12.02,12.02,12.02
25.14,8.16,-3.86,8.16,-3.86,3.86,4.15,2.50,12.02,12.02,12.02
25.39,8.20,-3.82,8.20,-3.82,3.82,4.10,2.56,12.02,12.02,12.02
25.65,8.24,-3.77,8.24,-3.77,3.77,4.06,2.63,12.02,12.02,12.02
25.91,8.29,-3.73,8.29,-3.73,3.73,4.01,2.69,12.02,12.02,12.02
26.16,8.33,-3.68,8.33,-3.68,3.69,3.96,2.76,12.02,12.02,12.01
26.43,8.38,-3.64,8.38,-3.64,3.64,3.91,2.82,12.02,12.02,12.02
26.69,8.42,-3.60,8.42,-3.60,3.60,3.86,2.88,12.02,12.02,12.02
26.96,8.46,-3.56,8.46,-3.56,3.57,3.80,2.94,12.03,12.03,12.03
