frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.17,1.33,5.17,1.33,-1.32,-0.91,-0.20,3.85,3.85,3.83
20.20,5.15,1.28,5.15,1.30,-1.30,-0.98,-0.21,3.85,3.85,3.87
20.40,5.14,1.28,5.14,1.27,-1.28,-1.06,-0.21,3.86,3.86,3.87
20.61,5.15,1.28,5.15,1.25,-1.27,-1.13,-0.22,3.88,3.88,3.87
20.81,5.17,1.23,5.17,1.25,-1.26,-1.20,-0.23,3.91,3.91,3.94
21.02,5.20,1.23,5.20,1.24,-1.24,-1.27,-0.24,3.95,3.95,3.97
21.23,5.24,1.26,5.24,1.24,-1.23,-1.33,-0.24,4.00,4.00,3.97
21.44,5.27,1.25,5.27,1.24,-1.22,-1.37,-0.25,4.05,4.05,4.03
21.66,5.31,1.22,5.31,1.22,-1.22,-1.42,-0.26,4.09,4.09,4.09
21.87,5.34,1.18,5.34,1.20,-1.21,-1.43,-0.27,4.13,4.13,4.16
22.09,5.35,1.19,5.35,1.19,-1.20,-1.45,-0.28,4.15,4.15,4.17
22.31,5.36,1.19,5.36,1.18,-1.20,-1.43,-0.29,4.16,4.16,4.17
22.54,5.36,1.19,5.35,1.19,-1.19,-1.41,-0.30,4.17,4.17,4.17
22.76,5.35,1.18,5.34,1.18,-1.17,-1.37,-0.30,4.17,4.17,4.17
22.99,5.33,1.16,5.33,1.17,-1.16,-1.32,-0.31,4.17,4.17,4.17
23.22,5.32,1.15,5.32,1.15,-1.14,-1.25,-0.32,4.17,4.17,4.17
23.45,5.31,1.14,5.31,1.12,-1.12,-1.18,-0.33,4.19,4.19,4.17
23.69,5.30,1.07,5.30,1.09,-1.09,-1.10,-0.34,4.21,4.21,4.23
23.92,5.30,1.03,5.30,1.05,-1.05,-1.02,-0.35,4.25,4.25,4.27
24.16,5.29,1.03,5.29,1.00,-1.00,-0.94,-0.37,4.30,4.30,4.27
24.40,5.29,0.95,5.29,0.95,-0.93,-0.87,-0.38,4.36,4.35,4.34
24.65,5.28,0.88,5.28,0.88,-0.86,-0.79,-0.39,4.42,4.41,4.40
24.89,5.27,0.80,5.27,0.80,-0.79,-0.72,-0.40,4.47,4.47,4.47
25.14,5.25,0.73,5.25,0.72,-0.73,-0.65,-0.41,4.53,4.53,4.53
