frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.43,2.87,7.43,2.86,-2.90,-2.75,-0.74,4.53,4.53,4.56
20.20,7.43,2.84,7.43,2.85,-2.86,-2.73,-0.76,4.57,4.57,4.59
20.40,7.44,2.84,7.44,2.84,-2.83,-2.71,-0.78,4.61,4.61,4.59
20.61,7.44,2.84,7.44,2.82,-2.80,-2.69,-0.81,4.64,4.64,4.60
20.81,7.44,2.78,7.44,2.80,-2.77,-2.67,-0.83,4.68,4.68,4.66
21.02,7.45,2.75,7.45,2.77,-2.74,-2.65,-0.86,4.71,4.71,4.69
21.23,7.45,2.75,7.45,2.73,-2.71,-2.62,-0.88,4.74,4.74,4.70
21.44,7.45,2.70,7.45,2.69,-2.68,-2.60,-0.91,4.77,4.77,4.75
21.66,7.46,2.64,7.46,2.64,-2.65,-2.58,-0.94,4.81,4.81,4.81
21.87,7.46,2.57,7.46,2.59,-2.62,-2.56,-0.97,4.84,4.84,4.89
22.09,7.46,2.57,7.46,2.57,-2.60,-2.53,-1.00,4.86,4.86,4.89
22.31,7.46,2.57,7.46,2.56,-2.58,-2.51,-1.03,4.88,4.88,4.89
22.54,7.46,2.57,7.46,2.57,-2.57,-2.48,-1.06,4.89,4.89,4.89
22.76,7.46,2.57,7.46,2.57,-2.57,-2.46,-1.09,4.90,4.90,4.89
22.99,7.46,2.57,7.46,2.58,-2.56,-2.43,-1.12,4.90,4.90,4.89
23.22,7.46,2.57,7.46,2.57,-2.55,-2.40,-1.16,4.91,4.91,4.89
23.45,7.46,2.57,7.46,2.55,-2.54,-2.38,-1.19,4.92,4.92,4.89
23.69,7.46,2.50,7.46,2.52,-2.52,-2.35,-1.22,4.94,4.94,4.96
23.92,7.46,2.46,7.46,2.48,-2.48,-2.32,-1.26,4.98,4.98,4.99
24.16,7.45,2.46,7.45,2.44,-2.43,-2.30,-1.30,5.02,5.02,4.99
