frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,16.00,8.19,16.00,8.19,-8.27,-8.12,-3.20,7.73,7.73,7.81
20.20,16.01,8.16,16.00,8.18,-8.19,-8.17,-3.29,7.82,7.81,7.84
20.40,16.00,8.16,15.99,8.15,-8.11,-8.23,-3.38,7.89,7.88,7.84
20.61,15.98,8.13,15.97,8.10,-8.04,-8.24,-3.47,7.93,7.93,7.84
20.81,15.93,8.02,15.93,8.04,-7.97,-8.24,-3.57,7.96,7.96,7.91
21.02,15.88,7.94,15.89,7.96,-7.91,-8.20,-3.67,7.97,7.97,7.94
21.23,15.84,7.89,15.84,7.87,-7.86,-8.15,-3.77,7.98,7.98,7.95
21.44,15.80,7.80,15.80,7.80,-7.80,-8.07,-3.88,8.00,8.00,8.00
21.66,15.78,7.72,15.78,7.72,-7.74,-7.99,-3.99,8.04,8.04,8.06
21.87,15.77,7.63,15.77,7.65,-7.69,-7.90,-4.10,8.07,8.07,8.13
22.09,15.76,7.62,15.76,7.62,-7.66,-7.80,-4.21,8.11,8.11,8.14
22.31,15.76,7.62,15.76,7.61,-7.63,-7.71,-4.33,8.13,8.13,8.14
22.54,15.77,7.62,15.77,7.62,-7.61,-7.62,-4.45,8.15,8.15,8.14
22.76,15.76,7.62,15.76,7.62,-7.60,-7.54,-4.58,8.16,8.16,8.14
22.99,15.76,7.61,15.76,7.62,-7.59,-7.46,-4.70,8.17,8.16,8.14
23.22,15.74,7.60,15.74,7.60,-7.58,-7.40,-4.83,8.16,8.16,8.14
23.45,15.73,7.59,15.73,7.57,-7.56,-7.33,-4.97,8.17,8.17,8.14
23.69,15.72,7.52,15.72,7.54,-7.54,-7.27,-5.10,8.18,8.18,8.20
23.92,15.72,7.48,15.72,7.50,-7.51,-7.22,-5.24,8.21,8.21,8.24
24.16,15.73,7.49,15.73,7.46,-7.47,-7.17,-5.38,8.26,8.26,8.24
24.40,15.74,7.43,15.74,7.43,-7.43,-7.13,-5.53,8.31,8.31,8.31
24.65,15.77,7.39,15.77,7.40,-7.39,-7.09,-5.68,8.38,8.38,8.38
24.89,15.79,7.35,15.79,7.35,-7.34,-7.05,-5.82,8.45,8.45,8.44
25.14,15.82,7.31,15.82,7.31,-7.30,-7.02,-5.97,8.51,8.51,8.50
25.39,15.84,7.26,15.83,7.25,-7.26,-6.98,-6.13,8.58,8.58,8.57
25.65,15.85,7.19,15.85,7.20,-7.21,-6.96,-6.28,8.64,8.64,8.65
25.91,15.85,7.14,15.85,7.15,-7.16,-6.93,-6.43,8.70,8.70,8.72
26.16,15.86,7.11,15.85,7.12,-7.11,-6.90,-6.59,8.75,8.75,8.74
26.43,15.85,7.10,15.85,7.08,-7.06,-6.88,-6.74,8.79,8.79,8.75
26.69,15.85,7.04,15.85,7.03,-7.02,-6.86,-6.90,8.83,8.83,8.82
26.96,15.85,6.97,15.85,6.98,-6.98,-6.83,-7.05,8.87,8.87,8.88
27.23,15.86,6.92,15.86,6.94,-6.96,-6.81,-7.20,8.90,8.90,8.94
27.50,15.87,6.93,15.87,6.92,-6.95,-6.79,-7.34,8.92,8.92,8.94
27.77,15.88,6.94,15.88,6.93,-6.95,-6.78,-7.48,8.93,8.93,8.94
28.05,15.89,6.95,15.89,6.94,-6.96,-6.76,-7.62,8.93,8.93,8.94
28.33,15.89,6.95,15.89,6.97,-6.98,-6.74,-7.75,8.92,8.92,8.94
28.62,15.90,7.01,15.89,7.00,-7.00,-6.72,-7.88,8.90,8.90,8.89
28.90,15.89,7.05,15.89,7.03,-7.02,-6.70,-7.99,8.87,8.87,8.84
29.19,15.89,7.04,15.89,7.05,-7.04,-6.69,-8.10,8.85,8.85,8.84
29.48,15.88,7.04,15.88,7.05,-7.04,-6.67,-8.20,8.84,8.84,8.84
29.78,15.88,7.04,15.88,7.04,-7.02,-6.65,-8.29,8.85,8.86,8.84
30.08,15.88,7.02,15.88,7.01,-6.99,-6.64,-8.36,8.88,8.88,8.86
30.38,15.88,6.96,15.88,6.96,-6.95,-6.62,-8.42,8.93,8.93,8.92
30.68,15.88,6.89,15.88,6.89,-6.88,-6.61,-8.47,8.99,8.99,8.99
30.99,15.87,6.81,15.86,6.81,-6.80,-6.59,-8.51,9.06,9.06,9.06
31.30,15.85,6.72,15.84,6.72,-6.71,-6.57,-8.53,9.13,9.13,9.12
31.61,15.82,6.62,15.82,6.62,-6.62,-6.56,-8.54,9.20,9.20,9.19
31.93,15.79,6.52,15.79,6.52,-6.52,-6.54,-8.54,9.27,9.27,9.27
32.24,15.76,6.42,15.76,6.42,-6.43,-6.53,-8.52,9.32,9.32,9.33
32.57,15.72,6.33,15.73,6.33,-6.36,-6.51,-8.49,9.37,9.37,9.40
32.89,15.70,6.25,15.70,6.26,-6.29,-6.49,-8.45,9.40,9.40,9.44
33.22,15.67,6.22,15.67,6.22,-6.24,-6.48,-8.40,9.42,9.42,9.44
33.55,15.64,6.19,15.63,6.20,-6.21,-6.46,-8.34,9.43,9.43,9.44
33.89,15.60,6.19,15.60,6.20,-6.19,-6.44,-8.27,9.41,9.41,9.40
34.23,15.56,6.21,15.56,6.19,-6.18,-6.43,-8.19,9.38,9.38,9.34
34.57,15.52,6.18,15.52,6.19,-6.19,-6.41,-8.10,9.33,9.33,9.34
34.92,15.48,6.18,15.48,6.19,-6.20,-6.39,-8.01,9.29,9.29,9.30
35.27,15.46,6.22,15.46,6.19,-6.21,-6.38,-7.91,9.25,9.25,9.24
35.62,15.44,6.20,15.44,6.22,-6.22,-6.36,-7.81,9.22,9.22,9.24
35.97,15.42,6.24,15.42,6.24,-6.23,-6.34,-7.70,9.20,9.20,9.19
36.33,15.41,6.27,15.41,6.25,-6.23,-6.33,-7.59,9.18,9.18,9.14
36.70,15.39,6.25,15.39,6.25,-6.23,-6.31,-7.48,9.16,9.16,9.14
37.06,15.37,6.23,15.37,6.24,-6.23,-6.29,-7.37,9.15,9.15,9.14
37.43,15.35,6.21,15.36,6.21,-6.22,-6.27,-7.26,9.14,9.14,9.14
37.81,15.34,6.20,15.34,6.20,-6.20,-6.26,-7.15,9.14,9.14,9.14
38.19,15.32,6.18,15.32,6.18,-6.18,-6.24,-7.04,9.15,9.15,9.14
38.57,15.30,6.16,15.30,6.16,-6.16,-6.22,-6.94,9.15,9.15,9.14
38.95,15.29,6.14,15.29,6.14,-6.14,-6.20,-6.83,9.15,9.15,9.14
39.34,15.27,6.13,15.27,6.12,-6.14,-6.18,-6.73,9.13,9.13,9.14
39.74,15.25,6.11,15.25,6.11,-6.15,-6.16,-6.63,9.10,9.10,9.14
40.14,15.23,6.09,15.23,6.11,-6.16,-6.15,-6.53,9.07,9.07,9.14
40.54,15.21,6.14,15.21,6.14,-6.17,-6.13,-6.44,9.04,9.04,9.07
40.94,15.19,6.19,15.19,6.18,-6.18,-6.11,-6.35,9.01,9.01,9.00
41.35,15.16,6.22,15.16,6.21,-6.16,-6.09,-6.27,9.00,9.00,8.94
41.76,15.13,6.19,15.13,6.21,-6.14,-6.07,-6.18,9.00,9.00,8.94
42.18,15.10,6.16,15.10,6.16,-6.09,-6.05,-6.11,9.02,9.02,8.94
42.60,15.08,6.10,15.08,6.07,-6.02,-6.03,-6.03,9.06,9.06,8.98
43.03,15.05,5.93,15.05,5.96,-5.94,-6.01,-5.97,9.11,9.11,9.12
43.46,15.03,5.83,15.03,5.83,-5.86,-5.99,-5.90,9.17,9.17,9.20
43.90,15.01,5.74,15.01,5.73,-5.79,-5.97,-5.84,9.22,9.22,9.27
44.33,14.99,5.66,14.99,5.66,-5.73,-5.95,-5.78,9.26,9.26,9.33
44.78,14.97,5.63,14.97,5.63,-5.69,-5.93,-5.73,9.28,9.28,9.34
45.23,14.95,5.64,14.95,5.64,-5.67,-5.91,-5.69,9.28,9.28,9.31
45.68,14.92,5.68,14.92,5.68,-5.67,-5.89,-5.64,9.26,9.26,9.25
46.13,14.90,5.73,14.90,5.70,-5.68,-5.87,-5.60,9.21,9.22,9.17
46.60,14.87,5.73,14.87,5.73,-5.70,-5.85,-5.57,9.17,9.17,9.14
47.06,14.84,5.71,14.85,5.74,-5.72,-5.83,-5.54,9.12,9.12,9.13
47.53,14.82,5.75,14.82,5.74,-5.73,-5.81,-5.51,9.09,9.09,9.07
48.01,14.79,5.75,14.79,5.74,-5.73,-5.79,-5.49,9.06,9.06,9.04
48.49,14.77,5.72,14.76,5.73,-5.72,-5.77,-5.47,9.05,9.05,9.04
48.97,14.73,5.69,14.73,5.69,-5.69,-5.75,-5.45,9.04,9.04,9.04
49.46,14.70,5.65,14.70,5.66,-5.65,-5.73,-5.44,9.05,9.05,9.04
49.96,14.66,5.62,14.66,5.62,-5.60,-5.71,-5.43,9.06,9.06,9.04
50.46,14.62,5.58,14.62,5.56,-5.55,-5.68,-5.42,9.08,9.08,9.04
50.96,14.59,5.49,14.59,5.49,-5.50,-5.66,-5.42,9.09,9.09,9.10
51.47,14.56,5.41,14.56,5.43,-5.45,-5.64,-5.42,9.10,9.10,9.14
51.99,14.53,5.38,14.53,5.38,-5.42,-5.62,-5.42,9.11,9.11,9.14
52.51,14.50,5.35,14.50,5.36,-5.40,-5.60,-5.42,9.10,9.10,9.14
53.03,14.46,5.36,14.46,5.36,-5.38,-5.58,-5.43,9.08,9.08,9.11
53.56,14.43,5.39,14.43,5.36,-5.37,-5.56,-5.43,9.06,9.06,9.04
54.10,14.39,5.35,14.39,5.37,-5.37,-5.54,-5.44,9.03,9.03,9.04
54.64,14.36,5.36,14.36,5.38,-5.35,-5.52,-5.44,9.01,9.01,9.00
55.18,14.32,5.38,14.32,5.36,-5.33,-5.49,-5.45,9.00,9.00,8.94
55.74,14.29,5.35,14.29,5.34,-5.28,-5.47,-5.46,9.01,9.01,8.94
56.29,14.26,5.26,14.26,5.27,-5.22,-5.45,-5.46,9.04,9.04,8.99
56.86,14.22,5.16,14.22,5.16,-5.15,-5.43,-5.47,9.08,9.08,9.06
57.42,14.19,5.06,14.19,5.06,-5.07,-5.41,-5.47,9.12,9.12,9.13
58.00,14.16,4.96,14.16,4.96,-4.99,-5.39,-5.47,9.17,9.16,9.20
58.58,14.12,4.88,14.12,4.89,-4.92,-5.37,-5.47,9.20,9.20,9.24
59.16,14.09,4.84,14.09,4.83,-4.86,-5.34,-5.47,9.22,9.22,9.24
59.76,14.05,4.81,14.05,4.81,-4.83,-5.32,-5.46,9.22,9.22,9.24
60.35,14.01,4.80,14.01,4.81,-4.82,-5.30,-5.45,9.19,9.19,9.21
60.96,13.98,4.83,13.98,4.83,-4.84,-5.28,-5.44,9.14,9.14,9.15
61.57,13.94,4.87,13.94,4.86,-4.87,-5.26,-5.43,9.07,9.07,9.07
62.18,13.90,4.90,13.90,4.90,-4.91,-5.24,-5.41,8.99,8.99,9.00
62.80,13.86,4.94,13.86,4.96,-4.95,-5.22,-5.39,8.90,8.91,8.92
63.43,13.82,5.02,13.82,5.02,-4.99,-5.20,-5.36,8.83,8.83,8.80
64.07,13.78,5.08,13.78,5.06,-5.03,-5.18,-5.33,8.76,8.76,8.70
64.71,13.74,5.10,13.74,5.09,-5.05,-5.15,-5.30,8.69,8.69,8.64
65.35,13.70,5.06,13.70,5.09,-5.07,-5.13,-5.26,8.63,8.63,8.64
66.01,13.66,5.07,13.66,5.07,-5.08,-5.11,-5.22,8.58,8.58,8.59
66.67,13.62,5.08,13.62,5.06,-5.09,-5.09,-5.18,8.53,8.53,8.54
67.33,13.58,5.04,13.58,5.06,-5.09,-5.07,-5.13,8.49,8.49,8.54
68.01,13.54,5.06,13.54,5.07,-5.09,-5.05,-5.08,8.46,8.46,8.48
68.69,13.50,5.08,13.50,5.08,-5.07,-5.03,-5.03,8.42,8.42,8.41
69.37,13.46,5.11,13.46,5.09,-5.06,-5.01,-4.98,8.40,8.40,8.34
70.07,13.41,5.07,13.41,5.07,-5.04,-4.99,-4.93,8.37,8.37,8.34
70.77,13.37,5.03,13.37,5.04,-5.02,-4.97,-4.87,8.35,8.35,8.34
71.48,13.33,4.99,13.33,4.99,-5.00,-4.95,-4.82,8.33,8.33,8.34
72.19,13.29,4.95,13.29,4.94,-4.97,-4.93,-4.76,8.32,8.32,8.34
72.91,13.24,4.90,13.24,4.91,-4.94,-4.91,-4.70,8.31,8.31,8.34
73.64,13.20,4.87,13.20,4.89,-4.90,-4.89,-4.65,8.30,8.30,8.33
74.38,13.16,4.89,13.16,4.88,-4.87,-4.87,-4.59,8.29,8.29,8.26
75.12,13.11,4.87,13.11,4.86,-4.84,-4.85,-4.54,8.28,8.28,8.24
75.87,13.07,4.83,13.07,4.83,-4.81,-4.83,-4.48,8.26,8.26,8.24
76.63,13.02,4.78,13.02,4.78,-4.78,-4.81,-4.43,8.24,8.24,8.24
77.40,12.98,4.74,12.98,4.75,-4.76,-4.79,-4.38,8.22,8.22,8.24
78.17,12.93,4.72,12.93,4.73,-4.73,-4.77,-4.33,8.20,8.20,8.22
78.95,12.89,4.73,12.89,4.71,-4.72,-4.75,-4.28,8.17,8.17,8.15
79.74,12.84,4.70,12.84,4.70,-4.71,-4.73,-4.24,8.13,8.13,8.14
80.54,12.79,4.68,12.79,4.69,-4.71,-4.71,-4.20,8.09,8.09,8.11
81.35,12.74,4.70,12.74,4.69,-4.72,-4.69,-4.16,8.03,8.03,8.05
82.16,12.69,4.71,12.69,4.71,-4.73,-4.67,-4.12,7.96,7.96,7.98
82.98,12.64,4.73,12.64,4.74,-4.74,-4.65,-4.08,7.90,7.90,7.91
83.81,12.59,4.75,12.59,4.75,-4.74,-4.64,-4.05,7.85,7.85,7.84
84.65,12.54,4.77,12.54,4.76,-4.72,-4.62,-4.02,7.82,7.82,7.77
85.50,12.49,4.75,12.49,4.75,-4.69,-4.60,-4.00,7.80,7.80,7.74
86.35,12.44,4.70,12.44,4.71,-4.66,-4.58,-3.97,7.79,7.79,7.74
87.22,12.40,4.66,12.40,4.64,-4.62,-4.56,-3.95,7.78,7.78,7.74
88.09,12.35,4.56,12.35,4.55,-4.58,-4.54,-3.93,7.77,7.77,7.79
88.97,12.30,4.46,12.30,4.48,-4.54,-4.52,-3.92,7.76,7.76,7.84
89.86,12.25,4.41,12.25,4.45,-4.52,-4.50,-3.90,7.74,7.73,7.84
90.76,12.20,4.47,12.20,4.46,-4.51,-4.49,-3.90,7.69,7.69,7.73
91.66,12.14,4.53,12.14,4.50,-4.50,-4.47,-3.89,7.64,7.64,7.62
92.58,12.09,4.54,12.09,4.54,-4.50,-4.45,-3.89,7.58,7.58,7.55
93.51,12.03,4.55,12.03,4.56,-4.51,-4.43,-3.88,7.52,7.52,7.48
94.44,11.98,4.57,11.98,4.57,-4.53,-4.41,-3.89,7.45,7.45,7.41
95.39,11.93,4.59,11.93,4.57,-4.54,-4.39,-3.89,7.39,7.39,7.34
96.34,11.89,4.55,11.89,4.54,-4.56,-4.38,-3.90,7.33,7.33,7.34
97.30,11.85,4.51,11.85,4.52,-4.57,-4.36,-3.91,7.28,7.28,7.34
98.28,11.81,4.48,11.81,4.52,-4.58,-4.34,-3.92,7.24,7.24,7.33
99.26,11.77,4.58,11.77,4.56,-4.58,-4.32,-3.93,7.18,7.18,7.19
100.25,11.71,4.62,11.71,4.60,-4.59,-4.30,-3.95,7.13,7.13,7.10
101.25,11.65,4.62,11.65,4.62,-4.58,-4.28,-3.97,7.07,7.07,7.03
102.27,11.58,4.60,11.58,4.62,-4.56,-4.27,-3.98,7.01,7.01,6.98
103.29,11.50,4.59,11.50,4.59,-4.54,-4.25,-4.00,6.96,6.96,6.91
104.32,11.43,4.57,11.43,4.53,-4.50,-4.23,-4.03,6.93,6.93,6.86
105.37,11.36,4.45,11.36,4.46,-4.46,-4.21,-4.05,6.90,6.90,6.91
106.42,11.30,4.36,11.30,4.38,-4.42,-4.19,-4.07,6.88,6.88,6.94
107.48,11.24,4.32,11.24,4.32,-4.38,-4.17,-4.09,6.86,6.86,6.92
108.56,11.18,4.32,11.18,4.32,-4.35,-4.16,-4.12,6.83,6.83,6.86
109.64,11.12,4.34,11.12,4.33,-4.34,-4.14,-4.14,6.79,6.79,6.78
110.74,11.06,4.36,11.06,4.35,-4.34,-4.12,-4.16,6.72,6.72,6.71
