frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.18,-0.57,4.18,-0.57,0.53,0.65,0.68,4.72,4.72,4.75
20.20,4.18,-0.60,4.18,-0.59,0.58,0.67,0.70,4.76,4.76,4.78
20.40,4.18,-0.61,4.18,-0.61,0.62,0.68,0.72,4.80,4.80,4.78
20.61,4.17,-0.62,4.17,-0.64,0.66,0.70,0.74,4.83,4.83,4.79
20.81,4.16,-0.69,4.17,-0.67,0.70,0.73,0.76,4.87,4.87,4.86
21.02,4.16,-0.72,4.16,-0.71,0.74,0.76,0.78,4.90,4.90,4.88
21.23,4.16,-0.74,4.16,-0.75,0.78,0.79,0.81,4.94,4.94,4.89
21.44,4.15,-0.79,4.15,-0.80,0.82,0.82,0.83,4.97,4.97,4.95
21.66,4.14,-0.86,4.14,-0.86,0.86,0.85,0.85,5.01,5.01,5.00
21.87,4.14,-0.94,4.13,-0.92,0.90,0.89,0.88,5.04,5.04,5.08
22.09,4.12,-0.96,4.12,-0.96,0.93,0.92,0.90,5.06,5.06,5.08
22.31,4.11,-0.98,4.11,-0.98,0.96,0.95,0.93,5.07,5.07,5.08
22.54,4.10,-0.99,4.10,-0.99,0.98,0.98,0.96,5.08,5.08,5.08
22.76,4.09,-1.00,4.09,-1.00,0.99,1.01,0.98,5.08,5.08,5.08
22.99,4.09,-1.00,4.09,-0.99,1.00,1.03,1.01,5.08,5.08,5.08
23.22,4.10,-0.99,4.10,-0.99,1.00,1.06,1.04,5.09,5.09,5.08
23.45,4.11,-0.97,4.11,-1.00,1.00,1.09,1.07,5.11,5.11,5.08
23.69,4.13,-1.02,4.13,-1.01,1.01,1.11,1.10,5.14,5.14,5.15
23.92,4.14,-1.04,4.14,-1.02,1.03,1.13,1.13,5.18,5.18,5.18
24.16,4.16,-1.03,4.15,-1.05,1.07,1.16,1.16,5.22,5.22,5.18
24.40,4.16,-1.09,4.16,-1.09,1.11,1.18,1.19,5.27,5.27,5.25
24.65,4.17,-1.15,4.17,-1.14,1.16,1.20,1.23,5.33,5.33,5.32
24.89,4.17,-1.21,4.17,-1.21,1.22,1.22,1.26,5.39,5.39,5.38
25.14,4.17,-1.27,4.17,-1.28,1.27,1.24,1.29,5.44,5.44,5.45
25.39,4.18,-1.34,4.18,-1.34,1.32,1.26,1.32,5.50,5.50,5.52
25.65,4.19,-1.41,4.19,-1.41,1.38,1.29,1.36,5.57,5.57,5.60
25.91,4.20,-1.46,4.20,-1.44,1.43,1.31,1.39,5.63,5.63,5.66
26.16,4.22,-1.47,4.22,-1.46,1.47,1.33,1.42,5.69,5.69,5.68
26.43,4.23,-1.46,4.23,-1.48,1.51,1.35,1.46,5.74,5.74,5.69
26.69,4.25,-1.51,4.25,-1.51,1.54,1.37,1.49,5.79,5.79,5.76
26.96,4.26,-1.56,4.26,-1.56,1.56,1.39,1.52,5.82,5.82,5.82
27.23,4.28,-1.61,4.28,-1.59,1.57,1.41,1.55,5.85,5.85,5.88
27.50,4.29,-1.59,4.29,-1.59,1.57,1.43,1.58,5.86,5.86,5.88
27.77,4.31,-1.58,4.31,-1.59,1.57,1.45,1.61,5.87,5.87,5.88
28.05,4.32,-1.57,4.32,-1.57,1.55,1.47,1.64,5.87,5.87,5.88
28.33,4.32,-1.56,4.32,-1.54,1.53,1.49,1.67,5.86,5.86,5.88
28.62,4.33,-1.50,4.33,-1.51,1.51,1.51,1.70,5.84,5.84,5.83
28.90,4.33,-1.46,4.32,-1.48,1.49,1.52,1.73,5.81,5.81,5.78
29.19,4.32,-1.46,4.32,-1.46,1.47,1.54,1.75,5.80,5.80,5.78
29.48,4.31,-1.47,4.31,-1.46,1.47,1.56,1.77,5.79,5.79,5.78
29.78,4.31,-1.47,4.31,-1.48,1.49,1.58,1.80,5.80,5.80,5.78
30.08,4.31,-1.49,4.31,-1.50,1.52,1.60,1.82,5.83,5.83,5.80
30.38,4.30,-1.56,4.30,-1.56,1.57,1.62,1.83,5.88,5.88,5.86
30.68,4.30,-1.63,4.29,-1.63,1.64,1.64,1.85,5.94,5.94,5.93
30.99,4.28,-1.72,4.28,-1.72,1.72,1.66,1.87,6.00,6.00,6.00
31.30,4.27,-1.80,4.27,-1.80,1.81,1.68,1.88,6.07,6.07,6.06
31.61,4.25,-1.89,4.25,-1.89,1.89,1.70,1.89,6.14,6.14,6.14
31.93,4.23,-1.98,4.23,-1.98,1.97,1.72,1.90,6.20,6.20,6.21
32.24,4.22,-2.05,4.22,-2.06,2.04,1.74,1.90,6.26,6.26,6.27
32.57,4.21,-2.12,4.22,-2.12,2.09,1.76,1.91,6.31,6.31,6.34
32.89,4.22,-2.17,4.22,-2.16,2.13,1.77,1.91,6.35,6.35,6.38
33.22,4.22,-2.16,4.22,-2.17,2.15,1.79,1.91,6.37,6.37,6.38
33.55,4.22,-2.16,4.22,-2.15,2.15,1.81,1.92,6.38,6.37,6.38
33.89,4.22,-2.13,4.22,-2.13,2.14,1.83,1.91,6.36,6.36,6.35
34.23,4.21,-2.08,4.21,-2.11,2.12,1.85,1.91,6.33,6.33,6.28
34.57,4.19,-2.09,4.19,-2.08,2.09,1.87,1.91,6.28,6.28,6.28
