frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.62,1.04,9.62,1.04,-1.05,-1.23,-0.82,8.57,8.57,8.58
20.20,9.65,1.07,9.65,1.07,-1.07,-1.25,-0.84,8.58,8.58,8.58
20.40,9.68,1.09,9.68,1.09,-1.09,-1.26,-0.87,8.59,8.59,8.59
20.61,9.71,1.12,9.71,1.12,-1.11,-1.28,-0.89,8.60,8.60,8.59
20.81,9.74,1.14,9.74,1.14,-1.13,-1.30,-0.92,8.61,8.61,8.60
21.02,9.77,1.16,9.77,1.16,-1.15,-1.31,-0.94,8.61,8.61,8.61
21.23,9.80,1.18,9.80,1.18,-1.18,-1.33,-0.97,8.61,8.62,8.62
21.44,9.83,1.20,9.83,1.20,-1.21,-1.34,-1.00,8.62,8.62,8.62
21.66,9.86,1.23,9.86,1.23,-1.24,-1.36,-1.03,8.62,8.62,8.62
21.87,9.89,1.26,9.89,1.26,-1.27,-1.38,-1.06,8.62,8.62,8.62
22.09,9.92,1.30,9.92,1.30,-1.30,-1.40,-1.09,8.62,8.62,8.62
22.31,9.95,1.33,9.95,1.33,-1.33,-1.41,-1.12,8.61,8.61,8.62
22.54,9.98,1.37,9.98,1.37,-1.37,-1.43,-1.15,8.61,8.61,8.61
22.76,10.00,1.41,10.00,1.41,-1.40,-1.45,-1.19,8.60,8.60,8.60
22.99,10.03,1.44,10.03,1.44,-1.43,-1.46,-1.22,8.60,8.60,8.59
23.22,10.05,1.47,10.05,1.47,-1.46,-1.48,-1.25,8.59,8.59,8.59
23.45,10.08,1.49,10.08,1.49,-1.49,-1.50,-1.29,8.59,8.59,8.58
23.69,10.10,1.52,10.10,1.52,-1.52,-1.52,-1.32,8.58,8.58,8.58
23.92,10.12,1.54,10.12,1.54,-1.54,-1.53,-1.36,8.58,8.58,8.58
24.16,10.14,1.56,10.14,1.56,-1.56,-1.55,-1.40,8.58,8.58,8.58
24.40,10.17,1.58,10.17,1.58,-1.59,-1.57,-1.44,8.58,8.58,8.58
24.65,10.19,1.61,10.19,1.61,-1.61,-1.58,-1.48,8.58,8.58,8.58
24.89,10.21,1.63,10.21,1.63,-1.64,-1.60,-1.51,8.58,8.58,8.58
25.14,10.24,1.66,10.24,1.66,-1.66,-1.62,-1.55,8.57,8.57,8.57
25.39,10.26,1.69,10.26,1.69,-1.69,-1.64,-1.59,8.57,8.57,8.57
25.65,10.28,1.71,10.28,1.71,-1.71,-1.65,-1.63,8.57,8.57,8.57
25.91,10.30,1.74,10.30,1.74,-1.73,-1.67,-1.67,8.57,8.57,8.56
26.16,10.32,1.76,10.32,1.76,-1.76,-1.69,-1.71,8.57,8.57,8.56
26.43,10.34,1.78,10.34,1.78,-1.77,-1.71,-1.75,8.56,8.56,8.56
26.69,10.35,1.79,10.35,1.79,-1.79,-1.73,-1.79,8.56,8.56,8.56
26.96,10.37,1.80,10.37,1.80,-1.80,-1.74,-1.83,8.56,8.56,8.56
27.23,10.38,1.82,10.38,1.82,-1.82,-1.76,-1.87,8.56,8.56,8.56
27.50,10.39,1.83,10.39,1.83,-1.83,-1.78,-1.91,8.56,8.56,8.56
27.77,10.40,1.84,10.40,1.84,-1.85,-1.80,-1.94,8.55,8.55,8.56
28.05,10.41,1.86,10.41,1.86,-1.86,-1.81,-1.98,8.55,8.55,8.55
28.33,10.42,1.87,10.42,1.87,-1.87,-1.83,-2.01,8.55,8.55,8.55
28.62,10.43,1.89,10.43,1.89,-1.89,-1.85,-2.05,8.54,8.54,8.54
28.90,10.45,1.91,10.45,1.91,-1.90,-1.86,-2.08,8.54,8.54,8.54
29.19,10.46,1.92,10.46,1.92,-1.92,-1.88,-2.11,8.54,8.54,8.54
29.48,10.48,1.94,10.48,1.94,-1.94,-1.90,-2.13,8.54,8.54,8.54
29.78,10.49,1.96,10.49,1.96,-1.96,-1.92,-2.16,8.54,8.54,8.54
30.08,10.51,1.97,10.51,1.97,-1.98,-1.93,-2.18,8.53,8.53,8.54
30.38,10.53,1.99,10.53,1.99,-2.00,-1.95,-2.20,8.53,8.53,8.53
30.68,10.55,2.02,10.55,2.02,-2.02,-1.97,-2.22,8.53,8.53,8.53
30.99,10.57,2.04,10.57,2.04,-2.04,-1.98,-2.24,8.53,8.53,8.52
31.30,10.58,2.07,10.58,2.07,-2.06,-2.00,-2.25,8.52,8.52,8.52
31.61,10.60,2.09,10.60,2.09,-2.08,-2.02,-2.26,8.52,8.52,8.51
31.93,10.61,2.10,10.60,2.10,-2.10,-2.03,-2.27,8.51,8.51,8.50
32.24,10.61,2.12,10.61,2.12,-2.11,-2.05,-2.28,8.50,8.50,8.49
32.57,10.61,2.13,10.61,2.13,-2.13,-2.07,-2.28,8.48,8.48,8.49
32.89,10.62,2.14,10.62,2.14,-2.14,-2.08,-2.28,8.47,8.47,8.48
33.22,10.62,2.15,10.62,2.15,-2.16,-2.10,-2.28,8.47,8.47,8.47
33.55,10.63,2.17,10.63,2.17,-2.17,-2.12,-2.28,8.46,8.46,8.46
33.89,10.64,2.18,10.64,2.18,-2.18,-2.13,-2.28,8.45,8.45,8.45
34.23,10.64,2.20,10.64,2.20,-2.20,-2.15,-2.27,8.45,8.45,8.44
34.57,10.65,2.21,10.65,2.21,-2.21,-2.16,-2.27,8.44,8.44,8.44
34.92,10.66,2.23,10.66,2.23,-2.23,-2.18,-2.26,8.43,8.43,8.43
35.27,10.67,2.24,10.67,2.24,-2.24,-2.20,-2.25,8.43,8.43,8.43
35.62,10.67,2.25,10.67,2.25,-2.25,-2.21,-2.24,8.42,8.42,8.42
35.97,10.68,2.27,10.68,2.27,-2.27,-2.23,-2.23,8.41,8.41,8.41
36.33,10.69,2.28,10.69,2.28,-2.29,-2.24,-2.22,8.40,8.40,8.40
36.70,10.69,2.30,10.69,2.30,-2.30,-2.26,-2.21,8.39,8.39,8.39
37.06,10.70,2.32,10.70,2.32,-2.32,-2.27,-2.20,8.38,8.38,8.38
37.43,10.71,2.34,10.71,2.34,-2.33,-2.29,-2.19,8.37,8.37,8.37
37.81,10.71,2.35,10.71,2.35,-2.35,-2.30,-2.19,8.36,8.36,8.36
38.19,10.72,2.37,10.72,2.37,-2.37,-2.31,-2.18,8.35,8.35,8.35
38.57,10.72,2.38,10.72,2.38,-2.38,-2.33,-2.17,8.34,8.34,8.34
38.95,10.73,2.40,10.73,2.40,-2.40,-2.34,-2.16,8.33,8.33,8.33
39.34,10.73,2.41,10.73,2.41,-2.41,-2.36,-2.15,8.32,8.32,8.32
39.74,10.74,2.42,10.74,2.42,-2.42,-2.37,-2.15,8.32,8.32,8.32
40.14,10.74,2.43,10.74,2.43,-2.44,-2.38,-2.15,8.31,8.31,8.31
40.54,10.75,2.45,10.75,2.45,-2.45,-2.40,-2.14,8.30,8.30,8.30
40.94,10.75,2.46,10.75,2.46,-2.46,-2.41,-2.14,8.29,8.29,8.29
41.35,10.76,2.47,10.76,2.47,-2.47,-2.42,-2.14,8.29,8.29,8.29
41.76,10.76,2.49,10.76,2.49,-2.48,-2.43,-2.14,8.28,8.28,8.28
42.18,10.77,2.50,10.77,2.50,-2.49,-2.45,-2.14,8.27,8.27,8.27
42.60,10.77,2.51,10.77,2.50,-2.50,-2.46,-2.15,8.26,8.26,8.26
43.03,10.77,2.51,10.77,2.51,-2.51,-2.47,-2.15,8.25,8.25,8.26
43.46,10.76,2.52,10.76,2.52,-2.52,-2.48,-2.16,8.24,8.24,8.25
43.90,10.76,2.53,10.76,2.53,-2.53,-2.49,-2.17,8.23,8.23,8.23
44.33,10.75,2.53,10.75,2.54,-2.54,-2.51,-2.18,8.22,8.22,8.22
44.78,10.75,2.54,10.75,2.54,-2.54,-2.52,-2.20,8.20,8.20,8.20
45.23,10.74,2.55,10.75,2.55,-2.55,-2.53,-2.21,8.19,8.19,8.19
45.68,10.74,2.56,10.74,2.56,-2.56,-2.54,-2.23,8.19,8.19,8.18
46.13,10.74,2.56,10.74,2.56,-2.56,-2.55,-2.24,8.18,8.18,8.18
46.60,10.74,2.57,10.74,2.57,-2.56,-2.56,-2.26,8.17,8.17,8.17
47.06,10.73,2.57,10.73,2.57,-2.57,-2.57,-2.28,8.16,8.16,8.16
