frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.17,0.05,5.17,0.05,-0.01,0.02,-0.12,5.16,5.16,5.12
20.20,5.15,0.03,5.15,0.03,-0.02,0.02,-0.12,5.13,5.13,5.12
20.40,5.14,0.02,5.14,0.02,-0.04,0.02,-0.13,5.11,5.11,5.12
20.61,5.15,0.02,5.15,0.02,-0.05,0.02,-0.13,5.10,5.10,5.13
20.81,5.17,0.03,5.17,0.03,-0.06,0.02,-0.14,5.10,5.10,5.14
21.02,5.20,0.05,5.20,0.05,-0.08,0.02,-0.14,5.12,5.12,5.15
21.23,5.24,0.08,5.24,0.08,-0.10,0.02,-0.15,5.14,5.14,5.15
21.44,5.27,0.12,5.27,0.12,-0.11,0.02,-0.15,5.16,5.16,5.16
21.66,5.31,0.15,5.31,0.15,-0.14,0.02,-0.16,5.17,5.17,5.16
21.87,5.34,0.18,5.34,0.18,-0.16,0.02,-0.16,5.17,5.17,5.16
22.09,5.35,0.20,5.35,0.20,-0.18,0.02,-0.17,5.17,5.17,5.16
22.31,5.36,0.21,5.36,0.21,-0.20,0.02,-0.17,5.16,5.16,5.15
22.54,5.36,0.21,5.35,0.21,-0.21,0.02,-0.18,5.15,5.15,5.14
22.76,5.35,0.21,5.34,0.21,-0.21,0.02,-0.18,5.14,5.14,5.13
22.99,5.33,0.20,5.33,0.21,-0.21,0.02,-0.19,5.12,5.12,5.13
23.22,5.32,0.20,5.32,0.20,-0.20,0.02,-0.19,5.12,5.12,5.12
23.45,5.31,0.19,5.31,0.19,-0.20,0.02,-0.20,5.11,5.11,5.12
23.69,5.30,0.19,5.30,0.19,-0.19,0.02,-0.21,5.11,5.11,5.12
23.92,5.30,0.18,5.30,0.18,-0.18,0.02,-0.21,5.12,5.12,5.12
24.16,5.29,0.18,5.29,0.18,-0.17,0.02,-0.22,5.12,5.12,5.12
24.40,5.29,0.17,5.29,0.17,-0.16,0.03,-0.22,5.12,5.12,5.12
24.65,5.28,0.16,5.28,0.16,-0.16,0.03,-0.23,5.12,5.12,5.12
24.89,5.27,0.15,5.27,0.15,-0.15,0.03,-0.24,5.12,5.12,5.11
25.14,5.25,0.14,5.25,0.14,-0.15,0.03,-0.24,5.11,5.11,5.11
25.39,5.24,0.14,5.24,0.14,-0.14,0.03,-0.25,5.10,5.10,5.11
25.65,5.24,0.14,5.24,0.14,-0.14,0.03,-0.26,5.09,5.09,5.10
25.91,5.24,0.14,5.24,0.14,-0.15,0.03,-0.26,5.09,5.09,5.10
26.16,5.24,0.15,5.24,0.15,-0.15,0.03,-0.27,5.09,5.10,5.10
26.43,5.25,0.16,5.25,0.15,-0.15,0.03,-0.27,5.10,5.10,5.10
26.69,5.26,0.16,5.26,0.16,-0.15,0.03,-0.28,5.11,5.11,5.10
26.96,5.26,0.16,5.26,0.16,-0.14,0.03,-0.29,5.12,5.12,5.10
27.23,5.25,0.16,5.25,0.15,-0.14,0.03,-0.29,5.11,5.11,5.10
27.50,5.23,0.14,5.23,0.14,-0.14,0.03,-0.30,5.10,5.10,5.10
27.77,5.22,0.12,5.22,0.12,-0.14,0.03,-0.30,5.08,5.08,5.09
28.05,5.20,0.11,5.21,0.12,-0.14,0.04,-0.30,5.06,5.06,5.09
28.33,5.21,0.12,5.21,0.12,-0.15,0.04,-0.31,5.05,5.05,5.08
28.62,5.22,0.14,5.22,0.14,-0.17,0.04,-0.31,5.05,5.05,5.08
28.90,5.25,0.18,5.26,0.18,-0.19,0.04,-0.31,5.07,5.07,5.08
29.19,5.29,0.21,5.29,0.21,-0.20,0.04,-0.32,5.09,5.09,5.07
29.48,5.32,0.24,5.31,0.24,-0.20,0.04,-0.32,5.11,5.11,5.07
29.78,5.31,0.24,5.31,0.24,-0.20,0.04,-0.32,5.12,5.12,5.07
30.08,5.29,0.22,5.29,0.22,-0.17,0.04,-0.32,5.12,5.11,5.07
30.38,5.24,0.17,5.24,0.17,-0.14,0.04,-0.32,5.10,5.09,5.07
30.68,5.17,0.10,5.17,0.10,-0.10,0.04,-0.32,5.07,5.07,5.07
30.99,5.10,0.04,5.10,0.04,-0.06,0.05,-0.31,5.04,5.04,5.06
31.30,5.04,-0.01,5.04,-0.01,-0.03,0.05,-0.31,5.02,5.02,5.05
31.61,5.01,-0.04,5.01,-0.04,0.00,0.05,-0.31,5.01,5.01,5.05
31.93,5.00,-0.04,5.00,-0.04,0.01,0.05,-0.30,5.01,5.01,5.04
32.24,5.01,-0.02,5.01,-0.02,0.01,0.05,-0.30,5.02,5.02,5.03
32.57,5.03,0.01,5.03,0.01,-0.00,0.05,-0.29,5.03,5.03,5.02
32.89,5.05,0.04,5.05,0.04,-0.03,0.05,-0.28,5.03,5.02,5.01
33.22,5.08,0.07,5.07,0.07,-0.06,0.05,-0.27,5.02,5.02,5.00
33.55,5.09,0.10,5.09,0.10,-0.09,0.06,-0.27,5.00,5.00,5.00
