frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.99,-3.01,10.02,-2.98,3.02,2.78,0.82,13.01,13.04,12.99
20.20,9.93,-3.06,9.90,-3.08,3.15,2.78,0.85,13.08,13.05,12.98
20.40,9.82,-3.15,9.79,-3.18,3.25,2.78,0.88,13.08,13.04,12.97
20.61,9.68,-3.27,9.68,-3.28,3.31,2.77,0.90,12.99,12.99,12.96
20.81,9.53,-3.41,9.53,-3.41,3.33,2.76,0.93,12.86,12.87,12.94
21.02,9.44,-3.49,9.43,-3.49,3.32,2.75,0.96,12.76,12.75,12.92
21.23,9.41,-3.50,9.44,-3.47,3.27,2.74,0.99,12.67,12.70,12.90
21.44,9.54,-3.35,9.55,-3.33,3.18,2.72,1.02,12.71,12.73,12.89
21.66,9.78,-3.09,9.77,-3.10,2.99,2.70,1.05,12.77,12.76,12.87
21.87,10.06,-2.80,10.06,-2.79,2.76,2.68,1.08,12.82,12.82,12.85
22.09,10.36,-2.48,10.36,-2.47,2.52,2.66,1.12,12.88,12.89,12.84
22.31,10.64,-2.18,10.63,-2.19,2.31,2.64,1.15,12.95,12.94,12.82
22.54,10.84,-1.97,10.83,-1.97,2.14,2.61,1.18,12.97,12.97,12.80
22.76,10.94,-1.85,10.93,-1.86,2.04,2.58,1.22,12.98,12.97,12.79
22.99,10.93,-1.84,10.91,-1.86,2.01,2.55,1.26,12.93,12.92,12.77
23.22,10.80,-1.95,10.80,-1.95,2.03,2.52,1.29,12.83,12.83,12.75
23.45,10.64,-2.10,10.64,-2.10,2.07,2.49,1.33,12.71,12.71,12.74
23.69,10.48,-2.23,10.48,-2.24,2.11,2.46,1.37,12.59,12.59,12.72
23.92,10.37,-2.33,10.39,-2.31,2.11,2.42,1.41,12.48,12.50,12.70
24.16,10.38,-2.30,10.40,-2.28,2.06,2.39,1.45,12.44,12.46,12.68
24.40,10.50,-2.16,10.52,-2.14,1.97,2.35,1.49,12.48,12.49,12.66
24.65,10.72,-1.93,10.71,-1.93,1.86,2.31,1.53,12.58,12.57,12.64
24.89,10.95,-1.67,10.95,-1.68,1.75,2.27,1.57,12.70,12.69,12.62
25.14,11.12,-1.49,11.13,-1.48,1.66,2.24,1.61,12.77,12.78,12.60
25.39,11.23,-1.35,11.19,-1.39,1.61,2.20,1.66,12.85,12.81,12.58
25.65,11.11,-1.46,11.11,-1.45,1.63,2.16,1.70,12.74,12.75,12.57
25.91,10.86,-1.69,10.85,-1.69,1.74,2.12,1.74,12.60,12.60,12.55
26.16,10.45,-2.08,10.42,-2.11,1.95,2.08,1.78,12.40,12.37,12.52
26.43,9.88,-2.62,9.87,-2.63,2.22,2.04,1.82,12.10,12.09,12.50
26.69,9.28,-3.19,9.27,-3.21,2.50,2.00,1.86,11.78,11.76,12.48
