frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.92,0.80,6.92,0.80,-0.80,-0.83,-0.75,6.12,6.12,6.12
20.20,6.92,0.83,6.92,0.83,-0.83,-0.85,-0.78,6.09,6.09,6.09
20.40,6.91,0.86,6.91,0.86,-0.86,-0.86,-0.80,6.05,6.05,6.05
20.61,6.90,0.89,6.90,0.89,-0.88,-0.88,-0.82,6.02,6.02,6.01
20.81,6.88,0.91,6.88,0.91,-0.91,-0.90,-0.85,5.97,5.98,5.97
21.02,6.86,0.93,6.86,0.93,-0.93,-0.92,-0.87,5.93,5.93,5.93
21.23,6.84,0.95,6.84,0.95,-0.95,-0.94,-0.90,5.89,5.89,5.89
21.44,6.82,0.97,6.82,0.97,-0.98,-0.96,-0.92,5.84,5.84,5.84
21.66,6.80,1.00,6.80,1.00,-1.00,-0.99,-0.95,5.80,5.80,5.80
21.87,6.77,1.02,6.77,1.02,-1.02,-1.01,-0.98,5.75,5.75,5.75
22.09,6.75,1.04,6.75,1.04,-1.04,-1.03,-1.01,5.71,5.71,5.70
22.31,6.72,1.06,6.72,1.06,-1.06,-1.06,-1.04,5.66,5.66,5.66
22.54,6.69,1.08,6.69,1.08,-1.08,-1.08,-1.07,5.61,5.61,5.61
22.76,6.67,1.10,6.67,1.10,-1.10,-1.11,-1.10,5.57,5.57,5.57
22.99,6.64,1.12,6.64,1.12,-1.12,-1.13,-1.13,5.52,5.52,5.52
23.22,6.62,1.14,6.62,1.14,-1.14,-1.16,-1.16,5.48,5.48,5.48
23.45,6.60,1.16,6.60,1.16,-1.16,-1.19,-1.20,5.44,5.44,5.44
23.69,6.58,1.19,6.58,1.19,-1.19,-1.22,-1.23,5.39,5.39,5.40
23.92,6.57,1.22,6.57,1.22,-1.22,-1.26,-1.26,5.35,5.35,5.35
24.16,6.56,1.25,6.56,1.25,-1.26,-1.29,-1.30,5.31,5.31,5.31
24.40,6.57,1.30,6.57,1.30,-1.30,-1.33,-1.34,5.26,5.26,5.27
24.65,6.57,1.35,6.57,1.35,-1.35,-1.37,-1.37,5.22,5.22,5.23
24.89,6.59,1.40,6.59,1.40,-1.41,-1.41,-1.41,5.17,5.17,5.18
25.14,6.60,1.46,6.60,1.47,-1.47,-1.45,-1.45,5.13,5.13,5.14
25.39,6.62,1.53,6.62,1.53,-1.53,-1.49,-1.48,5.09,5.09,5.10
25.65,6.64,1.59,6.64,1.59,-1.59,-1.54,-1.52,5.05,5.05,5.05
25.91,6.65,1.65,6.65,1.65,-1.64,-1.58,-1.56,5.01,5.01,5.00
26.16,6.66,1.70,6.65,1.70,-1.69,-1.62,-1.60,4.97,4.97,4.96
26.43,6.64,1.74,6.64,1.73,-1.72,-1.65,-1.63,4.93,4.92,4.91
26.69,6.61,1.75,6.61,1.75,-1.74,-1.68,-1.67,4.87,4.87,4.86
26.96,6.57,1.76,6.57,1.76,-1.75,-1.70,-1.71,4.82,4.82,4.81
27.23,6.52,1.76,6.52,1.75,-1.75,-1.71,-1.74,4.77,4.77,4.77
27.50,6.46,1.74,6.46,1.74,-1.75,-1.72,-1.78,4.71,4.71,4.72
27.77,6.40,1.73,6.40,1.73,-1.74,-1.73,-1.81,4.66,4.66,4.67
28.05,6.34,1.72,6.34,1.72,-1.73,-1.73,-1.84,4.61,4.61,4.62
28.33,6.29,1.71,6.29,1.71,-1.72,-1.74,-1.87,4.57,4.57,4.57
