frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.76,-1.33,7.76,-1.33,1.34,-0.68,-0.55,9.10,9.09,9.09
20.20,7.78,-1.27,7.78,-1.27,1.27,-0.69,-0.57,9.05,9.05,9.05
20.40,7.80,-1.21,7.81,-1.21,1.20,-0.70,-0.58,9.01,9.01,9.01
20.61,7.83,-1.14,7.83,-1.14,1.13,-0.71,-0.60,8.97,8.97,8.97
20.81,7.86,-1.07,7.86,-1.07,1.06,-0.73,-0.61,8.93,8.93,8.93
21.02,7.89,-1.00,7.89,-1.00,0.99,-0.74,-0.63,8.89,8.89,8.89
21.23,7.93,-0.92,7.93,-0.92,0.92,-0.76,-0.64,8.85,8.85,8.85
21.44,7.96,-0.85,7.96,-0.85,0.85,-0.77,-0.66,8.81,8.81,8.81
21.66,7.99,-0.77,7.99,-0.77,0.77,-0.78,-0.68,8.76,8.76,8.76
21.87,8.02,-0.69,8.02,-0.69,0.70,-0.80,-0.70,8.72,8.72,8.71
22.09,8.05,-0.62,8.05,-0.62,0.62,-0.81,-0.71,8.67,8.67,8.67
22.31,8.08,-0.54,8.08,-0.54,0.54,-0.83,-0.73,8.62,8.62,8.62
22.54,8.11,-0.47,8.11,-0.47,0.47,-0.84,-0.75,8.57,8.57,8.57
22.76,8.13,-0.39,8.13,-0.39,0.39,-0.86,-0.77,8.53,8.53,8.53
22.99,8.16,-0.32,8.16,-0.32,0.32,-0.88,-0.79,8.48,8.48,8.48
23.22,8.19,-0.25,8.19,-0.25,0.25,-0.89,-0.82,8.44,8.44,8.44
23.45,8.22,-0.18,8.22,-0.18,0.18,-0.91,-0.84,8.40,8.40,8.40
23.69,8.25,-0.11,8.25,-0.11,0.11,-0.93,-0.86,8.36,8.36,8.36
23.92,8.28,-0.04,8.28,-0.04,0.03,-0.94,-0.88,8.32,8.32,8.32
24.16,8.31,0.04,8.31,0.04,-0.04,-0.96,-0.90,8.27,8.27,8.27
24.40,8.34,0.11,8.34,0.11,-0.11,-0.98,-0.93,8.23,8.23,8.23
24.65,8.36,0.18,8.36,0.18,-0.18,-1.00,-0.95,8.19,8.19,8.19
24.89,8.39,0.25,8.39,0.24,-0.25,-1.01,-0.98,8.14,8.14,8.15
25.14,8.41,0.31,8.41,0.31,-0.31,-1.03,-1.00,8.10,8.10,8.10
25.39,8.44,0.38,8.44,0.38,-0.38,-1.05,-1.03,8.06,8.06,8.06
25.65,8.46,0.45,8.46,0.45,-0.45,-1.07,-1.05,8.01,8.01,8.01
25.91,8.47,0.51,8.47,0.51,-0.51,-1.09,-1.08,7.96,7.97,7.96
26.16,8.49,0.57,8.49,0.57,-0.57,-1.11,-1.10,7.92,7.92,7.92
26.43,8.50,0.63,8.50,0.63,-0.62,-1.13,-1.13,7.87,7.87,7.87
26.69,8.50,0.68,8.50,0.68,-0.68,-1.15,-1.15,7.83,7.83,7.82
26.96,8.51,0.73,8.51,0.73,-0.73,-1.17,-1.18,7.78,7.78,7.77
27.23,8.50,0.78,8.50,0.78,-0.77,-1.19,-1.21,7.73,7.73,7.73
27.50,8.50,0.82,8.50,0.82,-0.82,-1.21,-1.23,7.68,7.68,7.68
27.77,8.49,0.86,8.49,0.86,-0.86,-1.24,-1.26,7.63,7.63,7.63
28.05,8.48,0.90,8.48,0.90,-0.91,-1.26,-1.29,7.58,7.58,7.58
28.33,8.48,0.95,8.48,0.95,-0.95,-1.28,-1.31,7.53,7.53,7.54
28.62,8.48,1.00,8.48,1.00,-1.00,-1.30,-1.34,7.48,7.48,7.49
28.90,8.49,1.05,8.49,1.05,-1.06,-1.33,-1.36,7.43,7.43,7.44
29.19,8.50,1.11,8.50,1.11,-1.11,-1.35,-1.39,7.39,7.39,7.39
29.48,8.52,1.17,8.52,1.17,-1.18,-1.37,-1.41,7.34,7.34,7.34
29.78,8.53,1.24,8.53,1.24,-1.24,-1.40,-1.44,7.30,7.30,7.30
30.08,8.55,1.30,8.55,1.30,-1.30,-1.42,-1.46,7.25,7.25,7.25
30.38,8.57,1.37,8.57,1.37,-1.36,-1.45,-1.49,7.21,7.20,7.20
30.68,8.58,1.43,8.58,1.43,-1.42,-1.47,-1.51,7.16,7.16,7.15
30.99,8.60,1.49,8.60,1.49,-1.48,-1.50,-1.53,7.12,7.12,7.11
31.30,8.61,1.54,8.61,1.54,-1.53,-1.52,-1.55,7.07,7.07,7.07
31.61,8.62,1.59,8.62,1.59,-1.59,-1.55,-1.58,7.03,7.03,7.03
31.93,8.63,1.64,8.63,1.64,-1.64,-1.58,-1.60,6.99,6.99,6.99
32.24,8.64,1.68,8.64,1.68,-1.69,-1.60,-1.62,6.95,6.95,6.96
32.57,8.65,1.73,8.65,1.73,-1.74,-1.63,-1.64,6.90,6.90,6.92
32.89,8.66,1.79,8.66,1.79,-1.80,-1.66,-1.66,6.86,6.86,6.87
33.22,8.66,1.85,8.66,1.85,-1.85,-1.69,-1.68,6.81,6.81,6.82
33.55,8.67,1.91,8.67,1.91,-1.91,-1.71,-1.70,6.77,6.77,6.76
33.89,8.68,1.97,8.68,1.97,-1.96,-1.74,-1.72,6.72,6.72,6.71
34.23,8.69,2.03,8.69,2.03,-2.02,-1.77,-1.74,6.68,6.68,6.67
34.57,8.70,2.07,8.70,2.07,-2.07,-1.80,-1.76,6.63,6.63,6.62
34.92,8.70,2.12,8.70,2.12,-2.11,-1.83,-1.78,6.59,6.59,6.59
