frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.36,-0.58,6.35,-0.59,0.60,-0.56,-0.51,6.96,6.95,6.94
20.20,6.41,-0.49,6.42,-0.48,0.47,-0.57,-0.53,6.89,6.89,6.90
20.40,6.47,-0.39,6.49,-0.38,0.36,-0.58,-0.54,6.83,6.84,6.86
20.61,6.55,-0.28,6.55,-0.28,0.25,-0.59,-0.56,6.80,6.80,6.83
20.81,6.63,-0.16,6.63,-0.16,0.16,-0.61,-0.57,6.79,6.79,6.79
21.02,6.69,-0.06,6.69,-0.06,0.08,-0.62,-0.59,6.77,6.77,6.75
21.23,6.74,0.03,6.73,0.03,0.00,-0.63,-0.60,6.74,6.74,6.71
21.44,6.75,0.09,6.75,0.09,-0.06,-0.64,-0.62,6.69,6.69,6.66
21.66,6.74,0.12,6.74,0.13,-0.10,-0.65,-0.64,6.63,6.64,6.61
21.87,6.71,0.15,6.71,0.14,-0.13,-0.67,-0.66,6.58,6.58,6.57
22.09,6.67,0.15,6.67,0.15,-0.16,-0.68,-0.67,6.52,6.52,6.52
22.31,6.63,0.16,6.63,0.16,-0.18,-0.69,-0.69,6.46,6.46,6.47
22.54,6.60,0.17,6.60,0.17,-0.20,-0.71,-0.71,6.40,6.40,6.43
22.76,6.58,0.19,6.58,0.20,-0.22,-0.72,-0.73,6.36,6.36,6.38
22.99,6.57,0.23,6.57,0.23,-0.25,-0.74,-0.75,6.32,6.32,6.34
23.22,6.58,0.28,6.58,0.28,-0.29,-0.75,-0.77,6.29,6.29,6.29
23.45,6.59,0.34,6.59,0.34,-0.33,-0.76,-0.79,6.26,6.26,6.25
23.69,6.60,0.39,6.60,0.39,-0.38,-0.78,-0.82,6.22,6.22,6.21
23.92,6.61,0.44,6.61,0.44,-0.43,-0.79,-0.84,6.18,6.18,6.17
24.16,6.62,0.49,6.62,0.49,-0.48,-0.81,-0.86,6.14,6.14,6.13
24.40,6.62,0.53,6.62,0.53,-0.52,-0.83,-0.88,6.09,6.09,6.09
24.65,6.61,0.57,6.61,0.57,-0.57,-0.84,-0.91,6.04,6.04,6.04
24.89,6.61,0.61,6.61,0.61,-0.61,-0.86,-0.93,5.99,5.99,6.00
25.14,6.60,0.65,6.60,0.65,-0.65,-0.87,-0.96,5.95,5.95,5.96
