frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.70,-3.97,7.70,-3.97,4.01,-0.31,0.42,11.71,11.71,11.67
20.20,7.71,-3.92,7.71,-3.93,3.93,-0.32,0.43,11.64,11.64,11.63
20.40,7.73,-3.87,7.72,-3.87,3.86,-0.32,0.45,11.58,11.58,11.59
20.61,7.75,-3.81,7.75,-3.80,3.78,-0.33,0.47,11.52,11.53,11.56
20.81,7.79,-3.73,7.79,-3.73,3.69,-0.34,0.48,11.48,11.48,11.52
21.02,7.85,-3.63,7.85,-3.63,3.60,-0.34,0.50,11.45,11.45,11.48
21.23,7.91,-3.53,7.91,-3.53,3.51,-0.35,0.52,11.42,11.42,11.44
21.44,7.98,-3.41,7.98,-3.41,3.42,-0.36,0.54,11.39,11.39,11.39
21.66,8.05,-3.30,8.04,-3.30,3.31,-0.37,0.55,11.36,11.35,11.35
21.87,8.11,-3.19,8.11,-3.19,3.20,-0.37,0.57,11.31,11.31,11.30
22.09,8.17,-3.08,8.17,-3.08,3.10,-0.38,0.59,11.26,11.26,11.25
22.31,8.22,-2.98,8.22,-2.98,2.99,-0.39,0.61,11.21,11.21,11.20
22.54,8.27,-2.89,8.27,-2.89,2.89,-0.40,0.63,11.16,11.16,11.16
22.76,8.32,-2.80,8.32,-2.80,2.79,-0.40,0.66,11.11,11.11,11.11
22.99,8.36,-2.70,8.37,-2.70,2.69,-0.41,0.68,11.06,11.06,11.07
23.22,8.42,-2.61,8.42,-2.61,2.60,-0.42,0.70,11.01,11.02,11.03
23.45,8.48,-2.51,8.48,-2.51,2.50,-0.43,0.72,10.98,10.98,10.98
23.69,8.54,-2.40,8.54,-2.40,2.40,-0.44,0.75,10.94,10.94,10.94
23.92,8.60,-2.30,8.60,-2.30,2.31,-0.45,0.77,10.91,10.91,10.90
24.16,8.65,-2.20,8.65,-2.21,2.22,-0.45,0.79,10.87,10.87,10.86
24.40,8.70,-2.12,8.70,-2.12,2.13,-0.46,0.82,10.83,10.83,10.82
24.65,8.74,-2.03,8.74,-2.03,2.04,-0.47,0.84,10.78,10.78,10.77
24.89,8.77,-1.96,8.77,-1.96,1.96,-0.48,0.87,10.73,10.73,10.73
25.14,8.80,-1.89,8.80,-1.89,1.89,-0.49,0.89,10.68,10.68,10.69
25.39,8.82,-1.82,8.83,-1.82,1.81,-0.50,0.91,10.63,10.63,10.64
25.65,8.85,-1.74,8.86,-1.74,1.73,-0.51,0.94,10.58,10.58,10.60
25.91,8.89,-1.66,8.89,-1.66,1.65,-0.52,0.96,10.54,10.54,10.55
26.16,8.93,-1.57,8.93,-1.57,1.57,-0.53,0.98,10.50,10.50,10.50
26.43,8.97,-1.48,8.97,-1.48,1.48,-0.54,1.00,10.45,10.45,10.45
26.69,9.01,-1.39,9.01,-1.39,1.40,-0.55,1.02,10.41,10.41,10.41
26.96,9.06,-1.30,9.05,-1.30,1.31,-0.57,1.04,10.37,10.37,10.36
27.23,9.09,-1.22,9.09,-1.22,1.23,-0.58,1.06,10.32,10.32,10.31
27.50,9.12,-1.14,9.12,-1.14,1.14,-0.59,1.08,10.27,10.27,10.26
