frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.46,6.13,10.46,6.13,-6.10,-5.97,-2.31,4.36,4.36,4.33
20.20,10.45,6.12,10.45,6.12,-6.13,-6.10,-2.38,4.32,4.32,4.33
20.40,10.43,6.12,10.44,6.12,-6.14,-6.22,-2.45,4.29,4.29,4.32
20.61,10.42,6.13,10.42,6.13,-6.15,-6.25,-2.52,4.27,4.27,4.29
20.81,10.41,6.15,10.41,6.15,-6.16,-6.28,-2.59,4.25,4.25,4.26
21.02,10.39,6.17,10.39,6.17,-6.16,-6.25,-2.67,4.23,4.23,4.22
21.23,10.37,6.17,10.37,6.17,-6.15,-6.21,-2.75,4.22,4.22,4.19
21.44,10.34,6.16,10.34,6.16,-6.14,-6.15,-2.83,4.20,4.20,4.18
21.66,10.30,6.13,10.30,6.13,-6.12,-6.09,-2.91,4.18,4.18,4.17
21.87,10.26,6.10,10.26,6.09,-6.09,-6.03,-2.99,4.16,4.16,4.16
22.09,10.21,6.05,10.21,6.05,-6.06,-5.97,-3.08,4.15,4.15,4.16
22.31,10.18,6.01,10.18,6.01,-6.02,-5.93,-3.17,4.15,4.15,4.17
22.54,10.15,5.97,10.15,5.97,-5.99,-5.89,-3.26,4.16,4.16,4.18
22.76,10.12,5.93,10.12,5.93,-5.94,-5.85,-3.35,4.18,4.18,4.19
22.99,10.11,5.90,10.11,5.90,-5.90,-5.82,-3.45,4.21,4.21,4.21
23.22,10.10,5.86,10.10,5.86,-5.85,-5.79,-3.55,4.25,4.25,4.24
23.45,10.09,5.82,10.09,5.82,-5.80,-5.77,-3.65,4.29,4.29,4.27
23.69,10.07,5.76,10.07,5.76,-5.73,-5.74,-3.75,4.34,4.34,4.31
23.92,10.05,5.69,10.05,5.69,-5.66,-5.71,-3.86,4.39,4.39,4.36
24.16,10.02,5.60,10.02,5.60,-5.59,-5.67,-3.96,4.43,4.43,4.42
24.40,9.99,5.52,9.99,5.52,-5.52,-5.64,-4.07,4.47,4.47,4.47
24.65,9.95,5.43,9.96,5.43,-5.45,-5.60,-4.18,4.50,4.50,4.52
24.89,9.92,5.36,9.93,5.37,-5.40,-5.56,-4.29,4.53,4.53,4.56
25.14,9.90,5.32,9.90,5.32,-5.35,-5.51,-4.40,4.55,4.55,4.58
25.39,9.88,5.29,9.88,5.30,-5.33,-5.47,-4.52,4.56,4.56,4.59
25.65,9.87,5.29,9.87,5.29,-5.31,-5.42,-4.63,4.56,4.56,4.58
25.91,9.85,5.30,9.85,5.30,-5.30,-5.38,-4.74,4.55,4.55,4.55
26.16,9.83,5.31,9.82,5.31,-5.29,-5.33,-4.86,4.54,4.54,4.52
26.43,9.79,5.31,9.79,5.31,-5.27,-5.28,-4.97,4.51,4.51,4.48
26.69,9.74,5.29,9.74,5.29,-5.26,-5.24,-5.08,4.48,4.48,4.45
26.96,9.69,5.25,9.68,5.25,-5.23,-5.19,-5.19,4.46,4.46,4.43
27.23,9.63,5.20,9.64,5.20,-5.19,-5.15,-5.30,4.44,4.45,4.44
27.50,9.60,5.14,9.60,5.14,-5.15,-5.10,-5.40,4.45,4.45,4.46
27.77,9.58,5.08,9.58,5.08,-5.10,-5.06,-5.50,4.48,4.48,4.50
28.05,9.58,5.04,9.58,5.04,-5.06,-5.02,-5.60,4.52,4.52,4.54
28.33,9.58,5.00,9.58,5.00,-5.02,-4.98,-5.69,4.56,4.56,4.58
28.62,9.59,4.98,9.59,4.98,-4.99,-4.95,-5.78,4.61,4.60,4.61
28.90,9.60,4.96,9.59,4.96,-4.96,-4.91,-5.85,4.64,4.64,4.64
29.19,9.58,4.94,9.58,4.94,-4.93,-4.88,-5.93,4.65,4.65,4.64
29.48,9.56,4.92,9.56,4.92,-4.91,-4.84,-5.99,4.65,4.65,4.64
29.78,9.52,4.89,9.52,4.89,-4.89,-4.81,-6.05,4.63,4.63,4.63
30.08,9.47,4.86,9.47,4.86,-4.86,-4.78,-6.09,4.61,4.61,4.61
30.38,9.42,4.83,9.42,4.83,-4.83,-4.75,-6.13,4.59,4.59,4.58
30.68,9.37,4.80,9.37,4.80,-4.79,-4.72,-6.16,4.57,4.57,4.57
30.99,9.32,4.76,9.32,4.76,-4.76,-4.69,-6.18,4.56,4.56,4.56
31.30,9.28,4.72,9.28,4.72,-4.72,-4.66,-6.19,4.56,4.56,4.56
31.61,9.25,4.68,9.25,4.68,-4.69,-4.63,-6.19,4.56,4.56,4.57
31.93,9.22,4.65,9.23,4.65,-4.66,-4.60,-6.17,4.56,4.56,4.58
32.24,9.21,4.62,9.21,4.62,-4.63,-4.57,-6.16,4.58,4.58,4.59
32.57,9.19,4.60,9.19,4.60,-4.60,-4.54,-6.12,4.59,4.59,4.60
32.89,9.18,4.58,9.18,4.58,-4.57,-4.52,-6.09,4.61,4.61,4.60
33.22,9.15,4.56,9.15,4.56,-4.54,-4.49,-6.04,4.61,4.61,4.60
33.55,9.12,4.52,9.11,4.52,-4.50,-4.46,-5.98,4.62,4.61,4.59
33.89,9.07,4.47,9.07,4.47,-4.46,-4.43,-5.92,4.61,4.61,4.59
34.23,9.01,4.42,9.01,4.42,-4.41,-4.40,-5.85,4.60,4.60,4.59
34.57,8.96,4.36,8.96,4.36,-4.37,-4.37,-5.77,4.58,4.58,4.60
34.92,8.90,4.31,8.91,4.31,-4.33,-4.34,-5.69,4.57,4.57,4.60
35.27,8.86,4.27,8.86,4.27,-4.29,-4.31,-5.60,4.57,4.57,4.59
35.62,8.83,4.24,8.83,4.24,-4.26,-4.28,-5.51,4.57,4.57,4.59
35.97,8.80,4.22,8.80,4.22,-4.22,-4.25,-5.42,4.58,4.58,4.58
36.33,8.78,4.21,8.78,4.21,-4.19,-4.22,-5.32,4.59,4.59,4.57
36.70,8.75,4.18,8.75,4.18,-4.15,-4.19,-5.22,4.59,4.59,4.56
37.06,8.71,4.15,8.71,4.14,-4.12,-4.16,-5.13,4.59,4.59,4.56
37.43,8.67,4.09,8.67,4.09,-4.08,-4.13,-5.02,4.58,4.58,4.58
37.81,8.62,4.04,8.62,4.03,-4.05,-4.10,-4.92,4.57,4.57,4.58
38.19,8.57,3.98,8.57,3.98,-4.01,-4.07,-4.82,4.56,4.56,4.59
38.57,8.53,3.95,8.53,3.95,-3.98,-4.03,-4.72,4.55,4.55,4.58
38.95,8.49,3.93,8.49,3.93,-3.94,-4.00,-4.62,4.55,4.55,4.56
39.34,8.47,3.92,8.47,3.92,-3.91,-3.97,-4.52,4.56,4.56,4.54
39.74,8.44,3.90,8.44,3.90,-3.88,-3.94,-4.43,4.56,4.56,4.54
40.14,8.41,3.87,8.41,3.87,-3.85,-3.90,-4.33,4.57,4.57,4.54
40.54,8.38,3.82,8.38,3.82,-3.82,-3.87,-4.24,4.56,4.56,4.56
40.94,8.35,3.78,8.35,3.78,-3.79,-3.83,-4.15,4.56,4.56,4.57
41.35,8.31,3.74,8.31,3.74,-3.76,-3.80,-4.06,4.55,4.55,4.57
41.76,8.27,3.71,8.27,3.71,-3.73,-3.76,-3.97,4.54,4.54,4.56
42.18,8.23,3.69,8.23,3.69,-3.69,-3.73,-3.89,4.54,4.54,4.54
42.60,8.19,3.67,8.19,3.67,-3.66,-3.69,-3.81,4.53,4.53,4.52
43.03,8.14,3.64,8.14,3.64,-3.62,-3.66,-3.73,4.53,4.53,4.50
43.46,8.10,3.60,8.10,3.60,-3.58,-3.62,-3.65,4.52,4.52,4.50
43.90,8.05,3.55,8.05,3.55,-3.54,-3.59,-3.58,4.50,4.50,4.50
44.33,8.00,3.50,8.00,3.50,-3.51,-3.55,-3.51,4.49,4.49,4.50
44.78,7.95,3.45,7.95,3.45,-3.47,-3.51,-3.44,4.48,4.48,4.50
45.23,7.90,3.41,7.90,3.41,-3.43,-3.48,-3.37,4.47,4.47,4.49
45.68,7.86,3.39,7.86,3.39,-3.39,-3.44,-3.31,4.47,4.47,4.47
46.13,7.81,3.38,7.81,3.37,-3.36,-3.40,-3.25,4.45,4.45,4.44
46.60,7.77,3.35,7.77,3.34,-3.33,-3.37,-3.19,4.44,4.44,4.42
47.06,7.73,3.31,7.73,3.31,-3.30,-3.33,-3.13,4.42,4.42,4.42
47.53,7.68,3.27,7.69,3.27,-3.28,-3.29,-3.08,4.40,4.40,4.42
48.01,7.65,3.25,7.65,3.25,-3.26,-3.26,-3.03,4.39,4.39,4.40
48.49,7.61,3.23,7.61,3.23,-3.24,-3.22,-2.98,4.37,4.37,4.38
48.97,7.58,3.21,7.58,3.21,-3.21,-3.18,-2.94,4.36,4.37,4.37
49.46,7.54,3.19,7.54,3.19,-3.18,-3.15,-2.89,4.36,4.36,4.36
49.96,7.50,3.17,7.50,3.17,-3.15,-3.11,-2.85,4.35,4.35,4.33
50.46,7.46,3.15,7.46,3.14,-3.12,-3.07,-2.81,4.34,4.34,4.31
50.96,7.42,3.10,7.42,3.09,-3.08,-3.04,-2.77,4.33,4.33,4.31
51.47,7.37,3.03,7.37,3.03,-3.04,-3.00,-2.74,4.32,4.32,4.34
51.99,7.32,2.97,7.32,2.99,-3.00,-2.96,-2.70,4.32,4.32,4.34
52.51,7.27,2.95,7.27,2.95,-2.96,-2.93,-2.67,4.31,4.31,4.32
53.03,7.21,2.93,7.21,2.91,-2.91,-2.89,-2.64,4.30,4.30,4.28
53.56,7.16,2.87,7.16,2.87,-2.87,-2.86,-2.61,4.29,4.29,4.29
54.10,7.11,2.82,7.11,2.84,-2.84,-2.82,-2.58,4.27,4.27,4.29
54.64,7.06,2.79,7.06,2.80,-2.81,-2.79,-2.56,4.25,4.25,4.27
55.18,7.01,2.80,7.01,2.76,-2.78,-2.75,-2.53,4.23,4.23,4.22
55.74,6.96,2.72,6.96,2.73,-2.74,-2.72,-2.50,4.22,4.22,4.24
56.29,6.91,2.68,6.91,2.70,-2.69,-2.68,-2.48,4.22,4.22,4.23
56.86,6.86,2.68,6.86,2.69,-2.63,-2.65,-2.45,4.23,4.23,4.18
57.42,6.82,2.66,6.82,2.66,-2.58,-2.61,-2.43,4.24,4.24,4.15
58.00,6.78,2.64,6.78,2.55,-2.53,-2.58,-2.41,4.24,4.24,4.14
58.58,6.74,2.40,6.74,2.42,-2.50,-2.55,-2.38,4.24,4.24,4.34
59.16,6.70,2.25,6.70,2.35,-2.47,-2.51,-2.36,4.24,4.23,4.45
59.76,6.66,2.37,6.66,2.36,-2.44,-2.48,-2.34,4.22,4.22,4.29
60.35,6.61,2.47,6.61,2.43,-2.41,-2.45,-2.31,4.19,4.19,4.13
60.96,6.55,2.51,6.55,2.47,-2.39,-2.41,-2.29,4.16,4.16,4.04
61.57,6.49,2.41,6.49,2.44,-2.37,-2.38,-2.27,4.12,4.12,4.08
62.18,6.42,2.36,6.42,2.39,-2.35,-2.35,-2.24,4.07,4.07,4.06
62.80,6.36,2.35,6.36,2.33,-2.33,-2.32,-2.22,4.02,4.02,4.01
63.43,6.29,2.29,6.29,2.28,-2.30,-2.29,-2.19,3.99,3.99,4.00
64.07,6.23,2.22,6.23,2.23,-2.26,-2.26,-2.17,3.97,3.98,4.01
64.71,6.18,2.19,6.18,2.19,-2.21,-2.23,-2.14,3.97,3.97,3.99
65.35,6.13,2.16,6.13,2.16,-2.16,-2.20,-2.12,3.96,3.96,3.97
66.01,6.08,2.14,6.08,2.14,-2.13,-2.17,-2.09,3.95,3.95,3.94
66.67,6.04,2.11,6.04,2.11,-2.10,-2.14,-2.06,3.94,3.94,3.93
