frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,16.00,9.58,16.00,9.58,-9.60,-9.58,-4.12,6.40,6.40,6.42
20.20,16.01,9.59,16.00,9.59,-9.59,-9.57,-4.23,6.41,6.41,6.42
20.40,16.00,9.60,15.99,9.60,-9.59,-9.55,-4.34,6.41,6.41,6.40
20.61,15.98,9.60,15.97,9.60,-9.58,-9.55,-4.46,6.39,6.39,6.38
20.81,15.93,9.59,15.93,9.59,-9.58,-9.54,-4.58,6.36,6.36,6.34
21.02,15.88,9.57,15.89,9.57,-9.57,-9.55,-4.70,6.32,6.32,6.31
21.23,15.84,9.56,15.84,9.56,-9.56,-9.56,-4.83,6.28,6.28,6.28
21.44,15.80,9.54,15.80,9.54,-9.55,-9.57,-4.96,6.25,6.25,6.26
21.66,15.78,9.53,15.78,9.53,-9.54,-9.57,-5.09,6.24,6.24,6.25
21.87,15.77,9.52,15.77,9.52,-9.53,-9.56,-5.23,6.23,6.24,6.25
22.09,15.76,9.51,15.76,9.51,-9.52,-9.55,-5.37,6.24,6.24,6.25
22.31,15.76,9.51,15.76,9.51,-9.51,-9.53,-5.52,6.26,6.25,6.26
22.54,15.77,9.50,15.77,9.50,-9.49,-9.50,-5.67,6.27,6.27,6.26
22.76,15.76,9.49,15.76,9.49,-9.47,-9.47,-5.82,6.29,6.29,6.28
22.99,15.76,9.46,15.76,9.46,-9.44,-9.44,-5.98,6.31,6.31,6.30
23.22,15.74,9.42,15.74,9.42,-9.41,-9.41,-6.14,6.34,6.34,6.32
23.45,15.73,9.38,15.73,9.38,-9.37,-9.38,-6.30,6.37,6.37,6.36
23.69,15.72,9.33,15.72,9.32,-9.32,-9.36,-6.47,6.40,6.40,6.40
23.92,15.72,9.27,15.72,9.27,-9.28,-9.33,-6.64,6.45,6.45,6.45
24.16,15.73,9.23,15.73,9.23,-9.23,-9.31,-6.82,6.49,6.50,6.50
24.40,15.74,9.19,15.74,9.19,-9.20,-9.28,-7.00,6.55,6.55,6.56
24.65,15.77,9.16,15.77,9.16,-9.17,-9.26,-7.18,6.59,6.59,6.61
24.89,15.79,9.15,15.79,9.15,-9.16,-9.25,-7.37,6.63,6.63,6.65
25.14,15.82,9.15,15.82,9.15,-9.16,-9.23,-7.55,6.66,6.66,6.67
25.39,15.84,9.16,15.83,9.16,-9.17,-9.22,-7.74,6.67,6.66,6.68
25.65,15.85,9.19,15.85,9.19,-9.19,-9.20,-7.94,6.65,6.65,6.66
25.91,15.85,9.22,15.85,9.22,-9.22,-9.19,-8.13,6.63,6.63,6.64
26.16,15.86,9.25,15.85,9.25,-9.25,-9.18,-8.33,6.60,6.60,6.60
26.43,15.85,9.29,15.85,9.29,-9.28,-9.17,-8.52,6.57,6.57,6.56
26.69,15.85,9.32,15.85,9.32,-9.30,-9.17,-8.72,6.55,6.55,6.54
26.96,15.85,9.34,15.85,9.33,-9.32,-9.16,-8.91,6.54,6.54,6.52
27.23,15.86,9.34,15.86,9.34,-9.32,-9.15,-9.11,6.54,6.54,6.52
27.50,15.87,9.32,15.87,9.32,-9.31,-9.15,-9.30,6.56,6.56,6.55
27.77,15.88,9.30,15.88,9.30,-9.29,-9.14,-9.48,6.59,6.59,6.58
28.05,15.89,9.26,15.89,9.26,-9.26,-9.14,-9.66,6.63,6.63,6.62
28.33,15.89,9.23,15.89,9.23,-9.23,-9.13,-9.83,6.66,6.66,6.67
28.62,15.90,9.20,15.89,9.20,-9.21,-9.13,-10.00,6.69,6.69,6.70
28.90,15.89,9.17,15.89,9.17,-9.19,-9.12,-10.16,6.70,6.70,6.72
29.19,15.89,9.16,15.89,9.16,-9.18,-9.11,-10.30,6.71,6.71,6.73
29.48,15.88,9.15,15.88,9.16,-9.18,-9.11,-10.43,6.70,6.70,6.73
29.78,15.88,9.17,15.88,9.17,-9.18,-9.10,-10.56,6.70,6.70,6.71
30.08,15.88,9.19,15.88,9.19,-9.19,-9.09,-10.66,6.69,6.69,6.69
30.38,15.88,9.21,15.88,9.21,-9.20,-9.09,-10.75,6.68,6.68,6.67
30.68,15.88,9.22,15.88,9.22,-9.20,-9.08,-10.82,6.68,6.68,6.65
30.99,15.87,9.22,15.86,9.22,-9.19,-9.07,-10.88,6.67,6.67,6.64
31.30,15.85,9.20,15.84,9.20,-9.18,-9.06,-10.91,6.66,6.66,6.64
31.61,15.82,9.17,15.82,9.17,-9.16,-9.05,-10.93,6.66,6.66,6.65
31.93,15.79,9.12,15.79,9.12,-9.13,-9.05,-10.93,6.66,6.66,6.66
32.24,15.76,9.08,15.76,9.08,-9.10,-9.04,-10.92,6.66,6.66,6.67
32.57,15.72,9.04,15.73,9.05,-9.06,-9.02,-10.88,6.66,6.67,6.68
32.89,15.70,9.01,15.70,9.01,-9.02,-9.01,-10.84,6.68,6.68,6.68
33.22,15.67,8.99,15.67,8.99,-8.98,-9.00,-10.77,6.69,6.69,6.68
33.55,15.64,8.96,15.63,8.96,-8.94,-8.99,-10.70,6.69,6.69,6.68
33.89,15.60,8.92,15.60,8.92,-8.91,-8.98,-10.61,6.69,6.69,6.68
34.23,15.56,8.88,15.56,8.88,-8.87,-8.96,-10.52,6.68,6.68,6.68
34.57,15.52,8.84,15.52,8.84,-8.84,-8.95,-10.41,6.67,6.67,6.68
34.92,15.48,8.80,15.48,8.80,-8.82,-8.93,-10.30,6.66,6.67,6.68
35.27,15.46,8.78,15.46,8.78,-8.80,-8.92,-10.19,6.66,6.66,6.68
35.62,15.44,8.76,15.44,8.77,-8.78,-8.90,-10.07,6.66,6.66,6.67
35.97,15.42,8.76,15.42,8.76,-8.76,-8.89,-9.94,6.67,6.67,6.66
36.33,15.41,8.75,15.41,8.75,-8.74,-8.87,-9.81,6.67,6.67,6.65
36.70,15.39,8.74,15.39,8.74,-8.72,-8.85,-9.69,6.67,6.67,6.65
37.06,15.37,8.72,15.37,8.72,-8.71,-8.84,-9.56,6.66,6.66,6.65
