frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.67,-4.80,7.67,-4.80,4.87,-0.06,1.25,12.54,12.54,12.47
20.20,7.69,-4.76,7.68,-4.76,4.77,-0.06,1.29,12.45,12.45,12.44
20.40,7.70,-4.71,7.70,-4.71,4.67,-0.06,1.32,12.38,12.37,12.41
20.61,7.72,-4.65,7.72,-4.64,4.58,-0.07,1.37,12.30,12.31,12.36
20.81,7.76,-4.55,7.76,-4.55,4.50,-0.07,1.41,12.25,12.25,12.31
21.02,7.80,-4.44,7.80,-4.45,4.41,-0.07,1.45,12.21,12.21,12.24
21.23,7.84,-4.34,7.84,-4.34,4.33,-0.07,1.50,12.18,12.18,12.18
21.44,7.88,-4.24,7.88,-4.24,4.26,-0.07,1.54,12.14,12.14,12.12
21.66,7.93,-4.15,7.93,-4.15,4.17,-0.07,1.59,12.10,12.10,12.08
21.87,7.97,-4.08,7.97,-4.08,4.10,-0.07,1.64,12.07,12.07,12.04
22.09,8.01,-4.02,8.01,-4.02,4.04,-0.08,1.69,12.04,12.04,12.02
22.31,8.05,-3.97,8.05,-3.97,3.98,-0.08,1.74,12.03,12.03,12.02
22.54,8.08,-3.94,8.08,-3.94,3.94,-0.08,1.79,12.03,12.03,12.02
22.76,8.12,-3.91,8.12,-3.91,3.91,-0.08,1.85,12.03,12.03,12.03
22.99,8.16,-3.88,8.16,-3.88,3.87,-0.08,1.90,12.03,12.03,12.04
23.22,8.20,-3.85,8.20,-3.85,3.83,-0.08,1.96,12.04,12.04,12.05
23.45,8.24,-3.80,8.24,-3.80,3.79,-0.09,2.02,12.04,12.04,12.05
23.69,8.28,-3.75,8.28,-3.75,3.74,-0.09,2.08,12.03,12.03,12.04
23.92,8.32,-3.69,8.32,-3.69,3.69,-0.09,2.13,12.01,12.01,12.02
24.16,8.36,-3.63,8.36,-3.63,3.62,-0.09,2.20,11.99,11.99,11.99
24.40,8.40,-3.56,8.40,-3.56,3.55,-0.09,2.26,11.95,11.95,11.96
