frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.99,0.84,11.99,0.84,-0.82,-0.85,-0.37,11.17,11.17,11.15
20.20,12.00,0.87,12.00,0.88,-0.88,-0.87,-0.38,11.12,11.12,11.13
20.40,12.00,0.91,12.00,0.91,-0.92,-0.89,-0.39,11.08,11.08,11.09
20.61,12.00,0.95,11.99,0.95,-0.96,-0.91,-0.40,11.03,11.03,11.05
20.81,11.98,0.99,11.98,0.99,-1.00,-0.93,-0.41,10.98,10.98,10.99
21.02,11.95,1.02,11.95,1.02,-1.03,-0.94,-0.42,10.92,10.92,10.93
21.23,11.92,1.06,11.92,1.05,-1.05,-0.96,-0.44,10.87,10.87,10.86
21.44,11.88,1.08,11.88,1.08,-1.07,-0.98,-0.45,10.82,10.82,10.81
21.66,11.85,1.09,11.85,1.09,-1.08,-1.00,-0.46,10.77,10.77,10.76
21.87,11.82,1.09,11.82,1.09,-1.08,-1.02,-0.48,10.73,10.74,10.72
22.09,11.79,1.08,11.79,1.08,-1.08,-1.04,-0.49,10.71,10.71,10.71
22.31,11.77,1.07,11.77,1.07,-1.07,-1.05,-0.51,10.70,10.70,10.70
22.54,11.76,1.05,11.76,1.05,-1.06,-1.07,-0.52,10.70,10.70,10.70
22.76,11.75,1.04,11.75,1.04,-1.04,-1.08,-0.54,10.71,10.71,10.71
22.99,11.75,1.02,11.75,1.02,-1.03,-1.09,-0.55,10.72,10.72,10.72
23.22,11.74,1.01,11.74,1.01,-1.02,-1.10,-0.57,10.72,10.72,10.73
23.45,11.73,1.00,11.73,1.00,-1.01,-1.10,-0.58,10.72,10.72,10.73
23.69,11.72,1.00,11.72,1.00,-1.01,-1.10,-0.60,10.71,10.71,10.72
23.92,11.71,1.01,11.71,1.01,-1.01,-1.10,-0.62,10.70,10.70,10.70
24.16,11.69,1.02,11.69,1.02,-1.02,-1.10,-0.64,10.67,10.67,10.67
24.40,11.67,1.03,11.67,1.03,-1.03,-1.09,-0.65,10.63,10.64,10.64
24.65,11.64,1.04,11.64,1.04,-1.04,-1.08,-0.67,10.60,10.60,10.60
24.89,11.61,1.06,11.61,1.06,-1.06,-1.07,-0.69,10.55,10.55,10.55
25.14,11.58,1.07,11.58,1.07,-1.06,-1.06,-0.71,10.51,10.51,10.51
25.39,11.54,1.08,11.54,1.08,-1.07,-1.05,-0.72,10.48,10.47,10.47
25.65,11.50,1.08,11.50,1.08,-1.07,-1.04,-0.74,10.44,10.44,10.43
25.91,11.46,1.07,11.46,1.07,-1.06,-1.03,-0.76,10.40,10.40,10.39
26.16,11.42,1.06,11.42,1.06,-1.05,-1.01,-0.78,10.37,10.37,10.36
26.43,11.37,1.03,11.37,1.03,-1.03,-1.00,-0.80,10.34,10.34,10.33
26.69,11.31,1.01,11.31,1.01,-1.01,-0.99,-0.81,10.30,10.30,10.31
26.96,11.26,0.98,11.26,0.98,-0.99,-0.97,-0.83,10.27,10.27,10.28
27.23,11.22,0.96,11.22,0.96,-0.98,-0.96,-0.85,10.24,10.24,10.26
27.50,11.18,0.95,11.18,0.95,-0.97,-0.95,-0.87,10.21,10.21,10.23
27.77,11.15,0.95,11.15,0.95,-0.96,-0.94,-0.88,10.19,10.19,10.20
28.05,11.12,0.95,11.12,0.95,-0.95,-0.93,-0.90,10.17,10.17,10.17
