frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.86,-12.81,-3.85,-12.81,6.00,5.92,2.88,2.14,2.15,8.95
20.20,-3.83,-12.76,-3.84,-12.76,6.00,5.97,2.96,2.17,2.16,8.93
20.40,-3.80,-12.70,-3.81,-12.70,6.00,6.02,3.04,2.20,2.19,8.90
20.61,-3.77,-12.62,-3.77,-12.62,6.00,6.04,3.13,2.23,2.23,8.85
20.81,-3.72,-12.51,-3.72,-12.51,6.00,6.06,3.22,2.28,2.28,8.79
21.02,-3.66,-12.39,-3.66,-12.39,6.00,6.05,3.31,2.34,2.34,8.73
21.23,-3.59,-12.26,-3.59,-12.26,6.00,6.05,3.41,2.41,2.41,8.67
21.44,-3.51,-12.13,-3.51,-12.13,6.00,6.03,3.50,2.49,2.49,8.61
21.66,-3.44,-12.00,-3.44,-12.00,6.00,6.01,3.60,2.56,2.56,8.57
21.87,-3.36,-11.89,-3.37,-11.90,6.00,5.99,3.71,2.64,2.63,8.53
22.09,-3.30,-11.81,-3.30,-11.81,6.00,5.98,3.81,2.70,2.70,8.51
22.31,-3.24,-11.75,-3.24,-11.75,6.00,5.96,3.92,2.76,2.76,8.51
22.54,-3.19,-11.70,-3.19,-11.70,6.00,5.95,4.03,2.81,2.81,8.51
22.76,-3.14,-11.66,-3.14,-11.66,6.00,5.95,4.14,2.86,2.86,8.52
22.99,-3.10,-11.63,-3.10,-11.63,6.00,5.94,4.26,2.90,2.90,8.53
23.22,-3.05,-11.59,-3.05,-11.58,6.00,5.94,4.38,2.95,2.95,8.54
23.45,-2.99,-11.53,-2.99,-11.53,6.00,5.94,4.50,3.01,3.01,8.54
23.69,-2.93,-11.46,-2.93,-11.46,6.00,5.94,4.62,3.07,3.07,8.53
23.92,-2.86,-11.37,-2.86,-11.37,6.00,5.94,4.75,3.14,3.14,8.51
24.16,-2.79,-11.27,-2.79,-11.27,6.00,5.95,4.88,3.21,3.21,8.48
24.40,-2.72,-11.16,-2.72,-11.16,6.00,5.95,5.01,3.28,3.28,8.44
24.65,-2.64,-11.04,-2.64,-11.04,6.00,5.96,5.15,3.36,3.36,8.40
24.89,-2.57,-10.93,-2.57,-10.93,6.00,5.97,5.28,3.43,3.43,8.36
25.14,-2.50,-10.82,-2.50,-10.82,6.00,5.97,5.42,3.50,3.50,8.32
25.39,-2.44,-10.71,-2.44,-10.71,6.00,5.98,5.56,3.56,3.56,8.27
25.65,-2.39,-10.62,-2.39,-10.62,6.00,5.99,5.70,3.61,3.61,8.23
25.91,-2.34,-10.53,-2.34,-10.53,6.00,5.99,5.84,3.66,3.66,8.20
26.16,-2.29,-10.46,-2.29,-10.46,6.00,6.00,5.98,3.71,3.71,8.17
26.43,-2.25,-10.39,-2.25,-10.39,6.00,6.00,6.12,3.75,3.75,8.14
26.69,-2.21,-10.32,-2.21,-10.32,6.00,6.01,6.26,3.79,3.79,8.11
26.96,-2.17,-10.26,-2.17,-10.26,6.00,6.02,6.39,3.83,3.83,8.09
27.23,-2.13,-10.19,-2.13,-10.19,6.00,6.02,6.53,3.87,3.87,8.06
27.50,-2.09,-10.12,-2.09,-10.12,6.00,6.02,6.66,3.91,3.91,8.03
27.77,-2.05,-10.06,-2.05,-10.06,6.00,6.03,6.79,3.95,3.95,8.00
28.05,-2.02,-9.99,-2.02,-9.99,6.00,6.03,6.91,3.98,3.98,7.97
28.33,-1.99,-9.93,-1.99,-9.93,6.00,6.03,7.03,4.01,4.01,7.94
28.62,-1.96,-9.86,-1.96,-9.86,6.00,6.04,7.14,4.04,4.04,7.90
28.90,-1.93,-9.80,-1.93,-9.80,6.00,6.04,7.24,4.07,4.07,7.87
29.19,-1.90,-9.73,-1.90,-9.73,6.00,6.04,7.34,4.10,4.10,7.83
29.48,-1.87,-9.67,-1.87,-9.67,6.00,6.04,7.43,4.13,4.13,7.80
29.78,-1.84,-9.60,-1.84,-9.60,6.00,6.04,7.51,4.16,4.16,7.76
30.08,-1.80,-9.53,-1.80,-9.53,6.00,6.04,7.57,4.20,4.20,7.73
30.38,-1.77,-9.46,-1.77,-9.46,6.00,6.04,7.63,4.23,4.23,7.69
30.68,-1.72,-9.38,-1.72,-9.38,6.00,6.03,7.67,4.28,4.28,7.66
30.99,-1.68,-9.30,-1.68,-9.30,6.00,6.03,7.71,4.32,4.32,7.62
31.30,-1.63,-9.22,-1.63,-9.22,6.00,6.03,7.73,4.37,4.37,7.59
31.61,-1.58,-9.15,-1.58,-9.15,6.00,6.03,7.74,4.42,4.42,7.56
31.93,-1.53,-9.07,-1.53,-9.07,6.00,6.02,7.73,4.47,4.47,7.54
32.24,-1.49,-9.00,-1.49,-9.00,6.00,6.02,7.72,4.51,4.51,7.51
32.57,-1.44,-8.93,-1.44,-8.93,6.00,6.02,7.69,4.56,4.56,7.49
32.89,-1.40,-8.86,-1.40,-8.86,6.00,6.01,7.66,4.60,4.60,7.46
33.22,-1.36,-8.80,-1.36,-8.80,6.00,6.01,7.61,4.64,4.64,7.44
33.55,-1.32,-8.74,-1.32,-8.74,6.00,6.00,7.56,4.68,4.68,7.42
33.89,-1.29,-8.68,-1.29,-8.68,6.00,6.00,7.50,4.71,4.71,7.39
34.23,-1.25,-8.62,-1.25,-8.62,6.00,6.00,7.43,4.75,4.75,7.37
34.57,-1.22,-8.56,-1.22,-8.57,6.00,5.99,7.35,4.78,4.78,7.35
34.92,-1.19,-8.52,-1.19,-8.52,6.00,5.99,7.27,4.81,4.81,7.33
35.27,-1.16,-8.47,-1.16,-8.47,6.00,5.98,7.18,4.84,4.84,7.31
35.62,-1.14,-8.44,-1.14,-8.44,6.00,5.98,7.09,4.86,4.86,7.29
35.97,-1.12,-8.40,-1.12,-8.40,6.00,5.97,6.99,4.88,4.88,7.28
36.33,-1.11,-8.36,-1.11,-8.36,6.00,5.97,6.90,4.89,4.89,7.26
36.70,-1.09,-8.33,-1.09,-8.33,6.00,5.97,6.80,4.91,4.91,7.24
37.06,-1.07,-8.29,-1.07,-8.29,6.00,5.96,6.70,4.93,4.93,7.22
37.43,-1.05,-8.24,-1.05,-8.25,6.00,5.96,6.60,4.95,4.95,7.20
37.81,-1.03,-8.20,-1.03,-8.20,6.00,5.96,6.50,4.97,4.97,7.17
38.19,-1.01,-8.16,-1.01,-8.16,6.00,5.96,6.40,4.99,4.99,7.15
38.57,-0.99,-8.12,-0.99,-8.12,6.00,5.96,6.31,5.01,5.01,7.12
38.95,-0.97,-8.07,-0.97,-8.07,6.00,5.96,6.21,5.03,5.03,7.10
39.34,-0.94,-8.01,-0.94,-8.01,6.00,5.96,6.12,5.06,5.06,7.07
39.74,-0.91,-7.95,-0.90,-7.95,6.00,5.96,6.03,5.09,5.10,7.04
40.14,-0.87,-7.88,-0.87,-7.88,6.00,5.96,5.94,5.13,5.13,7.02
40.54,-0.83,-7.82,-0.83,-7.82,6.00,5.96,5.86,5.17,5.17,6.99
40.94,-0.79,-7.75,-0.79,-7.75,6.00,5.97,5.78,5.21,5.21,6.96
