frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.49,2.44,12.49,2.44,-2.40,-2.58,-1.24,10.08,10.08,10.04
20.20,12.51,2.49,12.51,2.49,-2.49,-2.60,-1.28,10.02,10.02,10.02
20.40,12.53,2.54,12.53,2.55,-2.57,-2.62,-1.32,9.96,9.96,9.99
20.61,12.54,2.60,12.54,2.61,-2.63,-2.64,-1.36,9.91,9.91,9.94
20.81,12.55,2.67,12.55,2.67,-2.69,-2.66,-1.40,9.86,9.86,9.88
21.02,12.55,2.73,12.55,2.73,-2.74,-2.68,-1.44,9.81,9.81,9.82
21.23,12.55,2.79,12.55,2.79,-2.79,-2.70,-1.48,9.76,9.76,9.76
21.44,12.54,2.83,12.54,2.83,-2.82,-2.71,-1.52,9.71,9.71,9.70
21.66,12.52,2.86,12.52,2.87,-2.85,-2.73,-1.57,9.67,9.67,9.66
21.87,12.50,2.89,12.50,2.88,-2.87,-2.74,-1.62,9.64,9.64,9.62
22.09,12.49,2.89,12.49,2.89,-2.88,-2.76,-1.66,9.61,9.61,9.60
22.31,12.47,2.88,12.47,2.88,-2.87,-2.77,-1.71,9.60,9.60,9.60
22.54,12.46,2.86,12.46,2.86,-2.86,-2.78,-1.76,9.60,9.60,9.60
22.76,12.44,2.83,12.44,2.83,-2.84,-2.79,-1.81,9.60,9.60,9.61
22.99,12.43,2.81,12.43,2.81,-2.82,-2.80,-1.86,9.61,9.61,9.62
23.22,12.41,2.79,12.41,2.79,-2.80,-2.81,-1.92,9.62,9.62,9.63
23.45,12.40,2.77,12.39,2.77,-2.78,-2.82,-1.97,9.62,9.62,9.62
23.69,12.37,2.76,12.37,2.76,-2.76,-2.83,-2.03,9.61,9.61,9.61
23.92,12.35,2.75,12.35,2.75,-2.75,-2.84,-2.09,9.59,9.59,9.60
24.16,12.32,2.75,12.32,2.75,-2.75,-2.84,-2.14,9.57,9.57,9.57
24.40,12.28,2.75,12.28,2.75,-2.75,-2.85,-2.20,9.53,9.53,9.53
24.65,12.24,2.75,12.24,2.75,-2.76,-2.85,-2.26,9.49,9.49,9.49
24.89,12.21,2.76,12.21,2.76,-2.77,-2.86,-2.32,9.44,9.44,9.45
