frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.60,4.90,8.60,4.89,-4.93,-5.10,-2.09,3.67,3.66,3.70
20.20,8.63,4.88,8.63,4.89,-4.90,-5.08,-2.15,3.73,3.73,3.75
20.40,8.67,4.86,8.67,4.89,-4.87,-5.05,-2.21,3.79,3.80,3.80
20.61,8.70,4.89,8.70,4.87,-4.84,-5.00,-2.27,3.86,3.86,3.80
20.81,8.73,4.86,8.73,4.85,-4.81,-4.96,-2.34,3.91,3.91,3.87
21.02,8.75,4.81,8.76,4.82,-4.79,-4.91,-2.41,3.97,3.97,3.94
21.23,8.78,4.77,8.78,4.78,-4.76,-4.86,-2.48,4.02,4.02,4.01
21.44,8.80,4.74,8.80,4.73,-4.74,-4.81,-2.55,4.06,4.06,4.06
21.66,8.83,4.70,8.83,4.70,-4.70,-4.77,-2.62,4.12,4.12,4.12
21.87,8.85,4.65,8.85,4.68,-4.67,-4.73,-2.70,4.18,4.17,4.19
22.09,8.86,4.66,8.86,4.65,-4.65,-4.70,-2.78,4.21,4.21,4.20
22.31,8.88,4.64,8.88,4.62,-4.64,-4.67,-2.86,4.24,4.24,4.24
22.54,8.90,4.60,8.90,4.62,-4.65,-4.65,-2.94,4.25,4.25,4.30
22.76,8.91,4.61,8.91,4.63,-4.66,-4.63,-3.03,4.25,4.25,4.30
22.99,8.93,4.68,8.93,4.67,-4.68,-4.61,-3.11,4.25,4.25,4.25
23.22,8.94,4.74,8.94,4.72,-4.71,-4.60,-3.20,4.24,4.24,4.20
23.45,8.96,4.76,8.96,4.76,-4.74,-4.58,-3.29,4.22,4.22,4.20
23.69,8.97,4.77,8.97,4.78,-4.77,-4.58,-3.39,4.21,4.21,4.20
23.92,8.99,4.79,8.99,4.79,-4.79,-4.57,-3.48,4.20,4.20,4.20
24.16,9.01,4.81,9.01,4.81,-4.80,-4.56,-3.58,4.21,4.21,4.20
24.40,9.03,4.83,9.03,4.82,-4.80,-4.56,-3.67,4.23,4.23,4.20
24.65,9.05,4.81,9.05,4.81,-4.79,-4.56,-3.77,4.26,4.26,4.24
24.89,9.08,4.78,9.08,4.78,-4.77,-4.55,-3.87,4.31,4.31,4.30
25.14,9.11,4.75,9.11,4.74,-4.75,-4.55,-3.97,4.36,4.36,4.36
25.39,9.14,4.71,9.14,4.70,-4.72,-4.55,-4.08,4.42,4.42,4.43
25.65,9.18,4.66,9.18,4.67,-4.70,-4.55,-4.18,4.48,4.48,4.51
25.91,9.21,4.63,9.21,4.65,-4.67,-4.55,-4.28,4.54,4.54,4.58
26.16,9.25,4.65,9.25,4.65,-4.64,-4.55,-4.38,4.61,4.61,4.60
26.43,9.28,4.67,9.28,4.65,-4.62,-4.55,-4.48,4.66,4.66,4.61
26.69,9.30,4.63,9.30,4.63,-4.60,-4.55,-4.58,4.70,4.70,4.67
26.96,9.33,4.59,9.33,4.59,-4.59,-4.55,-4.68,4.74,4.74,4.74
27.23,9.34,4.54,9.34,4.56,-4.58,-4.56,-4.78,4.76,4.76,4.80
27.50,9.36,4.55,9.36,4.55,-4.58,-4.56,-4.88,4.78,4.78,4.80
27.77,9.37,4.57,9.37,4.56,-4.58,-4.56,-4.97,4.79,4.79,4.80
28.05,9.38,4.58,9.38,4.58,-4.59,-4.56,-5.06,4.80,4.80,4.80
28.33,9.40,4.60,9.40,4.60,-4.60,-4.56,-5.14,4.80,4.80,4.80
28.62,9.42,4.62,9.42,4.62,-4.63,-4.56,-5.22,4.79,4.80,4.80
28.90,9.44,4.64,9.45,4.64,-4.65,-4.56,-5.29,4.79,4.79,4.80
29.19,9.47,4.67,9.47,4.67,-4.67,-4.56,-5.36,4.80,4.80,4.80
29.48,9.49,4.69,9.49,4.69,-4.67,-4.56,-5.42,4.81,4.81,4.80
29.78,9.50,4.70,9.50,4.70,-4.67,-4.56,-5.48,4.83,4.84,4.80
30.08,9.51,4.70,9.51,4.69,-4.65,-4.56,-5.52,4.87,4.87,4.82
30.38,9.52,4.64,9.52,4.64,-4.62,-4.56,-5.57,4.90,4.90,4.88
30.68,9.52,4.58,9.52,4.58,-4.58,-4.55,-5.60,4.94,4.94,4.95
30.99,9.52,4.51,9.52,4.51,-4.53,-4.55,-5.62,4.99,4.99,5.02
