frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.56,5.07,6.56,5.06,-5.10,-4.93,-1.72,1.46,1.45,1.49
20.20,6.60,5.06,6.60,5.07,-5.09,-4.96,-1.77,1.51,1.51,1.54
20.40,6.64,5.05,6.64,5.08,-5.07,-4.99,-1.82,1.57,1.57,1.59
20.61,6.68,5.09,6.68,5.07,-5.05,-4.99,-1.88,1.63,1.63,1.59
20.81,6.72,5.06,6.72,5.06,-5.02,-5.00,-1.93,1.70,1.70,1.66
21.02,6.75,5.03,6.75,5.03,-4.99,-4.98,-1.99,1.76,1.76,1.73
21.23,6.78,4.98,6.77,4.98,-4.96,-4.96,-2.05,1.82,1.82,1.79
21.44,6.78,4.93,6.78,4.93,-4.92,-4.92,-2.11,1.87,1.86,1.85
21.66,6.77,4.87,6.78,4.86,-4.86,-4.89,-2.17,1.92,1.92,1.91
21.87,6.76,4.78,6.76,4.80,-4.80,-4.84,-2.24,1.97,1.96,1.98
22.09,6.74,4.75,6.74,4.74,-4.74,-4.80,-2.30,2.00,2.00,1.99
22.31,6.71,4.69,6.72,4.67,-4.70,-4.75,-2.37,2.02,2.02,2.03
22.54,6.69,4.61,6.69,4.62,-4.66,-4.70,-2.44,2.03,2.03,2.09
22.76,6.67,4.59,6.67,4.61,-4.65,-4.65,-2.51,2.03,2.03,2.09
22.99,6.66,4.62,6.66,4.62,-4.64,-4.61,-2.59,2.02,2.02,2.04
23.22,6.66,4.67,6.66,4.65,-4.64,-4.57,-2.66,2.01,2.01,1.99
23.45,6.66,4.67,6.66,4.67,-4.66,-4.52,-2.74,2.00,2.00,1.99
23.69,6.66,4.68,6.66,4.68,-4.67,-4.49,-2.82,1.99,1.99,1.99
23.92,6.67,4.68,6.67,4.68,-4.68,-4.45,-2.90,1.99,1.99,1.99
24.16,6.67,4.68,6.67,4.69,-4.67,-4.41,-2.98,2.00,2.00,1.99
24.40,6.67,4.69,6.67,4.68,-4.65,-4.38,-3.06,2.02,2.02,1.99
24.65,6.67,4.65,6.67,4.64,-4.62,-4.35,-3.14,2.06,2.06,2.02
24.89,6.67,4.59,6.67,4.59,-4.57,-4.31,-3.23,2.10,2.10,2.09
25.14,6.67,4.52,6.67,4.52,-4.52,-4.28,-3.31,2.15,2.15,2.15
25.39,6.66,4.45,6.67,4.44,-4.46,-4.25,-3.40,2.20,2.20,2.22
25.65,6.66,4.36,6.66,4.37,-4.40,-4.23,-3.48,2.26,2.26,2.30
25.91,6.66,4.30,6.66,4.32,-4.34,-4.20,-3.57,2.32,2.32,2.36
26.16,6.66,4.28,6.66,4.28,-4.28,-4.17,-3.65,2.38,2.38,2.39
26.43,6.67,4.27,6.67,4.25,-4.23,-4.14,-3.74,2.44,2.44,2.39
26.69,6.66,4.20,6.67,4.20,-4.18,-4.12,-3.82,2.48,2.49,2.46
26.96,6.66,4.13,6.66,4.14,-4.13,-4.09,-3.90,2.53,2.53,2.53
27.23,6.65,4.06,6.65,4.08,-4.09,-4.07,-3.98,2.56,2.56,2.59
27.50,6.62,4.04,6.62,4.03,-4.04,-4.04,-4.06,2.58,2.58,2.59
27.77,6.59,4.00,6.59,3.99,-3.99,-4.01,-4.13,2.60,2.60,2.59
28.05,6.54,3.96,6.54,3.96,-3.94,-3.99,-4.20,2.60,2.60,2.59
28.33,6.49,3.91,6.49,3.91,-3.90,-3.96,-4.27,2.59,2.59,2.59
28.62,6.45,3.86,6.45,3.86,-3.87,-3.93,-4.34,2.58,2.58,2.59
28.90,6.41,3.82,6.41,3.82,-3.85,-3.91,-4.39,2.56,2.56,2.59
29.19,6.38,3.80,6.38,3.80,-3.83,-3.88,-4.45,2.55,2.55,2.59
29.48,6.37,3.79,6.38,3.80,-3.81,-3.85,-4.49,2.56,2.56,2.59
29.78,6.39,3.80,6.39,3.80,-3.80,-3.83,-4.54,2.60,2.59,2.59
30.08,6.41,3.81,6.42,3.80,-3.77,-3.80,-4.57,2.64,2.64,2.60
30.38,6.45,3.78,6.44,3.78,-3.75,-3.77,-4.60,2.70,2.70,2.66
30.68,6.47,3.74,6.47,3.73,-3.71,-3.75,-4.62,2.76,2.75,2.73
30.99,6.47,3.67,6.47,3.67,-3.66,-3.72,-4.63,2.81,2.81,2.80
31.30,6.46,3.59,6.46,3.61,-3.60,-3.69,-4.64,2.85,2.85,2.87
31.61,6.43,3.54,6.43,3.53,-3.53,-3.66,-4.64,2.90,2.89,2.89
31.93,6.38,3.47,6.38,3.45,-3.45,-3.63,-4.63,2.93,2.93,2.91
32.24,6.33,3.36,6.34,3.38,-3.37,-3.61,-4.62,2.96,2.96,2.98
32.57,6.29,3.30,6.29,3.30,-3.30,-3.58,-4.59,2.99,2.99,2.99
32.89,6.25,3.24,6.25,3.22,-3.23,-3.55,-4.57,3.02,3.02,3.01
33.22,6.22,3.13,6.22,3.16,-3.18,-3.52,-4.53,3.04,3.04,3.09
33.55,6.19,3.11,6.19,3.11,-3.13,-3.49,-4.49,3.06,3.06,3.09
33.89,6.18,3.09,6.18,3.09,-3.10,-3.46,-4.45,3.08,3.08,3.09
34.23,6.17,3.08,6.17,3.09,-3.07,-3.43,-4.40,3.10,3.10,3.09
34.57,6.17,3.09,6.18,3.07,-3.06,-3.40,-4.34,3.11,3.12,3.09
34.92,6.19,3.06,6.20,3.06,-3.05,-3.37,-4.28,3.14,3.14,3.13
35.27,6.22,3.03,6.22,3.05,-3.06,-3.34,-4.22,3.16,3.16,3.19
35.62,6.24,3.05,6.24,3.05,-3.06,-3.31,-4.15,3.18,3.18,3.19
35.97,6.25,3.07,6.25,3.06,-3.06,-3.28,-4.08,3.19,3.18,3.19
36.33,6.24,3.07,6.23,3.08,-3.07,-3.25,-4.01,3.17,3.16,3.16
36.70,6.20,3.10,6.20,3.08,-3.08,-3.22,-3.94,3.13,3.13,3.10
37.06,6.16,3.08,6.17,3.08,-3.09,-3.18,-3.86,3.08,3.08,3.09
37.43,6.13,3.06,6.13,3.09,-3.09,-3.15,-3.79,3.04,3.04,3.06
