frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.73,6.96,10.73,6.95,-6.99,-7.29,-2.63,3.74,3.74,3.77
20.20,10.73,6.90,10.73,6.91,-6.92,-7.29,-2.71,3.80,3.80,3.82
20.40,10.72,6.85,10.72,6.87,-6.86,-7.29,-2.79,3.87,3.87,3.87
20.61,10.72,6.84,10.72,6.82,-6.79,-7.16,-2.87,3.93,3.93,3.87
20.81,10.72,6.77,10.72,6.77,-6.73,-7.04,-2.95,3.98,3.98,3.94
21.02,10.71,6.70,10.71,6.71,-6.68,-6.88,-3.03,4.04,4.04,4.01
21.23,10.71,6.63,10.71,6.64,-6.62,-6.72,-3.12,4.09,4.09,4.08
21.44,10.71,6.57,10.71,6.57,-6.57,-6.59,-3.21,4.14,4.14,4.13
21.66,10.71,6.52,10.71,6.51,-6.51,-6.47,-3.30,4.20,4.20,4.19
21.87,10.70,6.44,10.70,6.46,-6.46,-6.38,-3.40,4.25,4.25,4.26
22.09,10.70,6.43,10.70,6.41,-6.42,-6.30,-3.49,4.29,4.29,4.27
22.31,10.70,6.39,10.70,6.37,-6.39,-6.26,-3.59,4.31,4.31,4.31
22.54,10.69,6.32,10.69,6.34,-6.37,-6.22,-3.70,4.32,4.32,4.37
22.76,10.69,6.32,10.69,6.34,-6.37,-6.20,-3.80,4.32,4.33,4.37
22.99,10.69,6.36,10.69,6.36,-6.37,-6.19,-3.91,4.32,4.32,4.32
23.22,10.69,6.41,10.69,6.39,-6.38,-6.20,-4.02,4.30,4.30,4.27
23.45,10.69,6.41,10.69,6.42,-6.40,-6.21,-4.13,4.29,4.29,4.27
23.69,10.69,6.42,10.69,6.42,-6.42,-6.22,-4.25,4.27,4.27,4.27
23.92,10.69,6.42,10.69,6.43,-6.42,-6.23,-4.36,4.27,4.27,4.27
24.16,10.70,6.43,10.70,6.43,-6.42,-6.25,-4.49,4.28,4.28,4.27
24.40,10.70,6.43,10.70,6.42,-6.40,-6.26,-4.61,4.30,4.30,4.27
24.65,10.70,6.39,10.70,6.39,-6.36,-6.27,-4.73,4.34,4.34,4.31
24.89,10.70,6.33,10.70,6.34,-6.31,-6.27,-4.85,4.39,4.39,4.37
25.14,10.70,6.27,10.70,6.27,-6.26,-6.27,-4.98,4.44,4.44,4.43
25.39,10.70,6.19,10.70,6.18,-6.20,-6.26,-5.11,4.49,4.49,4.50
25.65,10.69,6.11,10.69,6.11,-6.14,-6.25,-5.24,4.55,4.55,4.58
25.91,10.69,6.04,10.69,6.05,-6.08,-6.23,-5.37,4.61,4.61,4.65
26.16,10.68,6.01,10.68,6.01,-6.02,-6.20,-5.49,4.67,4.67,4.67
26.43,10.68,6.00,10.68,5.98,-5.96,-6.17,-5.62,4.72,4.72,4.68
26.69,10.69,5.94,10.69,5.94,-5.92,-6.14,-5.75,4.76,4.76,4.75
26.96,10.69,5.88,10.69,5.89,-5.89,-6.10,-5.87,4.80,4.80,4.81
27.23,10.70,5.83,10.70,5.84,-5.87,-6.05,-6.00,4.83,4.83,4.87
27.50,10.70,5.83,10.70,5.83,-5.85,-6.01,-6.12,4.86,4.86,4.87
27.77,10.70,5.83,10.70,5.83,-5.83,-5.96,-6.23,4.87,4.87,4.87
28.05,10.70,5.83,10.70,5.83,-5.82,-5.91,-6.34,4.88,4.88,4.87
28.33,10.69,5.82,10.69,5.82,-5.81,-5.87,-6.45,4.88,4.88,4.87
28.62,10.68,5.81,10.68,5.81,-5.81,-5.82,-6.55,4.87,4.87,4.87
28.90,10.66,5.79,10.66,5.79,-5.80,-5.77,-6.64,4.86,4.86,4.87
29.19,10.65,5.78,10.65,5.78,-5.79,-5.72,-6.73,4.86,4.86,4.87
29.48,10.64,5.77,10.64,5.77,-5.77,-5.68,-6.80,4.87,4.87,4.87
29.78,10.63,5.76,10.63,5.76,-5.74,-5.63,-6.87,4.89,4.89,4.87
30.08,10.63,5.74,10.63,5.73,-5.70,-5.59,-6.93,4.93,4.93,4.89
30.38,10.63,5.68,10.63,5.68,-5.66,-5.55,-6.98,4.97,4.97,4.95
30.68,10.63,5.61,10.63,5.61,-5.61,-5.51,-7.01,5.02,5.02,5.02
30.99,10.63,5.54,10.63,5.54,-5.56,-5.47,-7.04,5.07,5.07,5.09
31.30,10.62,5.47,10.62,5.48,-5.50,-5.44,-7.06,5.12,5.12,5.15
31.61,10.61,5.44,10.61,5.43,-5.44,-5.40,-7.06,5.17,5.17,5.17
31.93,10.60,5.40,10.60,5.38,-5.38,-5.37,-7.05,5.22,5.22,5.20
32.24,10.58,5.32,10.58,5.34,-5.32,-5.34,-7.04,5.26,5.26,5.26
32.57,10.56,5.29,10.56,5.28,-5.28,-5.32,-7.01,5.28,5.28,5.27
32.89,10.54,5.25,10.54,5.22,-5.24,-5.29,-6.97,5.31,5.31,5.30
33.22,10.53,5.15,10.53,5.18,-5.20,-5.26,-6.92,5.33,5.33,5.37
33.55,10.51,5.14,10.51,5.14,-5.16,-5.24,-6.87,5.35,5.35,5.37
33.89,10.50,5.13,10.50,5.13,-5.13,-5.22,-6.80,5.38,5.38,5.37
34.23,10.49,5.12,10.49,5.13,-5.09,-5.20,-6.73,5.40,5.40,5.37
34.57,10.49,5.11,10.49,5.10,-5.06,-5.18,-6.65,5.42,5.42,5.37
34.92,10.48,5.06,10.48,5.06,-5.04,-5.16,-6.57,5.44,5.44,5.42
35.27,10.47,4.99,10.47,5.01,-5.02,-5.14,-6.48,5.44,5.44,5.47
35.62,10.46,4.99,10.46,4.98,-5.01,-5.12,-6.39,5.44,5.44,5.47
35.97,10.45,4.98,10.45,4.98,-5.01,-5.10,-6.30,5.44,5.44,5.47
36.33,10.44,4.99,10.44,5.00,-5.02,-5.08,-6.20,5.42,5.42,5.45
36.70,10.43,5.04,10.43,5.02,-5.03,-5.06,-6.10,5.40,5.40,5.39
37.06,10.42,5.05,10.42,5.05,-5.05,-5.05,-6.00,5.38,5.38,5.37
37.43,10.42,5.07,10.42,5.08,-5.07,-5.03,-5.90,5.35,5.35,5.35
37.81,10.41,5.12,10.41,5.10,-5.09,-5.01,-5.80,5.32,5.32,5.29
38.19,10.40,5.12,10.40,5.12,-5.10,-4.99,-5.69,5.30,5.30,5.27
38.57,10.38,5.11,10.38,5.12,-5.10,-4.97,-5.59,5.28,5.28,5.27
38.95,10.37,5.10,10.37,5.10,-5.10,-4.95,-5.50,5.27,5.27,5.27
39.34,10.35,5.08,10.35,5.08,-5.09,-4.92,-5.40,5.26,5.26,5.27
39.74,10.33,5.06,10.33,5.06,-5.07,-4.90,-5.31,5.26,5.26,5.27
40.14,10.31,5.04,10.31,5.04,-5.06,-4.87,-5.21,5.25,5.25,5.27
40.54,10.29,5.01,10.29,5.01,-5.03,-4.84,-5.12,5.25,5.25,5.27
40.94,10.26,4.99,10.26,4.99,-5.00,-4.81,-5.04,5.26,5.26,5.27
41.35,10.24,4.97,10.24,4.97,-4.96,-4.77,-4.95,5.28,5.28,5.27
41.76,10.22,4.94,10.22,4.93,-4.89,-4.73,-4.87,5.32,5.32,5.27
42.18,10.19,4.87,10.19,4.88,-4.82,-4.69,-4.79,5.38,5.38,5.32
42.60,10.17,4.78,10.17,4.79,-4.73,-4.64,-4.72,5.45,5.45,5.39
43.03,10.15,4.69,10.15,4.67,-4.64,-4.59,-4.65,5.51,5.51,5.46
43.46,10.13,4.53,10.13,4.53,-4.55,-4.53,-4.58,5.57,5.57,5.59
43.90,10.10,4.40,10.10,4.41,-4.49,-4.47,-4.52,5.62,5.62,5.70
44.33,10.08,4.32,10.08,4.35,-4.44,-4.41,-4.45,5.64,5.64,5.76
44.78,10.06,4.35,10.06,4.34,-4.42,-4.35,-4.40,5.64,5.64,5.71
45.23,10.04,4.40,10.04,4.39,-4.41,-4.29,-4.34,5.63,5.63,5.64
45.68,10.02,4.45,10.02,4.45,-4.43,-4.25,-4.29,5.59,5.59,5.58
46.13,10.00,4.50,10.00,4.51,-4.46,-4.21,-4.24,5.54,5.54,5.50
46.60,9.98,4.55,9.98,4.55,-4.49,-4.20,-4.20,5.49,5.49,5.43
47.06,9.96,4.58,9.95,4.57,-4.53,-4.19,-4.16,5.43,5.43,5.37
47.53,9.93,4.56,9.93,4.56,-4.55,-4.20,-4.12,5.38,5.38,5.37
48.01,9.90,4.53,9.91,4.53,-4.56,-4.22,-4.08,5.34,5.34,5.37
48.49,9.88,4.51,9.88,4.51,-4.55,-4.24,-4.05,5.33,5.33,5.37
48.97,9.86,4.49,9.86,4.51,-4.52,-4.26,-4.02,5.34,5.34,5.37
49.46,9.84,4.52,9.84,4.51,-4.48,-4.28,-4.00,5.35,5.35,5.32
49.96,9.81,4.52,9.81,4.48,-4.43,-4.30,-3.97,5.38,5.38,5.30
50.46,9.78,4.42,9.78,4.43,-4.38,-4.31,-3.95,5.41,5.41,5.37
50.96,9.76,4.33,9.76,4.33,-4.31,-4.32,-3.93,5.44,5.44,5.43
51.47,9.73,4.23,9.73,4.23,-4.25,-4.32,-3.91,5.48,5.48,5.50
51.99,9.71,4.14,9.71,4.16,-4.19,-4.32,-3.90,5.51,5.51,5.57
52.51,9.68,4.11,9.68,4.11,-4.15,-4.32,-3.88,5.54,5.54,5.57
53.03,9.66,4.09,9.66,4.08,-4.12,-4.31,-3.87,5.55,5.55,5.57
53.56,9.64,4.07,9.64,4.07,-4.11,-4.30,-3.85,5.54,5.54,5.57
54.10,9.63,4.06,9.63,4.07,-4.11,-4.28,-3.84,5.52,5.52,5.57
54.64,9.62,4.09,9.62,4.10,-4.12,-4.27,-3.83,5.50,5.50,5.53
55.18,9.61,4.15,9.61,4.15,-4.12,-4.25,-3.82,5.49,5.49,5.46
55.74,9.60,4.20,9.60,4.18,-4.11,-4.23,-3.81,5.49,5.49,5.39
56.29,9.58,4.16,9.58,4.15,-4.08,-4.20,-3.80,5.50,5.50,5.42
56.86,9.56,4.07,9.56,4.08,-4.04,-4.18,-3.79,5.52,5.52,5.49
