frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.92,1.78,6.92,1.78,-1.73,-1.90,-0.92,5.19,5.19,5.14
20.20,6.92,1.91,6.92,1.91,-1.89,-1.98,-0.95,5.02,5.02,5.01
20.40,6.91,2.03,6.91,2.03,-2.04,-2.06,-0.98,4.87,4.87,4.88
20.61,6.90,2.16,6.90,2.15,-2.18,-2.15,-1.01,4.72,4.72,4.74
20.81,6.88,2.27,6.88,2.27,-2.31,-2.24,-1.04,4.57,4.57,4.61
21.02,6.86,2.39,6.86,2.39,-2.43,-2.33,-1.07,4.43,4.44,4.48
21.23,6.84,2.50,6.84,2.50,-2.53,-2.42,-1.10,4.31,4.31,4.34
21.44,6.82,2.62,6.82,2.62,-2.63,-2.51,-1.14,4.19,4.19,4.20
21.66,6.80,2.73,6.80,2.73,-2.73,-2.60,-1.17,4.06,4.06,4.07
21.87,6.77,2.83,6.77,2.83,-2.82,-2.68,-1.20,3.95,3.95,3.94
22.09,6.75,2.91,6.75,2.91,-2.89,-2.75,-1.24,3.85,3.85,3.84
22.31,6.72,2.97,6.72,2.97,-2.94,-2.82,-1.28,3.78,3.78,3.75
22.54,6.69,2.99,6.69,2.99,-2.96,-2.88,-1.32,3.73,3.73,3.70
22.76,6.67,2.99,6.67,2.99,-2.96,-2.91,-1.36,3.71,3.71,3.68
22.99,6.64,2.95,6.64,2.95,-2.93,-2.94,-1.40,3.71,3.71,3.69
23.22,6.62,2.90,6.62,2.90,-2.90,-2.95,-1.44,3.72,3.72,3.72
23.45,6.60,2.84,6.60,2.84,-2.86,-2.95,-1.48,3.74,3.74,3.76
23.69,6.58,2.79,6.58,2.79,-2.82,-2.93,-1.52,3.77,3.77,3.79
23.92,6.57,2.75,6.57,2.75,-2.78,-2.90,-1.56,3.79,3.79,3.82
24.16,6.56,2.73,6.56,2.73,-2.77,-2.85,-1.61,3.80,3.80,3.84
24.40,6.57,2.73,6.57,2.73,-2.76,-2.80,-1.65,3.80,3.80,3.84
24.65,6.57,2.75,6.57,2.75,-2.77,-2.74,-1.70,3.80,3.80,3.82
24.89,6.59,2.78,6.59,2.78,-2.79,-2.68,-1.74,3.80,3.80,3.81
25.14,6.60,2.81,6.60,2.81,-2.80,-2.62,-1.79,3.80,3.80,3.80
25.39,6.62,2.83,6.62,2.83,-2.81,-2.56,-1.84,3.82,3.82,3.79
25.65,6.64,2.83,6.64,2.83,-2.80,-2.49,-1.88,3.84,3.84,3.81
25.91,6.65,2.80,6.65,2.80,-2.77,-2.43,-1.93,3.89,3.89,3.85
26.16,6.66,2.75,6.65,2.74,-2.71,-2.37,-1.98,3.94,3.94,3.91
