frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.58,-1.52,7.58,-1.52,1.58,-0.46,-0.34,9.16,9.16,9.10
20.20,7.60,-1.37,7.60,-1.37,1.39,-0.47,-0.34,8.99,8.99,8.97
20.40,7.61,-1.23,7.61,-1.23,1.21,-0.48,-0.35,8.82,8.82,8.84
20.61,7.63,-1.07,7.63,-1.08,1.04,-0.48,-0.36,8.67,8.67,8.71
20.81,7.65,-0.92,7.65,-0.92,0.87,-0.49,-0.36,8.53,8.53,8.57
21.02,7.67,-0.77,7.67,-0.76,0.72,-0.50,-0.37,8.39,8.39,8.44
21.23,7.70,-0.61,7.69,-0.61,0.57,-0.50,-0.38,8.27,8.27,8.30
21.44,7.72,-0.44,7.72,-0.44,0.43,-0.51,-0.39,8.15,8.15,8.16
21.66,7.74,-0.29,7.74,-0.29,0.29,-0.52,-0.40,8.03,8.02,8.03
21.87,7.76,-0.14,7.76,-0.14,0.15,-0.52,-0.40,7.91,7.91,7.90
22.09,7.78,-0.01,7.78,-0.01,0.03,-0.53,-0.41,7.82,7.82,7.80
22.31,7.81,0.09,7.81,0.09,-0.06,-0.53,-0.42,7.74,7.74,7.71
22.54,7.83,0.17,7.83,0.16,-0.13,-0.53,-0.43,7.70,7.70,7.66
22.76,7.85,0.21,7.85,0.21,-0.18,-0.54,-0.44,7.67,7.67,7.64
22.99,7.87,0.23,7.87,0.22,-0.21,-0.54,-0.45,7.67,7.67,7.65
23.22,7.90,0.22,7.90,0.22,-0.22,-0.54,-0.46,7.68,7.68,7.68
23.45,7.93,0.21,7.93,0.21,-0.22,-0.53,-0.47,7.70,7.70,7.72
23.69,7.95,0.20,7.95,0.20,-0.22,-0.53,-0.48,7.73,7.73,7.76
23.92,7.98,0.20,7.98,0.20,-0.23,-0.52,-0.49,7.75,7.75,7.79
24.16,8.02,0.22,8.02,0.22,-0.25,-0.51,-0.50,7.77,7.77,7.80
24.40,8.05,0.25,8.05,0.25,-0.28,-0.50,-0.51,7.77,7.77,7.80
24.65,8.09,0.30,8.09,0.30,-0.31,-0.48,-0.52,7.77,7.77,7.79
24.89,8.12,0.35,8.12,0.35,-0.35,-0.47,-0.53,7.77,7.77,7.77
25.14,8.16,0.40,8.16,0.40,-0.39,-0.44,-0.55,7.77,7.77,7.76
25.39,8.20,0.45,8.20,0.44,-0.42,-0.41,-0.56,7.78,7.78,7.75
25.65,8.24,0.47,8.24,0.47,-0.44,-0.37,-0.57,7.80,7.80,7.78
25.91,8.29,0.47,8.29,0.47,-0.45,-0.33,-0.59,7.84,7.84,7.81
26.16,8.33,0.46,8.33,0.46,-0.44,-0.27,-0.60,7.89,7.89,7.87
26.43,8.38,0.43,8.38,0.43,-0.42,-0.22,-0.62,7.96,7.96,7.95
26.69,8.42,0.39,8.42,0.39,-0.39,-0.16,-0.63,8.03,8.03,8.03
26.96,8.46,0.34,8.46,0.34,-0.35,-0.11,-0.65,8.11,8.11,8.12
27.23,8.51,0.30,8.51,0.30,-0.31,-0.06,-0.67,8.20,8.20,8.21
27.50,8.55,0.27,8.55,0.27,-0.28,-0.02,-0.68,8.27,8.27,8.28
27.77,8.60,0.25,8.60,0.25,-0.26,-0.01,-0.70,8.34,8.34,8.35
28.05,8.64,0.24,8.64,0.24,-0.24,-0.01,-0.72,8.40,8.40,8.41
28.33,8.69,0.24,8.69,0.24,-0.24,-0.05,-0.74,8.45,8.45,8.45
28.62,8.73,0.25,8.73,0.25,-0.25,-0.10,-0.76,8.48,8.48,8.48
28.90,8.78,0.28,8.78,0.28,-0.28,-0.19,-0.79,8.51,8.51,8.51
29.19,8.83,0.31,8.83,0.31,-0.31,-0.29,-0.81,8.52,8.52,8.52
29.48,8.88,0.36,8.88,0.36,-0.36,-0.40,-0.83,8.53,8.53,8.53
29.78,8.94,0.42,8.94,0.41,-0.42,-0.52,-0.86,8.52,8.52,8.52
30.08,8.99,0.48,8.99,0.48,-0.48,-0.63,-0.89,8.50,8.51,8.51
30.38,9.05,0.56,9.05,0.56,-0.56,-0.74,-0.91,8.48,8.48,8.49
30.68,9.10,0.65,9.10,0.65,-0.65,-0.85,-0.94,8.45,8.45,8.45
30.99,9.16,0.75,9.16,0.75,-0.75,-0.95,-0.97,8.41,8.41,8.41
31.30,9.22,0.85,9.22,0.85,-0.85,-1.04,-1.01,8.36,8.36,8.36
31.61,9.27,0.97,9.27,0.97,-0.96,-1.13,-1.04,8.31,8.31,8.31
31.93,9.33,1.08,9.33,1.08,-1.08,-1.21,-1.07,8.25,8.25,8.25
