frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.18,-2.40,4.18,-2.40,2.45,1.39,0.60,6.63,6.64,6.58
20.20,4.18,-2.27,4.18,-2.27,2.29,1.39,0.62,6.47,6.47,6.45
20.40,4.18,-2.14,4.18,-2.14,2.13,1.39,0.64,6.31,6.30,6.32
20.61,4.17,-2.01,4.17,-2.01,1.98,1.39,0.66,6.15,6.15,6.19
20.81,4.16,-1.89,4.17,-1.89,1.84,1.39,0.68,6.01,6.01,6.05
21.02,4.16,-1.76,4.16,-1.76,1.71,1.39,0.70,5.87,5.87,5.92
21.23,4.16,-1.62,4.16,-1.62,1.59,1.39,0.72,5.75,5.75,5.78
21.44,4.15,-1.49,4.15,-1.49,1.48,1.39,0.74,5.63,5.63,5.64
21.66,4.14,-1.36,4.14,-1.36,1.36,1.39,0.76,5.51,5.51,5.51
21.87,4.14,-1.24,4.13,-1.25,1.26,1.39,0.78,5.40,5.40,5.38
22.09,4.12,-1.15,4.12,-1.15,1.18,1.39,0.81,5.30,5.30,5.28
22.31,4.11,-1.09,4.11,-1.09,1.11,1.39,0.83,5.22,5.22,5.19
22.54,4.10,-1.05,4.10,-1.05,1.07,1.39,0.86,5.17,5.17,5.14
22.76,4.09,-1.03,4.09,-1.03,1.05,1.39,0.88,5.14,5.14,5.12
22.99,4.09,-1.04,4.09,-1.04,1.05,1.39,0.91,5.14,5.14,5.13
23.22,4.10,-1.06,4.10,-1.06,1.06,1.39,0.94,5.15,5.15,5.16
23.45,4.11,-1.09,4.11,-1.09,1.07,1.39,0.96,5.18,5.18,5.20
23.69,4.13,-1.11,4.13,-1.11,1.09,1.39,0.99,5.21,5.21,5.24
23.92,4.14,-1.12,4.14,-1.12,1.10,1.39,1.02,5.24,5.24,5.26
24.16,4.16,-1.12,4.15,-1.12,1.10,1.38,1.05,5.26,5.26,5.28
24.40,4.16,-1.11,4.16,-1.11,1.10,1.38,1.08,5.26,5.26,5.28
24.65,4.17,-1.10,4.17,-1.10,1.09,1.39,1.11,5.26,5.26,5.26
24.89,4.17,-1.08,4.17,-1.08,1.08,1.39,1.14,5.25,5.25,5.25
25.14,4.17,-1.06,4.17,-1.06,1.07,1.39,1.17,5.25,5.25,5.24
25.39,4.18,-1.05,4.18,-1.06,1.07,1.39,1.20,5.25,5.25,5.23
25.65,4.19,-1.07,4.19,-1.07,1.09,1.40,1.23,5.27,5.28,5.26
