frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.85,-3.80,2.85,-3.80,3.84,3.65,1.05,6.70,6.70,6.65
20.20,2.88,-3.64,2.88,-3.64,3.65,3.62,1.08,6.54,6.54,6.52
20.40,2.91,-3.48,2.91,-3.48,3.47,3.60,1.12,6.38,6.38,6.39
20.61,2.94,-3.32,2.93,-3.33,3.30,3.49,1.15,6.24,6.23,6.26
20.81,2.96,-3.17,2.96,-3.17,3.14,3.38,1.18,6.09,6.09,6.13
21.02,2.97,-3.02,2.97,-3.02,2.98,3.24,1.22,5.95,5.95,5.99
21.23,2.99,-2.87,2.99,-2.87,2.84,3.10,1.26,5.82,5.82,5.85
21.44,3.00,-2.72,3.00,-2.72,2.70,2.97,1.30,5.70,5.70,5.72
21.66,3.01,-2.57,3.01,-2.57,2.56,2.83,1.33,5.57,5.57,5.58
21.87,3.03,-2.43,3.03,-2.43,2.43,2.72,1.37,5.46,5.46,5.45
22.09,3.04,-2.31,3.04,-2.31,2.32,2.60,1.42,5.36,5.36,5.35
22.31,3.06,-2.20,3.06,-2.21,2.23,2.52,1.46,5.29,5.29,5.27
22.54,3.08,-2.13,3.08,-2.13,2.16,2.43,1.50,5.25,5.25,5.22
22.76,3.10,-2.09,3.10,-2.09,2.12,2.37,1.55,5.23,5.23,5.19
22.99,3.12,-2.08,3.12,-2.08,2.10,2.31,1.59,5.23,5.23,5.20
23.22,3.14,-2.10,3.14,-2.10,2.10,2.27,1.64,5.24,5.24,5.23
23.45,3.15,-2.13,3.15,-2.13,2.12,2.23,1.69,5.26,5.26,5.27
23.69,3.15,-2.16,3.15,-2.15,2.13,2.20,1.74,5.28,5.28,5.31
23.92,3.16,-2.18,3.16,-2.18,2.14,2.18,1.79,5.30,5.31,5.34
24.16,3.17,-2.19,3.17,-2.18,2.15,2.17,1.84,5.32,5.32,5.35
24.40,3.17,-2.18,3.17,-2.18,2.15,2.16,1.89,5.32,5.32,5.35
24.65,3.18,-2.16,3.18,-2.16,2.15,2.16,1.94,5.32,5.32,5.34
24.89,3.18,-2.14,3.18,-2.14,2.14,2.16,1.99,5.32,5.32,5.32
