frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.56,0.66,8.56,0.66,-0.63,-0.69,-0.30,7.93,7.93,7.90
20.20,8.56,0.66,8.56,0.66,-0.65,-0.70,-0.30,7.91,7.91,7.90
20.40,8.56,0.66,8.56,0.66,-0.67,-0.70,-0.31,7.89,7.89,7.90
20.61,8.57,0.67,8.57,0.67,-0.69,-0.71,-0.32,7.88,7.88,7.90
20.81,8.58,0.68,8.58,0.68,-0.70,-0.72,-0.33,7.87,7.87,7.90
21.02,8.59,0.70,8.59,0.70,-0.72,-0.72,-0.34,7.87,7.87,7.89
21.23,8.61,0.72,8.61,0.72,-0.73,-0.73,-0.35,7.88,7.88,7.88
21.44,8.62,0.75,8.62,0.75,-0.74,-0.73,-0.36,7.88,7.88,7.88
21.66,8.64,0.76,8.64,0.76,-0.76,-0.74,-0.37,7.88,7.88,7.87
21.87,8.65,0.78,8.65,0.78,-0.77,-0.74,-0.38,7.88,7.88,7.87
22.09,8.65,0.78,8.65,0.78,-0.77,-0.75,-0.39,7.88,7.88,7.87
22.31,8.65,0.78,8.65,0.78,-0.77,-0.75,-0.41,7.88,7.88,7.87
22.54,8.65,0.77,8.65,0.77,-0.77,-0.76,-0.42,7.88,7.88,7.88
22.76,8.64,0.76,8.64,0.76,-0.76,-0.76,-0.43,7.88,7.88,7.88
22.99,8.64,0.75,8.64,0.75,-0.76,-0.77,-0.44,7.88,7.88,7.89
23.22,8.64,0.75,8.64,0.75,-0.76,-0.77,-0.46,7.89,7.89,7.90
23.45,8.65,0.75,8.65,0.75,-0.76,-0.78,-0.47,7.89,7.89,7.90
23.69,8.67,0.76,8.67,0.76,-0.76,-0.78,-0.48,7.90,7.90,7.91
23.92,8.69,0.77,8.69,0.77,-0.77,-0.79,-0.49,7.91,7.91,7.92
24.16,8.71,0.79,8.71,0.79,-0.79,-0.79,-0.51,7.92,7.92,7.92
24.40,8.73,0.81,8.73,0.81,-0.80,-0.80,-0.52,7.93,7.93,7.92
24.65,8.75,0.83,8.75,0.82,-0.82,-0.80,-0.54,7.93,7.93,7.92
24.89,8.76,0.84,8.76,0.84,-0.83,-0.81,-0.55,7.93,7.93,7.92
25.14,8.77,0.85,8.77,0.85,-0.85,-0.81,-0.56,7.93,7.93,7.92
25.39,8.78,0.86,8.78,0.86,-0.86,-0.82,-0.58,7.92,7.92,7.92
25.65,8.79,0.87,8.79,0.87,-0.87,-0.82,-0.59,7.92,7.92,7.92
25.91,8.80,0.88,8.80,0.88,-0.88,-0.83,-0.61,7.92,7.92,7.92
26.16,8.81,0.88,8.81,0.88,-0.89,-0.83,-0.62,7.92,7.92,7.92
26.43,8.82,0.89,8.82,0.89,-0.89,-0.83,-0.64,7.93,7.93,7.93
26.69,8.83,0.90,8.83,0.90,-0.90,-0.84,-0.65,7.93,7.93,7.93
26.96,8.84,0.90,8.84,0.90,-0.90,-0.84,-0.67,7.94,7.94,7.94
27.23,8.85,0.90,8.85,0.90,-0.90,-0.85,-0.68,7.95,7.95,7.95
27.50,8.86,0.90,8.86,0.90,-0.90,-0.85,-0.69,7.95,7.95,7.95
27.77,8.86,0.90,8.86,0.90,-0.90,-0.85,-0.71,7.96,7.96,7.96
28.05,8.86,0.90,8.86,0.90,-0.90,-0.86,-0.72,7.96,7.96,7.96
28.33,8.86,0.90,8.86,0.90,-0.90,-0.86,-0.73,7.96,7.96,7.96
28.62,8.86,0.90,8.86,0.90,-0.90,-0.87,-0.74,7.96,7.96,7.96
28.90,8.85,0.90,8.85,0.90,-0.89,-0.87,-0.75,7.96,7.96,7.96
29.19,8.84,0.89,8.84,0.89,-0.89,-0.87,-0.76,7.96,7.96,7.95
29.48,8.83,0.88,8.83,0.88,-0.88,-0.88,-0.77,7.95,7.95,7.95
29.78,8.82,0.88,8.82,0.88,-0.88,-0.88,-0.78,7.95,7.95,7.95
30.08,8.82,0.87,8.82,0.87,-0.88,-0.88,-0.79,7.94,7.94,7.95
30.38,8.82,0.87,8.82,0.87,-0.88,-0.89,-0.80,7.94,7.94,7.95
30.68,8.83,0.87,8.83,0.87,-0.88,-0.89,-0.80,7.95,7.95,7.96
30.99,8.85,0.89,8.85,0.89,-0.89,-0.89,-0.81,7.96,7.96,7.96
31.30,8.87,0.90,8.87,0.90,-0.89,-0.90,-0.81,7.97,7.97,7.97
31.61,8.88,0.91,8.88,0.91,-0.90,-0.90,-0.82,7.98,7.98,7.97
31.93,8.88,0.92,8.88,0.91,-0.90,-0.90,-0.82,7.98,7.98,7.97
32.24,8.88,0.91,8.88,0.91,-0.90,-0.90,-0.82,7.98,7.98,7.97
32.57,8.87,0.90,8.87,0.90,-0.90,-0.91,-0.82,7.97,7.97,7.97
32.89,8.85,0.89,8.85,0.89,-0.89,-0.91,-0.82,7.96,7.96,7.97
33.22,8.84,0.88,8.85,0.88,-0.89,-0.91,-0.82,7.95,7.95,7.97
33.55,8.84,0.88,8.84,0.88,-0.89,-0.91,-0.82,7.95,7.95,7.97
33.89,8.84,0.88,8.84,0.88,-0.89,-0.92,-0.82,7.96,7.96,7.96
34.23,8.85,0.89,8.85,0.89,-0.89,-0.92,-0.81,7.96,7.96,7.96
34.57,8.86,0.90,8.86,0.90,-0.89,-0.92,-0.81,7.97,7.97,7.96
34.92,8.86,0.90,8.86,0.90,-0.89,-0.92,-0.81,7.97,7.97,7.96
35.27,8.86,0.90,8.86,0.90,-0.90,-0.93,-0.80,7.96,7.96,7.96
35.62,8.86,0.90,8.86,0.90,-0.90,-0.93,-0.80,7.96,7.96,7.96
35.97,8.85,0.90,8.85,0.90,-0.90,-0.93,-0.79,7.95,7.95,7.96
36.33,8.85,0.90,8.85,0.90,-0.90,-0.93,-0.79,7.95,7.95,7.95
36.70,8.85,0.90,8.85,0.90,-0.90,-0.93,-0.78,7.94,7.94,7.95
37.06,8.85,0.90,8.85,0.90,-0.91,-0.93,-0.78,7.94,7.94,7.94
37.43,8.85,0.91,8.85,0.91,-0.91,-0.94,-0.78,7.94,7.94,7.94
37.81,8.85,0.92,8.85,0.92,-0.92,-0.94,-0.77,7.94,7.94,7.94
38.19,8.86,0.92,8.86,0.92,-0.92,-0.94,-0.77,7.94,7.94,7.93
38.57,8.86,0.93,8.86,0.93,-0.93,-0.94,-0.76,7.93,7.93,7.93
38.95,8.86,0.93,8.86,0.93,-0.93,-0.94,-0.76,7.93,7.93,7.93
39.34,8.86,0.93,8.86,0.93,-0.93,-0.94,-0.75,7.93,7.93,7.93
39.74,8.86,0.93,8.86,0.93,-0.93,-0.94,-0.75,7.93,7.93,7.92
40.14,8.85,0.93,8.85,0.93,-0.93,-0.94,-0.75,7.92,7.92,7.92
40.54,8.84,0.93,8.84,0.93,-0.93,-0.94,-0.74,7.92,7.92,7.92
40.94,8.84,0.92,8.84,0.92,-0.93,-0.94,-0.74,7.91,7.91,7.91
41.35,8.83,0.92,8.83,0.92,-0.93,-0.95,-0.74,7.90,7.90,7.91
41.76,8.83,0.92,8.83,0.92,-0.93,-0.95,-0.74,7.90,7.90,7.90
42.18,8.82,0.92,8.82,0.92,-0.93,-0.95,-0.74,7.90,7.90,7.90
42.60,8.82,0.93,8.82,0.93,-0.93,-0.95,-0.74,7.89,7.89,7.90
43.03,8.82,0.94,8.82,0.94,-0.94,-0.95,-0.74,7.89,7.89,7.89
43.46,8.82,0.94,8.82,0.94,-0.94,-0.95,-0.74,7.88,7.88,7.88
43.90,8.82,0.95,8.82,0.95,-0.94,-0.95,-0.74,7.88,7.88,7.87
44.33,8.81,0.95,8.81,0.95,-0.94,-0.95,-0.74,7.87,7.87,7.87
44.78,8.81,0.95,8.81,0.95,-0.94,-0.95,-0.74,7.86,7.86,7.86
45.23,8.80,0.94,8.80,0.94,-0.94,-0.95,-0.75,7.85,7.85,7.86
45.68,8.79,0.94,8.79,0.94,-0.94,-0.95,-0.75,7.85,7.85,7.85
46.13,8.78,0.94,8.78,0.94,-0.94,-0.95,-0.76,7.84,7.84,7.85
46.60,8.77,0.94,8.77,0.94,-0.94,-0.95,-0.76,7.84,7.84,7.84
47.06,8.77,0.94,8.77,0.94,-0.94,-0.95,-0.77,7.83,7.83,7.83
47.53,8.76,0.94,8.76,0.94,-0.94,-0.94,-0.77,7.82,7.82,7.82
48.01,8.75,0.94,8.75,0.94,-0.94,-0.94,-0.78,7.81,7.81,7.81
48.49,8.74,0.94,8.74,0.94,-0.94,-0.94,-0.79,7.80,7.80,7.80
48.97,8.73,0.94,8.73,0.94,-0.94,-0.94,-0.79,7.80,7.80,7.80
49.46,8.72,0.94,8.72,0.94,-0.94,-0.94,-0.80,7.79,7.79,7.79
49.96,8.71,0.94,8.71,0.94,-0.94,-0.94,-0.81,7.78,7.78,7.78
50.46,8.71,0.94,8.71,0.94,-0.94,-0.94,-0.82,7.77,7.77,7.77
50.96,8.70,0.93,8.70,0.94,-0.94,-0.94,-0.83,7.76,7.76,7.76
51.47,8.69,0.94,8.69,0.94,-0.94,-0.94,-0.84,7.75,7.75,7.75
51.99,8.68,0.94,8.68,0.94,-0.93,-0.94,-0.85,7.75,7.75,7.74
52.51,8.67,0.93,8.67,0.93,-0.93,-0.93,-0.85,7.74,7.74,7.73
53.03,8.66,0.93,8.66,0.93,-0.93,-0.93,-0.86,7.72,7.72,7.72
53.56,8.64,0.93,8.64,0.93,-0.93,-0.93,-0.87,7.71,7.71,7.72
54.10,8.63,0.93,8.63,0.93,-0.93,-0.93,-0.88,7.70,7.70,7.71
54.64,8.62,0.92,8.62,0.92,-0.93,-0.93,-0.89,7.69,7.69,7.69
55.18,8.61,0.92,8.61,0.92,-0.92,-0.93,-0.90,7.68,7.68,7.68
55.74,8.59,0.92,8.59,0.92,-0.92,-0.92,-0.91,7.67,7.67,7.67
56.29,8.57,0.92,8.57,0.92,-0.92,-0.92,-0.92,7.66,7.66,7.66
56.86,8.56,0.91,8.56,0.91,-0.91,-0.92,-0.93,7.65,7.65,7.64
