frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.00,-2.98,5.00,-2.98,2.99,3.00,1.28,7.99,7.99,7.99
20.20,5.05,-2.94,5.05,-2.94,2.94,2.97,1.32,7.99,7.99,7.99
20.40,5.09,-2.90,5.09,-2.90,2.90,2.93,1.36,7.98,7.99,7.99
20.61,5.13,-2.86,5.12,-2.86,2.86,2.89,1.40,7.98,7.98,7.99
20.81,5.16,-2.83,5.16,-2.83,2.82,2.85,1.44,7.98,7.98,7.98
21.02,5.18,-2.79,5.19,-2.79,2.79,2.80,1.48,7.98,7.98,7.98
21.23,5.21,-2.76,5.21,-2.76,2.77,2.76,1.52,7.97,7.97,7.97
21.44,5.22,-2.74,5.22,-2.74,2.75,2.73,1.57,7.97,7.97,7.97
21.66,5.23,-2.73,5.23,-2.73,2.73,2.70,1.61,7.96,7.96,7.96
21.87,5.24,-2.71,5.24,-2.71,2.72,2.68,1.66,7.96,7.96,7.96
22.09,5.25,-2.71,5.25,-2.71,2.71,2.67,1.71,7.96,7.96,7.96
22.31,5.26,-2.70,5.26,-2.70,2.70,2.66,1.76,7.96,7.96,7.96
22.54,5.26,-2.70,5.26,-2.70,2.70,2.66,1.81,7.97,7.97,7.96
22.76,5.26,-2.70,5.26,-2.70,2.71,2.66,1.86,7.97,7.97,7.97
22.99,5.27,-2.71,5.27,-2.71,2.71,2.67,1.92,7.98,7.98,7.98
23.22,5.27,-2.72,5.27,-2.72,2.72,2.68,1.97,7.98,7.98,7.98
23.45,5.27,-2.73,5.27,-2.73,2.72,2.69,2.03,7.99,7.99,7.99
23.69,5.26,-2.73,5.26,-2.73,2.73,2.71,2.09,7.99,7.99,8.00
23.92,5.26,-2.74,5.26,-2.74,2.73,2.72,2.15,8.00,8.00,8.00
24.16,5.27,-2.74,5.27,-2.74,2.74,2.73,2.21,8.00,8.00,8.01
24.40,5.27,-2.74,5.27,-2.74,2.74,2.74,2.27,8.01,8.01,8.01
24.65,5.27,-2.74,5.27,-2.74,2.74,2.75,2.33,8.01,8.01,8.01
24.89,5.28,-2.73,5.28,-2.73,2.73,2.76,2.39,8.01,8.01,8.01
25.14,5.28,-2.73,5.28,-2.73,2.73,2.76,2.45,8.01,8.01,8.01
25.39,5.28,-2.73,5.28,-2.73,2.73,2.77,2.51,8.01,8.01,8.01
25.65,5.28,-2.73,5.28,-2.73,2.73,2.77,2.58,8.01,8.01,8.01
25.91,5.28,-2.73,5.28,-2.73,2.73,2.77,2.64,8.01,8.01,8.01
26.16,5.28,-2.73,5.28,-2.73,2.74,2.77,2.70,8.01,8.01,8.01
26.43,5.27,-2.74,5.27,-2.74,2.74,2.77,2.77,8.01,8.01,8.01
26.69,5.27,-2.75,5.27,-2.75,2.75,2.77,2.83,8.02,8.02,8.02
26.96,5.27,-2.75,5.27,-2.75,2.75,2.77,2.89,8.02,8.02,8.03
27.23,5.27,-2.76,5.27,-2.76,2.76,2.76,2.95,8.03,8.03,8.03
27.50,5.28,-2.76,5.28,-2.76,2.76,2.76,3.01,8.04,8.04,8.04
27.77,5.28,-2.76,5.28,-2.76,2.76,2.76,3.06,8.04,8.04,8.05
28.05,5.29,-2.76,5.29,-2.76,2.76,2.75,3.12,8.05,8.05,8.05
28.33,5.29,-2.76,5.29,-2.76,2.76,2.75,3.17,8.05,8.05,8.05
28.62,5.30,-2.75,5.30,-2.75,2.75,2.74,3.22,8.05,8.05,8.05
28.90,5.30,-2.75,5.30,-2.75,2.75,2.74,3.26,8.04,8.04,8.04
29.19,5.30,-2.74,5.30,-2.74,2.74,2.74,3.30,8.04,8.04,8.04
29.48,5.30,-2.73,5.30,-2.73,2.74,2.73,3.34,8.04,8.04,8.04
29.78,5.30,-2.73,5.30,-2.73,2.74,2.73,3.38,8.04,8.04,8.04
30.08,5.31,-2.73,5.31,-2.73,2.73,2.73,3.41,8.04,8.04,8.04
30.38,5.31,-2.73,5.31,-2.73,2.73,2.72,3.43,8.04,8.04,8.04
30.68,5.31,-2.74,5.31,-2.74,2.74,2.72,3.45,8.05,8.05,8.05
30.99,5.31,-2.74,5.31,-2.74,2.74,2.72,3.47,8.05,8.05,8.05
31.30,5.31,-2.74,5.31,-2.74,2.74,2.72,3.48,8.05,8.05,8.06
31.61,5.31,-2.74,5.31,-2.74,2.74,2.72,3.49,8.05,8.05,8.06
31.93,5.31,-2.74,5.31,-2.74,2.74,2.71,3.49,8.06,8.06,8.06
32.24,5.31,-2.74,5.31,-2.74,2.74,2.71,3.49,8.06,8.06,8.05
32.57,5.31,-2.74,5.31,-2.74,2.74,2.71,3.48,8.05,8.05,8.05
32.89,5.31,-2.74,5.31,-2.74,2.74,2.71,3.47,8.05,8.05,8.05
33.22,5.31,-2.74,5.31,-2.74,2.74,2.71,3.46,8.05,8.05,8.05
33.55,5.31,-2.74,5.31,-2.74,2.74,2.71,3.44,8.05,8.05,8.05
33.89,5.31,-2.74,5.31,-2.74,2.74,2.71,3.42,8.05,8.05,8.05
34.23,5.31,-2.73,5.31,-2.73,2.74,2.71,3.40,8.05,8.05,8.05
34.57,5.31,-2.73,5.31,-2.73,2.74,2.71,3.37,8.05,8.05,8.05
34.92,5.31,-2.74,5.31,-2.74,2.74,2.71,3.34,8.05,8.05,8.05
35.27,5.31,-2.74,5.31,-2.74,2.74,2.71,3.31,8.05,8.05,8.04
35.62,5.30,-2.74,5.30,-2.74,2.74,2.71,3.27,8.04,8.04,8.04
