frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.12,-1.30,7.12,-1.30,1.37,0.58,0.11,8.49,8.49,8.42
20.20,7.14,-1.29,7.14,-1.29,1.30,0.57,0.12,8.44,8.43,8.42
20.40,7.16,-1.26,7.16,-1.26,1.23,0.57,0.12,8.39,8.39,8.42
20.61,7.20,-1.23,7.20,-1.22,1.17,0.56,0.13,8.37,8.37,8.42
20.81,7.26,-1.16,7.26,-1.16,1.11,0.56,0.13,8.37,8.37,8.42
21.02,7.33,-1.08,7.33,-1.08,1.05,0.55,0.13,8.38,8.38,8.41
21.23,7.41,-0.99,7.41,-1.00,0.99,0.55,0.14,8.40,8.40,8.41
21.44,7.49,-0.91,7.49,-0.91,0.93,0.54,0.14,8.42,8.42,8.40
21.66,7.56,-0.84,7.56,-0.84,0.86,0.54,0.15,8.42,8.42,8.40
21.87,7.62,-0.78,7.62,-0.78,0.80,0.53,0.15,8.42,8.41,8.39
22.09,7.66,-0.73,7.66,-0.73,0.75,0.52,0.16,8.41,8.41,8.39
22.31,7.70,-0.70,7.70,-0.70,0.70,0.52,0.16,8.40,8.40,8.40
22.54,7.73,-0.67,7.73,-0.67,0.66,0.51,0.17,8.39,8.39,8.40
22.76,7.77,-0.64,7.77,-0.64,0.63,0.50,0.17,8.39,8.39,8.41
22.99,7.80,-0.61,7.80,-0.61,0.60,0.49,0.18,8.40,8.40,8.41
23.22,7.84,-0.57,7.85,-0.57,0.57,0.49,0.18,8.41,8.41,8.42
23.45,7.89,-0.54,7.89,-0.54,0.54,0.48,0.19,8.42,8.42,8.43
23.69,7.93,-0.50,7.93,-0.50,0.51,0.47,0.19,8.44,8.44,8.43
23.92,7.97,-0.47,7.97,-0.47,0.48,0.46,0.20,8.45,8.44,8.44
24.16,8.00,-0.44,8.00,-0.44,0.45,0.45,0.20,8.45,8.45,8.44
24.40,8.03,-0.42,8.03,-0.42,0.42,0.45,0.21,8.45,8.45,8.45
24.65,8.05,-0.40,8.05,-0.40,0.40,0.44,0.22,8.45,8.45,8.45
24.89,8.07,-0.38,8.07,-0.38,0.38,0.43,0.22,8.44,8.44,8.45
25.14,8.08,-0.36,8.08,-0.36,0.36,0.42,0.23,8.44,8.44,8.45
25.39,8.10,-0.35,8.10,-0.35,0.34,0.41,0.23,8.44,8.44,8.44
25.65,8.12,-0.33,8.12,-0.33,0.33,0.40,0.24,8.44,8.44,8.44
25.91,8.13,-0.31,8.13,-0.31,0.31,0.39,0.24,8.45,8.45,8.44
26.16,8.15,-0.29,8.15,-0.30,0.30,0.38,0.25,8.45,8.45,8.44
26.43,8.16,-0.28,8.16,-0.29,0.29,0.37,0.26,8.45,8.45,8.45
26.69,8.18,-0.28,8.18,-0.28,0.28,0.36,0.26,8.46,8.46,8.45
26.96,8.19,-0.27,8.19,-0.28,0.28,0.35,0.27,8.46,8.46,8.46
27.23,8.20,-0.27,8.20,-0.27,0.27,0.34,0.27,8.47,8.47,8.47
27.50,8.21,-0.27,8.21,-0.27,0.26,0.33,0.28,8.47,8.47,8.48
27.77,8.22,-0.26,8.22,-0.26,0.25,0.32,0.28,8.48,8.48,8.48
28.05,8.24,-0.25,8.24,-0.25,0.24,0.31,0.28,8.48,8.48,8.49
28.33,8.26,-0.23,8.26,-0.23,0.22,0.30,0.29,8.48,8.48,8.48
28.62,8.27,-0.21,8.27,-0.21,0.21,0.29,0.29,8.48,8.48,8.48
28.90,8.29,-0.19,8.29,-0.19,0.18,0.28,0.29,8.48,8.48,8.48
29.19,8.31,-0.16,8.31,-0.16,0.16,0.27,0.30,8.48,8.48,8.47
29.48,8.34,-0.13,8.34,-0.14,0.14,0.26,0.30,8.47,8.47,8.47
29.78,8.36,-0.11,8.36,-0.11,0.12,0.25,0.30,8.48,8.48,8.47
30.08,8.38,-0.09,8.38,-0.09,0.09,0.24,0.30,8.48,8.48,8.47
30.38,8.41,-0.07,8.41,-0.07,0.07,0.23,0.30,8.48,8.48,8.48
30.68,8.43,-0.05,8.43,-0.05,0.05,0.22,0.30,8.48,8.48,8.48
30.99,8.45,-0.04,8.45,-0.04,0.03,0.20,0.30,8.49,8.49,8.49
31.30,8.47,-0.02,8.47,-0.02,0.02,0.19,0.30,8.49,8.49,8.49
31.61,8.49,-0.00,8.49,-0.00,-0.00,0.18,0.29,8.49,8.49,8.49
31.93,8.51,0.02,8.51,0.02,-0.02,0.17,0.29,8.49,8.49,8.49
32.24,8.53,0.04,8.53,0.04,-0.04,0.16,0.29,8.49,8.49,8.49
32.57,8.54,0.05,8.54,0.05,-0.05,0.15,0.28,8.49,8.49,8.49
32.89,8.56,0.07,8.56,0.07,-0.07,0.14,0.28,8.49,8.49,8.49
33.22,8.57,0.08,8.57,0.08,-0.08,0.13,0.27,8.49,8.49,8.49
33.55,8.58,0.09,8.58,0.09,-0.09,0.12,0.26,8.49,8.49,8.49
33.89,8.59,0.10,8.59,0.10,-0.10,0.11,0.26,8.49,8.49,8.49
34.23,8.60,0.11,8.60,0.11,-0.11,0.10,0.25,8.49,8.49,8.48
34.57,8.60,0.12,8.60,0.12,-0.12,0.08,0.24,8.49,8.48,8.48
34.92,8.60,0.12,8.60,0.12,-0.12,0.07,0.23,8.48,8.48,8.48
35.27,8.60,0.12,8.60,0.12,-0.12,0.06,0.22,8.48,8.48,8.48
35.62,8.60,0.12,8.60,0.12,-0.13,0.05,0.21,8.48,8.48,8.48
