frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,19.43,7.27,19.42,7.27,-7.25,-6.67,-3.21,12.17,12.17,12.16
20.20,19.44,7.28,19.44,7.28,-7.28,-6.93,-3.30,12.16,12.16,12.16
20.40,19.45,7.30,19.46,7.30,-7.30,-7.19,-3.39,12.15,12.15,12.16
20.61,19.47,7.31,19.47,7.31,-7.32,-7.47,-3.49,12.15,12.15,12.16
20.81,19.49,7.33,19.49,7.33,-7.34,-7.76,-3.58,12.15,12.15,12.16
21.02,19.50,7.35,19.50,7.35,-7.36,-8.02,-3.69,12.15,12.15,12.15
21.23,19.51,7.37,19.51,7.37,-7.37,-8.27,-3.79,12.15,12.14,12.14
21.44,19.52,7.38,19.52,7.38,-7.38,-8.39,-3.90,12.14,12.14,12.14
21.66,19.52,7.39,19.52,7.39,-7.39,-8.49,-4.00,12.14,12.14,12.13
21.87,19.52,7.39,19.52,7.39,-7.39,-8.42,-4.12,12.13,12.13,12.13
22.09,19.52,7.39,19.52,7.39,-7.39,-8.35,-4.23,12.13,12.13,12.13
22.31,19.52,7.39,19.52,7.39,-7.39,-8.17,-4.35,12.13,12.13,12.13
22.54,19.52,7.38,19.52,7.38,-7.39,-7.99,-4.47,12.13,12.13,12.14
22.76,19.52,7.38,19.52,7.38,-7.38,-7.80,-4.60,12.14,12.14,12.14
22.99,19.52,7.37,19.52,7.37,-7.37,-7.61,-4.72,12.15,12.15,12.15
23.22,19.51,7.36,19.51,7.36,-7.36,-7.44,-4.86,12.16,12.16,12.16
23.45,19.51,7.34,19.51,7.34,-7.34,-7.28,-4.99,12.16,12.16,12.16
23.69,19.50,7.33,19.50,7.33,-7.33,-7.15,-5.13,12.17,12.17,12.17
23.92,19.49,7.31,19.49,7.31,-7.31,-7.03,-5.26,12.17,12.17,12.17
24.16,19.48,7.30,19.48,7.30,-7.30,-6.93,-5.41,12.18,12.18,12.18
24.40,19.46,7.28,19.46,7.28,-7.28,-6.84,-5.55,12.18,12.18,12.18
24.65,19.44,7.26,19.44,7.26,-7.26,-6.77,-5.70,12.18,12.18,12.18
24.89,19.42,7.24,19.42,7.24,-7.24,-6.71,-5.85,12.18,12.18,12.18
25.14,19.40,7.22,19.40,7.22,-7.22,-6.66,-6.00,12.18,12.18,12.18
25.39,19.37,7.19,19.37,7.19,-7.19,-6.62,-6.15,12.18,12.18,12.18
25.65,19.35,7.17,19.35,7.17,-7.17,-6.59,-6.31,12.18,12.18,12.18
