frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.22,-0.68,10.22,-0.67,0.70,-0.18,-0.05,10.92,10.92,10.89
20.20,10.23,-0.66,10.23,-0.67,0.67,-0.18,-0.05,10.90,10.90,10.90
20.40,10.25,-0.65,10.25,-0.65,0.64,-0.19,-0.05,10.89,10.89,10.90
20.61,10.27,-0.63,10.27,-0.63,0.61,-0.19,-0.05,10.87,10.88,10.90
20.81,10.29,-0.60,10.29,-0.60,0.58,-0.20,-0.05,10.87,10.87,10.89
21.02,10.32,-0.56,10.32,-0.56,0.55,-0.20,-0.05,10.87,10.87,10.89
21.23,10.35,-0.53,10.35,-0.53,0.52,-0.20,-0.05,10.88,10.88,10.88
21.44,10.39,-0.49,10.39,-0.49,0.49,-0.21,-0.05,10.88,10.88,10.87
21.66,10.42,-0.45,10.42,-0.45,0.46,-0.21,-0.05,10.88,10.88,10.87
21.87,10.45,-0.42,10.44,-0.42,0.43,-0.21,-0.05,10.88,10.88,10.87
22.09,10.47,-0.40,10.47,-0.40,0.41,-0.22,-0.05,10.88,10.87,10.87
22.31,10.49,-0.38,10.49,-0.38,0.39,-0.22,-0.06,10.87,10.87,10.87
22.54,10.51,-0.37,10.51,-0.37,0.37,-0.23,-0.06,10.87,10.87,10.87
22.76,10.52,-0.35,10.52,-0.35,0.35,-0.23,-0.06,10.87,10.87,10.88
22.99,10.55,-0.34,10.55,-0.34,0.33,-0.24,-0.06,10.88,10.88,10.88
23.22,10.57,-0.32,10.57,-0.32,0.31,-0.24,-0.06,10.89,10.89,10.89
23.45,10.60,-0.30,10.60,-0.30,0.29,-0.25,-0.06,10.90,10.90,10.90
23.69,10.64,-0.27,10.64,-0.27,0.27,-0.25,-0.06,10.90,10.90,10.91
23.92,10.67,-0.24,10.67,-0.24,0.24,-0.25,-0.06,10.91,10.91,10.91
24.16,10.70,-0.21,10.70,-0.21,0.21,-0.26,-0.06,10.92,10.92,10.92
24.40,10.74,-0.18,10.74,-0.18,0.18,-0.26,-0.06,10.92,10.92,10.92
24.65,10.77,-0.15,10.77,-0.15,0.15,-0.27,-0.07,10.92,10.92,10.92
24.89,10.81,-0.11,10.81,-0.11,0.11,-0.27,-0.07,10.92,10.92,10.92
25.14,10.84,-0.08,10.84,-0.08,0.07,-0.28,-0.07,10.92,10.92,10.92
25.39,10.88,-0.04,10.88,-0.04,0.04,-0.28,-0.07,10.92,10.92,10.92
25.65,10.92,-0.00,10.92,-0.00,0.00,-0.29,-0.07,10.92,10.92,10.92
25.91,10.95,0.04,10.95,0.04,-0.03,-0.29,-0.07,10.92,10.92,10.92
26.16,10.99,0.07,10.99,0.07,-0.07,-0.30,-0.08,10.92,10.92,10.92
26.43,11.02,0.10,11.02,0.10,-0.10,-0.31,-0.08,10.93,10.93,10.92
26.69,11.06,0.13,11.06,0.13,-0.13,-0.31,-0.08,10.93,10.93,10.93
26.96,11.09,0.15,11.09,0.15,-0.15,-0.32,-0.08,10.94,10.94,10.93
27.23,11.12,0.18,11.12,0.18,-0.18,-0.32,-0.09,10.94,10.94,10.94
27.50,11.15,0.20,11.15,0.20,-0.20,-0.33,-0.09,10.95,10.95,10.95
27.77,11.18,0.22,11.18,0.22,-0.23,-0.34,-0.09,10.95,10.95,10.96
28.05,11.20,0.24,11.20,0.25,-0.25,-0.34,-0.09,10.95,10.95,10.96
28.33,11.23,0.27,11.23,0.27,-0.27,-0.35,-0.10,10.95,10.95,10.96
28.62,11.25,0.29,11.25,0.30,-0.30,-0.35,-0.10,10.95,10.95,10.96
28.90,11.27,0.32,11.27,0.32,-0.32,-0.36,-0.11,10.95,10.95,10.95
29.19,11.29,0.34,11.29,0.34,-0.34,-0.37,-0.11,10.95,10.95,10.95
29.48,11.31,0.37,11.31,0.37,-0.36,-0.37,-0.12,10.95,10.95,10.94
29.78,11.33,0.39,11.33,0.39,-0.38,-0.38,-0.12,10.95,10.95,10.94
30.08,11.35,0.40,11.35,0.40,-0.40,-0.39,-0.13,10.95,10.95,10.95
30.38,11.36,0.41,11.36,0.41,-0.41,-0.39,-0.13,10.95,10.95,10.95
30.68,11.38,0.42,11.38,0.42,-0.42,-0.40,-0.14,10.96,10.96,10.96
30.99,11.39,0.43,11.39,0.43,-0.43,-0.41,-0.15,10.96,10.96,10.96
31.30,11.40,0.44,11.40,0.44,-0.44,-0.42,-0.15,10.96,10.96,10.96
31.61,11.41,0.45,11.41,0.45,-0.45,-0.42,-0.16,10.96,10.96,10.96
31.93,11.42,0.46,11.42,0.46,-0.46,-0.43,-0.17,10.96,10.96,10.96
32.24,11.43,0.47,11.43,0.47,-0.47,-0.44,-0.18,10.96,10.96,10.96
32.57,11.45,0.48,11.45,0.48,-0.49,-0.45,-0.19,10.96,10.96,10.96
32.89,11.46,0.50,11.46,0.50,-0.50,-0.45,-0.20,10.96,10.96,10.96
33.22,11.48,0.52,11.48,0.52,-0.52,-0.46,-0.21,10.96,10.96,10.96
33.55,11.50,0.53,11.50,0.53,-0.54,-0.47,-0.22,10.96,10.96,10.96
33.89,11.51,0.55,11.51,0.55,-0.55,-0.48,-0.23,10.96,10.96,10.96
34.23,11.53,0.57,11.53,0.57,-0.57,-0.49,-0.24,10.96,10.96,10.96
34.57,11.55,0.59,11.55,0.59,-0.59,-0.49,-0.25,10.96,10.96,10.95
34.92,11.57,0.61,11.57,0.61,-0.61,-0.50,-0.27,10.95,10.95,10.95
35.27,11.59,0.63,11.59,0.63,-0.63,-0.51,-0.28,10.95,10.95,10.95
35.62,11.61,0.65,11.61,0.65,-0.65,-0.52,-0.29,10.95,10.95,10.95
35.97,11.62,0.67,11.62,0.67,-0.67,-0.53,-0.31,10.95,10.95,10.95
36.33,11.64,0.69,11.64,0.69,-0.69,-0.54,-0.32,10.95,10.95,10.95
36.70,11.65,0.71,11.65,0.71,-0.71,-0.55,-0.34,10.95,10.95,10.94
37.06,11.66,0.72,11.66,0.72,-0.72,-0.56,-0.35,10.94,10.94,10.94
37.43,11.67,0.74,11.67,0.73,-0.73,-0.57,-0.37,10.94,10.94,10.93
