frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.04,0.96,8.04,0.96,-0.95,-0.99,-0.40,7.09,7.09,7.08
20.20,8.07,0.98,8.07,0.98,-0.97,-1.03,-0.41,7.09,7.09,7.09
20.40,8.10,1.00,8.10,1.00,-1.00,-1.06,-0.43,7.10,7.10,7.10
20.61,8.14,1.03,8.14,1.03,-1.03,-1.10,-0.44,7.11,7.11,7.11
20.81,8.19,1.05,8.19,1.05,-1.06,-1.14,-0.45,7.13,7.13,7.14
21.02,8.25,1.08,8.25,1.08,-1.10,-1.17,-0.47,7.15,7.15,7.16
21.23,8.31,1.12,8.31,1.12,-1.13,-1.21,-0.48,7.17,7.17,7.19
21.44,8.38,1.17,8.38,1.17,-1.17,-1.24,-0.50,7.20,7.20,7.21
21.66,8.45,1.22,8.45,1.22,-1.22,-1.27,-0.51,7.22,7.22,7.23
21.87,8.52,1.27,8.52,1.28,-1.28,-1.30,-0.53,7.25,7.25,7.25
22.09,8.60,1.33,8.60,1.33,-1.33,-1.33,-0.54,7.27,7.27,7.27
22.31,8.67,1.39,8.67,1.39,-1.38,-1.35,-0.56,7.29,7.29,7.28
22.54,8.74,1.44,8.74,1.44,-1.43,-1.37,-0.58,7.30,7.30,7.30
22.76,8.80,1.48,8.80,1.48,-1.48,-1.38,-0.60,7.32,7.32,7.32
22.99,8.86,1.52,8.86,1.52,-1.52,-1.40,-0.61,7.34,7.34,7.34
23.22,8.91,1.55,8.91,1.55,-1.55,-1.40,-0.63,7.36,7.36,7.36
23.45,8.95,1.57,8.95,1.57,-1.57,-1.40,-0.65,7.38,7.38,7.38
23.69,8.97,1.58,8.97,1.58,-1.58,-1.40,-0.67,7.40,7.40,7.40
23.92,8.99,1.58,8.99,1.58,-1.57,-1.40,-0.69,7.42,7.42,7.41
24.16,9.00,1.57,9.00,1.57,-1.56,-1.38,-0.71,7.44,7.44,7.43
24.40,8.99,1.54,8.99,1.54,-1.53,-1.37,-0.73,7.46,7.46,7.45
24.65,8.96,1.50,8.96,1.50,-1.49,-1.35,-0.75,7.48,7.47,7.47
