frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.86,-10.21,-3.85,-10.21,6.00,6.15,2.72,2.14,2.15,6.35
20.20,-3.83,-10.20,-3.84,-10.20,6.00,6.16,2.80,2.17,2.16,6.37
20.40,-3.80,-10.18,-3.81,-10.18,6.00,6.18,2.88,2.20,2.19,6.38
20.61,-3.77,-10.16,-3.77,-10.16,6.00,6.15,2.96,2.23,2.23,6.39
20.81,-3.72,-10.14,-3.72,-10.14,6.00,6.12,3.04,2.28,2.28,6.42
21.02,-3.66,-10.10,-3.66,-10.10,6.00,6.08,3.13,2.34,2.34,6.44
21.23,-3.59,-10.06,-3.59,-10.05,6.00,6.03,3.22,2.41,2.41,6.47
21.44,-3.51,-10.00,-3.51,-10.00,6.00,5.99,3.31,2.49,2.49,6.49
21.66,-3.44,-9.94,-3.44,-9.94,6.00,5.95,3.41,2.56,2.56,6.51
21.87,-3.36,-9.89,-3.37,-9.89,6.00,5.92,3.50,2.64,2.63,6.53
22.09,-3.30,-9.84,-3.30,-9.84,6.00,5.88,3.60,2.70,2.70,6.54
22.31,-3.24,-9.80,-3.24,-9.80,6.00,5.86,3.71,2.76,2.76,6.56
22.54,-3.19,-9.77,-3.19,-9.77,6.00,5.84,3.81,2.81,2.81,6.58
22.76,-3.14,-9.74,-3.14,-9.74,6.00,5.83,3.92,2.86,2.86,6.60
22.99,-3.10,-9.72,-3.10,-9.71,6.00,5.82,4.03,2.90,2.90,6.62
23.22,-3.05,-9.69,-3.05,-9.69,6.00,5.81,4.14,2.95,2.95,6.64
23.45,-2.99,-9.65,-2.99,-9.65,6.00,5.81,4.25,3.01,3.01,6.66
23.69,-2.93,-9.61,-2.93,-9.61,6.00,5.81,4.37,3.07,3.07,6.67
23.92,-2.86,-9.56,-2.86,-9.56,6.00,5.81,4.49,3.14,3.14,6.69
24.16,-2.79,-9.50,-2.79,-9.50,6.00,5.81,4.62,3.21,3.21,6.71
24.40,-2.72,-9.44,-2.72,-9.44,6.00,5.82,4.74,3.28,3.28,6.73
24.65,-2.64,-9.38,-2.64,-9.38,6.00,5.83,4.87,3.36,3.36,6.74
24.89,-2.57,-9.33,-2.57,-9.33,6.00,5.83,4.99,3.43,3.43,6.76
25.14,-2.50,-9.28,-2.50,-9.28,6.00,5.84,5.12,3.50,3.50,6.77
25.39,-2.44,-9.23,-2.44,-9.23,6.00,5.85,5.25,3.56,3.56,6.79
