frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.71,-4.69,6.71,-4.70,4.63,5.81,1.76,11.34,11.34,11.40
20.20,6.79,-4.65,6.79,-4.64,4.63,5.76,1.82,11.41,11.41,11.43
20.40,6.85,-4.61,6.86,-4.60,4.62,5.72,1.87,11.48,11.48,11.46
20.61,6.91,-4.57,6.91,-4.58,4.62,5.55,1.93,11.53,11.53,11.48
20.81,6.95,-4.56,6.95,-4.56,4.62,5.38,1.98,11.56,11.56,11.51
21.02,6.97,-4.56,6.97,-4.56,4.61,5.18,2.04,11.58,11.58,11.53
21.23,6.98,-4.57,6.98,-4.57,4.61,4.98,2.10,11.59,11.58,11.55
21.44,6.98,-4.60,6.98,-4.60,4.60,4.80,2.16,11.58,11.58,11.57
21.66,6.97,-4.62,6.97,-4.62,4.61,4.63,2.23,11.58,11.59,11.59
21.87,6.97,-4.64,6.97,-4.64,4.62,4.49,2.29,11.59,11.59,11.61
22.09,6.99,-4.64,6.99,-4.64,4.61,4.35,2.36,11.60,11.60,11.63
22.31,7.02,-4.62,7.02,-4.62,4.60,4.25,2.43,11.62,11.62,11.65
22.54,7.07,-4.59,7.07,-4.59,4.56,4.15,2.50,11.64,11.64,11.66
22.76,7.14,-4.54,7.14,-4.53,4.52,4.09,2.58,11.66,11.66,11.67
22.99,7.22,-4.47,7.22,-4.47,4.47,4.02,2.65,11.69,11.68,11.69
23.22,7.30,-4.40,7.29,-4.40,4.41,3.98,2.73,11.71,11.71,11.70
23.45,7.37,-4.34,7.37,-4.34,4.36,3.93,2.81,11.73,11.73,11.71
23.69,7.43,-4.30,7.43,-4.30,4.32,3.91,2.89,11.75,11.74,11.72
23.92,7.47,-4.26,7.47,-4.27,4.29,3.88,2.97,11.76,11.76,11.73
24.16,7.50,-4.25,7.50,-4.25,4.27,3.87,3.05,11.77,11.76,11.75
24.40,7.51,-4.25,7.51,-4.25,4.26,3.85,3.13,11.77,11.77,11.76
24.65,7.51,-4.26,7.51,-4.26,4.26,3.84,3.22,11.77,11.77,11.77
24.89,7.51,-4.27,7.51,-4.27,4.27,3.84,3.30,11.78,11.78,11.78
25.14,7.51,-4.28,7.51,-4.28,4.28,3.83,3.39,11.78,11.78,11.79
25.39,7.51,-4.29,7.51,-4.29,4.28,3.83,3.48,11.79,11.79,11.80
25.65,7.52,-4.29,7.52,-4.29,4.28,3.83,3.57,11.79,11.79,11.81
25.91,7.54,-4.27,7.54,-4.27,4.26,3.84,3.65,11.80,11.80,11.81
26.16,7.57,-4.25,7.57,-4.25,4.23,3.84,3.74,11.80,11.80,11.82
26.43,7.61,-4.21,7.61,-4.21,4.19,3.84,3.83,11.81,11.81,11.82
26.69,7.67,-4.16,7.67,-4.16,4.15,3.85,3.91,11.82,11.82,11.83
26.96,7.73,-4.10,7.73,-4.10,4.09,3.85,4.00,11.83,11.83,11.83
27.23,7.80,-4.04,7.80,-4.04,4.04,3.85,4.08,11.84,11.84,11.84
27.50,7.86,-3.98,7.86,-3.98,3.99,3.86,4.16,11.85,11.85,11.84
27.77,7.92,-3.93,7.92,-3.93,3.95,3.86,4.23,11.86,11.86,11.84
28.05,7.96,-3.89,7.95,-3.89,3.91,3.86,4.31,11.87,11.86,11.84
28.33,7.98,-3.87,7.98,-3.87,3.88,3.86,4.38,11.86,11.86,11.84
28.62,7.99,-3.86,7.99,-3.86,3.86,3.86,4.44,11.85,11.85,11.84
28.90,7.99,-3.86,7.99,-3.86,3.85,3.86,4.50,11.84,11.84,11.84
29.19,7.98,-3.86,7.98,-3.86,3.85,3.85,4.56,11.83,11.83,11.84
29.48,7.98,-3.86,7.98,-3.86,3.85,3.85,4.60,11.83,11.83,11.84
29.78,7.98,-3.86,7.98,-3.86,3.85,3.84,4.65,11.83,11.83,11.84
30.08,7.98,-3.85,7.99,-3.85,3.85,3.84,4.68,11.83,11.84,11.84
30.38,7.99,-3.84,7.99,-3.84,3.85,3.83,4.71,11.84,11.84,11.83
30.68,7.99,-3.84,7.99,-3.84,3.84,3.82,4.73,11.84,11.83,11.83
30.99,7.99,-3.83,7.99,-3.83,3.83,3.81,4.75,11.83,11.83,11.82
31.30,7.99,-3.82,7.99,-3.82,3.82,3.79,4.75,11.81,11.81,11.81
31.61,8.00,-3.81,8.00,-3.80,3.80,3.78,4.75,11.79,11.80,11.80
31.93,8.01,-3.78,8.01,-3.78,3.77,3.76,4.74,11.78,11.78,11.79
32.24,8.04,-3.75,8.04,-3.75,3.74,3.75,4.73,11.78,11.78,11.78
32.57,8.07,-3.71,8.07,-3.71,3.70,3.73,4.70,11.77,11.77,11.78
32.89,8.11,-3.66,8.11,-3.66,3.66,3.71,4.68,11.77,11.77,11.77
33.22,8.15,-3.61,8.15,-3.61,3.61,3.69,4.64,11.76,11.76,11.76
33.55,8.19,-3.56,8.19,-3.56,3.56,3.66,4.60,11.75,11.75,11.75
33.89,8.23,-3.51,8.23,-3.51,3.51,3.64,4.55,11.74,11.74,11.74
34.23,8.27,-3.46,8.27,-3.46,3.45,3.61,4.50,11.72,11.72,11.73
34.57,8.31,-3.40,8.31,-3.40,3.40,3.59,4.44,11.71,11.71,11.71
34.92,8.35,-3.35,8.35,-3.35,3.35,3.56,4.38,11.70,11.70,11.70
35.27,8.40,-3.29,8.40,-3.29,3.29,3.53,4.31,11.69,11.69,11.69
35.62,8.44,-3.24,8.44,-3.24,3.24,3.50,4.24,11.68,11.68,11.68
35.97,8.47,-3.19,8.47,-3.19,3.20,3.46,4.17,11.67,11.67,11.66
36.33,8.50,-3.15,8.50,-3.15,3.16,3.43,4.10,11.66,11.66,11.65
