frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.89,-5.42,2.89,-5.42,5.42,5.10,2.00,8.31,8.31,8.31
20.20,2.95,-5.39,2.95,-5.39,5.39,5.10,2.06,8.34,8.34,8.34
20.40,3.00,-5.36,3.00,-5.36,5.36,5.10,2.12,8.37,8.37,8.37
20.61,3.05,-5.34,3.05,-5.34,5.34,5.10,2.18,8.39,8.39,8.39
20.81,3.11,-5.31,3.11,-5.31,5.31,5.09,2.24,8.41,8.41,8.41
21.02,3.16,-5.28,3.16,-5.28,5.28,5.09,2.31,8.44,8.44,8.44
21.23,3.21,-5.25,3.21,-5.25,5.25,5.08,2.37,8.46,8.46,8.46
21.44,3.25,-5.22,3.25,-5.22,5.23,5.08,2.45,8.48,8.48,8.48
21.66,3.30,-5.20,3.30,-5.20,5.20,5.07,2.52,8.50,8.50,8.50
21.87,3.35,-5.17,3.35,-5.17,5.17,5.06,2.59,8.52,8.52,8.52
22.09,3.39,-5.14,3.39,-5.14,5.14,5.05,2.67,8.54,8.54,8.54
22.31,3.44,-5.12,3.44,-5.12,5.11,5.04,2.74,8.55,8.55,8.55
22.54,3.48,-5.09,3.48,-5.09,5.09,5.03,2.82,8.57,8.57,8.57
22.76,3.52,-5.06,3.52,-5.06,5.06,5.01,2.91,8.58,8.58,8.58
22.99,3.57,-5.03,3.57,-5.03,5.03,5.00,2.99,8.59,8.59,8.59
23.22,3.61,-5.00,3.61,-5.00,5.00,4.99,3.08,8.61,8.61,8.61
23.45,3.65,-4.97,3.65,-4.97,4.97,4.97,3.16,8.62,8.62,8.62
23.69,3.69,-4.94,3.69,-4.94,4.94,4.95,3.25,8.63,8.63,8.63
23.92,3.73,-4.91,3.73,-4.91,4.91,4.94,3.34,8.64,8.64,8.64
24.16,3.77,-4.88,3.77,-4.88,4.88,4.92,3.44,8.65,8.65,8.65
24.40,3.81,-4.85,3.81,-4.85,4.85,4.90,3.53,8.67,8.67,8.67
24.65,3.85,-4.82,3.85,-4.82,4.82,4.88,3.63,8.68,8.68,8.68
24.89,3.89,-4.79,3.89,-4.79,4.79,4.86,3.72,8.69,8.69,8.69
25.14,3.94,-4.76,3.94,-4.76,4.76,4.84,3.82,8.69,8.69,8.70
25.39,3.98,-4.73,3.98,-4.73,4.73,4.81,3.92,8.70,8.70,8.71
25.65,4.02,-4.69,4.02,-4.69,4.69,4.79,4.02,8.71,8.71,8.71
25.91,4.06,-4.66,4.06,-4.66,4.66,4.77,4.12,8.72,8.72,8.72
26.16,4.10,-4.62,4.10,-4.62,4.62,4.74,4.21,8.72,8.72,8.72
26.43,4.14,-4.58,4.14,-4.59,4.59,4.72,4.31,8.73,8.73,8.73
26.69,4.18,-4.55,4.18,-4.55,4.56,4.69,4.41,8.74,8.74,8.73
26.96,4.21,-4.52,4.21,-4.52,4.53,4.66,4.50,8.74,8.74,8.74
27.23,4.24,-4.50,4.24,-4.50,4.50,4.63,4.59,8.74,8.74,8.74
27.50,4.27,-4.47,4.27,-4.47,4.47,4.61,4.69,8.75,8.75,8.75
27.77,4.30,-4.45,4.30,-4.45,4.44,4.58,4.77,8.75,8.75,8.75
28.05,4.33,-4.42,4.33,-4.42,4.42,4.55,4.86,8.75,8.75,8.75
28.33,4.36,-4.39,4.36,-4.39,4.39,4.52,4.93,8.75,8.75,8.75
28.62,4.38,-4.37,4.38,-4.37,4.36,4.49,5.01,8.75,8.75,8.75
28.90,4.41,-4.34,4.41,-4.34,4.34,4.45,5.07,8.75,8.75,8.75
29.19,4.44,-4.31,4.44,-4.31,4.31,4.42,5.14,8.75,8.75,8.75
29.48,4.47,-4.28,4.47,-4.28,4.28,4.39,5.19,8.75,8.75,8.75
29.78,4.50,-4.25,4.50,-4.25,4.25,4.36,5.24,8.75,8.75,8.74
30.08,4.52,-4.22,4.52,-4.22,4.22,4.32,5.28,8.74,8.74,8.74
30.38,4.55,-4.19,4.55,-4.19,4.19,4.29,5.32,8.74,8.74,8.74
30.68,4.58,-4.16,4.58,-4.16,4.16,4.26,5.34,8.73,8.73,8.74
30.99,4.60,-4.13,4.60,-4.13,4.12,4.22,5.36,8.73,8.73,8.73
31.30,4.63,-4.09,4.63,-4.09,4.09,4.19,5.36,8.72,8.72,8.72
31.61,4.66,-4.05,4.66,-4.05,4.06,4.15,5.36,8.71,8.71,8.71
31.93,4.68,-4.02,4.68,-4.02,4.02,4.12,5.35,8.70,8.70,8.70
32.24,4.70,-3.99,4.70,-3.99,3.99,4.08,5.34,8.69,8.69,8.69
32.57,4.73,-3.95,4.73,-3.95,3.96,4.05,5.31,8.68,8.68,8.68
32.89,4.75,-3.92,4.75,-3.93,3.93,4.01,5.28,8.67,8.67,8.67
33.22,4.77,-3.90,4.77,-3.90,3.89,3.97,5.24,8.66,8.66,8.67
33.55,4.79,-3.87,4.79,-3.87,3.86,3.94,5.19,8.65,8.65,8.66
33.89,4.81,-3.83,4.81,-3.83,3.83,3.90,5.14,8.64,8.64,8.65
