frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.49,7.97,12.49,7.97,-7.98,-7.81,-3.50,4.50,4.50,4.52
20.20,12.51,8.00,12.51,8.00,-8.00,-7.93,-3.60,4.51,4.51,4.51
20.40,12.53,8.02,12.53,8.02,-8.02,-8.06,-3.70,4.51,4.51,4.51
20.61,12.54,8.04,12.54,8.04,-8.03,-8.11,-3.80,4.51,4.51,4.50
20.81,12.55,8.05,12.55,8.05,-8.04,-8.16,-3.90,4.51,4.51,4.50
21.02,12.55,8.06,12.55,8.06,-8.05,-8.14,-4.01,4.50,4.50,4.49
21.23,12.55,8.06,12.55,8.06,-8.05,-8.11,-4.12,4.49,4.49,4.49
21.44,12.54,8.05,12.54,8.05,-8.05,-8.05,-4.24,4.48,4.48,4.48
21.66,12.52,8.05,12.52,8.05,-8.05,-7.99,-4.36,4.47,4.47,4.47
21.87,12.50,8.04,12.50,8.04,-8.04,-7.96,-4.48,4.46,4.46,4.47
22.09,12.49,8.03,12.49,8.03,-8.03,-7.93,-4.60,4.46,4.46,4.46
22.31,12.47,8.02,12.47,8.02,-8.02,-7.95,-4.73,4.45,4.45,4.45
22.54,12.46,8.01,12.46,8.01,-8.02,-7.98,-4.86,4.44,4.44,4.44
22.76,12.44,8.01,12.44,8.01,-8.01,-8.02,-4.99,4.43,4.43,4.44
22.99,12.43,8.00,12.43,8.00,-8.00,-8.06,-5.13,4.43,4.43,4.43
23.22,12.41,7.99,12.41,7.99,-7.99,-8.08,-5.27,4.42,4.42,4.42
23.45,12.40,7.99,12.39,7.98,-7.98,-8.09,-5.42,4.41,4.41,4.41
23.69,12.37,7.97,12.37,7.97,-7.97,-8.08,-5.56,4.41,4.41,4.40
23.92,12.35,7.95,12.35,7.95,-7.95,-8.06,-5.71,4.40,4.40,4.39
24.16,12.32,7.93,12.32,7.93,-7.93,-8.02,-5.87,4.39,4.39,4.38
24.40,12.28,7.91,12.28,7.91,-7.90,-7.98,-6.02,4.38,4.38,4.37
24.65,12.24,7.88,12.24,7.88,-7.88,-7.93,-6.18,4.36,4.36,4.37
24.89,12.21,7.85,12.21,7.85,-7.86,-7.88,-6.35,4.35,4.35,4.36
25.14,12.18,7.83,12.18,7.83,-7.84,-7.83,-6.51,4.34,4.34,4.35
25.39,12.15,7.81,12.15,7.81,-7.82,-7.78,-6.68,4.33,4.33,4.34
25.65,12.13,7.80,12.13,7.80,-7.80,-7.74,-6.84,4.32,4.32,4.33
25.91,12.10,7.78,12.11,7.78,-7.78,-7.69,-7.01,4.32,4.32,4.32
26.16,12.08,7.77,12.08,7.77,-7.77,-7.65,-7.18,4.32,4.32,4.31
26.43,12.06,7.75,12.06,7.75,-7.74,-7.61,-7.35,4.31,4.31,4.30
26.69,12.02,7.73,12.02,7.73,-7.72,-7.58,-7.52,4.30,4.30,4.29
26.96,11.99,7.70,11.99,7.70,-7.69,-7.54,-7.68,4.29,4.29,4.28
27.23,11.94,7.67,11.94,7.67,-7.67,-7.51,-7.85,4.28,4.28,4.28
27.50,11.90,7.63,11.90,7.63,-7.64,-7.49,-8.01,4.26,4.26,4.27
27.77,11.86,7.60,11.86,7.60,-7.61,-7.47,-8.16,4.25,4.25,4.26
28.05,11.82,7.57,11.82,7.57,-7.58,-7.44,-8.31,4.24,4.24,4.25
28.33,11.78,7.54,11.78,7.54,-7.55,-7.43,-8.46,4.23,4.23,4.24
28.62,11.75,7.52,11.75,7.52,-7.52,-7.41,-8.60,4.23,4.23,4.23
28.90,11.72,7.50,11.72,7.50,-7.50,-7.40,-8.72,4.23,4.22,4.22
29.19,11.69,7.48,11.69,7.48,-7.47,-7.38,-8.84,4.22,4.22,4.21
29.48,11.66,7.45,11.66,7.45,-7.45,-7.37,-8.95,4.21,4.21,4.20
29.78,11.62,7.43,11.62,7.43,-7.42,-7.36,-9.05,4.20,4.20,4.19
30.08,11.58,7.40,11.58,7.40,-7.40,-7.35,-9.13,4.19,4.18,4.19
30.38,11.54,7.36,11.54,7.37,-7.37,-7.35,-9.20,4.17,4.17,4.18
30.68,11.50,7.34,11.50,7.34,-7.34,-7.34,-9.25,4.16,4.16,4.17
30.99,11.47,7.31,11.47,7.31,-7.32,-7.33,-9.29,4.15,4.15,4.16
31.30,11.44,7.29,11.44,7.29,-7.29,-7.32,-9.31,4.15,4.15,4.15
31.61,11.41,7.27,11.41,7.27,-7.26,-7.32,-9.32,4.14,4.14,4.14
31.93,11.37,7.24,11.37,7.24,-7.24,-7.31,-9.31,4.14,4.14,4.13
32.24,11.34,7.22,11.34,7.22,-7.21,-7.30,-9.29,4.13,4.13,4.12
32.57,11.30,7.19,11.30,7.19,-7.19,-7.30,-9.25,4.11,4.11,4.11
32.89,11.27,7.17,11.27,7.17,-7.17,-7.29,-9.21,4.10,4.10,4.10
33.22,11.24,7.15,11.24,7.15,-7.15,-7.28,-9.14,4.09,4.09,4.09
33.55,11.21,7.13,11.21,7.13,-7.13,-7.27,-9.07,4.08,4.08,4.09
33.89,11.19,7.12,11.19,7.12,-7.12,-7.26,-8.99,4.07,4.07,4.08
34.23,11.17,7.11,11.17,7.11,-7.11,-7.25,-8.90,4.07,4.07,4.07
34.57,11.16,7.10,11.16,7.10,-7.10,-7.24,-8.79,4.06,4.06,4.06
34.92,11.14,7.09,11.14,7.09,-7.09,-7.23,-8.69,4.05,4.05,4.05
35.27,11.13,7.09,11.13,7.09,-7.09,-7.22,-8.57,4.04,4.04,4.04
35.62,11.11,7.08,11.11,7.08,-7.08,-7.20,-8.45,4.03,4.03,4.03
35.97,11.09,7.07,11.10,7.07,-7.07,-7.19,-8.33,4.02,4.02,4.02
36.33,11.08,7.06,11.08,7.06,-7.06,-7.17,-8.21,4.01,4.01,4.01
36.70,11.06,7.06,11.06,7.06,-7.06,-7.16,-8.08,4.00,4.00,4.00
37.06,11.04,7.05,11.04,7.05,-7.05,-7.14,-7.96,4.00,3.99,3.99
37.43,11.02,7.04,11.02,7.04,-7.04,-7.12,-7.83,3.99,3.99,3.99
37.81,11.00,7.03,11.00,7.03,-7.03,-7.10,-7.71,3.98,3.98,3.98
38.19,10.98,7.01,10.98,7.01,-7.01,-7.08,-7.58,3.97,3.97,3.97
38.57,10.96,7.00,10.96,7.00,-7.00,-7.06,-7.46,3.96,3.96,3.96
38.95,10.94,6.99,10.94,6.99,-6.99,-7.03,-7.34,3.95,3.95,3.95
39.34,10.91,6.97,10.91,6.97,-6.97,-7.01,-7.23,3.94,3.94,3.94
39.74,10.89,6.96,10.89,6.96,-6.96,-6.98,-7.11,3.93,3.93,3.93
40.14,10.86,6.94,10.86,6.94,-6.94,-6.96,-7.00,3.92,3.92,3.92
40.54,10.83,6.92,10.83,6.92,-6.92,-6.93,-6.90,3.91,3.91,3.91
40.94,10.80,6.90,10.80,6.90,-6.90,-6.90,-6.80,3.90,3.90,3.90
41.35,10.78,6.88,10.78,6.88,-6.88,-6.87,-6.70,3.90,3.90,3.90
41.76,10.75,6.86,10.74,6.86,-6.86,-6.84,-6.61,3.89,3.89,3.89
42.18,10.71,6.83,10.71,6.83,-6.83,-6.81,-6.52,3.88,3.88,3.88
42.60,10.68,6.81,10.68,6.81,-6.81,-6.78,-6.43,3.87,3.87,3.87
43.03,10.64,6.78,10.64,6.78,-6.78,-6.74,-6.35,3.86,3.86,3.86
43.46,10.60,6.75,10.61,6.76,-6.76,-6.71,-6.28,3.85,3.85,3.85
43.90,10.57,6.73,10.57,6.73,-6.73,-6.67,-6.21,3.84,3.84,3.84
44.33,10.53,6.70,10.53,6.70,-6.70,-6.64,-6.14,3.83,3.83,3.83
44.78,10.49,6.67,10.49,6.67,-6.67,-6.60,-6.08,3.82,3.82,3.82
45.23,10.45,6.63,10.45,6.63,-6.63,-6.56,-6.02,3.82,3.82,3.81
45.68,10.40,6.60,10.40,6.60,-6.59,-6.52,-5.97,3.81,3.81,3.80
46.13,10.35,6.56,10.35,6.56,-6.56,-6.48,-5.92,3.80,3.80,3.80
46.60,10.30,6.52,10.30,6.52,-6.52,-6.44,-5.88,3.79,3.79,3.79
47.06,10.25,6.48,10.25,6.48,-6.48,-6.40,-5.84,3.78,3.78,3.78
47.53,10.20,6.43,10.20,6.43,-6.44,-6.36,-5.80,3.77,3.77,3.77
48.01,10.15,6.39,10.15,6.39,-6.40,-6.31,-5.77,3.76,3.76,3.76
48.49,10.10,6.35,10.10,6.35,-6.36,-6.27,-5.75,3.75,3.75,3.75
48.97,10.05,6.31,10.05,6.31,-6.31,-6.23,-5.72,3.74,3.74,3.74
49.46,10.01,6.27,10.01,6.27,-6.27,-6.18,-5.70,3.73,3.73,3.73
49.96,9.96,6.23,9.95,6.23,-6.23,-6.14,-5.68,3.72,3.72,3.72
50.46,9.90,6.19,9.90,6.19,-6.19,-6.09,-5.67,3.71,3.71,3.71
50.96,9.85,6.14,9.85,6.14,-6.14,-6.04,-5.66,3.71,3.71,3.70
51.47,9.79,6.10,9.79,6.10,-6.10,-6.00,-5.65,3.70,3.70,3.70
51.99,9.74,6.05,9.74,6.05,-6.05,-5.95,-5.64,3.69,3.69,3.69
52.51,9.68,6.00,9.68,6.00,-6.00,-5.90,-5.64,3.68,3.68,3.68
53.03,9.62,5.95,9.62,5.95,-5.95,-5.85,-5.63,3.67,3.67,3.67
53.56,9.55,5.89,9.55,5.89,-5.89,-5.81,-5.63,3.66,3.66,3.66
54.10,9.49,5.84,9.49,5.84,-5.84,-5.76,-5.63,3.65,3.65,3.65
54.64,9.42,5.78,9.42,5.78,-5.78,-5.71,-5.62,3.64,3.64,3.64
55.18,9.35,5.72,9.35,5.73,-5.73,-5.66,-5.62,3.63,3.63,3.63
55.74,9.29,5.67,9.29,5.67,-5.67,-5.61,-5.62,3.62,3.62,3.62
56.29,9.22,5.61,9.22,5.61,-5.61,-5.56,-5.62,3.61,3.61,3.61
56.86,9.15,5.55,9.15,5.55,-5.56,-5.51,-5.61,3.60,3.60,3.60
57.42,9.09,5.50,9.09,5.50,-5.50,-5.46,-5.60,3.59,3.59,3.59
58.00,9.02,5.44,9.02,5.44,-5.45,-5.41,-5.59,3.58,3.58,3.58
58.58,8.96,5.39,8.96,5.39,-5.39,-5.35,-5.58,3.57,3.57,3.57
59.16,8.89,5.34,8.89,5.34,-5.34,-5.30,-5.57,3.56,3.56,3.56
59.76,8.83,5.29,8.83,5.29,-5.28,-5.25,-5.55,3.55,3.55,3.54
60.35,8.77,5.23,8.77,5.23,-5.23,-5.20,-5.53,3.53,3.53,3.53
60.96,8.70,5.18,8.70,5.18,-5.18,-5.15,-5.50,3.52,3.52,3.52
61.57,8.63,5.12,8.63,5.12,-5.12,-5.10,-5.47,3.51,3.51,3.51
62.18,8.56,5.07,8.56,5.07,-5.07,-5.05,-5.44,3.50,3.50,3.50
62.80,8.49,5.01,8.49,5.01,-5.01,-4.99,-5.40,3.48,3.48,3.48
63.43,8.42,4.95,8.42,4.95,-4.95,-4.94,-5.36,3.47,3.47,3.47
64.07,8.35,4.90,8.35,4.90,-4.90,-4.89,-5.31,3.46,3.46,3.46
64.71,8.29,4.84,8.28,4.84,-4.84,-4.84,-5.26,3.44,3.44,3.45
65.35,8.22,4.78,8.22,4.78,-4.78,-4.79,-5.20,3.43,3.43,3.43
66.01,8.14,4.73,8.15,4.73,-4.73,-4.73,-5.14,3.42,3.42,3.42
66.67,8.07,4.67,8.07,4.67,-4.67,-4.68,-5.08,3.41,3.41,3.40
67.33,8.00,4.61,8.00,4.61,-4.61,-4.63,-5.01,3.39,3.39,3.39
68.01,7.93,4.55,7.93,4.55,-4.56,-4.58,-4.94,3.38,3.38,3.38
68.69,7.86,4.50,7.86,4.50,-4.50,-4.53,-4.87,3.36,3.36,3.36
69.37,7.79,4.44,7.79,4.44,-4.45,-4.48,-4.79,3.35,3.35,3.35
70.07,7.72,4.39,7.72,4.39,-4.39,-4.42,-4.72,3.33,3.33,3.34
70.77,7.66,4.33,7.66,4.33,-4.33,-4.37,-4.64,3.32,3.32,3.32
71.48,7.59,4.28,7.59,4.28,-4.28,-4.32,-4.55,3.31,3.31,3.31
72.19,7.52,4.23,7.52,4.23,-4.22,-4.27,-4.47,3.30,3.30,3.29
72.91,7.45,4.17,7.45,4.17,-4.16,-4.22,-4.39,3.29,3.29,3.28
73.64,7.37,4.10,7.37,4.10,-4.10,-4.17,-4.31,3.27,3.27,3.27
74.38,7.29,4.04,7.29,4.04,-4.04,-4.12,-4.22,3.25,3.25,3.25
75.12,7.21,3.97,7.21,3.97,-3.97,-4.07,-4.14,3.24,3.24,3.24
75.87,7.13,3.90,7.13,3.90,-3.90,-4.02,-4.06,3.22,3.22,3.22
76.63,7.05,3.84,7.05,3.84,-3.84,-3.97,-3.98,3.21,3.21,3.21
77.40,6.97,3.78,6.97,3.78,-3.78,-3.91,-3.89,3.19,3.19,3.20
78.17,6.90,3.72,6.90,3.72,-3.72,-3.86,-3.81,3.18,3.18,3.18
78.95,6.83,3.66,6.83,3.66,-3.67,-3.81,-3.74,3.16,3.16,3.17
