frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.99,6.17,10.99,6.17,-6.17,-6.03,-2.80,4.82,4.82,4.82
20.20,10.99,6.17,10.99,6.17,-6.17,-6.11,-2.88,4.82,4.82,4.82
20.40,10.99,6.17,10.99,6.17,-6.17,-6.18,-2.96,4.82,4.82,4.82
20.61,10.99,6.17,10.99,6.17,-6.17,-6.23,-3.05,4.81,4.81,4.81
20.81,10.98,6.18,10.98,6.18,-6.18,-6.27,-3.13,4.81,4.81,4.81
21.02,10.98,6.18,10.98,6.18,-6.18,-6.27,-3.22,4.80,4.80,4.80
21.23,10.97,6.18,10.97,6.18,-6.18,-6.27,-3.31,4.79,4.79,4.80
21.44,10.97,6.18,10.97,6.18,-6.18,-6.24,-3.41,4.79,4.79,4.79
21.66,10.96,6.18,10.96,6.18,-6.18,-6.21,-3.50,4.78,4.78,4.78
21.87,10.96,6.19,10.96,6.19,-6.19,-6.18,-3.61,4.77,4.77,4.77
22.09,10.95,6.19,10.95,6.19,-6.19,-6.15,-3.71,4.77,4.77,4.77
22.31,10.95,6.19,10.95,6.19,-6.19,-6.14,-3.81,4.76,4.76,4.76
22.54,10.94,6.19,10.94,6.19,-6.19,-6.13,-3.92,4.75,4.75,4.75
22.76,10.94,6.20,10.94,6.20,-6.20,-6.15,-4.03,4.74,4.74,4.74
22.99,10.93,6.20,10.93,6.20,-6.20,-6.16,-4.14,4.73,4.73,4.73
23.22,10.93,6.20,10.93,6.20,-6.20,-6.18,-4.26,4.73,4.73,4.73
23.45,10.92,6.20,10.92,6.20,-6.20,-6.20,-4.38,4.72,4.72,4.72
23.69,10.92,6.21,10.91,6.21,-6.21,-6.22,-4.50,4.71,4.71,4.71
23.92,10.91,6.21,10.91,6.21,-6.21,-6.24,-4.62,4.70,4.70,4.70
24.16,10.90,6.21,10.90,6.21,-6.21,-6.25,-4.75,4.69,4.69,4.69
24.40,10.90,6.21,10.90,6.21,-6.21,-6.26,-4.88,4.68,4.68,4.68
24.65,10.89,6.22,10.89,6.22,-6.22,-6.26,-5.01,4.67,4.67,4.67
24.89,10.88,6.22,10.88,6.22,-6.22,-6.26,-5.14,4.66,4.66,4.66
25.14,10.88,6.22,10.88,6.22,-6.22,-6.25,-5.28,4.65,4.65,4.65
25.39,10.87,6.22,10.87,6.22,-6.22,-6.25,-5.41,4.65,4.65,4.65
25.65,10.86,6.22,10.86,6.22,-6.22,-6.24,-5.55,4.64,4.64,4.64
25.91,10.85,6.22,10.85,6.22,-6.22,-6.23,-5.68,4.63,4.63,4.63
26.16,10.84,6.22,10.84,6.22,-6.22,-6.23,-5.82,4.62,4.62,4.62
26.43,10.84,6.23,10.83,6.22,-6.22,-6.22,-5.95,4.61,4.61,4.61
26.69,10.83,6.22,10.83,6.22,-6.22,-6.21,-6.09,4.60,4.60,4.60
26.96,10.82,6.22,10.82,6.22,-6.22,-6.20,-6.22,4.59,4.59,4.59
27.23,10.81,6.22,10.81,6.22,-6.22,-6.20,-6.35,4.58,4.58,4.58
27.50,10.79,6.22,10.79,6.22,-6.22,-6.19,-6.48,4.57,4.57,4.57
27.77,10.78,6.22,10.78,6.22,-6.22,-6.19,-6.60,4.56,4.56,4.56
28.05,10.77,6.22,10.77,6.22,-6.22,-6.18,-6.72,4.56,4.56,4.56
28.33,10.76,6.21,10.76,6.21,-6.21,-6.18,-6.84,4.55,4.55,4.55
28.62,10.75,6.21,10.75,6.21,-6.21,-6.17,-6.95,4.54,4.54,4.54
28.90,10.73,6.20,10.73,6.20,-6.20,-6.17,-7.05,4.53,4.53,4.53
29.19,10.72,6.20,10.72,6.20,-6.20,-6.17,-7.14,4.52,4.52,4.52
29.48,10.71,6.20,10.71,6.19,-6.19,-6.16,-7.22,4.51,4.51,4.51
29.78,10.69,6.19,10.69,6.19,-6.19,-6.16,-7.30,4.50,4.50,4.50
30.08,10.68,6.18,10.68,6.18,-6.18,-6.16,-7.37,4.49,4.49,4.49
30.38,10.66,6.18,10.66,6.18,-6.18,-6.16,-7.43,4.48,4.48,4.48
30.68,10.65,6.17,10.65,6.17,-6.17,-6.16,-7.47,4.47,4.47,4.47
